Index,0 [FLOAT] [0x0],1 [FLOAT] [0x4],2 [FLOAT] [0x8],3 [FLOAT] [0xC],4 [USHORT] [0x18],5 [USHORT] [0x1A],6 [USHORT] [0x1C],7 [USHORT] [0x1E],8 [USHORT] [0x20],9 [USHORT] [0x22],10 [USHORT] [0x24],11 [USHORT] [0x26],12 [FLOAT] [0x10],13 [FLOAT] [0x14],14 [USHORT] [0x28],15 [UBYTE] [0x2A],16 [BBOOL] [0x2C],17 [UBYTE] [0x2B]
56,1.4,2.4,1.8,1.5,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,2
57,2.3,3.2,2.0,2.0,200,600,66,100,66,83,0,0,3.0,3.0,0,1,false,2
58,4.0,6.0,3.6,3.2,300,600,66,95,66,119,0,0,3.0,3.0,0,1,false,2
59,0.1,1.0,0.7,0.6,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
60,3.6,5.7,2.6,1.0,200,500,66,300,66,300,0,0,6.0,10.0,140,1,false,2
61,2.0,2.0,2.3,1.0,200,500,66,67,66,67,0,0,3.0,3.0,0,1,false,1
62,2.5,2.0,2.4,2.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,2
63,5.0,4.1,3.5,5.0,200,500,66,125,66,125,0,0,3.0,3.0,0,0,false,2
64,2.0,2.0,1.6,1.4,200,500,100,100,100,100,180,250,6.0,3.0,0,1,false,1
65,1.2,3.0,1.8,1.4,500,500,66,100,66,125,0,0,3.0,3.0,0,0,false,1
66,3.5,5.0,2.8,2.5,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,2
67,1.3,2.0,1.0,3.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
68,3.0,3.0,3.0,2.5,200,500,66,143,66,143,0,0,3.0,3.0,0,1,false,2
69,2.4,4.0,2.0,1.0,200,500,100,100,100,100,240,240,8.0,3.0,0,1,true,1
70,4.0,5.0,3.5,3.0,200,500,66,143,66,143,0,0,3.0,3.0,0,0,false,2
71,4.5,4.5,3.5,3.0,200,500,77,167,77,167,0,0,3.0,3.0,100,1,false,1
72,1.8,2.9,1.0,1.0,200,600,66,100,66,83,0,0,3.0,3.0,0,0,false,1
73,1.0,1.0,1.3,1.3,200,6000,66,100,66,100,0,0,3.0,3.0,0,1,false,2
74,1.0,1.0,1.0,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
75,1.0,1.0,0.7,1.0,200,500,100,100,100,100,0,0,3.0,3.0,0,0,false,1
76,1.0,2.0,1.4,1.3,300,600,66,67,66,83,0,0,3.0,3.0,0,1,false,1
77,2.8,2.7,2.5,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
78,1.8,1.0,1.5,1.0,200,500,100,100,100,100,370,370,12.0,3.0,0,1,false,1
79,0.2,0.5,0.7,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
80,0.4,0.6,0.7,1.0,250,550,100,100,100,100,130,170,8.0,3.0,0,1,false,1
81,0.3,0.3,0.6,0.5,100,350,66,200,66,143,0,0,3.0,3.0,0,0,false,1
82,0.4,1.0,0.7,0.5,120,350,66,167,66,143,0,0,3.0,3.0,0,0,false,1
83,0.2,0.6,0.5,0.5,200,600,100,100,100,100,80,120,8.0,3.0,0,1,true,1
84,0.5,2.0,0.7,1.0,200,450,100,100,100,100,80,120,8.0,3.0,0,1,false,1
85,0.7,1.0,0.8,1.0,200,500,66,83,66,83,0,0,3.0,3.0,0,0,false,1
86,0.7,1.2,0.8,1.0,120,350,66,167,66,143,0,0,3.0,3.0,0,0,false,1
87,1.0,1.0,1.0,1.0,200,600,66,200,66,167,0,0,3.0,3.0,0,0,false,1
88,0.3,0.7,0.6,0.5,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
89,0.7,0.8,1.0,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
90,1.0,2.0,1.5,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
91,1.0,1.0,1.5,0.5,200,500,100,100,100,100,0,0,3.0,3.0,0,0,false,1
92,2.3,4.0,2.4,1.0,200,500,100,100,100,100,0,0,3.0,3.0,0,0,false,1
93,0.5,0.8,0.6,1.0,200,500,100,100,100,100,100,130,8.0,3.0,0,1,false,1
94,1.0,1.0,1.0,1.0,200,600,66,300,66,300,0,0,3.0,3.0,0,0,false,1
95,1.7,3.8,1.9,1.0,200,500,66,125,66,125,0,0,3.0,3.0,0,1,false,2
96,5.0,4.0,4.2,4.0,300,800,67,67,66,100,0,0,3.0,3.0,0,1,false,2
97,1.0,5.0,3.0,2.0,200,500,66,100,66,100,0,0,3.0,3.0,0,1,false,2
98,3.5,5.3,3.8,3.5,200,500,67,67,67,67,0,0,3.0,3.0,0,1,false,2
99,6.0,10.0,6.2,1.0,600,600,66,100,83,83,0,0,3.0,3.0,0,1,false,1
100,2.0,2.0,1.7,1.0,100,500,66,300,66,300,0,0,3.0,3.0,0,0,false,2
101,2.0,4.0,1.0,1.0,200,500,100,100,100,100,0,0,3.0,3.0,0,1,false,1
102,4.5,1.0,12.0,8.0,200,500,66,100,66,100,0,0,3.0,3.0,0,1,false,1
103,1.0,2.5,1.16,1.1,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
104,1.0,1.0,1.0,1.0,200,500,100,100,100,100,0,0,3.0,3.0,0,0,false,1
105,2.3,4.1,2.0,1.0,200,500,100,200,100,200,0,0,3.0,3.0,60,0,false,1
106,1.2,1.1,1.0,1.0,200,500,66,83,66,83,0,0,3.0,3.0,0,0,false,1
107,3.5,6.5,7.0,5.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
108,1.0,1.0,1.0,1.0,200,500,66,300,66,300,0,0,3.0,3.0,0,1,false,1
109,1.0,2.0,1.05,1.5,200,600,100,100,100,100,0,0,3.0,3.0,0,0,false,2
110,1.0,1.0,7.0,7.0,200,500,66,300,66,300,0,0,3.0,3.0,0,0,false,1
111,0.3,0.4,0.4,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
112,12.0,8.0,1.0,1.0,200,500,67,67,67,67,0,0,3.0,3.0,0,1,false,1
113,1.0,1.0,1.0,1.0,200,500,66,300,66,300,0,0,3.0,3.0,0,0,false,1
114,1.0,1.0,1.2,1.0,600,600,66,100,66,83,0,0,3.0,3.0,0,1,false,1
115,1.0,3.0,2.0,2.0,200,500,100,100,100,100,350,350,1.7,3.0,0,1,false,1
116,1.0,1.0,1.0,1.0,200,500,66,300,66,300,0,0,3.0,3.0,0,1,false,1
117,6.0,10.0,6.5,8.0,200,500,67,300,67,300,0,0,3.0,3.0,0,1,false,1
118,1.4,4.0,1.5,2.0,200,500,100,100,100,100,250,250,1.7,3.0,0,1,false,1
119,12.0,10.0,7.0,7.0,200,500,100,100,100,100,0,0,3.0,3.0,0,1,false,2
120,3.0,1.4,1.0,1.0,200,1500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
121,1.0,1.0,1.0,1.0,200,500,66,300,66,300,0,0,3.0,3.0,0,0,false,1
122,1.0,1.0,1.0,1.0,200,500,66,83,66,83,0,0,3.0,3.0,0,0,false,1
123,3.5,4.8,3.0,3.0,200,500,100,100,100,100,150,150,0.01,3.0,0,1,false,2
124,1.5,4.3,2.0,2.0,200,500,66,100,66,100,0,0,3.0,3.0,0,1,false,2
125,1.0,2.0,1.0,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,1,false,1
126,2.5,4.5,3.0,4.0,200,500,67,77,67,77,0,0,3.0,3.0,0,1,false,1
127,1.0,2.0,1.0,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,1,false,2
128,6.0,1.0,5.0,5.0,200,500,66,83,66,83,0,0,3.0,3.0,0,0,false,1
129,4.0,1.0,3.0,3.0,200,500,100,100,100,100,100,100,0.7,3.0,0,0,false,1
130,7.0,1.0,6.0,4.0,200,500,66,100,66,100,0,0,3.0,3.0,0,1,false,1
131,1.0,2.0,1.3,1.3,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
132,3.0,2.0,1.0,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
133,0.7,1.1,0.7,0.4,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
134,1.3,1.3,0.9,1.0,200,500,100,100,100,100,20,30,8.0,3.0,0,1,false,1
135,0.3,0.6,0.5,0.3,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
136,1.2,1.0,1.0,1.0,200,500,100,100,100,100,0,0,3.0,3.0,0,0,false,1
137,0.4,0.6,0.6,1.0,200,500,100,100,100,100,80,120,8.0,3.0,0,1,true,1
138,0.6,1.1,0.7,1.0,200,500,100,100,100,100,120,150,8.0,3.0,0,1,false,1
139,3.0,4.2,3.4,6.0,40,160,100,300,100,300,0,0,3.0,3.0,0,0,false,2
140,0.8,1.6,0.8,1.0,200,500,100,100,100,100,80,120,8.0,3.0,0,1,false,1
141,1.2,2.7,1.6,2.0,200,500,100,100,100,100,80,120,8.0,3.0,0,1,false,1
142,1.3,1.9,1.3,2.0,200,500,66,167,66,167,0,0,3.0,3.0,0,0,false,1
143,1.4,3.1,1.6,3.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,2
144,1.5,6.2,4.0,6.0,200,500,100,111,100,111,0,0,3.0,3.0,0,0,false,1
145,2.0,2.5,2.3,8.0,200,500,83,200,83,200,0,0,3.0,3.0,0,0,false,1
146,5.3,3.0,3.5,7.0,500,500,66,100,71,125,0,0,3.0,3.0,0,1,false,1
147,2.4,2.0,2.0,4.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
148,1.5,2.4,1.2,1.0,500,500,66,67,66,167,0,0,3.0,3.0,0,0,false,1
149,1.0,3.1,0.8,1.0,110,250,182,182,200,200,0,0,3.0,3.0,0,0,false,1
150,2.2,3.4,2.0,2.5,200,500,66,125,66,125,0,0,3.0,3.0,0,0,false,1
151,1.7,3.2,1.8,2.5,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
152,0.5,2.0,1.2,0.5,200,500,100,100,100,100,50,90,8.0,3.0,0,1,false,1
153,0.8,0.6,0.9,0.9,200,600,100,100,100,100,130,170,6.0,3.0,0,1,false,1
154,0.7,1.7,1.1,1.1,120,390,67,167,66,128,0,0,3.0,3.0,0,0,false,1
155,0.7,1.7,1.1,1.1,120,390,67,95,66,73,0,0,3.0,3.0,0,0,false,1
156,1.0,1.0,1.0,1.0,200,500,66,200,66,200,0,0,3.0,3.0,0,1,true,1
157,1.3,1.3,1.3,1.3,200,500,100,100,100,100,0,0,3.0,3.0,0,0,false,1
158,0.5,0.5,1.0,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
159,0.6,1.8,1.0,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
160,4.2,7.8,6.0,5.0,200,500,100,100,100,100,0,0,3.0,3.0,0,0,false,1
161,1.1,2.0,1.4,2.0,220,600,66,91,66,83,0,0,3.0,3.0,0,0,false,1
162,2.0,0.4,1.4,1.0,200,500,100,100,100,100,0,0,3.0,3.0,0,0,false,1
163,5.0,14.0,4.0,4.0,200,500,71,125,71,125,0,0,3.0,3.0,0,0,false,1
164,1.2,2.0,1.2,1.0,600,600,66,100,83,83,0,0,3.0,3.0,0,0,true,1
165,2.0,1.0,1.8,1.0,200,500,100,100,100,100,0,0,3.0,3.0,0,0,false,1
166,0.3,0.8,0.6,0.6,200,500,66,100,66,100,0,0,3.0,3.0,0,1,false,1
167,3.7,3.0,2.5,2.5,200,500,100,167,100,167,0,0,3.0,3.0,0,0,false,1
168,1.8,2.0,1.5,1.0,200,500,67,267,67,67,0,0,3.0,3.0,85,0,false,1
169,1.0,1.0,1.0,1.0,200,500,66,300,66,300,0,0,3.0,3.0,0,0,false,1
170,1.0,1.0,1.0,1.0,200,500,66,300,66,300,0,0,3.0,3.0,0,0,false,1
171,2.3,1.0,1.0,1.0,200,600,66,100,66,83,0,0,3.0,3.0,0,1,false,2
172,1.0,1.0,1.5,1.0,200,370,66,100,68,135,0,0,3.0,3.0,0,0,false,1
173,2.3,3.3,1.0,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,1,false,2
174,6.0,1.0,1.0,1.0,200,500,100,100,100,100,0,0,3.0,3.0,0,0,true,1
175,1.2,0.5,1.8,1.4,500,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
176,1.7,2.0,1.0,1.0,200,600,67,200,66,167,0,0,3.0,3.0,170,1,false,2
177,2.5,2.0,2.0,2.0,200,600,66,100,66,83,0,0,3.0,3.0,120,0,false,2
178,2.0,4.2,2.5,2.8,200,600,66,100,66,83,0,0,3.0,3.0,0,1,false,2
179,1.0,1.0,0.4,0.4,200,600,66,100,66,100,0,0,3.0,3.0,0,0,false,1
180,0.2,1.0,0.5,0.5,200,600,66,100,66,100,0,0,3.0,3.0,0,0,false,1
181,0.4,0.5,0.5,1.0,200,600,66,100,66,83,0,0,3.0,3.0,0,0,false,1
182,0.9,0.7,0.8,1.0,200,600,100,100,100,100,50,90,6.0,3.0,0,1,true,1
183,2.0,2.0,2.0,2.0,200,600,66,100,66,83,0,0,3.0,3.0,0,1,false,2
184,3.5,7.5,1.0,1.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
185,1.0,1.0,1.0,1.0,200,600,67,125,66,104,0,0,3.0,3.0,0,0,false,1
186,1.7,4.1,1.0,1.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
187,1.5,1.5,1.0,1.0,200,600,66,100,66,83,0,0,3.0,3.0,0,0,false,1
188,1.0,1.0,1.0,1.0,200,600,66,300,66,300,0,0,3.0,3.0,0,0,false,1
189,4.0,6.5,1.0,1.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,true,1
190,1.0,1.0,1.0,1.0,200,600,66,100,66,100,0,0,3.0,3.0,0,0,false,1
191,0.3,0.4,1.0,1.0,100,600,100,100,66,100,0,0,3.0,3.0,0,0,false,2
192,1.0,1.0,1.0,1.0,200,600,66,300,66,300,0,0,3.0,3.0,90,0,false,1
193,1.0,1.0,1.0,1.0,200,600,66,300,66,300,0,0,3.0,3.0,50,1,false,1
194,2.0,1.5,1.0,1.0,200,600,66,125,66,104,0,0,3.0,3.0,0,0,false,1
195,2.0,2.0,1.8,1.8,200,600,100,100,100,100,70,100,3.0,3.0,0,1,false,1
196,1.7,3.0,1.7,2.0,200,600,66,67,66,100,0,0,3.0,3.0,0,0,false,1
197,0.7,0.5,1.0,1.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
198,0.6,1.7,1.0,1.0,200,600,100,100,100,100,180,220,6.0,3.0,0,0,true,1
199,0.2,0.4,0.4,1.0,200,600,66,100,66,100,0,0,3.0,3.0,0,0,false,1
200,1.0,1.8,1.0,1.0,200,600,66,100,66,83,0,0,3.0,3.0,0,0,false,1
201,2.6,3.0,1.0,1.0,200,600,77,100,66,83,0,0,3.0,3.0,0,0,false,1
202,1.0,1.0,1.0,1.0,200,600,80,80,67,67,0,0,3.0,3.0,0,0,false,1
203,2.0,2.5,3.0,3.0,200,700,100,200,71,71,0,0,3.0,3.0,150,1,false,2
204,1.0,1.0,1.6,1.0,200,600,66,100,66,100,0,0,3.0,3.0,0,0,false,1
205,12.0,23.0,1.0,1.0,200,600,100,300,83,278,0,0,3.0,3.0,0,1,false,1
206,15.0,25.0,1.0,1.0,200,600,200,200,167,167,0,0,3.0,3.0,0,1,false,1
207,0.5,0.7,1.0,1.0,200,600,66,100,66,100,0,0,3.0,3.0,0,0,false,1
208,0.4,0.3,1.0,1.0,200,600,66,100,66,83,0,0,3.0,3.0,0,0,false,1
209,1.8,1.7,1.6,2.0,200,600,67,125,66,104,0,0,3.0,3.0,0,1,false,2
210,5.0,110.0,1.0,1.0,200,600,83,83,69,69,0,0,3.0,3.0,0,0,false,1
211,2.0,4.0,1.0,1.0,200,600,83,100,69,83,0,0,3.0,3.0,0,0,false,1
212,1.0,1.0,1.0,1.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
213,1.0,1.0,1.0,1.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
214,1.0,1.0,1.0,1.0,200,600,66,300,66,300,0,0,3.0,3.0,0,0,false,1
215,2.5,2.0,2.0,1.5,200,600,66,100,66,83,0,0,3.0,3.0,0,0,false,2
216,1.0,1.0,1.0,1.0,200,600,66,300,66,300,0,0,3.0,3.0,0,0,false,1
217,1.2,2.7,1.7,1.8,200,600,66,100,66,100,0,0,3.0,3.0,0,1,false,1
218,3.0,3.8,3.0,2.5,200,600,83,83,69,69,0,0,3.0,3.0,0,0,false,1
219,1.5,1.3,1.0,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
220,1.0,1.0,1.0,1.0,200,600,66,100,66,83,0,0,3.0,3.0,0,0,false,1
221,1.6,2.0,1.7,1.0,100,500,66,300,66,300,0,0,3.0,3.0,0,0,false,1
222,1.0,1.0,1.0,1.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
223,1.0,1.0,1.0,1.0,200,600,66,300,66,300,0,0,3.0,3.0,0,0,false,1
224,1.0,1.0,1.0,1.0,200,600,66,300,66,300,0,0,3.0,3.0,0,0,false,1
225,1.6,4.0,1.0,1.0,200,600,66,143,66,119,0,0,3.0,3.0,0,1,false,2
226,13.0,13.0,20.0,20.0,200,600,143,143,119,119,0,0,3.0,3.0,0,0,false,1
227,1.9,3.4,2.4,2.5,200,500,67,200,67,200,0,0,3.0,3.0,0,1,false,2
228,3.0,2.0,2.0,2.0,320,900,66,300,66,300,0,0,3.0,3.0,200,1,false,1
229,2.5,2.5,1.0,1.0,200,600,66,300,66,300,0,0,3.0,3.0,60,1,false,1
230,6.0,4.0,3.6,3.6,200,600,100,100,100,100,500,500,4.0,3.0,0,1,true,2
231,2.3,6.0,1.0,1.0,200,600,111,111,93,93,0,0,3.0,3.0,0,0,false,1
232,1.0,1.0,1.0,1.0,200,600,71,100,66,83,0,0,3.0,3.0,0,0,false,1
233,3.5,4.0,3.0,3.0,200,600,66,200,66,167,0,0,3.0,3.0,0,0,false,2
234,3.5,5.0,3.0,3.0,200,600,100,100,100,100,60,60,0.7,3.0,40,1,false,1
235,3.0,3.4,2.5,3.0,200,600,67,125,66,104,0,0,3.0,3.0,0,0,false,2
236,2.3,3.0,1.7,2.4,200,600,66,100,66,83,0,0,3.0,3.0,170,1,false,2
237,1.4,2.2,1.0,1.0,200,600,66,100,66,100,0,0,3.0,3.0,0,0,false,1
238,3.0,3.0,2.0,2.2,200,600,66,100,66,83,0,0,3.0,3.0,0,1,false,1
239,1.0,2.0,1.0,1.0,200,500,83,143,83,143,0,0,3.0,3.0,0,1,false,1
240,5.0,8.0,5.5,5.5,200,600,111,111,93,93,0,0,3.0,3.0,0,1,false,2
241,4.0,12.0,10.0,10.0,200,600,111,111,93,93,0,0,3.0,3.0,0,1,false,1
242,1.0,1.0,1.0,1.0,200,600,66,300,66,300,0,0,3.0,3.0,0,0,false,1
243,0.6,1.0,4.0,2.0,200,600,66,100,66,100,0,0,3.0,3.0,0,1,false,1
244,5.0,8.5,4.7,4.5,200,500,143,143,143,143,0,0,3.0,3.0,0,1,false,1
245,3.8,3.0,2.8,2.8,200,600,66,100,66,100,0,0,3.0,3.0,0,1,false,2
246,4.0,4.0,2.8,2.5,200,600,66,100,66,83,0,0,3.0,3.0,0,1,false,2
247,1.7,3.3,1.8,3.0,200,600,66,100,66,83,0,0,3.0,3.0,0,1,false,2
248,2.8,2.7,2.5,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,false,1
249,1.0,1.0,1.0,1.0,200,600,66,100,66,100,0,0,3.0,3.0,0,0,false,1
250,1.0,1.0,1.0,1.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
251,1.0,1.0,1.0,1.0,200,600,67,100,66,83,0,0,3.0,3.0,0,0,false,1
252,1.0,1.0,1.0,1.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
253,1.0,1.0,1.0,1.0,200,600,66,67,66,100,0,0,3.0,3.0,0,0,false,1
254,1.0,1.0,1.0,1.0,200,600,66,100,66,100,0,0,3.0,3.0,0,0,false,1
255,5.0,1.0,1.0,1.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
256,1.0,1.0,1.0,1.0,200,600,100,100,83,83,0,0,3.0,3.0,0,0,false,1
257,0.8,1.0,1.0,1.0,120,320,66,100,66,100,0,0,3.0,3.0,70,0,false,1
258,1.0,1.0,1.0,1.0,200,600,66,300,66,300,0,0,3.0,3.0,0,0,false,1
259,1.0,1.0,1.0,1.0,200,600,125,125,104,104,0,0,3.0,3.0,0,0,false,1
260,1.0,2.0,1.0,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,1,false,1
261,1.0,1.0,1.0,1.0,200,600,66,100,66,100,0,0,3.0,3.0,0,1,false,1
262,2.0,5.5,1.0,1.0,200,500,83,100,83,100,0,0,3.0,3.0,0,0,false,2
263,1.0,1.0,1.5,1.0,200,500,66,267,66,100,0,0,3.0,3.0,100,1,false,1
264,1.4,2.5,1.7,2.0,200,500,66,100,66,100,0,0,3.0,3.0,0,1,false,2
265,2.0,5.0,1.0,1.0,200,500,100,300,100,300,0,0,3.0,3.0,0,1,false,1
266,1.0,1.0,1.0,1.0,200,600,143,143,119,119,0,0,3.0,3.0,0,0,false,1
267,6.0,5.0,1.0,1.0,200,500,77,143,77,143,0,0,3.0,3.0,0,1,false,2
268,1.0,1.0,1.0,1.0,200,600,71,71,66,100,0,0,3.0,3.0,0,0,false,1
