Index,0 [UINT] [0xC],1 [STRING] [0x8],2 [STRING] [0x0],3 [STRING] [0x4]
835,8,"","请快点掷骰。","-"
836,8,"","弱点：","-"
837,8,"","注意：","-"
838,8,"","推荐：","-"
839,8,"","讨伐顺序：","-"
840,8,"","所需物品：","-"
841,8,"","请保持住敌人的仇恨。","-"
842,8,"","敌人正在靠近！","-"
900,9,"@","【职能】","-"
901,9,"","队长","-"
902,9,"","管理员","-"
903,9,"","战斗精英","-"
904,9,"","魔法导师","-"
905,9,"","大地使者","-"
906,9,"","能工巧匠","-"
907,9,"","防护职业","-"
908,9,"","近战职业","-"
909,9,"","远程职业","-"
910,9,"","治疗职业","-"
911,9,"","强化职业","-"
912,9,"","魔法职业","-"
950,10,"@","【位置】","Locations."
951,10,"","职责","-"
952,10,"","北","-"
953,10,"","南","-"
954,10,"","东","-"
955,10,"","西","-"
956,10,"","上","-"
957,10,"","下","-"
958,10,"","右","-"
959,10,"","左","-"
960,10,"","表","-"
961,10,"","里","-"
962,10,"","旁","-"
963,10,"","正面","-"
964,10,"","中央","-"
965,10,"","侧面","-"
966,10,"","内侧","-"
967,10,"","外侧","-"
968,10,"","这边","-"
969,10,"","远处","-"
970,10,"","那边","-"
971,10,"","再近一些","-"
972,10,"","再远一些","-"
973,10,"","入口","-"
974,10,"","出口","-"
1000,11,"@","【时间】","Time."
1001,11,"","前天","-"
1002,11,"","昨天","-"
1003,11,"","今天","-"
1004,11,"","明天","-"
1005,11,"","后天","-"
1006,11,"","上周","-"
1007,11,"","这周","-"
1008,11,"","下周","-"
1009,11,"","上午","-"
1010,11,"","下午","-"
1011,11,"","早晨","-"
1012,11,"","中午","-"
1013,11,"","晚上","-"
1014,11,"","星期","-"
1015,11,"","星期日","-"
1016,11,"","星期一","-"
1017,11,"","星期二","-"
1018,11,"","星期三","-"
1019,11,"","星期四","-"
1020,11,"","星期五","-"
1021,11,"","星期六","-"
1022,11,"","假日","-"
1023,11,"","休息","-"
1024,11,"","长期","-"
1025,11,"","短期","-"
1026,11,"","日期","-"
1027,11,"","秒","-"
1028,11,"","分","-"
1029,11,"","小时","-"
1030,11,"","月","-"
1031,11,"","年","-"
1032,11,"","1月","-"
1033,11,"","2月","-"
1034,11,"","3月","-"
1035,11,"","4月","-"
1036,11,"","5月","-"
1037,11,"","6月","-"
1038,11,"","7月","-"
1039,11,"","8月","-"
1040,11,"","9月","-"
1041,11,"","10月","-"
1042,11,"","11月","-"
1043,11,"","12月","-"
1044,11,"","上个月","-"
1045,11,"","这个月","-"
1046,11,"","下个月","-"
1047,11,"","去年","-"
1048,11,"","今年","-"
1049,11,"","明年","-"
1050,11,"","现在","-"
1051,11,"","马上","-"
1052,11,"","随时","-"
1053,11,"","最初","-"
1054,11,"","最后","-"
1055,11,"","等待时间","-"
1056,11,"","剩余时间","-"
1057,11,"","结束时间","-"
1058,11,"","第六星历","-"
1059,11,"","第七灵灾","-"
1060,11,"","第七星历","-"
1150,13,"@","【移动方式】","-"
1151,13,"","行走","-"
1152,13,"","奔跑","-"
1153,13,"","跟随","-"
1154,13,"","陆行鸟","-"
1155,13,"","专属陆行鸟","-"
1156,13,"","租借陆行鸟","-"
1157,13,"","陆行鸟运输","-"
1158,13,"","坐骑","-"
1159,13,"","传送","-"
1160,13,"","返回","-"
1161,13,"","都市传送网","-"
1162,13,"","飞空艇","-"
1163,13,"","返回点","-"
1200,14,"@","【设施】","-"
1201,14,"","以太之光","-"
1202,14,"","城内以太之晶","-"
1203,14,"","冒险者行会","-"
1204,14,"","行会","-"
1205,14,"","商店","-"
1206,14,"","陆行鸟栏","-"
1207,14,"","旅馆","-"
1208,14,"","客房","-"
1209,14,"","休息区","-"
1210,14,"","行会理符发行处","-"
1211,14,"","通讯贝办理处","-"
1212,14,"","市场布告板","-"
1213,14,"","雇员窗口","-"
1214,14,"","修理工","-"
1215,14,"","飞艇坪","-"
1216,14,"","邮差莫古力","-"
1250,15,"@","【大国防联军】","-"
1251,15,"","大国防联军","-"
1252,15,"","军衔","-"
1253,15,"","军需品","-"
1254,15,"","补给品","-"
1255,15,"","稀有品","-"
1256,15,"","黑涡团","-"
1257,15,"","双蛇党","-"
1258,15,"","恒辉队","-"
1270,16,"@","【部队】","-"
1271,16,"","部队","-"
1272,16,"","署名","-"
1273,16,"","部队公告","-"
1274,16,"","部队储物柜","-"
1275,16,"","部队队徽","-"
1276,16,"","部队特效","-"
1300,17,"@","【游戏系统】","-"
1301,17,"","职业","-"
1302,17,"","转职","-"
1303,17,"","特职","-"
1304,17,"","特职转换","-"
1305,17,"","灵魂水晶","-"
1306,17,"","等级","-"
1307,17,"","经验值","-"
1308,17,"","守护神","-"
1309,17,"","民族","-"
1310,17,"","部落","-"
1311,17,"","地区","-"
1312,17,"","兵装","-"
1313,17,"","道具","-"
1314,17,"","套装","-"
1315,17,"","休息奖励","-"
1316,17,"","单人","-"
1317,17,"","小队","-"
1318,17,"","坐骑","-"
1319,17,"","宠物","-"
1320,17,"","雇员","-"
1321,17,"","战斗","-"
1322,17,"","制作","-"
1323,17,"","采集","-"
1324,17,"","耐久度","-"
1325,17,"","精炼度","-"
1326,17,"","装备适性","-"
1327,17,"","宝箱","-"
1328,17,"","目标","-"
1329,17,"","锁定","-"
1330,17,"","焦点目标","-"
1331,17,"","目标标记","-"
1332,17,"","菜单","-"
1333,17,"","地图","-"
1334,17,"","服务台","-"
1335,17,"","截图","-"
1336,17,"","返回标题画面","-"
1337,17,"","退出游戏","-"
1338,17,"","关闭","-"
1339,17,"","定型文","-"
1340,17,"","情感动作","-"
1341,17,"","成就","-"
1342,17,"","称号","-"
1343,17,"","货币","-"
1344,17,"","金币","-"
1345,17,"","交易","-"
1346,17,"","调查","-"
1347,17,"","自动跟随","-"
1348,17,"","团队","-"
1349,17,"","房屋","-"
1350,17,"","友好度","-"
1351,17,"","友好关系等级","-"
1352,17,"","最优队员","-"
1353,17,"","亚拉戈神典石","-"
1354,17,"","亚拉戈神话神典石","-"
1355,17,"","亚拉戈哲学神典石","-"
1356,17,"","投票驱逐","-"
1357,17,"","放弃任务投票","-"
1358,17,"","场景标记","-"
1359,17,"","地面目标","-"
1360,17,"","武具投影","-"
1361,17,"","亚拉戈战记神典石","-"
1362,17,"","美容师","-"
1363,17,"","雇员探险","-"
1400,18,"@","【战斗】","-"
1401,18,"","攻击","-"
1402,18,"","技能","-"
1403,18,"","共通技能","-"
1404,18,"","特性","-"
1405,18,"","特职技能","-"
1406,18,"","额外技能","-"
1407,18,"","魔法","-"
1408,18,"","战技","-"
1409,18,"","能力","-"
1410,18,"","咏唱时间","-"
1411,18,"","复唱时间","-"
1412,18,"","行动适性","-"
1413,18,"","链接","-"
1414,18,"","召唤兽","-"
1415,18,"","搭档","-"
1416,18,"","仇恨","-"
1417,18,"","主动","-"
1418,18,"","被动","-"
1419,18,"","无法行动","-"
1420,18,"","战利品","-"
1421,18,"","分配","-"
1422,18,"","掷骰","-"
1423,18,"","抗性","-"
1424,18,"","习得","-"
1425,18,"","索敌","-"
1426,18,"","范围","-"
1427,18,"","极限技","-"
1428,18,"","敌人","-"
1429,18,"","怪物","-"
1430,18,"","精英怪","-"
1431,18,"","成长点数","-"
1432,18,"","连锁奖励","-"
1433,18,"","兵装转换奖励","-"
1434,18,"","等级同步","-"
1435,18,"","对战技能","-"
1436,18,"","范围攻击","-"
1437,18,"","前方范围攻击","-"
1438,18,"","后方范围攻击","-"
1439,18,"","全屏攻击","-"
1500,19,"@","【在线状态】","-"
1501,19,"","在线","-"
1502,19,"","离开","-"
1503,19,"","忙碌","-"
1504,19,"","希望组队","-"
1505,19,"","接受镶嵌魔晶石请求","-"
1506,19,"","任务中","-"
1507,19,"","离线","-"
1508,19,"","队员招募中","-"
1509,19,"","新人","-"
1550,20,"@","【社交】","-"
1551,20,"","聊天","-"
1552,20,"","悄悄话","-"
1553,20,"","说话","-"
1554,20,"","喊话","-"
1555,20,"","呼喊","-"
1556,20,"","好友名单","-"
1557,20,"","黑名单","-"
1558,20,"","玩家搜索","-"
1559,20,"","通讯贝","-"
1560,20,"","莫古邮件","-"
1561,20,"","人脉磁石","-"
1562,20,"","日记","-"
1563,20,"","关注","-"
1564,20,"","论坛","-"
1600,22,"@","【采集与制作】","-"
1601,22,"","碎晶","-"
1602,22,"","水晶","-"
1603,22,"","晶簇","-"
1604,22,"","魔晶石","-"
1605,22,"","魔晶石化","-"
1606,22,"","魔晶石工艺","-"
1607,22,"","市场","-"
1608,22,"","搜索道具","-"
1609,22,"","优质","-"
1610,22,"","珍稀","-"
1611,22,"","独占","-"
1612,22,"","素材","-"
1613,22,"","简易制作","-"
1614,22,"","品质","-"
1615,22,"","高品质","-"
1616,22,"","最高品质","-"
1617,22,"","修理","-"
1618,22,"","修理品","-"
1619,22,"","染色","-"
1620,22,"","良材","-"
1621,22,"","采伐","-"
1622,22,"","割草","-"
1623,22,"","矿脉","-"
1624,22,"","采掘","-"
1625,22,"","碎石","-"
1626,22,"","钓鱼","-"
1627,22,"","镶嵌魔晶石","-"
1628,22,"","禁忌镶嵌","-"
1629,22,"","栽培","-"
1630,22,"","培育","-"
1631,22,"","收获","-"
1632,22,"","秘籍","-"
1900,23,"@","【蛮神】","-"
1901,23,"","蛮神","-"
1902,23,"","伊弗利特","-"
1903,23,"","泰坦","-"
1904,23,"","迦楼罗","-"
1905,23,"","巴哈姆特","-"
1906,23,"","莫古尔·莫古十二世","-"
1907,23,"","蛮族","-"
1908,23,"","蜥蜴人","-"
1909,23,"","妖精","-"
1910,23,"","鸟人","-"
1911,23,"","地灵","-"
1912,23,"","鱼人","-"
1913,23,"","利维亚桑","-"
2000,24,"@","【任务】","-"
2001,24,"","任务","-"
2002,24,"","任务","-"
2003,24,"","主线任务","-"
2004,24,"","支线任务","-"
2005,24,"","职业任务","-"
2006,24,"","特职任务","-"
2007,24,"","军队任务","-"
2008,24,"","危命任务","-"
2009,24,"","行会理符","-"
2010,24,"","理符任务","-"
2011,24,"","佣兵任务","-"
2012,24,"","采集任务","-"
2013,24,"","制作任务","-"
2015,24,"","军队理符","-"
2017,24,"","理符连接","-"
2018,24,"","恢复","-"
2019,24,"","理符难度","-"
2020,24,"","行会令","-"
2021,24,"","迷宫","-"
2022,24,"","讨伐战","-"
2023,24,"","歼灭战","-"
2024,24,"","强攻战","-"
2025,24,"","大型任务","-"
2026,24,"","斗技场","-"
2027,24,"","托托·拉克千狱","-"
2028,24,"","塔姆·塔拉墓园","-"
2029,24,"","铜铃铜山","-"
2030,24,"","沙斯塔夏溶洞","-"
2031,24,"","黄金谷","-"
2032,24,"","静语庄园","-"
2033,24,"","日影地修炼所","-"
2034,24,"","布雷福洛克斯野营地","-"
2035,24,"","喀恩埋没圣堂","-"
2036,24,"","放浪神古神殿","-"
2037,24,"","石卫塔","-"
2038,24,"","樵鸣洞","-"
2039,24,"","泽梅尔要塞","-"
2040,24,"","无限城古堡","-"
2041,24,"","帝国南方堡","-"
2042,24,"","天幕魔导城","-"
2043,24,"","完成集团战训练！","-"
2044,24,"","讨伐彷徨死灵！","-"
2045,24,"","突破所有关门，讨伐最深处的敌人！","-"
2046,24,"","捕获金币龟！","-"
2047,24,"","驱除剧毒妖花！","-"
2048,24,"","消灭恶徒团伙寄生蜂团！","-"
2049,24,"","讨伐梦幻之布拉奇希奥！","-"
2050,24,"","击溃哥布林炸弹军团！","-"
2051,24,"","讨伐污染源头魔界花！","-"
2052,24,"","讨伐坑道中出现的妖异！","-"
2053,24,"","注意无敌的眷属，讨伐大型妖异！","-"
2054,24,"","讨伐爆弹怪的女王！","-"
2055,24,"","歼灭特殊阵型的妖异！","-"
2056,24,"","制止三方混战的巨人族，守住遗物！","-"
2057,24,"","伊弗利特讨伐战","-"
2058,24,"","泰坦讨伐战","-"
2059,24,"","迦楼罗讨伐战","-"
2060,24,"","伊弗利特歼灭战","-"
2061,24,"","泰坦歼灭战","-"
2062,24,"","迦楼罗歼灭战","-"
2063,24,"","里塔提恩强攻战","-"
2064,24,"","巴哈姆特大迷宫","-"
2065,24,"","狼狱水上竞技场","-"
2066,24,"","伊弗利特歼殛战","-"
2067,24,"","泰坦歼殛战","-"
2068,24,"","迦楼罗歼殛战","-"
2069,24,"","莫古力贤王歼灭战","-"
2070,24,"","究极神兵破坏作战","-"
2071,24,"","水晶塔","-"
2072,24,"","邂逅之章","-"
2073,24,"","古代人迷宫","-"
2074,24,"","解读","-"
2075,24,"","困难模式","-"
2076,24,"","随机任务","-"
2077,24,"","入侵之章","-"
2078,24,"","天狼星灯塔","-"
2079,24,"","莫古力贤王歼殛战","-"
2080,24,"","利维亚桑歼灭战","-"
2081,24,"","利维亚桑歼殛战","-"
2082,24,"","死化奇美拉讨伐战","-"
2083,24,"","海德拉讨伐战","-"
2084,24,"","大桥上的决斗","-"
2085,24,"","对战","-"
2086,24,"","蛮族任务","-"
2087,24,"","蛮族日常任务","-"
2088,24,"","蛮族剧情任务","-"
2089,24,"","支线剧情任务","-"
2090,24,"","寻宝","-"
2091,24,"","编年史任务","-"
2092,24,"","季节活动","-"
2093,24,"","无限城市街古迹","-"
2201,50,"ClassJob[1-28]","【职业与特职】","-"
2202,51,"PlaceName[20-37,39-59,61-65,67-67,94-94,107-107,123-123,129-129,140-140,154-154,184-184,206-206,216-216,218-218,223-223,237-237,239-239,271-271,290-290,300-300,313-313,323-323,325-325,331-331,337-337,350-350,358-361,388-388,411-411,425-427,440-440,459-459,462-462,477-477]","【地名】","-"
2203,52,"Race","【民族】","-"
2204,53,"Tribe","【部族】","-"
2205,54,"GuardianDeity[1-12]","【守护神】","-"
2206,55,"GeneralAction[1-4,6-8,12-20]","【共通技能】","-"
2207,56,"Action[9-190,210-222,224-228,230-239,241-244,252-252,260-260,276-279,281-281,283-297,299-299,2135-2135]","【技能】","-"
2208,57,"CraftAction[100001-100010,100020-100020,100036-100036,100039-100039,100050-100050,100063-100063,100066-100066,100069-100069,100083-100083,100095-100095,100098-100098,100108-100108]","【制作技能】","-"
2209,58,"BuddyAction","【搭档技能】","-"
2210,59,"PetAction[1-35,37-39]","【召唤兽技能】","-"
2211,60,"Weather[col-1,1-11,14-17,19-20,29-29]","【天候】","-"
2212,61,"MainCommand[col-4,1-32,41-42,44-44,56-99]","【快捷指令】","-"
2213,62,"TextCommand[col-5,100-699]","【文本指令】","-"
2214,63,"Action[1558-1585]","【对战技能】","-"
