Index,0 [UBYTE] [0x6],1 [UBYTE] [0x7],2 [USHORT] [0x4],3 [UBYTE] [0x8],4 [STRING] [0x0]
2565,2,8,22,254,"bg/ffxiv/sea_s1/hou/dyna/c_fnc/0002/asset/s1h0_f_fnc0002a.sgb"
2566,2,8,23,254,"bg/ffxiv/fst_f1/hou/dyna/c_fnc/0002/asset/f1h0_f_fnc0002a.sgb"
2567,2,8,24,254,"bg/ffxiv/wil_w1/hou/dyna/c_fnc/0002/asset/w1h0_f_fnc0002a.sgb"
2568,2,8,21,254,""
2569,3,8,22,254,"bg/ffxiv/sea_s1/hou/dyna/c_fnc/0003/asset/s1h0_f_fnc0003a.sgb"
2570,3,8,23,254,"bg/ffxiv/fst_f1/hou/dyna/c_fnc/0003/asset/f1h0_f_fnc0003a.sgb"
2571,3,8,24,254,"bg/ffxiv/wil_w1/hou/dyna/c_fnc/0003/asset/w1h0_f_fnc0003a.sgb"
2572,3,8,21,254,""
2573,4,8,22,254,"bg/ffxiv/sea_s1/hou/dyna/c_fnc/0004/asset/s1h0_f_fnc0004a.sgb"
2574,4,8,23,254,"bg/ffxiv/fst_f1/hou/dyna/c_fnc/0004/asset/f1h0_f_fnc0004a.sgb"
2575,4,8,24,254,"bg/ffxiv/wil_w1/hou/dyna/c_fnc/0004/asset/w1h0_f_fnc0004a.sgb"
2576,4,8,21,254,""
2577,5,8,21,254,""
2578,6,8,21,254,""
3073,1,2,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_wal/0001/asset/s1h0_s_wal0001.sgb"
3074,1,2,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_wal/0001/asset/s1h0_m_wal0001.sgb"
3075,1,2,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_wal/0001/asset/s1h0_l_wal0001.sgb"
3076,1,2,23,0,"bg/ffxiv/fst_f1/hou/dyna/s_wal/0001/asset/f1h0_s_wal0001.sgb"
3077,1,2,23,1,"bg/ffxiv/fst_f1/hou/dyna/m_wal/0001/asset/f1h0_m_wal0001.sgb"
3078,1,2,23,2,"bg/ffxiv/fst_f1/hou/dyna/l_wal/0001/asset/f1h0_l_wal0001.sgb"
3079,1,2,24,0,"bg/ffxiv/wil_w1/hou/dyna/s_wal/0001/asset/w1h0_s_wal0001.sgb"
3080,1,2,24,1,"bg/ffxiv/wil_w1/hou/dyna/m_wal/0001/asset/w1h0_m_wal0001.sgb"
3081,1,2,24,2,"bg/ffxiv/wil_w1/hou/dyna/l_wal/0001/asset/w1h0_l_wal0001.sgb"
3082,1,2,21,0,""
3083,1,2,21,1,""
3084,1,2,21,2,""
3085,2,2,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_wal/0002/asset/s1h0_s_wal0002.sgb"
3086,2,2,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_wal/0002/asset/s1h0_m_wal0002.sgb"
3087,2,2,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_wal/0002/asset/s1h0_l_wal0002.sgb"
3088,2,2,23,0,"bg/ffxiv/fst_f1/hou/dyna/s_wal/0002/asset/f1h0_s_wal0002.sgb"
3089,2,2,23,1,"bg/ffxiv/fst_f1/hou/dyna/m_wal/0002/asset/f1h0_m_wal0002.sgb"
3090,2,2,23,2,"bg/ffxiv/fst_f1/hou/dyna/l_wal/0002/asset/f1h0_l_wal0002.sgb"
3091,2,2,24,0,"bg/ffxiv/wil_w1/hou/dyna/s_wal/0002/asset/w1h0_s_wal0002.sgb"
3092,2,2,24,1,"bg/ffxiv/wil_w1/hou/dyna/m_wal/0002/asset/w1h0_m_wal0002.sgb"
3093,2,2,24,2,"bg/ffxiv/wil_w1/hou/dyna/l_wal/0002/asset/w1h0_l_wal0002.sgb"
3094,3,2,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_wal/0003/asset/s1h0_s_wal0003.sgb"
3095,3,2,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_wal/0003/asset/s1h0_m_wal0003.sgb"
3096,3,2,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_wal/0003/asset/s1h0_l_wal0003.sgb"
3097,3,2,23,0,"bg/ffxiv/fst_f1/hou/dyna/s_wal/0003/asset/f1h0_s_wal0003.sgb"
3098,3,2,23,1,"bg/ffxiv/fst_f1/hou/dyna/m_wal/0003/asset/f1h0_m_wal0003.sgb"
3099,3,2,23,2,"bg/ffxiv/fst_f1/hou/dyna/l_wal/0003/asset/f1h0_l_wal0003.sgb"
3100,3,2,24,0,"bg/ffxiv/wil_w1/hou/dyna/s_wal/0003/asset/w1h0_s_wal0003.sgb"
3101,3,2,24,1,"bg/ffxiv/wil_w1/hou/dyna/m_wal/0003/asset/w1h0_m_wal0003.sgb"
3102,3,2,24,2,"bg/ffxiv/wil_w1/hou/dyna/l_wal/0003/asset/w1h0_l_wal0003.sgb"
3103,5,2,21,0,""
3104,5,2,21,1,""
3105,5,2,21,2,""
3106,6,2,21,0,""
3107,6,2,21,1,""
3108,6,2,21,2,""
3585,1,6,21,254,""
3586,2,6,21,254,""
3587,3,6,21,254,""
3588,4,6,21,254,""
3589,5,6,21,254,""
3590,6,6,21,254,""
3591,7,6,21,254,""
3592,8,6,21,254,""
3593,9,6,21,254,""
3594,11,6,21,254,""
3595,12,6,21,254,""
3596,13,6,21,254,""
3597,14,6,21,254,""
3598,15,6,21,254,""
3599,16,6,21,254,""
