Index,0 [INT] [0x0],1 [UBYTE] [0x20],2 [UBYTE] [0x28],3 [INT] [0x4],4 [UBYTE] [0x21],5 [UBYTE] [0x29],6 [INT] [0x8],7 [UBYTE] [0x22],8 [UBYTE] [0x2A],9 [INT] [0xC],10 [UBYTE] [0x23],11 [UBYTE] [0x2B],12 [INT] [0x10],13 [UBYTE] [0x24],14 [UBYTE] [0x2C],15 [INT] [0x14],16 [UBYTE] [0x25],17 [UBYTE] [0x2D],18 [INT] [0x18],19 [UBYTE] [0x26],20 [UBYTE] [0x2E],21 [INT] [0x1C],22 [UBYTE] [0x27],23 [UBYTE] [0x2F]
65,4606,1,46,4584,1,47,2189,1,49,1987,1,49,4585,1,49,2047,1,50,4559,1,50,4557,1,50
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4847,1,1,4848,1,2,4728,1,3,4825,1,4,4696,1,5,4852,1,6,4853,1,7,4689,1,8
71,4857,1,11,4865,1,12,4641,1,13,4863,1,14,4666,1,15,4859,1,16,4754,1,17,4709,1,18
72,4722,1,21,4730,1,22,4710,1,23,4749,1,24,4711,1,25,4731,1,26,4723,1,27,4867,1,28
73,4860,1,31,4691,1,32,4712,1,33,4701,1,34,4719,1,35,4756,1,36,4724,1,37,4663,1,38
74,4646,1,41,4671,1,42,4757,1,43,4720,1,43,4693,1,44,4664,1,45,4727,1,45,4703,1,45
75,4655,1,46,4750,1,47,4713,1,48,4694,1,49,4647,1,50,4678,1,50,4715,1,50,6144,1,50
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
