Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [INT] [0xC],3 [UBYTE] [0x10],4 [UINT] [0x8],5 [UBYTE] [0x11],6 [BBOOL] [0x12]
71,"加工精度提高III","24小时内（地球时间），能工巧匠提升15点加工精度。",64255,8,10500,46,false
72,"精炼度增加量提高III","24小时内（地球时间），精炼度增长得更快。",64259,8,10500,47,false
73,"食物效果时间延长III","24小时内（地球时间），食物的效果时间延长15分钟。",64258,8,10500,48,false
74,"装备损耗降低III","24小时内（地球时间），装备品耐久度损耗降低30%。",64260,8,10500,49,false
75,"","",0,0,0,0,false
76,"传送优惠III","24小时内（地球时间），传送所需要花费的金币减少40%。",64262,8,10500,51,false
77,"金碟币提高III","24小时内（地球时间），获得的金碟币增加15%。",64269,8,10500,41,false
78,"","",0,0,0,0,false
79,"","",0,0,0,0,false
80,"","",0,0,0,0,false
81,"","",0,0,0,0,false
82,"","",0,0,0,0,false
83,"","",0,0,0,0,false
84,"","",0,0,0,0,false
85,"","",0,0,0,0,false
86,"","",0,0,0,0,false
87,"","",0,0,0,0,false
88,"","",0,0,0,0,false
89,"","",0,0,0,0,false
90,"","",0,0,0,0,false
91,"","",0,0,0,0,false
92,"","",0,0,0,0,false
93,"","",0,0,0,0,false
94,"","",0,0,0,0,false
95,"","",0,0,0,0,false
96,"","",0,0,0,0,false
97,"","",0,0,0,0,false
98,"","",0,0,0,0,false
99,"","",0,0,0,0,false
100,"","",0,0,0,0,false
