Index,0 Type [0x4],1 Id [0x0],2 Model [0x5],3 Variant [0x6],4 [USHORT] [0x2],5 [UBYTE] [0x7]
267,3,81,1,2,3038,1
268,3,82,1,1,3039,1
269,3,82,1,2,3039,1
270,3,82,2,1,3039,1
271,3,83,1,1,3055,1
272,3,83,1,2,3055,1
273,3,83,1,3,3055,1
274,3,83,1,4,3055,1
275,3,83,1,5,3055,1
276,3,83,2,1,3055,1
277,3,83,2,2,3055,1
278,3,83,2,3,3055,1
279,3,84,1,1,3057,1
280,3,84,2,1,3057,1
281,3,84,2,2,3057,1
282,3,85,1,1,3042,1
283,3,85,2,1,3042,1
284,3,86,1,1,3044,1
285,3,86,1,2,3044,1
286,3,86,1,3,3044,1
287,3,86,1,4,3044,1
288,3,86,1,5,3044,1
289,3,86,1,6,3044,1
290,3,86,1,7,3044,1
291,3,86,1,8,3044,1
292,3,87,1,1,3100,1
293,3,87,1,2,3100,1
294,3,87,1,3,3100,1
295,3,87,1,4,3100,1
296,3,87,1,5,3100,1
297,3,88,1,1,3075,1
298,3,90,1,1,3077,1
299,3,91,1,1,3083,1
300,3,91,2,1,3084,1
301,3,92,1,1,3196,1
302,3,93,1,1,3079,1
303,3,95,1,1,3078,1
304,3,96,1,1,3076,1
305,3,97,1,1,3140,1
306,3,98,1,1,3141,1
307,3,99,1,1,3147,1
308,3,99,1,2,3147,1
309,3,99,1,3,3147,1
310,3,99,1,4,3147,1
311,3,100,1,1,3142,1
312,3,101,1,1,3143,1
313,3,102,1,1,3128,1
314,3,103,1,1,3145,1
315,3,104,1,1,3329,1
316,3,105,1,1,3194,1
317,3,105,2,1,3194,1
318,3,105,2,2,3194,1
319,3,105,2,3,3194,1
320,3,105,2,4,3194,1
321,3,105,2,5,3194,1
322,3,105,2,6,3194,1
323,3,105,2,7,3194,1
324,3,107,1,1,3195,1
325,3,108,1,1,3148,1
326,3,109,1,1,3149,1
327,3,110,1,1,3150,1
328,3,111,1,1,3208,1
329,3,112,1,1,3152,1
330,3,113,1,1,3153,1
331,3,114,1,1,3154,1
332,3,114,1,2,3154,1
333,3,115,1,1,3155,1
334,3,116,1,1,3156,1
335,3,117,1,1,3157,1
336,3,117,1,2,3157,1
337,3,118,1,1,3158,1
338,3,119,1,1,3159,1
339,3,119,2,1,3159,1
340,3,120,1,1,3160,1
341,3,120,2,1,3337,1
342,3,120,3,1,3337,1
343,3,121,1,1,3161,1
344,3,122,1,1,3162,1
345,3,123,1,1,3163,1
346,3,124,1,1,3164,1
347,3,125,1,1,3165,1
348,3,126,1,1,3166,1
349,3,127,1,1,3167,1
350,3,128,1,1,3168,1
351,3,129,1,1,3169,1
352,3,130,1,1,3170,1
353,3,131,1,1,3171,1
354,3,132,1,1,3172,1
355,3,133,1,1,3173,1
356,3,134,1,1,3174,1
357,3,134,1,2,3174,1
358,3,135,1,1,3175,1
359,3,137,1,1,3176,1
360,3,138,1,1,3177,1
361,3,139,1,1,3356,1
362,3,140,1,1,3179,1
363,3,141,1,1,3180,1
364,3,142,1,1,3181,1
365,3,143,1,1,3182,1
366,3,144,1,1,3183,1
367,3,145,1,1,3184,1
368,3,145,1,1,3184,1
369,3,145,1,1,3184,1
370,3,145,1,1,3184,1
371,3,146,1,1,3185,1
372,3,147,1,1,3186,1
373,3,147,1,2,3186,1
374,3,148,1,1,3187,1
375,3,148,1,2,3187,1
376,3,148,2,1,3187,1
377,3,150,1,1,3189,1
378,3,151,1,1,3190,1
379,3,151,1,2,3190,1
380,3,152,1,1,3357,1
381,3,153,1,1,3108,1
382,3,153,1,2,3109,1
383,3,153,1,3,3110,1
384,3,153,1,4,3111,1
385,3,153,1,5,3112,1
386,3,153,2,1,3113,1
387,3,154,1,1,3342,1
388,3,155,1,1,3341,1
389,3,156,1,1,3336,1
390,3,156,1,2,3344,1
391,3,156,1,3,3344,1
392,3,156,1,4,3339,1
393,3,157,1,1,3343,1
394,3,157,2,1,3343,1
395,3,157,3,1,3343,1
396,3,158,1,1,3347,1
397,3,158,1,2,3347,1
398,3,158,1,3,3347,1
399,3,158,1,4,3347,1
400,3,160,1,1,3354,1
401,3,161,1,1,3353,1
402,3,162,1,1,3346,1
403,3,163,1,3,3107,1
404,3,164,1,1,3154,1
405,3,165,1,1,3348,1
406,3,166,1,1,3361,1
407,3,7001,1,1,3201,1
408,3,7001,2,1,3201,1
409,3,7002,1,1,3202,1
410,3,7002,1,2,3202,1
411,3,7002,1,3,3202,1
412,3,7002,1,4,3202,1
413,3,7002,1,5,3202,1
414,3,7002,1,6,3202,1
415,3,7003,1,1,3203,1
416,3,7004,1,1,3204,1
417,3,7005,1,1,3205,1
418,3,7006,1,1,3206,1
419,3,8001,1,1,3103,1
420,3,8001,1,2,3103,1
421,3,8001,1,3,3103,1
422,3,8001,1,4,3103,1
423,3,8002,1,1,3104,1
424,3,8002,2,1,3104,1
425,3,8002,3,1,3104,1
426,3,8002,4,1,3104,1
427,3,8003,1,1,3105,1
428,3,8004,1,1,3207,1
429,3,8005,1,1,3208,1
430,3,8006,1,1,3209,1
431,3,8007,1,1,3210,1
432,3,8008,1,1,3211,1
433,3,8009,1,1,3212,1
434,3,8010,1,1,3213,1
435,3,8011,1,1,3214,1
436,3,8012,1,1,3215,1
437,3,8013,1,1,3216,1
438,3,8013,1,2,3216,1
439,3,8014,1,1,3217,1
440,3,8015,1,1,3218,1
441,3,8016,1,1,3219,1
442,3,8017,1,1,3220,1
443,3,8018,1,1,3221,1
444,3,8019,1,1,3222,1
445,3,8020,1,1,3223,1
446,3,8021,1,1,3224,1
447,3,8022,1,1,3225,1
448,3,8023,1,1,3226,1
449,3,8024,1,1,3227,1
450,3,8025,1,1,3228,1
451,3,8026,1,1,3229,1
452,3,8027,1,1,3230,1
453,3,8028,1,1,3231,1
454,3,8029,1,1,3232,1
455,3,8030,1,1,3233,1
456,3,8031,1,1,3234,1
457,3,8032,1,1,3235,1
458,3,8033,1,1,3236,1
459,3,8034,1,1,3237,1
460,3,8035,1,1,3238,1
461,3,8036,1,1,3239,1
462,3,8037,1,1,3240,1
463,3,8038,1,1,3241,1
464,3,8039,1,1,3242,1
465,3,8040,1,1,3243,1
466,3,8041,1,1,3244,1
467,3,8042,1,1,3245,1
468,3,8043,1,1,3246,1
469,3,8044,1,1,3247,1
470,3,8045,1,1,3248,1
471,3,8046,1,1,3249,1
472,3,8047,1,1,3331,1
473,3,9001,1,1,3002,1
474,3,9002,1,1,3002,1
475,3,9003,1,1,3002,1
476,3,9994,1,1,3002,1
477,3,9994,1,2,3002,1
478,3,9995,1,2,3350,1
479,3,9998,1,1,3002,1
480,0,0,0,1,3002,1
481,0,0,0,1,3002,1
482,5,0,0,1,3012,1
483,5,0,0,1,3131,1
484,5,0,0,1,3351,1
485,4,1745,0,1,3002,1
486,4,1786,0,1,3002,1
487,4,1696,0,1,3002,1
488,4,2220,0,1,3002,1
489,4,2218,0,1,3002,1
490,4,2577,0,1,3002,1
491,4,3251,0,1,3002,1
492,4,3140,0,1,3002,1
493,4,3141,0,1,3002,1
494,4,3144,0,1,3002,1
495,4,3145,0,1,3002,1
496,4,3142,0,1,3002,1
497,4,3143,0,1,3002,1
498,4,2582,0,1,3002,1
499,4,1859,0,1,3002,1
500,4,1860,0,1,3002,1
501,4,1981,0,1,3002,1
502,4,1699,0,1,3002,1
503,4,3671,0,1,3002,1
504,4,2775,0,1,3002,1
505,3,8002,1,2,3104,1
506,3,22,2,2,3095,1
507,3,57,1,3,3032,1
508,3,136,1,1,3340,1
509,3,32,1,4,3001,1
510,5,0,0,1,3097,1
511,3,156,1,5,3334,1
512,3,156,1,6,3335,1
513,3,156,1,7,3333,1
514,3,156,1,8,3332,1
515,3,9995,1,3,3359,1
516,4,3695,0,1,3002,1
517,4,3697,0,1,3002,1
518,3,167,1,1,3358,1
519,3,149,1,1,3355,1
520,3,9993,1,1,3363,1
521,3,31,1,1,3191,1
522,3,9995,1,4,3350,1
523,3,9995,1,5,3350,1
524,4,3771,0,1,3002,1
525,4,3904,0,1,3002,1
526,3,9995,1,1,3350,1
527,3,8048,1,1,3352,1
528,4,3969,0,1,3002,1
529,4,3976,0,1,3002,1
530,4,3984,0,1,3002,1
531,4,3702,0,1,3002,1
532,4,3989,0,1,3002,1
533,4,4019,0,1,3002,1
534,3,168,1,1,3360,1
535,4,4007,0,1,3002,1
536,4,4012,0,1,3002,1
537,3,7003,1,2,3203,1
538,3,159,1,1,3338,1
539,4,3719,0,1,3002,1
540,4,4083,0,1,3002,1
541,4,4084,0,1,3002,1
542,1,501,1,1,3002,2
543,1,501,1,1,3002,3
544,1,501,1,1,3002,4
545,1,601,1,1,3002,5
546,1,901,1,1,3002,6
547,1,101,1,1,3002,7
548,1,0,1,1,3002,8
549,1,0,1,1,3002,9
550,4,4141,0,1,3002,1
551,3,93,1,2,3079,1
552,3,93,1,3,3079,1
553,3,93,1,4,3079,1
554,3,98,1,2,3141,1
555,3,60,2,2,3125,1
556,3,9994,1,3,3359,1
557,3,174,1,1,3359,1
558,3,175,1,1,3385,1
559,3,65,1,2,3094,1
560,3,65,2,2,3094,1
561,4,4367,0,1,3002,1
562,3,2,3,1,3036,1
563,3,171,1,1,3384,1
564,3,171,1,2,3384,1
565,3,171,1,3,3384,1
566,3,171,1,4,3384,1
567,3,172,1,1,3374,1
568,3,172,1,2,3374,1
569,3,172,1,3,3374,1
570,3,173,1,1,3383,1
571,0,0,0,1,3002,1
572,3,173,1,3,3383,1
573,3,173,1,4,3383,1
574,3,176,1,1,3382,1
575,3,177,1,1,3178,1
576,3,178,1,1,3364,1
577,3,8049,1,1,3366,1
578,3,8050,1,1,3393,1
579,3,8051,1,1,3392,1
580,3,8052,1,2,3365,1
581,3,8053,1,1,3391,1
582,3,8054,1,1,3389,1
583,3,8055,1,1,3390,1
584,3,8056,1,1,3372,1
585,3,8057,1,1,3387,1
586,3,8058,1,1,3388,1
587,3,8059,1,1,3370,1
588,3,42,3,1,3379,1
589,3,178,1,2,3364,1
590,3,178,1,3,3364,1
591,3,16,1,3,3052,1
592,3,46,2,2,3020,1
593,3,54,3,1,3030,1
594,3,168,1,2,3360,1
595,3,180,1,1,3368,1
596,3,180,1,2,3368,1
597,1,101,1,1,3371,10
598,3,179,1,1,3386,1
599,3,179,1,2,3386,1
600,3,181,1,1,3377,1
601,3,182,1,1,3378,1
602,3,182,1,2,3378,1
603,3,183,1,1,3381,1
604,3,60,3,1,3373,2
605,3,29,1,6,3091,1
606,3,41,1,4,3013,1
607,3,43,1,7,3015,1
608,3,55,1,13,3031,1
609,3,76,1,4,3136,1
610,3,87,1,6,3100,1
611,3,93,1,5,3079,1
612,3,153,1,6,3109,1
613,3,156,1,9,3002,1
614,3,156,1,10,3333,1
615,3,184,1,1,3375,1
616,3,185,1,1,3376,1
617,3,186,1,1,3380,1
618,3,7004,1,2,3204,1
619,3,9994,2,1,3002,3
620,3,9994,3,1,3395,2
621,1,101,1,1,3002,11
622,3,9994,1,4,3394,1
623,3,8059,2,1,3370,1
624,3,8059,3,1,3370,1
625,3,8060,1,1,3369,1
626,3,8061,1,1,3369,1
627,3,8062,1,1,3369,1
628,3,27,2,1,3025,1
629,3,106,1,1,3146,1
630,4,4995,0,1,3002,1
631,4,4993,0,1,3002,1
632,4,4994,0,1,3002,1
633,3,187,1,1,3396,1
634,3,8002,5,1,3104,1
635,3,9995,1,6,3350,1
636,3,131,1,2,3171,1
637,1,0,1,1,3002,101
638,3,57,1,6,3032,1
639,3,188,1,1,3397,1
640,3,54,4,1,3030,1
641,3,189,1,1,3398,1
642,3,190,1,1,3399,1
643,3,192,1,1,3401,1
644,3,193,1,1,3402,1
645,3,194,1,1,3403,1
646,3,195,1,1,3404,1
647,3,196,1,1,3405,1
648,3,197,1,1,3406,1
649,3,156,1,11,3334,1
650,3,156,2,1,3002,1
651,5,0,0,1,3030,1
652,3,191,1,1,3400,1
653,3,64,2,1,3093,2
654,3,198,1,1,3407,1
655,3,5,2,1,3087,1
656,3,135,1,2,3175,1
657,3,137,1,2,3176,1
658,3,27,3,1,3409,2
659,3,60,1,3,3125,1
660,3,63,1,4,3107,1
661,3,21,1,8,3097,1
662,3,163,1,1,3107,1
663,3,163,1,2,3107,1
664,3,163,1,4,3107,1
665,3,163,2,1,3107,1
666,3,106,1,2,3146,1
667,3,106,1,3,3146,1
668,3,106,1,4,3146,1
669,3,9995,1,8,3423,1
670,3,199,1,1,3408,1
671,3,199,3,1,3408,1
672,3,199,2,1,3408,1
673,3,56,2,1,3082,1
674,3,58,2,1,3081,1
675,3,41,5,1,3013,1
676,3,156,1,12,3344,1
677,4,5571,0,1,3002,1
678,3,200,1,1,3418,1
679,3,201,1,1,3417,1
680,5,0,0,1,3384,1
681,3,9995,1,7,3422,1
682,3,8063,1,1,3368,1
683,3,8064,1,1,3415,1
684,3,8065,1,1,3419,1
685,3,8066,1,1,3414,1
686,3,8067,1,1,3413,1
687,3,8068,1,1,3412,1
688,3,8069,1,1,3416,1
689,3,46,4,1,3020,2
690,3,55,2,1,3031,1
691,3,16,1,4,3052,1
692,3,131,1,3,3171,1
693,3,194,1,2,3403,1
694,3,195,1,2,3404,1
695,3,9,1,3,3024,1
696,3,9995,2,1,3424,1
697,4,5310,0,1,3002,1
698,3,10,1,4,3037,1
699,3,8054,1,2,3389,1
700,3,8055,1,2,3390,1
701,1,101,1,1,3002,1
702,1,201,1,1,3002,1
703,1,301,1,1,3002,1
704,1,401,1,1,3002,1
705,1,501,1,1,3002,1
706,1,601,1,1,3002,1
707,1,701,1,1,3002,1
708,1,801,1,1,3002,1
709,1,901,1,1,3002,1
710,1,1001,1,1,3002,1
711,1,1101,1,1,3002,1
712,1,1201,1,1,3002,1
713,3,168,1,3,3360,1
714,3,168,1,4,3360,1
715,3,168,1,5,3360,1
716,3,168,1,6,3360,1
717,2,1014,4,1,3410,1
718,3,176,2,1,3426,1
719,3,176,1,2,3426,1
720,3,203,1,1,3428,1
721,3,203,2,1,3427,1
722,2,1010,1,1,3442,1
723,3,202,1,1,3460,1
724,3,84,2,2,3002,1
725,3,205,1,1,3438,1
726,3,206,1,1,3439,1
727,3,141,2,1,3448,2
728,3,39,3,1,3046,1
729,3,39,4,1,3046,1
730,3,183,2,1,3444,1
731,3,146,2,1,3185,1
732,3,23,3,1,3090,1
733,3,43,2,1,3462,1
734,3,43,3,1,3445,2
735,3,183,3,1,3447,2
736,3,9995,1,9,3002,1
737,3,156,1,13,3002,1
738,3,214,1,1,3397,1
739,3,207,1,1,3440,1
740,3,208,1,1,3441,1
741,3,209,1,1,3443,1
742,3,8041,2,1,3244,1
743,3,8041,3,1,3244,1
744,3,8041,4,1,3244,1
745,3,8041,5,1,3244,1
746,3,8041,6,1,3244,1
747,3,8070,1,1,3432,1
748,3,8071,1,1,3434,1
749,3,8072,1,1,3419,1
750,3,8073,1,1,3419,1
751,3,8074,1,1,3419,1
752,3,8075,1,1,3431,1
753,3,8076,1,1,3435,1
754,3,8077,1,1,3430,1
755,3,8078,1,1,3429,1
756,3,8079,1,1,3433,1
757,3,88,2,1,3075,1
758,3,88,3,1,3075,1
759,3,88,4,1,3075,1
760,3,88,5,1,3075,1
761,3,88,6,1,3075,1
762,3,42,4,1,3124,1
763,3,115,1,1,3461,1
764,3,204,1,1,3002,1
765,3,210,1,1,3436,1
766,3,211,1,1,3437,1
767,3,54,5,1,3030,1
768,3,212,1,1,3458,1
769,3,213,1,1,3459,1
770,3,29,1,7,3091,1
771,3,29,1,8,3091,1
772,3,173,1,2,3383,1
773,2,1008,1,2,3120,1
774,2,1014,5,1,3446,1
775,3,12,1,2,3197,1
776,3,43,2,2,3015,1
777,3,46,3,2,3020,2
778,3,49,1,2,3023,1
779,3,72,1,2,3193,1
780,3,73,1,2,3133,1
781,3,141,1,2,3180,1
782,3,150,1,2,3189,1
783,3,156,1,14,3002,1
784,3,156,1,15,3002,1
785,3,156,1,16,3002,1
786,3,156,1,17,3002,1
787,3,156,1,18,3002,1
788,3,156,1,19,3002,1
789,3,156,1,20,3002,1
790,3,9994,1,5,3002,1
791,3,9995,1,10,3350,1
792,2,1018,1,1,3456,1
793,2,1019,1,1,3457,1
794,3,64,3,1,3463,1
795,2,1003,5,1,3464,1
796,3,8080,1,1,3419,1
797,3,8081,1,1,3419,1
798,3,8082,1,1,3451,1
799,3,8083,1,1,3450,1
800,3,8084,1,1,3451,1
801,3,8085,1,1,3451,1
802,3,8086,1,1,3449,1
803,3,8087,1,1,3451,1
804,3,8088,1,1,3452,1
805,3,8089,1,1,3240,1
806,3,8090,1,1,3454,1
807,3,8091,1,1,3453,1
808,3,8092,1,1,3441,1
809,3,8093,1,1,3416,1
810,3,188,1,2,3397,1
811,2,1011,1,1,3360,1
812,2,1011,1,2,3360,1
813,2,1011,1,3,3360,1
814,2,1013,1,1,3098,102
815,3,91,2,2,3083,1
816,3,8075,2,1,3431,1
817,3,168,1,7,3360,1
818,3,168,1,8,3360,1
819,3,213,1,2,3002,1
820,3,46,5,1,3020,2
821,3,9995,3,1,3002,1
822,3,70,2,1,3002,1
823,3,215,1,1,3002,1
824,3,215,2,1,3002,1
825,2,1009,9,1,3002,1
826,3,46,2,3,3020,1
827,0,0,0,1,3002,1
828,0,0,0,1,3002,1
829,0,0,0,1,3002,1
830,0,0,0,1,3002,1
