Index,0 [INT] [0x0],1 [UBYTE] [0x40],2 [INT] [0x4],3 [UBYTE] [0x41],4 [INT] [0x8],5 [UBYTE] [0x42],6 [INT] [0xC],7 [UBYTE] [0x43],8 [INT] [0x10],9 [UBYTE] [0x44],10 [INT] [0x14],11 [UBYTE] [0x45],12 [INT] [0x18],13 [UBYTE] [0x46],14 [INT] [0x1C],15 [UBYTE] [0x47],16 [INT] [0x20],17 [UBYTE] [0x48],18 [INT] [0x24],19 [UBYTE] [0x49],20 [INT] [0x28],21 [UBYTE] [0x4A],22 [INT] [0x2C],23 [UBYTE] [0x4B],24 [UBYTE] [0x4C],25 [USHORT] [0x30],26 [BOOL] [0x4D],27 [USHORT] [0x32],28 [USHORT] [0x34],29 [USHORT] [0x36],30 [USHORT] [0x38],31 [USHORT] [0x3A],32 [USHORT] [0x3C],33 [USHORT] [0x3E],34 [BOOL] [0x4E],35 [BOOL] [0x4F]
10,1,5,2328,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
11,1,5,2341,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
12,1,5,2367,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
13,1,6,2507,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
14,1,6,2481,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
15,1,7,1603,1,5056,1,5275,1,5432,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
16,1,7,2392,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
17,1,7,1751,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
18,1,8,2520,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
19,1,8,2417,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
20,1,9,1752,1,1750,1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,150,75,100,0,0,0,0,false,true
21,1,9,2329,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
22,1,10,2356,1,5056,2,5276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
23,1,10,2381,1,5056,1,5091,1,4856,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
24,1,10,2482,1,5056,2,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
25,1,10,2342,1,5056,1,5324,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
26,1,10,2393,1,5056,1,5091,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
27,1,11,2431,1,5056,1,5364,1,5483,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
28,1,11,2560,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
29,1,11,2368,1,5056,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
30,1,11,2521,1,5056,1,5324,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
31,1,11,2418,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
32,1,12,2508,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
33,1,12,2534,1,5056,1,5364,1,5503,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
34,1,12,2316,1,5056,1,5091,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
35,1,12,2547,1,5056,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
36,1,12,2394,1,2393,1,5091,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,150,75,100,0,0,0,0,false,true
37,1,13,1684,1,5056,2,5276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
38,1,13,1605,1,5056,1,5276,1,5434,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
39,1,14,1753,1,5056,3,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
40,1,14,2419,1,2417,1,5258,1,5063,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,150,75,100,0,0,0,0,false,true
41,1,15,2343,1,5056,1,5325,1,5364,1,5483,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
42,1,15,2369,1,5056,1,5071,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
43,1,16,5057,1,5111,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,false,50,100,58,0,0,0,0,true,true
44,1,16,2522,1,2520,1,5276,1,5352,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,150,75,100,0,0,0,0,false,true
45,1,16,1607,1,1602,1,5063,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,150,75,100,0,0,0,0,false,true
46,1,16,2317,1,2316,1,5091,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,150,75,100,0,0,0,0,false,true
47,1,16,1686,1,1684,1,5063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,150,75,100,0,0,0,0,false,true
48,1,17,1754,1,5057,2,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
49,1,17,2548,1,5057,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
50,1,17,1756,1,5057,2,5367,1,5276,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
51,1,18,5092,1,5057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,false,50,100,58,0,0,0,0,true,true
52,1,18,2344,1,5057,1,5325,1,5367,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
53,1,18,2395,1,5057,1,5092,1,5367,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
54,1,18,2370,1,5057,1,5367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
55,1,19,2433,1,5057,1,5367,1,4856,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
56,1,19,2549,1,5057,1,5367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
57,1,19,2420,1,5057,1,5364,1,5259,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
58,1,19,2536,1,5057,1,5367,1,5504,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
59,1,20,1609,1,1603,1,5063,1,5277,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,150,75,100,0,0,0,0,false,true
60,1,20,2523,1,5057,1,5325,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
61,1,20,2318,1,5057,1,5092,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
62,1,20,2331,1,5057,1,5367,1,5483,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,100,100,100,0,0,0,0,true,true
63,1,20,1611,1,1607,1,5277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,true,150,75,100,0,0,0,0,false,true
64,1,21,2510,1,5057,1,5367,1,5259,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
65,1,21,2562,1,5057,1,5367,1,5259,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
66,1,21,2484,1,5057,2,5367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
67,1,21,1758,1,1754,1,5057,1,5063,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,150,75,100,0,0,0,0,false,true
68,1,21,2345,1,5057,1,5325,1,5368,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
69,1,21,2396,1,5057,1,5092,1,5368,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
70,1,21,2371,1,5057,1,5368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
71,1,22,2358,1,5057,2,5277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
72,1,22,2383,1,5057,1,5092,1,4856,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
73,1,22,2524,1,5057,1,5325,1,5367,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
74,1,22,1614,1,5057,2,5367,1,5277,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
75,1,23,2537,1,5057,1,5367,1,5504,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
76,1,23,2434,1,5057,1,5368,1,4856,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
77,1,23,1694,1,5072,1,5057,1,5277,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,true,100,100,100,0,0,0,0,true,true
78,1,24,1764,1,5057,2,5368,1,4856,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,100,100,100,0,0,0,0,true,true
79,1,24,2550,1,2549,1,5063,1,4856,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,150,75,100,0,0,0,0,false,true
80,1,24,2319,1,5057,1,5092,1,5367,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,100,100,100,0,0,0,0,true,true
81,1,24,2332,1,5057,1,5368,1,5484,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,100,100,100,0,0,0,0,true,true
82,1,24,2485,1,5057,2,5368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,100,100,100,0,0,0,0,true,true
83,1,25,2421,1,5057,1,5368,1,5259,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,100,100,100,0,0,0,0,true,true
84,1,25,1622,1,5057,1,5277,1,5435,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,100,100,100,0,0,0,0,true,true
85,1,25,2511,1,5057,1,5368,1,5259,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,100,100,100,0,0,0,0,true,true
86,1,25,2563,1,5057,1,5368,1,5259,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,100,100,100,0,0,0,0,true,true
87,1,26,5058,1,5528,1,5111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,false,50,100,58,0,0,0,0,true,true
88,1,26,2397,1,2396,1,5092,1,5063,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,150,75,100,0,0,0,0,false,true
89,1,26,2372,1,5057,1,5072,1,5371,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,100,100,100,0,0,0,0,true,true
90,1,26,2346,1,5057,1,5325,1,5371,1,4856,1,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,100,100,100,0,0,0,0,true,true
91,1,26,1766,1,1758,1,5057,1,5064,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,true,150,75,100,0,0,0,0,false,true
92,1,27,2359,1,5057,2,5280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,true,100,100,100,0,0,0,0,true,true
93,1,27,2384,1,5057,1,5092,1,5484,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,true,100,100,100,0,0,0,0,true,true
94,1,27,2525,1,5057,1,5072,1,5371,1,5277,1,0,0,0,0,0,0,0,0,0,3,3,2,0,0,true,100,100,100,0,0,0,0,true,true
95,1,28,1625,1,5058,1,5371,1,5444,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,true,100,100,100,0,0,0,0,true,true
96,1,28,2320,1,5057,1,5092,1,5371,1,5063,1,0,0,0,0,0,0,0,0,0,3,3,2,0,0,true,100,100,100,0,0,0,0,true,true
97,1,28,1769,1,5058,3,5371,1,5280,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,true,100,100,100,0,0,0,0,true,true
98,1,29,5093,1,5058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0,0,0,false,50,100,58,0,0,0,0,true,true
99,1,29,2422,1,5057,1,5371,1,5259,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,true,100,100,100,0,0,0,0,true,true
100,1,29,2551,1,5057,1,5371,1,5359,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,true,100,100,100,0,0,0,0,true,true
101,1,29,2347,1,2346,1,5057,1,4856,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,true,150,75,100,0,0,0,0,false,true
102,1,29,1699,1,5073,1,5058,1,5371,1,5504,1,0,0,0,0,0,0,0,0,0,3,3,2,0,0,true,100,100,100,0,0,0,0,true,true
103,1,29,2373,1,2372,1,5371,1,5280,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,true,150,75,100,0,0,0,0,false,true
104,1,30,2398,1,5058,1,5093,1,5371,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
105,1,30,2526,1,5058,1,5326,1,5371,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
106,1,30,2539,1,5058,1,5371,1,5504,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
107,1,30,2423,1,2422,1,5259,1,5064,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,150,75,100,0,0,0,0,false,true
108,1,30,2321,1,5058,1,5093,1,5371,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
109,1,31,2436,1,5058,1,5371,1,5484,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
110,1,31,2334,1,5058,1,5371,1,5484,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
111,1,31,1633,1,5058,2,5371,1,5260,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
112,1,32,2513,1,5058,1,5371,1,5260,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
113,1,32,1776,1,5058,2,5405,1,5444,1,5504,1,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
114,1,32,2487,1,5058,2,5371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
115,1,32,2348,1,5058,1,5326,1,5371,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
116,1,32,2399,1,5058,1,5093,1,5371,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,true,100,100,100,0,0,0,0,true,true
117,1,33,2565,1,5058,1,5371,1,5260,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,100,100,100,0,0,0,0,true,true
118,1,33,2540,1,2539,1,5504,1,5282,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,150,75,100,0,0,0,0,false,true
119,1,35,2553,1,5058,1,5368,1,5359,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,100,100,100,0,0,0,0,true,true
120,1,33,2527,1,5058,1,5073,1,5373,1,5326,1,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,100,100,100,0,0,0,0,true,true
121,1,34,2361,1,5058,2,5280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,100,100,100,0,0,0,0,true,true
122,1,34,2374,1,5058,1,5373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,100,100,100,0,0,0,0,true,true
123,1,34,2349,1,5058,1,5326,1,5373,1,5485,1,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,100,100,100,0,0,0,0,true,true
124,1,33,2552,1,5058,1,5373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,100,100,100,0,0,0,0,true,true
125,1,35,2386,1,5058,1,5093,1,5485,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,100,100,100,0,0,0,0,true,true
126,1,35,2322,1,5058,1,5093,1,5373,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,100,100,100,0,0,0,0,true,true
127,1,35,1778,1,5058,2,5373,1,5057,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,100,100,100,0,0,0,0,true,true
128,1,35,2514,1,5058,1,5373,1,5260,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,100,100,100,0,0,0,0,true,true
129,1,35,2488,1,2487,1,5371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,150,75,100,0,0,0,0,false,true
130,1,35,2566,1,2565,1,5260,1,5282,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,true,150,75,100,0,0,0,0,false,true
131,1,36,2424,1,5058,1,5373,1,5260,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,true,100,100,100,0,0,0,0,true,true
132,1,36,2335,1,2334,1,5282,1,5485,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,true,150,75,100,0,0,0,0,false,true
133,1,36,2437,1,2436,1,5280,1,5485,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,true,150,75,100,0,0,0,0,false,true
134,1,37,1639,1,5058,2,5371,1,5504,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,true,100,100,100,0,0,0,0,true,true
135,1,38,5065,1,5114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0,0,false,50,100,50,0,0,0,0,true,true
136,1,38,2528,1,5065,1,5327,1,5373,1,5360,1,0,0,0,0,0,0,0,0,0,4,3,4,0,0,true,100,100,100,0,0,0,0,true,true
137,1,38,1643,1,5065,1,5373,1,5444,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,true,100,100,100,0,0,0,0,true,true
138,1,38,2554,1,5065,1,5373,1,5063,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,true,100,100,100,0,0,0,0,true,true
139,1,39,5099,1,5065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0,0,0,false,50,100,50,0,0,0,0,true,true
140,1,39,1781,1,5058,3,5373,1,5282,1,5065,1,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
141,1,39,1711,1,5079,1,5065,1,5373,1,5504,1,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
142,1,39,2425,1,5065,1,5373,1,5260,1,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
143,1,39,2323,1,5065,1,5099,1,5373,1,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
144,1,40,2400,1,5065,1,5099,1,5373,1,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
145,1,40,1786,1,5065,2,5371,1,5066,1,5058,1,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
146,1,40,2439,1,5065,1,5373,1,5485,1,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
147,1,40,2337,1,5065,1,5373,1,5485,1,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
148,1,40,2363,1,5065,2,5282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
149,1,41,2516,1,5065,1,5374,1,5262,1,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
150,1,41,2568,1,5065,1,5374,1,5262,1,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
151,1,41,2490,1,5065,2,5374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
152,1,41,2542,1,5065,1,5373,1,5505,1,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,true,100,100,100,0,0,0,0,true,true
153,1,42,5059,1,5116,2,5111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0,0,0,false,50,100,50,0,0,0,0,true,true
154,1,42,2388,1,5065,1,5099,1,5485,1,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,true,100,100,100,0,0,0,0,true,true
155,1,43,5094,1,5059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0,0,0,false,50,100,50,0,0,0,0,true,true
156,1,42,1657,1,5059,2,5373,1,5282,1,5066,1,0,0,0,0,0,0,0,0,0,5,3,5,0,0,true,100,100,100,0,0,0,0,true,true
157,1,42,1723,1,5059,2,5282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,true,100,100,100,0,0,0,0,true,true
158,1,43,1659,1,5059,2,5436,1,5262,1,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,true,100,100,100,0,0,0,0,true,true
159,1,43,1796,1,5059,2,5414,1,5505,1,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,true,100,100,100,0,0,0,0,true,true
160,1,45,1801,1,5059,2,5374,1,5196,1,5058,1,0,0,0,0,0,0,0,0,0,6,3,5,0,0,true,100,100,100,0,0,0,0,true,true
161,1,45,2352,1,2351,1,5376,1,5282,1,5486,1,0,0,0,0,0,0,0,0,0,6,3,5,0,0,true,150,75,100,0,0,0,0,false,true
162,1,46,2325,1,5059,1,5094,1,5376,1,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,true,100,100,100,0,0,0,0,true,true
163,1,46,2427,1,5059,1,5066,1,5376,1,5262,1,0,0,0,0,0,0,0,0,0,6,3,5,0,0,true,100,100,100,0,0,0,0,true,true
164,1,47,2402,1,5059,1,5094,1,5376,1,5183,1,5066,1,0,0,0,0,0,0,0,6,3,5,0,0,true,100,100,100,0,0,0,0,true,true
165,1,47,2377,1,5059,1,5074,1,5376,1,5094,1,0,0,0,0,0,0,0,0,0,6,3,5,0,0,true,100,100,100,0,0,0,0,true,true
166,1,48,2530,1,5059,1,5074,1,5376,1,5282,1,0,0,0,0,0,0,0,0,0,6,3,6,0,0,true,100,100,100,0,0,0,0,true,true
