Index,0 Name [0x0],1 Description [0x4],2 Icon [0x8],3 Category (ActionCategory) [0x1C],4 Start Timeline (ActionTimeline) [0xA],5 [UBYTE] [0x1D],6 End Timeline (ActionTimeline) [0x1A],7 [USHORT] [0xC],8 [UBYTE] [0x1E],9 [BYTE] [0x2C],10 [UBYTE] [0x1F],11 [BYTE] [0x2D],12 [BBOOL] [0x30],13 [BBOOL] [0x30],14 [BBOOL] [0x30],15 [BBOOL] [0x30],16 [BBOOL] [0x30],17 [BBOOL] [0x30],18 [BBOOL] [0x30],19 [BBOOL] [0x30],20 [BBOOL] [0x31],21 [BYTE] [0x2E],22 [BBOOL] [0x31],23 [BBOOL] [0x31],24 [UBYTE] [0x20],25 [UBYTE] [0x21],26 [UBYTE] [0x22],27 [BBOOL] [0x31],28 [UBYTE] [0x23],29 [USHORT] [0xE],30 [UBYTE] [0x24],31 [USHORT] [0x10],32 [USHORT] [0x12],33 [BBOOL] [0x31],34 [USHORT] [0x14],35 [USHORT] [0x16],36 [UBYTE] [0x25],37 [BYTE] [0x2F],38 [UBYTE] [0x26],39 [UBYTE] [0x27],40 [USHORT] [0x18],41 [UBYTE] [0x28],42 [UBYTE] [0x29],43 [UBYTE] [0x2A],44 [BBOOL] [0x31],45 [BBOOL] [0x31],46 [UBYTE] [0x2B],47 [BBOOL] [0x31],48 [BBOOL] [0x32],49 [BBOOL] [0x32],50 [BBOOL] [0x32],51 [BBOOL] [0x32],52 [BBOOL] [0x32],53 [BBOOL] [0x32],54 [BBOOL] [0x32],55 [BBOOL] [0x32]
10,"铁壁","一定时间内，将自身所受的伤害减轻<if(PLYR: 73 >= 15 ) {<if(PLYR: 69 == 2 ) { 21 } else {<if(PLYR: 69 == 20 ) { 21 } else { 11 }>}>} else { 11 }>%<br><color?>持续时间：</color>20秒",202,4,0,0,369,1875,0,1,2,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,5,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true
11,"狂怒剑","对目标发动物理攻击　<color?>威力：</color>100<br><color?>追加效果：</color>提升仇恨<br><color?>连击条件：</color>先锋剑　<color?>连击中威力：</color>200",207,3,0,0,311,1875,206,1,4,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,9,false,0,25,58,-1,7,0,0,0,39,2,false,false,0,false,false,false,true,true,true,false,false,true
12,"渐愈","一定时间内，自身所受的治疗魔法效果提高<if(PLYR: 73 >= 33 ) {<if(PLYR: 69 == 2 ) { 31 } else {<if(PLYR: 69 == 20 ) { 31 } else { 21 }>}>} else { 21 }>%<br><color?>持续时间：</color>20秒",212,4,0,0,370,1875,0,1,10,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,7,0,0,0,0,0,37,1,false,false,0,false,false,false,true,true,true,false,false,true
13,"警觉","一定时间内不会受到暴击<br><color?>持续时间：</color><if(PLYR: 73 >= 45 ) {<if(PLYR: 69 == 2 ) { 26 } else {<if(PLYR: 69 == 20 ) { 26 } else { 16 }>}>} else { 16 }>秒",213,4,0,0,371,1875,0,1,34,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,8,0,0,0,0,0,37,1,false,false,0,false,false,false,true,true,true,false,false,true
14,"闪光","令自身周围的敌人对自己的仇恨上升<if(PLYR: 73 >= 21 ) {<if(PLYR: 69 == 2 ) {<br><color?>追加效果：</color>失明　<color?>持续时间：</color>12秒} else {<if(PLYR: 69 == 20 ) {<br><color?>追加效果：</color>失明　<color?>持续时间：</color>12秒} else {}>}>} else {}>",209,2,102,85,441,1875,0,1,8,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,3,8,0,0,0,true,0,25,58,5,7,0,0,0,37,1,true,false,0,false,false,false,true,true,true,false,false,true
15,"暴乱剑","对目标发动物理攻击　<color?>威力：</color>100<br><color?>连击条件：</color>先锋剑　<color?>连击中威力：</color>230<br><color?>连击成功：</color>恢复自身魔力",206,3,0,0,317,1875,0,1,12,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,80,0,0,9,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,false,true,true,true,false,false,true
16,"盾牌猛击","对目标发动物理攻击　<color?>威力：</color>110<br><color?>追加效果：</color>眩晕　<color?>持续时间：</color><if(PLYR: 73 >= 37 ) {<if(PLYR: 69 == 2 ) { 7 } else {<if(PLYR: 69 == 20 ) { 7 } else { 4 }>}>} else { 4 }>秒<if(PLYR: 73 >= 37 ) {<if(PLYR: 69 == 2 ) {<br><color?>※对战区域内的持续时间：</color>4秒} else {<if(PLYR: 69 == 20 ) {<br><color?>※对战区域内的持续时间：</color>4秒} else {}>}>} else {}>",204,3,0,0,315,1875,0,1,18,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,150,39,0,0,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,false,true,true,true,false,false,true
17,"预警","一定时间内，将自身所受的伤害减轻<if(PLYR: 73 >= 49 ) {<if(PLYR: 69 == 2 ) { 41 } else {<if(PLYR: 69 == 20 ) { 41 } else { 31 }>}>} else { 31 }>%<br><color?>持续时间：</color>10秒",201,4,0,0,372,1875,0,1,38,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1800,10,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true
18,"挑衅","向目标进行挑衅，令目标对自身的仇恨变为最高",215,4,0,0,373,1875,0,1,22,25,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,400,3,0,0,0,0,0,37,2,false,false,0,false,false,false,true,true,true,false,false,true
19,"钢铁意志","解除自身所中的止步及加重效果<br>并且在一定时间内令击退与吸引效果失效<br><color?>持续时间：</color>10秒",203,4,0,0,374,1875,0,1,42,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1800,11,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true
20,"战逃反应","一定时间内，自身发动物理攻击造成的伤害提高30%<br><color?>持续时间：</color><if(PLYR: 73 >= 29 ) {<if(PLYR: 69 == 2 ) { 31 } else {<if(PLYR: 69 == 20 ) { 31 } else { 21 }>}>} else { 21 }>秒",216,4,0,0,376,1875,0,1,6,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,6,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true
21,"战女神之怒","对目标发动物理攻击　<color?>威力：</color>100<br><color?>追加效果：</color>提升仇恨<br><color?>连击条件：</color>狂怒剑　<color?>连击中威力：</color>260<br><color?>连击成功：</color>令目标的力量降低<if(PLYR: 73 >= 41 ) {<if(PLYR: 69 == 2 ) { 11 } else {<if(PLYR: 69 == 20 ) { 11 } else { 6 }>}>} else { 6 }>%<br><color?>持续时间：</color>20秒",205,3,0,0,312,1875,0,1,26,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,11,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,false,true,true,true,false,false,true
22,"壁垒","一定时间内，自身的格挡发动率提高60%<br><color?>持续时间：</color>15秒",217,4,0,0,377,1875,0,1,46,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1800,12,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true
23,"厄运流转","对自身周围的敌人发动范围物理攻击　<color?>威力：</color>100<br><color?>追加效果：</color>提升仇恨<br><color?>追加效果：</color>持续伤害<br><color?>威力：</color>30　<color?>持续时间：</color>15秒",211,4,0,0,313,1892,0,1,50,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,0,0,0,0,0,true,0,250,1,-1,7,0,0,0,38,2,false,false,0,false,false,false,true,true,true,false,false,true
24,"投盾","对目标发动远距离物理攻击　<color?>威力：</color>120<br><color?>追加效果：</color>提升仇恨<br>",214,3,0,0,316,1875,0,1,15,15,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,120,39,0,0,false,0,25,58,-1,7,0,0,72,38,2,false,false,0,false,false,false,true,true,true,false,false,true
25,"盾牌重击","对目标发动物理攻击　<color?>威力：</color>210<br><color?>追加效果：</color>战技封印　<color?>持续时间：</color>6秒<br><color?>发动条件：</color>格挡之后",210,3,0,0,318,1875,0,1,30,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,40,2,0,0,true,0,25,58,-1,7,0,0,73,38,2,false,false,0,false,false,false,true,true,true,false,false,true
26,"忠义之剑","令自动攻击附加追加伤害　<color?>威力：</color>50<br>无法与<color #FF7B1A>“忠义之盾”</color>同时使用<br>再次发动时则取消该状态　<color?>持续时间：</color>永久",3004,2,102,90,442,1875,0,19,30,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,3,10,0,0,0,false,0,25,58,0,0,0,78,31,20,1,true,false,0,false,false,false,true,true,true,false,false,true
27,"保护","替目标队员承受下敌人的物理攻击<br><color?>发动条件：</color>与目标的距离不超过10米<br><color?>持续时间：</color>12秒",3001,4,0,0,375,1887,0,19,35,10,false,true,false,false,false,false,false,false,false,0,true,false,1,0,0,false,0,0,0,0,0,true,0,1200,9,0,0,0,0,32,20,1,false,false,0,false,false,false,true,true,true,false,false,true
28,"忠义之盾","令自身所受到的伤害减少20%，同时提升自身仇恨<br>代价为攻击造成的伤害降低20%<br>无法与<color #FF7B1A>“忠义之剑”</color>同时使用<br>再次发动时则取消该状态　<color?>持续时间：</color>永久",3005,2,102,90,443,1875,0,19,40,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,3,10,0,0,0,false,0,25,58,0,0,0,79,33,20,1,true,false,0,false,false,false,true,true,true,false,false,true
29,"深奥之灵","对目标发动物理攻击　<color?>威力：</color>300<br>自身剩余体力越高威力越大<br><color?>追加效果：</color>沉默　<color?>持续时间：</color>1秒",3003,4,0,0,314,1875,0,19,45,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,300,2,-1,7,0,0,34,20,2,false,false,0,false,false,false,true,true,true,false,false,true
30,"神圣领域","一定时间内，除特定攻击之外其他所有对自身发动的攻击均无效<br><color?>持续时间：</color>10秒",3002,4,0,0,378,1875,0,19,50,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,4200,14,0,0,0,0,35,20,1,false,false,0,false,false,false,true,true,true,false,false,true
31,"重劈","对目标发动物理攻击　<color?>威力：</color>150",410,3,0,0,319,1875,202,3,1,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,70,0,0,0,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true
32,"预见","一定时间内，自身的物理防御力提高20%<br><color?>持续时间：</color>20秒",402,4,0,0,379,1875,0,3,2,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,8,0,0,0,0,0,43,1,false,false,0,false,false,false,true,true,true,false,false,true
33,"碎骨打","对目标发动物理攻击　<color?>威力：</color>100<br><color?>追加效果：</color>持续伤害<br><color?>威力：</color>20　<color?>持续时间：</color><if(PLYR: 73 >= 29 ) {<if(PLYR: 69 == 4 ) { 31 } else {<if(PLYR: 69 == 22 ) { 31 } else { 19 }>}>} else { 19 }>秒",406,3,0,0,321,1875,204,3,6,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,80,0,0,0,false,0,25,58,-1,7,0,0,0,45,2,false,false,0,false,false,false,true,true,true,false,false,true
34,"浴血","一定时间内，将自身物理攻击所造成伤害的25%转化为自身的体力<br><color?>持续时间：</color><if(PLYR: 73 >= 21 ) {<if(PLYR: 69 == 4 ) { 31 } else {<if(PLYR: 69 == 22 ) { 31 } else { 16 }>}>} else { 16 }>秒",401,4,0,0,380,1875,0,3,8,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,5,0,0,0,0,0,43,1,false,false,0,false,false,false,true,true,true,false,false,true
35,"裂骨斩","对目标发动物理攻击　<color?>威力：</color>100<br><color?>追加效果：</color>提升仇恨<br><color?>连击条件：</color>重劈　<color?>连击中威力：</color>200<if(PLYR: 73 >= 31 ) {<if(PLYR: 69 == 22 ) {<br><color?>“守护”状态中连击成功：</color>自身附加<color #FF7B1A>“愤怒”</color>状态<br><color?>持续时间：</color>30秒} else {}>} else {}>",407,3,0,0,320,1875,203,3,4,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,31,false,0,25,58,-1,7,0,0,0,45,2,false,false,0,false,false,false,true,true,true,false,false,true
36,"慈悲杀","对目标发动物理攻击　<color?>威力：</color>200<br>用该技能打倒敌人时会恢复自身最大体力的20%<br><color?>发动条件：</color>目标体力低于20%",415,4,0,0,381,1875,0,3,26,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,6,0,0,true,0,900,6,-1,7,0,0,0,43,2,false,false,0,false,false,false,true,true,true,false,false,true
37,"凶残裂","对目标发动物理攻击　<color?>威力：</color>100<br><color?>连击条件：</color>重劈　<color?>连击中威力：</color>190<br><color?>连击成功：</color>自身发动攻击造成的伤害提高20%<br><color?>持续时间：</color><if(PLYR: 73 >= 49 ) {<if(PLYR: 69 == 4 ) { 25 } else {<if(PLYR: 69 == 22 ) { 25 } else { 19 }>}>} else { 19 }>秒<if(PLYR: 73 >= 31 ) {<if(PLYR: 69 == 22 ) {<br><color?>“守护”状态中连击成功：</color>自身附加<color #FF7B1A>“愤怒”</color>状态<br><color?>持续时间：</color>30秒} else {}>} else {}>",405,3,0,0,322,1875,0,3,18,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,31,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true
38,"狂暴","一定时间内，自身物理攻击力提高50%　<color?>持续时间：</color><if(PLYR: 73 >= 37 ) {<if(PLYR: 69 == 4 ) { 21 } else {<if(PLYR: 69 == 22 ) { 21 } else { 16 }>}>} else { 16 }>秒<br>效果结束时对自身附加<color #FF7B1A>“战技封印”</color>状态<br><color?>持续时间：</color>5秒　<if(PLYR: 73 >= 31 ) {<if(PLYR: 69 == 22 ) {<br><color?>“守护”状态中追加效果：</color>自身附加<color #FF7B1A>“愤怒”</color>状态<br><color?>持续时间：</color>30秒} else {}>} else {}>",409,4,0,0,382,1875,0,3,22,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,7,0,0,0,0,0,44,1,false,false,0,false,false,false,true,true,true,false,false,true
39,"残暴斧","对目标发动物理攻击　<color?>威力：</color>100<br><color?>追加效果：</color>眩晕　<color?>持续时间：</color><if(PLYR: 73 >= 33 ) {<if(PLYR: 69 == 4 ) { 6 } else {<if(PLYR: 69 == 22 ) { 6 } else { 4 }>}>} else { 4 }>秒<if(PLYR: 73 >= 33 ) {<if(PLYR: 69 == 4 ) {<br><color?>※对战区域内的持续时间：</color>3秒} else {<if(PLYR: 69 == 22 ) {<br><color?>※对战区域内的持续时间：</color>3秒} else {}>}>} else {}>",403,4,0,0,324,1875,0,3,10,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,200,2,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true
40,"战栗","一定时间内，自身的最大体力提高<if(PLYR: 73 >= 45 ) {<if(PLYR: 69 == 4 ) { 21 } else {<if(PLYR: 69 == 22 ) { 21 } else { 11 }>}>} else { 11 }>%<br>发动时恢复最大体力的<if(PLYR: 73 >= 45 ) {<if(PLYR: 69 == 4 ) { 21 } else {<if(PLYR: 69 == 22 ) { 21 } else { 11 }>}>} else { 11 }>%<br><color?>持续时间：</color>20秒",413,4,0,0,383,1875,0,3,34,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,9,0,0,0,0,0,44,1,false,false,0,false,false,false,true,true,true,false,false,true
41,"超压斧","向目标所在方向发出扇形范围攻击　<color?>威力：</color>120<br><color?>追加效果：</color>提升仇恨",404,3,0,0,309,1940,0,3,12,8,false,false,false,true,false,false,false,false,false,0,true,true,3,8,0,true,5,130,0,0,0,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true
42,"暴风斩","对目标发动物理攻击　<color?>威力：</color>100<br><color?>连击条件：</color>凶残裂　<color?>连击中威力：</color>250<br><color?>连击成功：</color>恢复伤害量50%的体力<br><color?>连击成功：</color>目标的攻击伤害降低10%<br><color?>持续时间：</color>20秒<if(PLYR: 73 >= 31 ) {<if(PLYR: 69 == 22 ) {<br><color?>“守护”状态中连击成功：</color>自身附加<color #FF7B1A>“愤怒”</color>状态<br><color?>持续时间：</color>30秒} else {}>} else {}>",408,3,0,0,323,1875,0,3,38,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,37,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true
43,"死斗","将目标拉向自身，同时禁止自身和目标的移动　<color?>持续时间：</color>6秒<br>效果中除特定攻击之外其他所有对自身发动的攻击均无法令体力减少到1以下",416,4,0,0,385,1875,0,3,42,6,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,1800,12,0,0,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true
44,"复仇","一定时间内，令自身所受到的伤害减少30%，同时受到物理攻击时会给与对方反击伤害<br><color?>威力：</color>50　<color?>持续时间：</color>15秒<if(PLYR: 73 >= 31 ) {<if(PLYR: 69 == 22 ) {<br><color?>“守护”状态中追加效果：</color>自身附加<color #FF7B1A>“愤怒”</color>状态<br><color?>持续时间：</color>30秒} else {}>} else {}>",417,4,0,0,388,1875,0,3,46,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,10,0,0,0,0,0,44,1,false,false,0,false,false,false,true,true,true,false,false,true
45,"暴风碎","对目标发动物理攻击　<color?>威力：</color>100<br><color?>连击条件：</color>凶残裂　<color?>连击中威力：</color>270<br><color?>连击成功：</color>令目标的斩击耐性降低10%<br>同时目标所受到的治疗魔法效果减少20%<br><color?>持续时间：</color>20秒<br>无法与双剑师的炫舞刃效果叠加<if(PLYR: 73 >= 31 ) {<if(PLYR: 69 == 22 ) {<br><color?>“守护”状态中连击成功：</color>自身附加<color #FF7B1A>“愤怒”</color>状态<br><color?>持续时间：</color>30秒} else {}>} else {}>",414,3,0,0,329,1875,0,3,50,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,37,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true
46,"飞斧","对目标发动远距离物理攻击　<color?>威力：</color>130<br><color?>追加效果：</color>提升仇恨",411,3,0,0,328,1875,0,3,15,15,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,120,0,0,0,false,0,25,58,-1,7,0,0,74,44,2,false,false,0,false,false,false,true,true,true,false,false,true
47,"寒风斧","对目标发动物理攻击　<color?>威力：</color>100<br><color?>追加效果：</color>提升仇恨<br><color?>连击条件：</color>裂骨斩　<color?>连击中威力：</color>280<if(PLYR: 73 >= 31 ) {<if(PLYR: 69 == 22 ) {<br><color?>“守护”状态中连击成功：</color>自身附加<color #FF7B1A>“愤怒”</color>状态<br><color?>持续时间：</color>30秒} else {}>} else {}>",412,3,0,0,325,1875,0,3,30,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,35,false,0,25,58,-1,7,0,0,75,44,2,false,false,0,false,false,false,true,true,true,false,false,true
48,"守护","令自身最大体力提高25%，并且受到治疗魔法的效果提高20%，同时以令攻击造成的伤害降低25%为代价提升自身仇恨<br>再次发动时则取消该状态　<color?>持续时间：</color>永久<br>效果中使用特定技能时会附加<color #FF7B1A>“愤怒”</color>状态<br><color?>愤怒效果：</color>自身暴击发动率提高2%，最多可以积累5档<br>解除<color #FF7B1A>“守护”</color>状态时，<color #FF7B1A>“愤怒”</color>状态也会立即消失",3201,4,0,0,384,1875,0,21,30,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,100,1,0,0,0,91,41,22,1,false,false,0,false,false,false,true,true,true,false,false,true
49,"原初之魂","对目标发动物理攻击　<color?>威力：</color>300<br>处于“守护”状态中也不会降低该技能的伤害<br><color?>追加效果：</color>恢复伤害量100%的体力<br><color?>追加效果：</color>自身受到的伤害降低20%<br><color?>持续时间：</color>6秒<br>发动后会取消<color #FF7B1A>“愤怒”</color>状态<br><color?>发动条件：</color><color #FF7B1A>“愤怒V”</color>状态中",3203,3,0,0,330,1875,0,21,35,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,10,97,32,97,0,true,0,25,58,-1,7,0,0,42,22,2,false,false,0,false,false,false,true,true,true,false,false,true
50,"解脱","一定时间内，处于“守护”状态中攻击伤害也不会降低<br><color?>持续时间：</color>20秒<br>解除<color #FF7B1A>“守护”</color>状态时，<color #FF7B1A>“解脱”</color>状态也会立即消失<br>发动后会取消<color #FF7B1A>“愤怒”</color>状态<br><color?>发动条件：</color><color #FF7B1A>“愤怒V”</color>状态中",3204,4,0,0,386,1875,0,21,40,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,10,97,32,97,0,true,0,1200,11,0,0,0,0,43,22,1,false,false,0,false,false,false,true,true,true,false,false,true
51,"钢铁旋风","对自身周围的敌人发动范围物理攻击　<color?>威力：</color>200<br>处于“守护”状态中也不会降低该技能的伤害<br>发动后会取消<color #FF7B1A>“愤怒”</color>状态<br><color?>追加效果：</color>提升仇恨<br><color?>发动条件：</color><color #FF7B1A>“愤怒V”</color>状态中",3202,3,0,0,327,1916,0,21,45,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,10,97,32,97,0,true,0,25,58,-1,7,0,0,44,22,2,false,false,0,false,false,false,true,true,true,false,false,true
52,"战嚎","对自身附加<color #FF7B1A>“愤怒V”</color>状态<br><color?>发动条件：</color><color #FF7B1A>“守护”</color>状态中",3205,4,0,0,387,1875,0,21,50,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,32,91,0,true,0,600,4,0,0,0,0,45,22,1,false,false,0,false,false,false,true,true,true,false,false,true
53,"连击","对目标发动物理攻击　<color?>威力：</color>150<br><color?>“魔猿身形”中追加效果：</color>背后攻击必定暴击<br><color?>追加效果：</color><color #FF7B1A>盗龙身形</color>　<color?>持续时间：</color>10秒",308,3,0,0,333,1875,0,2,1,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,false,true,true,true,false,false,true
54,"正拳","对目标发动物理攻击　<color?>威力：</color>150<br><color?>背面攻击威力：</color>190<br><color?>追加效果：</color><color #FF7B1A>猛豹身形</color>　<color?>持续时间：</color>10秒<br><color?>发动条件：</color><color #FF7B1A>“盗龙身形”</color>效果中",309,3,0,0,334,1875,0,2,2,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,32,108,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,false,true,true,true,false,false,true
