Index,0 [STRING] [0x0],1 [BBOOL] [0x4]
198,"MiragePrism",true
201,"ContentsInfoDetail",true
203,"LetterHistory",true
204,"ContentsNote",true
205,"FieldMarker",true
206,"RetainerCharacter",true
207,"RetainerTaskList",true
208,"RetainerTaskAsk",true
209,"RetainerTaskResult",true
211,"RelicNoteBook",true
212,"TradeMultiple",true
213,"RelicSphereUpgrade",true
214,"RelicSphereScroll",true
215,"MacroTextCommandList",true
219,"AdventureNoteBook",true
220,"ArmouryNoteBook",true
222,"SalvageItemSelector",true
224,"MinionNoteBook",true
225,"MountNoteBook",true
229,"Mobhunt",true
230,"CharacterSalvage",true
232,"DailyQuestSupply",true
233,"Teleport",true
234,"HousingWithdrawStorage",true
237,"RelicGlass",true
248,"GoldSaucerInfo",true
249,"GSInfoEditDeck",true
262,"TripleTriadRanking",true
266,"ShopExchangeCoin",true
268,"RelicMagicite",true
269,"NeedGreedTargeting",true
270,"ContentsFinderSetting",true
272,"CompanyCraftRecipeNoteBook",true
274,"AirShipExploration",true
277,"CompanyCraftSupply",true
278,"AetherCurrent",true
284,"MasterPieceSupply",true
287,"FrontlineRecordDetail",true
288,"Concentration",true
289,"Mobhunt2",true
292,"CharacterTitle",true
299,"LovmHelp",true
300,"LovmRanking",true
302,"LovmResult",true
308,"LovmPaletteEdit",true
309,"SkyIslandFinder",true
310,"SkyIslandFinderSetting",true
313,"ItemContextCustomize",true
314,"BeginnersMansionProblem",true
315,"BeginnersMansionProblemCompList",true
316,"DpsChallengeList",true
318,"ColosseumTacticalInfo",true
319,"Orchestrion",true
320,"BeginnerChatList",true
321,"BeginnerChatKick",true
323,"HudLayoutSetCopy",true
326,"ConfigPartyListRoleSort",true
327,"ItemSearchSetting",true
328,"RecommendEquip",true
329,"YKWNote",true
331,"AWGrowthFragTrade",true
332,"AWMakingSpiritGrow",true
333,"PvpActionSet",true
335,"RaidFinder",true
336,"RaidFinderHelp",true
337,"DeepDungeonInspect",true
339,"DeepDungeonStatus",true
340,"DeepDungeonSaveData",true
342,"GcArmyMemberList",true
343,"GcArmyMenberProfile",false
344,"GcArmyChangeClass",true
345,"GcArmyChangeTrait",true
346,"GcArmyExpedition",true
347,"GcArmyExpeditionResult",true
348,"GcArmyTraining",true
349,"MateriaParameter",true
351,"CountDownSettingDialog",true
352,"WeeklyBingo",true
354,"WeeklyBingoResult",true
355,"PvPDuelRequest",true
371,"DeepDungeonScore",true
372,"DeepDungeonMenu",true
373,"DeepDungeonResult",true
374,"ItemAppraisal",true
377,"ItemInspectionList",true
378,"ItemInspection",true
379,"ItemInspectionResult",true
380,"Relic2Glass",true
381,"LookingForGroupPrivate",true
384,"ContactList",true
386,"BeginnerChatInviteDialog",true
387,"ReturnerDialog",true
388,"ReturnerDialogDetail",true
389,"SatisfactionSupply",true
390,"SatisfactionSupplyResult",true
394,"Mobhunt3",true
400,"MountSpeed",true
401,"HarpoonTip",true
405,"PvPCharacter",true
409,"PvpWelcome",true
410,"LFGFilterSettings",true
417,"GcArmyChangeTactic",true
418,"GcArmyChangeMiragePrism",true
419,"GcArmyChangeMiragePrismSub",true
420,"GcArmyChangeMiragePrismConfirm",true
421,"GcArmyCapture",true
422,"GcArmyOrder",true
425,"LFGLogSettings",true
426,"TreasureHighLow",true
431,"ManeuversArmorBoarding",true
435,"ContentsReplaySetting",true
436,"PvpCalendar",true
437,"PvPTeam",true
438,"PvPTeamCrestEditor",true
439,"PvPTeamCrestColor",true
440,"PvPTeamCrestSymbolColor",true
441,"EurekaElementalEdit",true
442,"ContentMemberList",true
443,"TeleportHousingFriend",true
444,"ReplayReadyCheck",true
