Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [BBOOL] [0x8],3 [USHORT] [0xC]
212,"光之邮递员","光之邮递员",true,1051
213,"巨蛋猎人","巨蛋猎人",true,1052
214,"无信仰者","无信仰者",true,1053
215,"脱罪之人","脱罪之人",true,1054
216,"邪龙杀手","邪龙杀手",true,1055
217,"银剑","银剑",true,1056
218,"帝国隐患","帝国隐患",true,1057
219,"希望重现","希望重现",true,1058
220,"阿斯卡隆的末日","阿斯卡隆的末日",true,1059
221,"","",false,1060
222,"守誓之剑","守誓之剑",true,1100
223,"脉轮全开","脉轮全开",true,1101
224,"秘银之心","秘银之心",true,1102
225,"苍天龙骑","苍天龙骑",true,1103
226,"云上战歌","云上战歌",true,1104
227,"洁白无瑕","洁白无瑕",true,1105
228,"惩奸除恶","惩奸除恶",true,1106
229,"龙神后裔","龙神后裔",true,1107
230,"尼姆海兵","尼姆海兵",true,1108
231,"深暗之影","深暗之影",true,1109
232,"暗血沸腾","暗血沸腾",true,1110
233,"解放之人","解放之人",true,1111
234,"星天观测","星天观测",true,1112
235,"熄火青蓝之手","熄火青蓝之手",true,1150
236,"伪神探求者","伪神探求者",true,1151
237,"身轻如燕","身轻如燕",true,1152
238,"","",false,1153
239,"宣武","宣武",true,1200
240,"炼魔","炼魔",true,1201
241,"昏黑骑士","昏黑骑士",true,1202
242,"重剑骑士","重剑骑士",true,1203
243,"尘谜守护者","尘谜守护者",true,1204
244,"","",false,1205
245,"","",false,1206
246,"","",false,1207
247,"","",false,1208
248,"博闻","博闻",true,1209
249,"强识","强识",true,1210
250,"精品制作者","精品制作者",true,1211
251,"精品采集者","精品采集者",true,1212
252,"生意伙伴","生意伙伴",true,1213
253,"刻木专家","刻木专家",true,1214
254,"锻铁专家","锻铁专家",true,1215
255,"铸甲专家","铸甲专家",true,1216
256,"雕金专家","雕金专家",true,1217
257,"制革专家","制革专家",true,1218
258,"裁衣专家","裁衣专家",true,1219
259,"炼金专家","炼金专家",true,1220
260,"烹调专家","烹调专家",true,1221
261,"采矿专家","采矿专家",true,1222
262,"园艺专家","园艺专家",true,1223
263,"捕鱼专家","捕鱼专家",true,1224
264,"幸运儿","幸运儿",true,1225
265,"乐善好施","乐善好施",true,1226
266,"宠物收藏家","宠物收藏家",true,1227
267,"宠物大师","宠物大师",true,1228
268,"寻踪觅影","寻踪觅影",true,1229
269,"萌宠王子","萌宠公主",true,1230
270,"萌宠之王","萌宠女王",true,1231
271,"福尔唐家的骑士","福尔唐家的骑士",true,1232
272,"空贼","空贼",true,1233
273,"元灵实体","元灵实体",true,1234
274,"太阳舞者","太阳舞者",true,1235
275,"神话破灭","神话破灭",true,1236
276,"熟练探索者","熟练探索者",true,1237
277,"特别顾问","特别顾问",true,1238
278,"恶名精英猎手","恶名精英猎手",true,1239
279,"狼子野心","狼子野心",true,1240
280,"狼吞虎噬","狼吞虎噬",true,1241
281,"不动如山","不动如山",true,1242
282,"心狠手辣","心狠手辣",true,1243
283,"潜踪隐迹","潜踪隐迹",true,1244
284,"无拘无束","无拘无束",true,1245
285,"毫发无伤","毫发无伤",true,1246
286,"良师益友","良师益友",true,1247
287,"人生导师","人生导师",true,1248
288,"一壶千金","一壶千金",true,1249
289,"命运的齿轮","命运的齿轮",true,1250
290,"全心全意","全心全意",true,1251
291,"自由新脑","自由新脑",true,1252
