Index,0 [STRING] [0x0],1 [UINT] [0x4]
103,"CLASS_JOB_ARCHER",5
104,"CLASS_JOB_CONJURER",6
105,"CLASS_JOB_THAUMATURGE",7
106,"CLASS_JOB_WOODWORKER",8
107,"CLASS_JOB_BLACKSMITH",9
108,"CLASS_JOB_ARMOURER",10
109,"CLASS_JOB_GOLDSMITH",11
110,"CLASS_JOB_TANNER",12
111,"CLASS_JOB_WEAVER",13
112,"CLASS_JOB_ALCHEMIST",14
113,"CLASS_JOB_CULINARIAN",15
114,"CLASS_JOB_MINER",16
115,"CLASS_JOB_HARVESTER",17
116,"CLASS_JOB_FISHERMAN",18
117,"CLASS_JOB_KNIGHT",19
118,"CLASS_JOB_MONK",20
119,"CLASS_JOB_WARRIOR",21
120,"CLASS_JOB_DRAGON",22
121,"CLASS_JOB_BARD",23
122,"CLASS_JOB_WHITE",24
123,"CLASS_JOB_BLACK",25
124,"CLASS_JOB_ARCANIST",26
125,"CLASS_JOB_SUMMONER",27
126,"CLASS_JOB_SCHOLAR",28
127,"CLASS_JOB_THIEF",29
128,"CLASS_JOB_NINJA",30
129,"EVENT_TALK",1
130,"EVENT_EMOTE",2
131,"EVENT_DISTANCE_BELOW",3
132,"EVENT_DISTANCE_OVER",4
133,"EVENT_BATTLE_REWARD",5
134,"EVENT_CRAFT",6
135,"EVENT_NEST",7
136,"EVENT_EVENT_ITEM",8
137,"EVENT_DROP",9
138,"EVENT_WITHIN_RANGE",10
139,"EVENT_OUTSIDE_RANGE",11
140,"EVENT_GAME_START",12
141,"EVENT_GAME_PROGRESS",13
142,"EVENT_ENTER_TERRITORY",15
143,"EVENT_GAME_COME_BACK",17
144,"EVENT_ACTION_RESULT",18
145,"EVENT_MATERIA_CRAFT",19
146,"EVENT_FISHING",20
147,"MOVE_AI_WANDERING",1
148,"MOVE_AI_STAND",0
149,"MOVE_AI_ROUTE",2
150,"EQUIP_SLOT_WEAPON",0
151,"EQUIP_SLOT_SUB_WEAPON",1
152,"EQUIP_SLOT_HEAD",2
153,"EQUIP_SLOT_BODY",3
154,"EQUIP_SLOT_HAND",4
155,"EQUIP_SLOT_WAIST",5
156,"EQUIP_SLOT_LEG",6
157,"EQUIP_SLOT_FOOT",7
158,"EQUIP_SLOT_EAR",8
159,"EQUIP_SLOT_NECK",9
160,"EQUIP_SLOT_WRIST",10
161,"EQUIP_SLOT_RIGHT_FINGER",11
162,"EQUIP_SLOT_LEFT_FINGER",12
163,"EQUIP_SLOT_JOB_STONE",13
164,"SE_VOICE_MALE_POSITIVE_LOW_A",1
165,"SE_VOICE_MALE_NEGATIVE_LOW_A",2
166,"SE_VOICE_MALE_SYSTEM_LOW_A",3
167,"SE_VOICE_MALE_POSITIVE_LOW_B",4
168,"SE_VOICE_MALE_NEGATIVE_LOW_B",5
169,"SE_VOICE_MALE_SYSTEM_LOW_B",6
170,"SE_VOICE_FEMALE_POSITIVE_LOW_A",7
171,"SE_VOICE_FEMALE_NEGATIVE_LOW_A",8
172,"SE_VOICE_FEMALE_SYSTEM_LOW_A",9
173,"SE_VOICE_FEMALE_POSITIVE_LOW_B",10
174,"SE_VOICE_FEMALE_NEGATIVE_LOW_B",11
175,"SE_VOICE_FEMALE_SYSTEM_LOW_B",12
176,"SE_VOICE_MALE_POSITIVE_NORMAL_A",13
177,"SE_VOICE_MALE_NEGATIVE_NORMAL_A",14
178,"SE_VOICE_MALE_SYSTEM_NORMAL_A",15
179,"SE_VOICE_MALE_POSITIVE_NORMAL_B",16
180,"SE_VOICE_MALE_NEGATIVE_NORMAL_B",17
181,"SE_VOICE_MALE_SYSTEM_NORMAL_B",18
182,"SE_VOICE_FEMALE_POSITIVE_NORMAL_A",19
183,"SE_VOICE_FEMALE_NEGATIVE_NORMAL_A",20
184,"SE_VOICE_FEMALE_SYSTEM_NORMAL_A",21
185,"SE_VOICE_FEMALE_POSITIVE_NORMAL_B",22
186,"SE_VOICE_FEMALE_NEGATIVE_NORMAL_B",23
187,"SE_VOICE_FEMALE_SYSTEM_NORMAL_B",24
188,"SE_VOICE_MALE_POSITIVE_HIGH_A",25
189,"SE_VOICE_MALE_NEGATIVE_HIGH_A",26
190,"SE_VOICE_MALE_SYSTEM_HIGH_A",27
191,"SE_VOICE_MALE_POSITIVE_HIGH_B",28
192,"SE_VOICE_MALE_NEGATIVE_HIGH_B",29
193,"SE_VOICE_MALE_SYSTEM_HIGH_B",30
194,"SE_VOICE_FEMALE_POSITIVE_HIGH_A",31
195,"SE_VOICE_FEMALE_NEGATIVE_HIGH_A",32
196,"SE_VOICE_FEMALE_SYSTEM_HIGH_A",33
197,"SE_VOICE_FEMALE_POSITIVE_HIGH_B",34
198,"SE_VOICE_FEMALE_NEGATIVE_HIGH_B",35
199,"SE_VOICE_FEMALE_SYSTEM_HIGH_B",36
200,"SE_VOICE_WANDERING_MINSTREL",37
201,"SE_VOICE_MOOGLE",38
202,"RACE_HYURAN",1
203,"RACE_ELEZEN",2
204,"RACE_LALAFELL",3
205,"RACE_MICOTTAE",4
206,"RACE_ROEGADYN",5
207,"SEX_MALE",0
208,"SEX_FEMALE",1
209,"TRIBE_MIDLANDER",1
210,"TRIBE_HIGHLANDER",2
211,"TRIBE_FORESTER",3
212,"TRIBE_SHADER",4
213,"TRIBE_PLAINSFOLK",5
214,"TRIBE_DUNESFOLK",6
215,"TRIBE_SEEKERS_OF_THE_SUN",7
216,"TRIBE_KEEPERS_OF_THE_MOON",8
217,"TRIBE_SEEWOLF",9
218,"TRIBE_LOHENGARDE",10
219,"ACTION_TIMELINE_EVENT_ADD_NO",757
220,"ACTION_TIMELINE_EVENT_ADD_QUESTION",758
221,"ACTION_TIMELINE_EVENT_ADD_TALK",755
222,"ACTION_TIMELINE_EVENT_ADD_YES",756
223,"ACTION_TIMELINE_EVENT_BASE_IDLE",783
224,"ACTION_TIMELINE_EVENT_BASE_IDLE1",784
225,"ACTION_TIMELINE_EVENT_BASE_IDLE2",785
226,"ACTION_TIMELINE_EVENT_BASE_IDLE3",786
227,"ACTION_TIMELINE_EVENT_BASE_IDLE4",787
228,"ACTION_TIMELINE_EVENT_BASE_STAND_POSE1",1052
229,"ACTION_TIMELINE_EVENT_BASE_STAND_POSE2",1053
230,"ACTION_TIMELINE_EVENT_BASE_STAND_POSE3",1054
231,"ACTION_TIMELINE_EVENT_BASE_STAND_POSE4",1055
232,"ACTION_TIMELINE_EVENT_CHAIR_ITEM",760
233,"ACTION_TIMELINE_EVENT_CHAIR_TALK",765
234,"ACTION_TIMELINE_EVENT_GREETING",767
235,"ACTION_TIMELINE_EVENT_GROUND_ITEM",761
236,"ACTION_TIMELINE_EVENT_ITEM",759
237,"ACTION_TIMELINE_EVENT_KNEE",934
238,"ACTION_TIMELINE_EVENT_REACTION_ELE_M",774
239,"ACTION_TIMELINE_EVENT_REACTION_ELE_W",775
240,"ACTION_TIMELINE_EVENT_REACTION_HIGH_M",781
241,"ACTION_TIMELINE_EVENT_REACTION_HIGH_W",782
242,"ACTION_TIMELINE_EVENT_REACTION_LALA_M",776
243,"ACTION_TIMELINE_EVENT_REACTION_LALA_W",932
244,"ACTION_TIMELINE_EVENT_REACTION_MID_M",772
245,"ACTION_TIMELINE_EVENT_REACTION_MID_W",773
246,"ACTION_TIMELINE_EVENT_REACTION_MIQO_M",779
247,"ACTION_TIMELINE_EVENT_REACTION_MIQO_W",780
248,"ACTION_TIMELINE_EVENT_REACTION_ROEGA_M",777
249,"ACTION_TIMELINE_EVENT_REACTION_ROEGA_W",778
250,"ACTION_TIMELINE_EVENT_SALUTE_HIGHER_GCA",769
251,"ACTION_TIMELINE_EVENT_SALUTE_HIGHER_GCB",770
252,"ACTION_TIMELINE_EVENT_SALUTE_HIGHER_GCC",771
253,"ACTION_TIMELINE_EVENT_SHOCKED",762
254,"ACTION_TIMELINE_EVENT_TALK_ANGRY",768
255,"ACTION_TIMELINE_EVENT_TALK_FOREFINGER",933
256,"ACTION_TIMELINE_EVENT_TALK1",763
257,"ACTION_TIMELINE_EVENT_TALK2",764
258,"ACTION_TIMELINE_EVENT_THINK",766
259,"ACTION_TIMELINE_EVENT_TALK_BIG",950
260,"ACTION_TIMELINE_EVENT_SURPRISED",1005
261,"ACTION_TIMELINE_EVENT_GIVE",960
262,"ACTION_TIMELINE_EVENT_SUFFERING",961
263,"ACTION_TIMELINE_EVENT_TROUBLE",944
264,"ACTION_TIMELINE_EVENT_JOY_BIG",945
265,"ACTION_TIMELINE_EVENT_MENACE",946
266,"ACTION_TIMELINE_EVENT_WANDERING_ACTION",975
267,"ACTION_TIMELINE_EVENT_WANDERING_CAUTION",976
268,"ACTION_TIMELINE_EVENT_SKILLGET",995
269,"ACTION_TIMELINE_EVENT_TAKE_LOOK",1061
270,"ACTION_TIMELINE_FACIAL_DEFAULT",604
271,"ACTION_TIMELINE_FACIAL_SMILE",605
272,"ACTION_TIMELINE_FACIAL_SPEWING",617
273,"ACTION_TIMELINE_FACIAL_BOW",611
274,"ACTION_TIMELINE_FACIAL_WHAT",619
275,"ACTION_TIMELINE_FACIAL_WORRY",620
276,"ACTION_TIMELINE_FACIAL_FREEZE",615
277,"ACTION_TIMELINE_IDLE",3
278,"ACTION_TIMELINE_EMOTE_CHAIR_LOOP",643
279,"ACTION_TIMELINE_EMOTE_CHAIR_START",642
280,"ACTION_TIMELINE_EMOTE_CHAIR_END",644
281,"ACTION_TIMELINE_EMOTE_C_CLAP",645
282,"ACTION_TIMELINE_EMOTE_C_DOZE",646
283,"",0
284,"",0
285,"ACTION_TIMELINE_EMOTE_C_HUH",649
286,"",0
287,"ACTION_TIMELINE_EMOTE_C_LAUGH",651
288,"ACTION_TIMELINE_EMOTE_GROUND_LOOP",654
289,"ACTION_TIMELINE_EMOTE_GROUND_START",653
290,"ACTION_TIMELINE_EMOTE_GROUND_END",655
291,"ACTION_TIMELINE_EMOTE_G_CLAP",656
292,"ACTION_TIMELINE_EMOTE_G_DOZE",657
293,"",0
294,"",0
295,"ACTION_TIMELINE_EMOTE_G_HUH",660
296,"",0
297,"ACTION_TIMELINE_EMOTE_G_LAUGH",662
298,"ACTION_TIMELINE_EMOTE_EM_FORWARD",0
299,"ACTION_TIMELINE_EMOTE_EM_MORALE",0
300,"ACTION_TIMELINE_EMOTE_EM_RELAX",0
301,"ACTION_TIMELINE_EMOTE_EM_STOP",0
302,"ACTION_TIMELINE_EMOTE_EM_VICTORY",0
303,"ACTION_TIMELINE_EMOTE_AIRQUOTES",688
304,"ACTION_TIMELINE_EMOTE_AMAZED",689
305,"ACTION_TIMELINE_EMOTE_ANGRY",690
306,"ACTION_TIMELINE_EMOTE_ANGRY_STRONG",691
307,"ACTION_TIMELINE_EMOTE_BLOWKISS",692
308,"ACTION_TIMELINE_EMOTE_BLUSH",693
309,"ACTION_TIMELINE_EMOTE_BOW",694
310,"ACTION_TIMELINE_EMOTE_CHEER",695
311,"ACTION_TIMELINE_EMOTE_CLAP",696
312,"ACTION_TIMELINE_EMOTE_COMEON",697
313,"ACTION_TIMELINE_EMOTE_COMFORT",698
314,"ACTION_TIMELINE_EMOTE_CRY",699
315,"ACTION_TIMELINE_EMOTE_DANCE",700
316,"ACTION_TIMELINE_EMOTE_DOGEZA",701
317,"ACTION_TIMELINE_EMOTE_DOUBT",702
318,"ACTION_TIMELINE_EMOTE_DOZE",703
319,"ACTION_TIMELINE_EMOTE_FUME",704
320,"ACTION_TIMELINE_EMOTE_GOODBYE",705
321,"ACTION_TIMELINE_EMOTE_GOODBYE_STRONG",706
322,"ACTION_TIMELINE_EMOTE_HUH",707
323,"ACTION_TIMELINE_EMOTE_JOY",708
324,"ACTION_TIMELINE_EMOTE_JOY_STRONG",709
325,"ACTION_TIMELINE_EMOTE_KNEEL",710
326,"ACTION_TIMELINE_EMOTE_LAUGH",711
327,"ACTION_TIMELINE_EMOTE_LAUGH_STRONG",712
328,"ACTION_TIMELINE_EMOTE_LOOKOUT",713
329,"ACTION_TIMELINE_EMOTE_MAKE_ACT",714
330,"ACTION_TIMELINE_EMOTE_ME",715
331,"ACTION_TIMELINE_EMOTE_NO",716
332,"ACTION_TIMELINE_EMOTE_NO_STRONG",717
333,"ACTION_TIMELINE_EMOTE_ORZ",718
334,"ACTION_TIMELINE_EMOTE_PANIC",719
335,"ACTION_TIMELINE_EMOTE_POINT",720
336,"ACTION_TIMELINE_EMOTE_POKE",721
337,"ACTION_TIMELINE_EMOTE_POSING",722
338,"ACTION_TIMELINE_EMOTE_PRAISE",723
339,"ACTION_TIMELINE_EMOTE_PSYCH",724
340,"ACTION_TIMELINE_EMOTE_SALUTE",725
341,"ACTION_TIMELINE_EMOTE_SALUTE_GCA",726
342,"ACTION_TIMELINE_EMOTE_SALUTE_GCB",727
343,"ACTION_TIMELINE_EMOTE_SALUTE_GCC",728
344,"ACTION_TIMELINE_EMOTE_SHOCKED",729
345,"ACTION_TIMELINE_EMOTE_SHRUG",730
346,"ACTION_TIMELINE_EMOTE_SLAP",731
347,"ACTION_TIMELINE_EMOTE_SOOTHE",732
348,"ACTION_TIMELINE_EMOTE_STAGGER",733
349,"ACTION_TIMELINE_EMOTE_STRETCH",734
350,"ACTION_TIMELINE_EMOTE_SULK",735
351,"ACTION_TIMELINE_EMOTE_THINK",736
352,"ACTION_TIMELINE_EMOTE_UPSET",737
353,"ACTION_TIMELINE_EMOTE_WELCOME",738
354,"ACTION_TIMELINE_EMOTE_YES",739
355,"ACTION_TIMELINE_EMOTE_YES_STRONG",740
356,"ACTION_TIMELINE_EMOTE_THROW_SNOW",0
357,"",0
358,"ACTION_TIMELINE_EMOTE_PRAY",742
359,"ACTION_TIMELINE_EMOTE_G_GOODBYE_STRONG",663
360,"ACTION_TIMELINE_EMOTE_C_GOODBYE_STRONG",652
361,"ACTION_TIMELINE_SPEAK_WHISPER_SHORT",626
362,"ACTION_TIMELINE_SPEAK_WHISPER_MIDDLE",627
363,"ACTION_TIMELINE_SPEAK_WHISPER_LONG",628
364,"ACTION_TIMELINE_SPEAK_NORMAL_SHORT",629
365,"ACTION_TIMELINE_SPEAK_NORMAL_MIDDLE",630
366,"ACTION_TIMELINE_SPEAK_NORMAL_LONG",631
367,"ACTION_TIMELINE_SPEAK_SHOUT_SHORT",632
368,"ACTION_TIMELINE_SPEAK_SHOUT_MIDDLE",633
369,"ACTION_TIMELINE_SPEAK_SHOUT_LONG",634
370,"EVENT_STATE_LIGHT",23
371,"EVENT_STATE_NORMAL",24
372,"EVENT_STATE_PRIORITY",25
373,"EVENT_STATE_STORAGE",42
374,"EVENT_STATE_MOUNT_LIGHT",56
375,"EVENT_STATE_MOUNT_NORMAL",50
376,"EVENT_STATE_CARRY",57
377,"EVENT_STATE_SHAPESHIFT",63
378,"TOWN_INVALID",0
379,"TOWN_LIMSA_LOMINSA",1
380,"TOWN_GRIDANIA",2
381,"TOWN_ULDAH",3
382,"TOWN_ISHGARD",4
383,"GC_INVALID",0
384,"GC_MAELSTROM",1
385,"GC_ORDER_OF_TWIN_ADDER",2
386,"GC_IMMORTAL_FLAMES",3
387,"MOUNT_MY_CHOCOBO",1
388,"MOUNT_RENTAL_CHOCOBO",2
389,"MOUNT_TAXI_CHOCOBO",3
390,"MOUNT_GOOBBUE",4
391,"MOUNT_MAGITEK_ARMOR",6
392,"MOUNT_SLEIPNIR",7
393,"BASE_ID_EVENT_RANGE",5000000
394,"BASE_ID_PLAYER",5010000
395,"BASE_ID_TERRITORY_TYPE",5020000
396,"ADDON_MY_CHOCOBO_CONFIRM_NAME",102391
397,"ADDON_OK",1
398,"ADDON_CANCEL",2
399,"ADDON_YES",3
400,"ADDON_NO",4
401,"ADDON_ABORT",5
402,"BEAUTY_SALON_GIL",2000
403,"BGM_MUSIC_NO_MUSIC",1
404,"BGM_MUSIC_EVENT_DISQUIET01",78
405,"BGM_MUSIC_EVENT_MYSTERY01",80
406,"BGM_MUSIC_EVENT_REST01",93
407,"BGM_MUSIC_EVENT_JOYFUL01",87
408,"BGM_MUSIC_EVENT_JOYFUL02",88
409,"BGM_MUSIC_EVENT_FUAN01",130
410,"BGM_MUSIC_EVENT_THEME_REST02",98
411,"BGM_MUSIC_EVENT_TENSION",114
412,"BGM_MUSIC_EVENT_MEETING",85
413,"BGM_MUSIC_EVENT_SORROW",84
414,"BGM_MUSIC_EVENT_THEME_FACE_WAR",83
415,"BGM_MUSIC_EVENT_THEME_TRIUMPH",82
416,"BGM_MUSIC_EVENT_THEME_SECRET",97
417,"VFX_WEAPON_SKILL_GET",241
418,"LOG_MESSAGE_ADD_NEW_CONTENT_TO_CF",3702
