Index,0 [INT] [0x0],1 [USHORT] [0x4],2 [UBYTE] [0x6]
127,3227,1042,1
128,3465,1043,1
129,3688,1044,1
130,3896,1045,1
131,2905,1046,1
132,3228,1047,1
133,3466,1048,1
134,3689,1049,1
135,3897,1050,1
136,2633,4005,4
137,2634,4026,4
138,4201,4006,4
139,4202,4007,4
140,4203,4008,4
141,6102,4014,4
142,6103,4015,4
143,6104,4016,4
144,6105,4017,4
145,7889,1026,1
146,7890,1027,1
147,7891,1028,1
148,7892,1029,1
149,7893,1030,1
150,2632,4001,4
151,2637,4002,4
152,3519,4003,4
153,3744,4004,4
154,6106,2005,2
155,6964,2006,2
156,6965,2007,2
157,6966,2008,2
158,6967,2009,2
159,6094,2046,2
160,6096,2047,2
161,6098,2055,2
162,6100,2056,2
163,6095,2064,2
164,6097,2065,2
165,6099,2072,2
166,6101,2073,2
167,6107,2099,2
168,6108,2100,2
169,6111,3004,3
170,6109,3006,3
171,6110,3007,3
172,6119,3021,3
173,6120,3022,3
174,6121,3023,3
175,6122,3024,3
176,6123,3025,3
177,6124,3027,3
178,6125,3028,3
179,6126,3029,3
180,6127,3030,3
181,6128,3031,3
182,6129,3032,3
183,6130,3033,3
184,6131,3034,3
185,6132,3035,3
186,6133,3036,3
187,6134,3037,3
188,6135,3038,3
189,6136,3039,3
190,6137,3040,3
191,6116,3050,3
192,6117,3051,3
193,6118,3052,3
194,2994,3055,3
195,2327,1051,1
196,2354,1052,1
197,2379,1053,1
198,2404,1054,1
199,2429,1055,1
200,2455,1056,1
201,2480,1057,1
202,2506,1058,1
203,2532,1059,1
204,2558,1060,1
205,2584,1061,1
206,6033,4048,4
207,6035,4049,4
208,6034,4050,4
209,6036,4051,4
210,6037,4052,4
211,6038,4053,4
212,6039,4054,4
213,6040,4055,4
214,6045,4056,4
215,6046,4057,4
216,6047,4058,4
217,6048,4059,4
218,6041,4060,4
219,6042,4061,4
220,6043,4062,4
221,6044,4063,4
222,6112,4013,4
223,6968,2116,2
224,6969,2117,2
225,6970,2118,2
226,6971,2126,2
227,6972,2127,2
228,6973,2128,2
229,6974,2129,2
230,6975,2130,2
231,6976,2131,2
232,6977,2132,2
233,8532,2087,2
234,8533,2088,2
235,8534,2089,2
236,8535,2090,2
237,8536,2091,2
238,8537,2092,2
239,8711,2101,2
240,8712,2102,2
241,8713,2103,2
242,8714,2104,2
243,8715,2105,2
244,9317,3008,3
245,8717,3020,3
246,9381,3026,3
247,9268,2010,2
248,9269,2011,2
249,9270,2012,2
250,9271,2013,2
251,9272,2119,2
252,9273,2120,2
253,9274,2121,2
254,9275,2122,2
255,9290,2123,2
256,0,0,4
257,0,0,4
258,0,0,4
259,0,0,4
260,10316,2048,2
261,10317,2057,2
262,10318,2066,2
263,10319,2074,2
264,10320,2049,2
265,10321,2058,2
266,0,0,4
267,10329,4032,4
268,10330,4033,4
269,10331,4034,4
270,12035,4027,4
271,12036,4028,4
272,12037,4029,4
273,12038,4030,4
274,12039,4031,4
275,12513,3057,3
276,12514,3058,3
277,12515,3059,3
278,12516,3060,3
279,12517,3061,3
280,6113,4011,4
281,7545,4024,4
282,8566,4009,4
283,8576,4012,4
284,9460,4025,4
285,10042,4035,4
286,10043,4036,4
287,10044,4037,4
288,10045,4038,4
289,10066,2026,2
290,10067,2037,2
291,10068,2038,2
292,10069,2040,2
293,10070,2039,2
294,10065,3056,3
295,13099,2106,2
296,13100,2107,2
297,13101,2108,2
298,13102,2109,2
299,13330,4043,4
300,13331,4044,4
301,13332,4045,4
302,13333,4046,4
303,13334,4047,4
304,13290,2113,2
305,13291,2114,2
306,13292,2115,2
307,13293,2125,2
308,13294,2124,2
309,13295,2014,2
310,13296,2015,2
311,13297,2016,2
312,13298,2133,2
313,13567,2134,2
314,13299,2023,2
315,13568,2024,2
316,13300,2135,2
317,13639,2136,2
318,13724,2137,2
319,13725,2138,2
320,8565,4010,4
321,13987,4039,4
322,13988,4040,4
323,13989,4041,4
324,13990,4042,4
325,0,0,0
326,0,0,0
327,0,0,0
328,0,0,0
329,0,0,0
330,0,0,0
331,0,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,0
344,0,0,0
345,0,0,0
346,0,0,0
347,0,0,0
348,0,0,0
349,0,0,0
350,0,0,0
351,0,0,0
