Index,0 [UBYTE] [0x6E],1 [UBYTE] [0x6F],2 [UBYTE] [0x70],3 [USHORT] [0x6C],4 [UINT] [0x68],5 [UBYTE] [0x71],6 [UBYTE] [0x72],7 [UBYTE] [0x73],8 [STRING] [0x0],9 [STRING] [0x4],10 [INT] [0x8],11 [INT] [0x18],12 [INT] [0x28],13 [INT] [0x38],14 [INT] [0x48],15 [INT] [0x58],16 [UBYTE] [0x12],17 [UBYTE] [0x22],18 [UBYTE] [0x32],19 [UBYTE] [0x42],20 [UBYTE] [0x52],21 [UBYTE] [0x62],22 [USHORT] [0xC],23 [USHORT] [0x1C],24 [USHORT] [0x2C],25 [USHORT] [0x3C],26 [USHORT] [0x4C],27 [USHORT] [0x5C],28 [UBYTE] [0x13],29 [UBYTE] [0x23],30 [UBYTE] [0x33],31 [UBYTE] [0x43],32 [UBYTE] [0x53],33 [UBYTE] [0x63],34 [USHORT] [0xE],35 [USHORT] [0x1E],36 [USHORT] [0x2E],37 [USHORT] [0x3E],38 [USHORT] [0x4E],39 [USHORT] [0x5E],40 [UBYTE] [0x14],41 [UBYTE] [0x24],42 [UBYTE] [0x34],43 [UBYTE] [0x44],44 [UBYTE] [0x54],45 [UBYTE] [0x64],46 [USHORT] [0x10],47 [USHORT] [0x20],48 [USHORT] [0x30],49 [USHORT] [0x40],50 [USHORT] [0x50],51 [USHORT] [0x60],52 [UBYTE] [0x15],53 [UBYTE] [0x25],54 [UBYTE] [0x35],55 [UBYTE] [0x45],56 [UBYTE] [0x55],57 [UBYTE] [0x65],58 [UBYTE] [0x16],59 [UBYTE] [0x26],60 [UBYTE] [0x36],61 [UBYTE] [0x46],62 [UBYTE] [0x56],63 [UBYTE] [0x66]
20,15,0,40,2000,30000,20,0,3,"发动对帝国军的牵制攻击","艾欧泽亚同盟军将在摩杜纳展开对帝国军部队的牵制攻击。代表<switch:黑涡团/双蛇党/恒辉队>参战，引导作战成功。",14950,14950,14950,14950,14950,14950,5,5,5,5,5,5,245,385,265,530,530,385,20,20,20,20,20,20,560,265,385,385,275,560,20,20,20,20,20,20,385,540,540,275,385,245,20,20,20,20,20,20,20,20,20,20,20,20
21,15,0,40,2000,30000,20,0,3,"切断蛮族补给线作战","为了切断<switch:西拉诺西亚鱼人族/黑衣森林北部林区鸟人族/南萨纳兰蜥蜴人族>的补给线，投入大部队的作战开始了。服从<switch:军令部/司令部/作战总部>的指示，参加作战。",14951,14951,14951,14951,14951,14951,5,5,5,5,5,5,265,530,530,385,245,385,20,20,20,20,20,20,385,385,275,560,560,265,20,20,20,20,20,20,540,275,385,245,385,540,20,20,20,20,20,20,20,20,20,20,20,20
22,15,0,40,2000,30000,20,0,3,"追踪通缉犯","有目击情报称，在<switch:拉诺西亚/黑衣森林/萨纳兰>发现了<switch:恒辉队/黑涡团/双蛇党>正在通缉的罪犯。协助<switch:恒辉队/黑涡团/双蛇党>的特务军官进行追踪。",14952,14952,14952,14952,14952,14952,5,5,5,5,5,5,530,530,245,385,265,385,20,20,20,20,20,20,275,385,560,560,385,265,20,20,20,20,20,20,385,275,385,245,540,540,20,20,20,20,20,20,20,20,20,20,20,20
23,15,0,40,2000,30000,20,0,3,"歼灭帝国军补给部队","谍报部门传来了有关帝国军补给部队的重要情报。歼灭前往<switch:帝国西方堡/帝国中央堡/帝国南方堡>的敌方补给部队。",14953,14953,14953,14953,14953,14953,5,5,5,5,5,5,245,385,265,385,530,530,20,20,20,20,20,20,560,560,385,265,275,385,20,20,20,20,20,20,385,245,540,540,385,275,20,20,20,20,20,20,20,20,20,20,20,20
24,15,0,40,2000,30000,20,0,3,"消灭合成生物","在我国领土内发现了可怕的合成生物。追踪<switch:身躯巨大的弥诺陶洛斯/操纵强大魔法的拉米亚/异常凶猛的奇美拉>，将其消灭。",14954,14954,14954,14954,14954,14954,5,5,5,5,5,5,265,385,530,530,245,385,20,20,20,20,20,20,385,265,275,385,560,560,20,20,20,20,20,20,540,540,385,275,385,245,20,20,20,20,20,20,20,20,20,20,20,20
25,15,0,50,3000,37500,20,0,3,"与拂晓的共同作战","为了调查<switch:地灵族/鸟人族/蜥蜴人族>召唤蛮神的前兆，与拂晓血盟展开共同作战。和同属于组织的<switch:者斯拉佛希斯/达吕斯泰尔/阿丽亚娜>汇合，听从其指示。",14946,14946,14946,14946,14946,14946,10,10,10,10,10,10,295,430,590,590,275,430,20,20,20,20,20,20,430,295,305,430,620,620,20,20,20,20,20,20,600,600,430,305,430,275,20,20,20,20,20,20,20,20,20,20,20,20
26,15,0,50,3000,37500,20,0,3,"开发对魔道兵器战术","为了更加有效的开发对魔道兵器战术，使用缴获的帝国军魔导兵器进行模擬戦。",14947,14947,14947,14947,14947,14947,10,10,10,10,10,10,275,430,295,430,590,590,20,20,20,20,20,20,620,620,430,295,305,430,20,20,20,20,20,20,430,275,600,600,430,305,20,20,20,20,20,20,20,20,20,20,20,20
27,15,0,50,3000,37500,20,0,3,"人质救出作战","有情报称<switch:受鱼人族支配的海盗团“海蛇之舌”/鸟人族的装甲气球部队/蜥蜴人族的拐人部队“炎牙众>绑架了普通市民。在无辜的市民们成为蛮神的祭品前，潜入敌方据点拯救人质。",14948,14948,14948,14948,14948,14948,10,10,10,10,10,10,590,590,275,430,295,430,20,20,20,20,20,20,305,430,620,620,430,295,20,20,20,20,20,20,430,305,430,275,600,600,20,20,20,20,20,20,20,20,20,20,20,20
28,15,0,50,3000,37500,20,0,3,"消灭武装集团","被认为是<switch:辉鳞人族战斗团/豹爪偷猎团/原阿拉米格王室亲卫队“骸旅团”>分支的武装集团在我国领土内为非作歹，成为了巨大的威胁。立即前往现场，消灭他们。",14949,14949,14949,14949,14949,14949,10,10,10,10,10,10,295,590,590,430,275,430,20,20,20,20,20,20,430,430,305,620,620,295,20,20,20,20,20,20,600,305,430,275,430,600,20,20,20,20,20,20,20,20,20,20,20,20
29,15,0,50,3000,37500,20,0,3,"取缔违法邪教教团","宣扬末日思想的邪教教团“最后之民”正在进行非法布教。扮成普通市民在<switch:利姆萨·罗敏萨/格里达尼亚/乌尔达哈>境内巡视，揭发前来宣传的邪教一伙。",14950,14950,14950,14950,14950,14950,10,10,10,10,10,10,275,430,295,590,590,430,20,20,20,20,20,20,620,295,430,430,305,620,20,20,20,20,20,20,430,600,600,305,430,275,20,20,20,20,20,20,20,20,20,20,20,20
30,15,0,50,3000,37500,20,0,3,"消灭非法召唤的妖异","我国领土内出现了被违法召唤的妖异的目击情报。追踪<switch:梦魔型妖异/行吟型妖异/安可哈格型妖异>，并将其消灭。",14951,14951,14951,14951,14951,14951,10,10,10,10,10,10,590,430,275,430,295,590,20,20,20,20,20,20,305,620,620,295,430,430,20,20,20,20,20,20,430,275,430,600,600,305,20,20,20,20,20,20,20,20,20,20,20,20
31,15,0,50,3000,37500,20,0,3,"击破帝国军废弃兵器","被帝国军废弃的魔道兵器，因某种原因而失控，威胁到了领地内的安全。立即前往现场，与特务士官合作将目标击破。",14952,14952,14952,14952,14952,14952,10,10,10,10,10,10,430,295,590,590,430,275,20,20,20,20,20,20,295,430,430,305,620,620,20,20,20,20,20,20,600,600,305,430,275,430,20,20,20,20,20,20,20,20,20,20,20,20
32,15,0,50,3000,37500,20,0,3,"排除哥布林族集团","哥布林族科学家组织青蓝之手的下属集团，正在我方领土内进行机工兵器的验证试验。立即赶往现场，阻止未经许可的实验。",14953,14953,14953,14953,14953,14953,10,10,10,10,10,10,430,275,430,295,590,590,20,20,20,20,20,20,620,620,295,430,430,305,20,20,20,20,20,20,275,430,600,600,305,430,20,20,20,20,20,20,20,20,20,20,20,20
33,15,0,50,3000,37500,20,0,3,"揭发假副牙士","发生了自称是“格里达尼亚出身的副牙士”的强壮男人，对无辜的市民大声恐吓的事件。为了维护艾欧泽亚同盟军的威信，揭发这个副牙士。",14954,14954,14954,14954,14954,14954,10,10,10,10,10,10,590,590,430,275,430,295,20,20,20,20,20,20,430,305,620,620,295,430,20,20,20,20,20,20,305,430,275,430,600,600,20,20,20,20,20,20,20,20,20,20,20,20
