Index,0 Name [0x0],1 Short Name [0x4],2 [SHORT] [0x12],3 [SHORT] [0x14],4 Required Level [0x16],5 Ceruleam Tanks Required [0xC],6 Duration (Minutes) [0xE],7 [USHORT] [0x10],8 [UBYTE] [0x17],9 [UBYTE] [0x19],10 [UBYTE] [0x18],11 [UBYTE] [0x1A],12 Exp Rewarded [0x8]
84,"","",0,0,0,0,0,0,0,0,0,0,0
85,"","",0,0,0,0,0,0,0,0,0,0,0
86,"","",0,0,0,0,0,0,0,0,0,0,0
87,"","",0,0,0,0,0,0,0,0,0,0,0
88,"","",0,0,0,0,0,0,0,0,0,0,0
89,"","",0,0,0,0,0,0,0,0,0,0,0
90,"","",0,0,0,0,0,0,0,0,0,0,0
91,"","",0,0,0,0,0,0,0,0,0,0,0
92,"","",0,0,0,0,0,0,0,0,0,0,0
93,"","",0,0,0,0,0,0,0,0,0,0,0
94,"","",0,0,0,0,0,0,0,0,0,0,0
95,"","",0,0,0,0,0,0,0,0,0,0,0
96,"","",0,0,0,0,0,0,0,0,0,0,0
97,"","",0,0,0,0,0,0,0,0,0,0,0
98,"","",0,0,0,0,0,0,0,0,0,0,0
99,"","",0,0,0,0,0,0,0,0,0,0,0
100,"","",0,0,0,0,0,0,0,0,0,0,0
101,"","",0,0,0,0,0,0,0,0,0,0,0
102,"","",0,0,0,0,0,0,0,0,0,0,0
103,"","",0,0,0,0,0,0,0,0,0,0,0
104,"","",0,0,0,0,0,0,0,0,0,0,0
105,"","",0,0,0,0,0,0,0,0,0,0,0
106,"","",0,0,0,0,0,0,0,0,0,0,0
107,"","",0,0,0,0,0,0,0,0,0,0,0
108,"","",0,0,0,0,0,0,0,0,0,0,0
109,"","",0,0,0,0,0,0,0,0,0,0,0
110,"","",0,0,0,0,0,0,0,0,0,0,0
111,"","",0,0,0,0,0,0,0,0,0,0,0
112,"","",0,0,0,0,0,0,0,0,0,0,0
113,"","",0,0,0,0,0,0,0,0,0,0,0
114,"","",0,0,0,0,0,0,0,0,0,0,0
115,"","",0,0,0,0,0,0,0,0,0,0,0
116,"","",0,0,0,0,0,0,0,0,0,0,0
117,"","",0,0,0,0,0,0,0,0,0,0,0
118,"","",0,0,0,0,0,0,0,0,0,0,0
119,"","",0,0,0,0,0,0,0,0,0,0,0
120,"","",0,0,0,0,0,0,0,0,0,0,0
121,"","",0,0,0,0,0,0,0,0,0,0,0
122,"","",0,0,0,0,0,0,0,0,0,0,0
123,"","",0,0,0,0,0,0,0,0,0,0,0
124,"","",0,0,0,0,0,0,0,0,0,0,0
125,"","",0,0,0,0,0,0,0,0,0,0,0
126,"","",0,0,0,0,0,0,0,0,0,0,0
127,"","",483,927,0,0,0,0,0,0,0,0,0
128,"","",0,0,0,0,0,0,0,0,0,0,0
