Index,0 [UBYTE] [0x4],1 Chara Maker Icon [0x0],2 [UBYTE] [0x5],3 [BBOOL] [0x6]
90,0,0,0,false
91,1,131301,0,false
92,2,131302,0,false
93,3,131303,0,false
94,4,131304,0,false
95,5,131305,0,false
96,6,131306,0,false
97,7,131307,0,false
98,8,131308,0,false
99,9,131309,0,false
100,10,131310,0,false
101,11,131311,0,false
102,12,131312,0,false
103,101,131314,26,true
104,103,131316,0,false
105,104,131317,0,false
106,102,131315,0,false
107,105,131318,0,false
108,106,131319,0,false
109,61,131313,228,true
110,107,131320,0,false
111,108,131321,0,false
112,111,131322,0,false
113,112,131323,243,true
114,0,0,0,false
115,0,0,0,false
116,0,0,0,false
117,0,0,0,false
118,0,0,0,false
119,0,0,0,false
120,0,0,0,false
121,1,132001,0,false
122,2,132002,0,false
123,3,132003,0,false
124,4,132004,0,false
125,5,132005,0,false
126,6,132006,0,false
127,7,132007,0,false
128,8,132008,0,false
129,9,132009,0,false
130,10,132010,0,false
131,11,132011,0,false
132,12,132012,0,false
133,101,132014,26,true
134,103,132016,0,false
135,104,132017,0,false
136,105,132018,0,false
137,102,132015,0,false
138,61,132013,228,true
139,106,132019,0,false
140,107,132020,0,false
141,108,132021,0,false
142,111,132022,0,false
143,112,132023,243,true
144,0,0,0,false
145,0,0,0,false
146,0,0,0,false
147,0,0,0,false
148,0,0,0,false
149,0,0,0,false
150,0,0,0,false
151,1,132101,0,false
152,2,132102,0,false
153,3,132103,0,false
154,4,132104,0,false
155,5,132105,0,false
156,6,132106,0,false
157,7,132107,0,false
158,8,132108,0,false
159,9,132109,0,false
160,10,132110,0,false
161,11,132111,0,false
162,12,132112,0,false
163,51,132113,0,false
164,52,132114,0,false
165,53,132115,0,false
166,54,132116,0,false
167,101,132118,26,true
168,103,132120,0,false
169,104,132121,0,false
170,105,132122,0,false
171,102,132119,0,false
172,61,132117,228,true
173,106,132123,0,false
174,107,132124,0,false
175,108,132125,0,false
176,111,132126,0,false
177,112,132127,243,true
178,0,0,0,false
179,0,0,0,false
180,0,0,0,false
181,1,133001,0,false
182,2,133002,0,false
183,3,133003,0,false
184,4,133004,0,false
185,5,133005,0,false
186,6,133006,0,false
187,7,133007,0,false
188,8,133008,0,false
189,9,133009,0,false
190,10,133010,0,false
191,11,133011,0,false
192,12,133012,0,false
193,13,133013,0,false
194,101,133015,26,true
195,103,133017,0,false
196,104,133018,0,false
197,102,133016,0,false
198,105,133019,0,false
199,61,133014,228,true
200,106,133020,0,false
201,107,133021,0,false
202,108,133022,0,false
203,111,133023,0,false
204,112,133024,243,true
205,0,0,0,false
206,0,0,0,false
207,0,0,0,false
208,0,0,0,false
209,0,0,0,false
210,0,0,0,false
211,1,133101,0,false
212,2,133102,0,false
213,3,133103,0,false
214,4,133104,0,false
215,5,133105,0,false
216,6,133106,0,false
217,7,133107,0,false
218,8,133108,0,false
219,9,133109,0,false
220,10,133110,0,false
221,11,133111,0,false
222,12,133112,0,false
223,13,133113,0,false
224,51,133114,0,false
225,52,133115,0,false
226,53,133116,0,false
227,101,133118,26,true
228,103,133120,0,false
229,104,133121,0,false
230,102,133119,0,false
231,105,133122,0,false
232,61,133117,228,true
233,106,133123,0,false
234,107,133124,0,false
235,108,133125,0,false
236,111,133126,0,false
237,112,133127,243,true
238,0,0,0,false
239,0,0,0,false
240,0,0,0,false
241,1,134001,0,false
242,2,134002,0,false
243,3,134003,0,false
244,4,134004,0,false
245,5,134005,0,false
246,6,134006,0,false
247,7,134007,0,false
248,8,134008,0,false
249,9,134009,0,false
250,10,134010,0,false
251,11,134011,0,false
252,12,134012,0,false
253,101,134014,26,true
254,103,134016,0,false
255,102,134015,0,false
256,105,134017,0,false
257,61,134013,228,true
258,106,134018,0,false
259,108,134020,0,false
260,107,134019,0,false
261,111,134021,0,false
262,112,134022,243,true
263,0,0,0,false
264,0,0,0,false
265,0,0,0,false
266,0,0,0,false
267,0,0,0,false
268,0,0,0,false
269,0,0,0,false
270,0,0,0,false
271,1,134101,0,false
272,2,134102,0,false
273,3,134103,0,false
274,4,134104,0,false
275,5,134105,0,false
276,6,134106,0,false
277,7,134107,0,false
278,8,134108,0,false
279,9,134109,0,false
280,10,134110,0,false
281,11,134111,0,false
282,12,134112,0,false
283,51,134113,0,false
284,52,134114,0,false
285,53,134115,0,false
286,54,134116,0,false
287,55,134117,0,false
288,101,134119,26,true
289,103,134121,0,false
290,102,134120,0,false
291,105,134122,0,false
292,61,134118,228,true
293,106,134123,0,false
294,108,134125,0,false
295,107,134124,0,false
296,111,134126,0,false
297,112,134127,243,true
298,0,0,0,false
299,0,0,0,false
300,0,0,0,false
301,1,135001,0,false
302,2,135002,0,false
303,3,135003,0,false
304,4,135004,0,false
305,5,135005,0,false
306,6,135006,0,false
307,7,135007,0,false
308,8,135008,0,false
309,9,135009,0,false
310,10,135010,0,false
311,11,135011,0,false
312,12,135012,0,false
313,13,135013,0,false
314,51,135014,0,false
315,52,135015,0,false
316,53,135016,0,false
317,54,135017,0,false
318,55,135018,0,false
319,101,135020,26,true
320,103,135022,0,false
321,104,135023,0,false
322,102,135021,0,false
323,105,135024,0,false
324,61,135019,228,true
325,106,135025,0,false
326,107,135026,0,false
327,108,135027,0,false
328,111,135028,0,false
329,112,135029,243,true
330,0,0,0,false
331,1,135101,0,false
332,2,135102,0,false
333,3,135103,0,false
334,4,135104,0,false
335,5,135105,0,false
336,6,135106,0,false
337,7,135107,0,false
338,8,135108,0,false
339,9,135109,0,false
340,10,135110,0,false
341,11,135111,0,false
342,12,135112,0,false
343,101,135114,26,true
344,103,135116,0,false
345,104,135117,0,false
346,102,135115,0,false
347,105,135118,0,false
348,61,135113,228,true
349,106,135119,0,false
350,107,135120,0,false
351,108,135121,0,false
352,111,135122,0,false
353,112,135123,243,true
354,0,0,0,false
355,0,0,0,false
356,0,0,0,false
357,0,0,0,false
358,0,0,0,false
359,0,0,0,false
360,0,0,0,false
361,0,0,0,false
362,0,0,0,false
363,0,0,0,false
364,0,0,0,false
365,0,0,0,false
366,0,0,0,false
367,0,0,0,false
368,0,0,0,false
369,0,0,0,false
370,0,0,0,false
371,0,0,0,false
372,0,0,0,false
373,0,0,0,false
374,0,0,0,false
375,0,0,0,false
376,0,0,0,false
377,0,0,0,false
378,0,0,0,false
379,0,0,0,false
380,0,0,0,false
381,0,0,0,false
382,0,0,0,false
383,0,0,0,false
384,0,0,0,false
385,0,0,0,false
386,0,0,0,false
387,0,0,0,false
388,0,0,0,false
389,0,0,0,false
390,0,0,0,false
391,0,0,0,false
392,0,0,0,false
393,0,0,0,false
394,0,0,0,false
395,0,0,0,false
396,0,0,0,false
397,0,0,0,false
398,0,0,0,false
399,0,0,0,false
400,0,0,0,false
401,1,130001,0,false
402,2,130002,0,false
403,3,130003,0,false
404,4,130004,0,false
405,5,130005,0,false
406,6,130006,0,false
407,7,130007,0,false
408,8,130008,0,false
409,9,130009,0,false
410,10,130010,0,false
411,11,130011,0,false
412,12,130012,0,false
413,13,130013,0,false
414,14,130014,0,false
415,15,130015,0,false
416,16,130016,0,false
417,17,130017,0,false
418,18,130018,0,false
419,19,130019,0,false
420,20,130020,0,false
421,21,130021,0,false
422,22,130022,0,false
423,23,130023,0,false
424,24,130024,0,false
425,25,130025,0,false
426,26,130026,0,false
427,27,130027,227,true
428,28,130028,227,true
429,0,0,0,false
430,0,0,0,false
431,1,130041,0,false
432,2,130042,0,false
433,3,130043,0,false
434,4,130044,0,false
435,5,130045,0,false
436,6,130046,0,false
437,7,130047,0,false
438,8,130048,0,false
439,9,130049,0,false
440,10,130050,0,false
441,11,130051,0,false
442,12,130052,0,false
443,13,130053,0,false
444,14,130054,0,false
445,15,130055,0,false
446,16,130056,0,false
447,17,130057,0,false
448,18,130058,0,false
449,19,130059,0,false
450,20,130060,0,false
451,21,130061,0,false
452,22,130062,0,false
453,23,130063,0,false
454,24,130064,0,false
455,25,130065,0,false
456,26,130066,0,false
457,27,130067,227,true
458,28,130068,227,true
459,0,0,0,false
460,0,0,0,false
461,1,130081,0,false
462,2,130082,0,false
463,3,130083,0,false
464,4,130084,0,false
465,5,130085,0,false
466,6,130086,0,false
467,7,130087,0,false
468,8,130088,0,false
469,9,130089,0,false
470,10,130090,0,false
471,11,130091,0,false
472,12,130092,0,false
473,13,130093,0,false
474,14,130094,0,false
475,15,130095,0,false
476,16,130096,0,false
477,17,130097,0,false
478,18,130098,0,false
479,19,130099,0,false
480,20,130100,0,false
481,21,130101,0,false
482,22,130102,0,false
483,23,130103,0,false
484,24,130104,0,false
485,25,130105,0,false
486,26,130106,0,false
487,27,130107,227,true
488,28,130108,227,true
489,0,0,0,false
490,0,0,0,false
491,1,130121,0,false
492,2,130122,0,false
493,3,130123,0,false
494,4,130124,0,false
495,5,130125,0,false
496,6,130126,0,false
497,7,130127,0,false
498,8,130128,0,false
499,9,130129,0,false
500,10,130130,0,false
501,11,130131,0,false
502,12,130132,0,false
503,13,130133,0,false
504,14,130134,0,false
505,15,130135,0,false
506,16,130136,0,false
507,17,130137,0,false
508,18,130138,0,false
509,19,130139,0,false
510,20,130140,0,false
511,21,130141,0,false
512,22,130142,0,false
513,23,130143,0,false
514,24,130144,0,false
515,25,130145,0,false
516,26,130146,0,false
517,27,130147,227,true
518,28,130148,227,true
519,0,0,0,false
520,0,0,0,false
521,1,130161,0,false
522,2,130162,0,false
523,3,130163,0,false
524,4,130164,0,false
525,5,130165,0,false
526,6,130166,0,false
527,7,130167,0,false
528,8,130168,0,false
529,9,130169,0,false
530,10,130170,0,false
531,11,130171,0,false
532,12,130172,0,false
533,13,130173,0,false
534,14,130174,0,false
535,15,130175,0,false
536,16,130176,0,false
537,17,130177,0,false
538,18,130178,0,false
539,19,130179,0,false
540,20,130180,0,false
541,21,130181,0,false
542,22,130182,0,false
543,23,130183,0,false
544,24,130184,0,false
545,25,130185,0,false
546,26,130186,0,false
547,27,130187,227,true
548,28,130188,227,true
549,0,0,0,false
550,0,0,0,false
551,1,130201,0,false
552,2,130202,0,false
553,3,130203,0,false
554,4,130204,0,false
555,5,130205,0,false
556,6,130206,0,false
557,7,130207,0,false
558,8,130208,0,false
559,9,130209,0,false
560,10,130210,0,false
561,11,130211,0,false
562,12,130212,0,false
563,13,130213,0,false
564,14,130214,0,false
565,15,130215,0,false
566,16,130216,0,false
567,17,130217,0,false
568,18,130218,0,false
569,19,130219,0,false
570,20,130220,0,false
571,21,130221,0,false
572,22,130222,0,false
573,23,130223,0,false
574,24,130224,0,false
575,25,130225,0,false
576,26,130226,0,false
577,27,130227,227,true
578,28,130228,227,true
579,0,0,0,false
580,0,0,0,false
581,1,130241,0,false
582,2,130242,0,false
583,3,130243,0,false
584,4,130244,0,false
585,5,130245,0,false
586,6,130246,0,false
587,7,130247,0,false
588,8,130248,0,false
589,9,130249,0,false
590,10,130250,0,false
591,11,130251,0,false
592,12,130252,0,false
593,13,130253,0,false
594,14,130254,0,false
595,15,130255,0,false
596,16,130256,0,false
597,17,130257,0,false
598,18,130258,0,false
599,19,130259,0,false
600,20,130260,0,false
601,21,130261,0,false
602,22,130262,0,false
603,23,130263,0,false
604,24,130264,0,false
605,25,130265,0,false
606,26,130266,0,false
607,27,130267,227,true
608,28,130268,227,true
609,0,0,0,false
610,0,0,0,false
611,1,130281,0,false
612,2,130282,0,false
613,3,130283,0,false
614,4,130284,0,false
615,5,130285,0,false
616,6,130286,0,false
617,7,130287,0,false
618,8,130288,0,false
619,9,130289,0,false
620,10,130290,0,false
621,11,130291,0,false
622,12,130292,0,false
623,13,130293,0,false
624,14,130294,0,false
625,15,130295,0,false
626,16,130296,0,false
627,17,130297,0,false
628,18,130298,0,false
629,19,130299,0,false
630,20,130300,0,false
631,21,130301,0,false
632,22,130302,0,false
633,23,130303,0,false
634,24,130304,0,false
635,25,130305,0,false
636,26,130306,0,false
637,27,130307,227,true
638,28,130308,227,true
639,0,0,0,false
640,0,0,0,false
641,1,130321,0,false
642,2,130322,0,false
643,3,130323,0,false
644,4,130324,0,false
645,5,130325,0,false
646,6,130326,0,false
647,7,130327,0,false
648,8,130328,0,false
649,9,130329,0,false
650,10,130330,0,false
651,11,130331,0,false
652,12,130332,0,false
653,13,130333,0,false
654,14,130334,0,false
655,15,130335,0,false
656,16,130336,0,false
657,17,130337,0,false
658,18,130338,0,false
659,19,130339,0,false
660,20,130340,0,false
661,21,130341,0,false
662,22,130342,0,false
663,23,130343,0,false
664,24,130344,0,false
665,25,130345,0,false
666,26,130346,0,false
667,27,130347,227,true
668,28,130348,227,true
669,0,0,0,false
670,0,0,0,false
671,1,130361,0,false
672,2,130362,0,false
673,3,130363,0,false
674,4,130364,0,false
675,5,130365,0,false
676,6,130366,0,false
677,7,130367,0,false
678,8,130368,0,false
679,9,130369,0,false
680,10,130370,0,false
681,11,130371,0,false
682,12,130372,0,false
683,13,130373,0,false
684,14,130374,0,false
685,15,130375,0,false
686,16,130376,0,false
687,17,130377,0,false
688,18,130378,0,false
689,19,130379,0,false
690,20,130380,0,false
691,21,130381,0,false
692,22,130382,0,false
693,23,130383,0,false
694,24,130384,0,false
695,25,130385,0,false
696,26,130386,0,false
697,27,130387,227,true
698,28,130388,227,true
699,0,0,0,false
700,0,0,0,false
701,1,130401,0,false
702,2,130402,0,false
703,3,130403,0,false
704,4,130404,0,false
705,5,130405,0,false
706,6,130406,0,false
707,7,130407,0,false
708,8,130408,0,false
709,9,130409,0,false
710,10,130410,0,false
711,11,130411,0,false
712,12,130412,0,false
713,13,130413,0,false
714,14,130414,0,false
715,15,130415,0,false
716,16,130416,0,false
717,17,130417,0,false
718,18,130418,0,false
719,19,130419,0,false
720,20,130420,0,false
721,21,130421,0,false
722,22,130422,0,false
723,23,130423,0,false
724,24,130424,0,false
725,25,130425,0,false
726,26,130426,0,false
727,27,130427,227,true
728,28,130428,227,true
729,0,0,0,false
730,0,0,0,false
731,1,130441,0,false
732,2,130442,0,false
733,3,130443,0,false
734,4,130444,0,false
735,5,130445,0,false
736,6,130446,0,false
737,7,130447,0,false
738,8,130448,0,false
739,9,130449,0,false
740,10,130450,0,false
741,11,130451,0,false
742,12,130452,0,false
743,13,130453,0,false
744,14,130454,0,false
745,15,130455,0,false
746,16,130456,0,false
747,17,130457,0,false
748,18,130458,0,false
749,19,130459,0,false
750,20,130460,0,false
751,21,130461,0,false
752,22,130462,0,false
753,23,130463,0,false
754,24,130464,0,false
755,25,130465,0,false
756,26,130466,0,false
757,27,130467,227,true
758,28,130468,227,true
759,0,0,0,false
760,0,0,0,false
761,1,130481,0,false
762,2,130482,0,false
763,3,130483,0,false
764,4,130484,0,false
765,5,130485,0,false
766,6,130486,0,false
767,7,130487,0,false
768,8,130488,0,false
769,9,130489,0,false
770,10,130490,0,false
771,11,130491,0,false
772,12,130492,0,false
773,13,130493,0,false
774,14,130494,0,false
775,15,130495,0,false
776,16,130496,0,false
777,17,130497,0,false
778,18,130498,0,false
779,19,130499,0,false
780,20,130500,0,false
781,21,130501,0,false
782,22,130502,0,false
783,23,130503,0,false
784,24,130504,0,false
785,25,130505,0,false
786,26,130506,0,false
787,27,130507,227,true
788,28,130508,227,true
789,0,0,0,false
790,0,0,0,false
791,1,130521,0,false
792,2,130522,0,false
793,3,130523,0,false
794,4,130524,0,false
795,5,130525,0,false
796,6,130526,0,false
797,7,130527,0,false
798,8,130528,0,false
799,9,130529,0,false
800,10,130530,0,false
801,11,130531,0,false
802,12,130532,0,false
803,13,130533,0,false
804,14,130534,0,false
805,15,130535,0,false
806,16,130536,0,false
807,17,130537,0,false
808,18,130538,0,false
809,19,130539,0,false
810,20,130540,0,false
811,21,130541,0,false
812,22,130542,0,false
813,23,130543,0,false
814,24,130544,0,false
815,25,130545,0,false
816,26,130546,0,false
817,27,130547,227,true
818,28,130548,227,true
819,0,0,0,false
820,0,0,0,false
821,1,130561,0,false
822,2,130562,0,false
823,3,130563,0,false
824,4,130564,0,false
825,5,130565,0,false
826,6,130566,0,false
827,7,130567,0,false
828,8,130568,0,false
829,9,130569,0,false
830,10,130570,0,false
831,11,130571,0,false
832,12,130572,0,false
833,13,130573,0,false
834,14,130574,0,false
835,15,130575,0,false
836,16,130576,0,false
837,17,130577,0,false
838,18,130578,0,false
839,19,130579,0,false
840,20,130580,0,false
841,21,130581,0,false
842,22,130582,0,false
843,23,130583,0,false
844,24,130584,0,false
845,25,130585,0,false
846,26,130586,0,false
847,27,130587,227,true
848,28,130588,227,true
849,0,0,0,false
850,0,0,0,false
851,1,130601,0,false
852,2,130602,0,false
853,3,130603,0,false
854,4,130604,0,false
855,5,130605,0,false
856,6,130606,0,false
857,7,130607,0,false
858,8,130608,0,false
859,9,130609,0,false
860,10,130610,0,false
861,11,130611,0,false
862,12,130612,0,false
863,13,130613,0,false
864,14,130614,0,false
865,15,130615,0,false
866,16,130616,0,false
867,17,130617,0,false
868,18,130618,0,false
869,19,130619,0,false
870,20,130620,0,false
871,21,130621,0,false
872,22,130622,0,false
873,23,130623,0,false
874,24,130624,0,false
875,25,130625,0,false
876,26,130626,0,false
877,27,130627,227,true
878,28,130628,227,true
879,0,0,0,false
880,0,0,0,false
881,1,130641,0,false
882,2,130642,0,false
883,3,130643,0,false
884,4,130644,0,false
885,5,130645,0,false
886,6,130646,0,false
887,7,130647,0,false
888,8,130648,0,false
889,9,130649,0,false
890,10,130650,0,false
891,11,130651,0,false
892,12,130652,0,false
893,13,130653,0,false
894,14,130654,0,false
895,15,130655,0,false
896,16,130656,0,false
897,17,130657,0,false
898,18,130658,0,false
899,19,130659,0,false
900,20,130660,0,false
901,21,130661,0,false
902,22,130662,0,false
903,23,130663,0,false
904,24,130664,0,false
905,25,130665,0,false
906,26,130666,0,false
907,27,130667,227,true
908,28,130668,227,true
909,0,0,0,false
910,0,0,0,false
911,1,130681,0,false
912,2,130682,0,false
913,3,130683,0,false
914,4,130684,0,false
915,5,130685,0,false
916,6,130686,0,false
917,7,130687,0,false
918,8,130688,0,false
919,9,130689,0,false
920,10,130690,0,false
921,11,130691,0,false
922,12,130692,0,false
923,13,130693,0,false
924,14,130694,0,false
925,15,130695,0,false
926,16,130696,0,false
927,17,130697,0,false
928,18,130698,0,false
929,19,130699,0,false
930,20,130700,0,false
931,21,130701,0,false
932,22,130702,0,false
933,23,130703,0,false
934,24,130704,0,false
935,25,130705,0,false
936,26,130706,0,false
937,27,130707,227,true
938,28,130708,227,true
939,0,0,0,false
940,0,0,0,false
941,1,130721,0,false
942,2,130722,0,false
943,3,130723,0,false
944,4,130724,0,false
945,5,130725,0,false
946,6,130726,0,false
947,7,130727,0,false
948,8,130728,0,false
949,9,130729,0,false
950,10,130730,0,false
951,11,130731,0,false
952,12,130732,0,false
953,13,130733,0,false
954,14,130734,0,false
955,15,130735,0,false
956,16,130736,0,false
957,17,130737,0,false
958,18,130738,0,false
959,19,130739,0,false
960,20,130740,0,false
961,21,130741,0,false
962,22,130742,0,false
963,23,130743,0,false
964,24,130744,0,false
965,25,130745,0,false
966,26,130746,0,false
967,27,130747,227,true
968,28,130748,227,true
969,0,0,0,false
970,0,0,0,false
971,1,130761,0,false
972,2,130762,0,false
973,3,130763,0,false
974,4,130764,0,false
975,5,130765,0,false
976,6,130766,0,false
977,7,130767,0,false
978,8,130768,0,false
979,9,130769,0,false
980,10,130770,0,false
981,11,130771,0,false
982,12,130772,0,false
983,13,130773,0,false
984,14,130774,0,false
985,15,130775,0,false
986,16,130776,0,false
987,17,130777,0,false
988,18,130778,0,false
989,19,130779,0,false
990,20,130780,0,false
991,21,130781,0,false
992,22,130782,0,false
993,23,130783,0,false
994,24,130784,0,false
995,25,130785,0,false
996,26,130786,0,false
997,27,130787,227,true
998,28,130788,227,true
999,0,0,0,false
1000,0,0,0,false
