Index,0 [STRING] [0x0],1 [BYTE] [0x8],2 [STRING] [0x4],3 [BYTE] [0x9],4 [BYTE] [0xA],5 [BYTE] [0xB],6 [BYTE] [0xC],7 [BYTE] [0xD]
53,"第三大队剑斗士",0,"",0,0,1,0,0
54,"黄蜂群",0,"",0,0,1,0,0
55,"死亡凝视",0,"",0,0,1,0,0
56,"水元精",0,"",0,0,1,0,0
57,"第三大队十夫长",0,"",0,0,1,0,0
58,"第三大队绳斗士",0,"",0,0,1,0,0
59,"第三大队骑士",0,"",0,0,1,0,0
60,"第三大队拳斗士",0,"",0,0,1,0,0
61,"第三大队旗手",0,"",0,0,1,0,0
62,"翼蜥",0,"",0,0,1,0,0
63,"软糊怪",0,"",0,0,1,0,0
64,"嚎叫之妖精",0,"",0,0,1,0,0
65,"叹息之妖精",0,"",0,0,1,0,0
66,"咆哮之妖精",0,"",0,0,1,0,0
67,"嚎叫之森精",0,"",0,0,1,0,0
68,"叹息之森精",0,"",0,0,1,0,0
69,"咆哮之森精",0,"",0,0,1,0,0
70,"歌唱之森精",0,"",0,0,1,0,0
71,"黄昏结 西尔贝希奥",0,"",0,0,1,0,0
72,"波克曼",0,"",0,0,1,0,0
73,"主宰者 加尔梵斯",0,"",0,0,1,0,0
74,"破碎金龟",0,"",0,0,1,0,0
75,"埃利科",0,"",0,0,1,0,0
76,"格尔莫拉高战士",0,"",0,0,1,0,0
77,"格尔莫拉钝战士",0,"",0,0,1,0,0
78,"格尔莫拉爪战士",0,"",0,0,1,0,0
79,"卫月祭司",0,"",0,0,1,0,0
80,"红腹敢死蜂兵",0,"",0,0,1,0,0
81,"毒针 塞韦兰",0,"",0,0,1,0,0
82,"红腹守巢蜂兵",0,"",0,0,1,0,0
83,"红腹锐眼蜂兵",0,"",0,0,1,0,0
84,"红腹吟歌蜂兵",0,"",0,0,1,0,0
85,"忏悔者 多夫甘",0,"",0,0,1,0,0
86,"饿犬家族操舵员",0,"",0,0,1,0,0
87,"饿犬家族甲板员",0,"",0,0,1,0,0
88,"饿犬家族机关手",0,"",0,0,1,0,0
89,"饿犬家族炮手",0,"",0,0,1,0,0
90,"魔石精",0,"",0,0,1,0,0
91,"魔石精",0,"",0,0,1,0,0
92,"心火蛛蝎",0,"",0,0,1,0,0
93,"明尾蛛蝎",0,"",0,0,1,0,0
94,"螯刺蛛蝎",0,"",0,0,1,0,0
95,"熔体软糊怪",0,"",0,0,1,0,0
96,"百臂首脑巨人",0,"",0,0,1,0,0
97,"百臂运石巨人",0,"",0,0,1,0,0
98,"百臂抗击巨人",0,"",0,0,1,0,0
99,"百臂打桩巨人",0,"",0,0,1,0,0
100,"百臂暴冲巨人",0,"",0,0,1,0,0
101,"强腕的居格斯",0,"",0,0,1,0,0
102,"鸟人剑卫",0,"",0,0,1,0,0
103,"鸟人豪放猛士",0,"",0,0,1,0,0
104,"鸟人敏捷战士",0,"",0,0,1,0,0
105,"鸟人迷雾术士",0,"",0,0,1,0,0
106,"长须豹",0,"",0,0,1,0,0
107,"蔓德拉",0,"",0,0,1,0,0
108,"",0,"",0,0,0,0,0
109,"掘墓小妖",0,"",0,0,1,0,0
110,"尸鬼士兵",0,"",0,0,1,0,0
111,"墓园灵蛛蝎",0,"",0,0,1,0,0
112,"小狐蝠",0,"",0,0,1,0,0
113,"土元精",0,"",0,0,1,0,0
114,"冰元精",0,"",0,0,1,0,0
115,"风元精",0,"",0,0,1,0,0
116,"火元精",0,"",0,0,1,0,0
117,"雷元精",0,"",0,0,1,0,0
118,"飞蚊群",0,"",0,0,1,0,0
119,"遗恨者 奥克塔韦尔",0,"",0,0,1,0,0
120,"变色龙",0,"",0,0,1,0,0
121,"红腹群点蜂兵",0,"",0,0,1,0,0
122,"红腹螯刺蜂兵",0,"",0,0,1,0,0
123,"毒波陷阱草",0,"",0,0,1,0,0
124,"猛毒陷阱草",0,"",0,0,1,0,0
125,"脓血巨蝇",0,"",0,0,1,0,0
126,"巨型蛞蝓",0,"",0,0,1,0,0
127,"庞大蛞蝓",0,"",0,0,1,0,0
128,"幼体树精",0,"",0,0,1,0,0
129,"萤火虫",0,"",0,0,1,0,0
130,"森疾龙",0,"",0,0,1,0,0
131,"陨坑巨像",0,"",0,0,1,0,0
132,"烟雾弹怪",0,"",0,0,1,0,0
133,"巨型蝙蝠",0,"",0,0,1,0,0
134,"污浊的土元精",0,"",0,0,1,0,0
135,"污浊的风元精",0,"",0,0,1,0,0
136,"污浊的水元精",0,"",0,0,1,0,0
137,"徘徊尸鬼",0,"",0,0,1,0,0
138,"红腹狩猎蜂兵",0,"",0,0,1,0,0
139,"豹爪猎手",0,"",0,0,1,0,0
140,"豹爪偷猎手",0,"",0,0,1,0,0
141,"寄生魔菇",0,"",0,0,1,0,0
142,"幼年雄羚羊",0,"",0,0,1,0,0
143,"伊尼克家仆",0,"",0,0,1,0,0
144,"梅那家恶棍",0,"",0,0,1,0,0
145,"腐甲虫",0,"",0,0,1,0,0
146,"肉蝇群",0,"",0,0,1,0,0
147,"墓火",0,"",0,0,1,0,0
148,"怪异的灯火",0,"",0,0,1,0,0
149,"群生蛛蝎",0,"",0,0,1,0,0
150,"野种蛛蝎",0,"",0,0,1,0,0
151,"污染血虱",0,"",0,0,1,0,0
152,"虚焰弹怪",0,"",0,0,1,0,0
153,"狱门翼蜥",0,"",0,0,1,0,0
154,"姆恩·图伊红花苗",0,"",0,0,1,0,0
155,"蛛蝎陷阱草",0,"",0,0,1,0,0
156,"狱卒提灯",0,"",0,0,1,0,0
157,"小蛛蝎",0,"",0,0,1,0,0
158,"狱门软糊怪",0,"",0,0,1,0,0
159,"求寡蛛蝎",0,"",0,0,1,0,0
160,"妖精领秃鹫",0,"",0,0,1,0,0
161,"小疣猪",0,"",0,0,1,0,0
162,"乳根花苗",0,"",0,0,1,0,0
163,"妖精领哨兵",0,"",0,0,1,0,0
164,"梦蟾蜍",0,"",0,0,1,0,0
165,"乳根花簇",0,"",0,0,1,0,0
166,"妖精菌帽",0,"",0,0,1,0,0
167,"梦幻之森精",0,"",0,0,1,0,0
168,"花蝇群",0,"",0,0,1,0,0
169,"豹爪剑手",0,"",0,0,1,0,0
170,"深空山鼠",0,"",0,0,1,0,0
171,"小狐蝠",0,"",0,0,1,0,0
172,"红腹盗窃蜂兵",0,"",0,0,1,0,0
173,"原种变色龙",0,"",0,0,1,0,0
174,"守卫军狼",0,"",0,0,1,0,0
175,"剧毒陷阱草",0,"",0,0,1,0,0
176,"雌觅食羚羊",0,"",0,0,1,0,0
177,"叶脉蛞蝓",0,"",0,0,1,0,0
178,"叶脉蛛蝎",0,"",0,0,1,0,0
179,"蜜蜂群",0,"",0,0,1,0,0
180,"叶脉妖红花",0,"",0,0,1,0,0
181,"食腐沙蚤",0,"",0,0,1,0,0
182,"僵尸守卫",0,"",0,0,1,0,0
183,"北森狐猴",0,"",0,0,1,0,0
184,"南森奥猴",0,"",0,0,1,0,0
185,"蛇蝎心 让勒米",0,"",0,0,1,0,0
186,"防备骑士",0,"",0,0,1,0,0
187,"沼火",0,"",0,0,1,0,0
188,"腐生蛞蝓",0,"",0,0,1,0,0
189,"愤怒的盗贼",0,"",0,0,1,0,0
190,"鸟人斥候",0,"",0,0,1,0,0
191,"饮露花甲虫",0,"",0,0,1,0,0
192,"鸟人钝爪剑士",0,"",0,0,1,0,0
193,"鸟人折翼勇士",0,"",0,0,1,0,0
194,"鸟人迟枪战士",0,"",0,0,1,0,0
195,"野猪幼崽",0,"",0,0,1,0,0
196,"深黑水蜥",0,"",0,0,1,0,0
197,"沼泽盲头蟹",0,"",0,0,1,0,0
198,"破果松鼠",0,"",0,0,1,0,0
199,"绊脚魔菇",0,"",0,0,1,0,0
200,"搬运花甲虫",0,"",0,0,1,0,0
201,"飞蝇云",0,"",0,0,1,0,0
202,"饥饿野猪幼崽",0,"",0,0,1,0,0
203,"皮藤小口花",0,"",0,0,1,0,0
204,"黄盲头蟹",0,"",0,0,1,0,0
205,"斑点水蜥",0,"",0,0,1,0,0
206,"潜行变色龙",0,"",0,0,1,0,0
207,"浮游之眼",0,"",0,0,1,0,0
208,"鸟人轻翼勇士",0,"",0,0,1,0,0
209,"鸟人灵爪剑士",0,"",0,0,1,0,0
210,"鸟人直枪战士",0,"",0,0,1,0,0
211,"荧光虫",0,"",0,0,1,0,0
212,"独行黑狼",0,"",0,0,1,0,0
213,"扼蔓大口花",0,"",0,0,1,0,0
214,"群蔓大口花",0,"",0,0,1,0,0
215,"群祭大口花",0,"",0,0,1,0,0
216,"毒蟾蜍",0,"",0,0,1,0,0
217,"笑蟾蜍",0,"",0,0,1,0,0
218,"卢恩人捣乱者",0,"",0,0,1,0,0
219,"卢恩人助猎者",0,"",0,0,1,0,0
220,"仙境魔菇",0,"",0,0,1,0,0
221,"护巢席兹",0,"",0,0,1,0,0
222,"换羽席兹",0,"",0,0,1,0,0
223,"席兹雏鸟",0,"",0,0,1,0,0
224,"席兹",0,"",0,0,1,0,0
225,"哥布林猎手",0,"",0,0,1,0,0
226,"河畔盲头蟹",0,"",0,0,1,0,0
227,"清道盲头蟹",0,"",0,0,1,0,0
228,"吼叫水蜥",0,"",0,0,1,0,0
229,"尖叫之森精",0,"",0,0,1,0,0
230,"清飒之森精",0,"",0,0,1,0,0
231,"呻吟之森精",0,"",0,0,1,0,0
232,"病害树精",0,"",0,0,1,0,0
233,"老龄树精",0,"",0,0,1,0,0
234,"小口鬼鮟鱇",0,"",0,0,1,0,0
235,"大口鬼鮟鱇",0,"",0,0,1,0,0
236,"亡魂",0,"",0,0,1,0,0
237,"魔界花",0,"",0,0,1,0,0
238,"套索花",0,"",0,0,1,0,0
239,"盗龙偷猎者",0,"",0,0,1,0,0
240,"疣猪偷猎者",0,"",0,0,1,0,0
241,"黑狼偷猎者",0,"",0,0,1,0,0
242,"冥鬼之眼",0,"",0,0,1,0,0
243,"精铁龟",0,"",0,0,1,0,0
244,"巨龟",0,"",0,0,1,0,0
245,"蜥蜴人枪兵",0,"",0,0,1,0,0
246,"蜥蜴人刺杀者",0,"",0,0,1,0,0
247,"蜥蜴人投枪兵",0,"",0,0,1,0,0
248,"蜥蜴人渔枪兵",0,"",0,0,1,0,0
249,"蜥蜴人弓手",0,"",0,0,1,0,0
250,"蜥蜴人狩猎兵",0,"",0,0,1,0,0
251,"蜥蜴人游猎兵",0,"",0,0,1,0,0
252,"蜥蜴人狙猎兵",0,"",0,0,1,0,0
253,"蜥蜴人拳手",0,"",0,0,1,0,0
254,"蜥蜴人强击手",0,"",0,0,1,0,0
255,"石英爪 纳扎古·夏",0,"",0,0,1,0,0
256,"蜥蜴人攻斗兵",0,"",0,0,1,0,0
257,"金刚爪 奈寨德·夏",0,"",0,0,1,0,0
258,"蜥蜴人咒术法师",0,"",0,0,1,0,0
259,"蜥蜴人预知法师",0,"",0,0,1,0,0
260,"蜥蜴人占卜法师",0,"",0,0,1,0,0
261,"亚拉戈发条蜘蛛",0,"",0,0,1,0,0
262,"星点栗鼠",0,"",0,0,1,0,0
263,"恐慌黑狼",0,"",0,0,1,0,0
264,"烈阳火蛟",0,"",0,0,1,0,0
265,"沙蟾蜍",0,"",0,0,1,0,0
266,"卢恩人护甲手",0,"",0,0,1,0,0
267,"亚拉戈那迦",0,"",0,0,1,0,0
268,"卢恩人跑獐手",0,"",0,0,1,0,0
269,"魔导先锋",0,"",0,0,1,0,0
270,"榴弹怪",0,"",0,0,1,0,0
271,"金羊毛球",0,"",0,0,1,0,0
272,"毛球",0,"",0,0,1,0,0
273,"公洞山羊",0,"",0,0,1,0,0
274,"母洞山羊",0,"",0,0,1,0,0
275,"石英矿妖虫",0,"",0,0,1,0,0
276,"锈蚀矿爬虫",0,"",0,0,1,0,0
277,"铜矿爬虫",0,"",0,0,1,0,0
278,"铅矿爬虫",0,"",0,0,1,0,0
279,"烈阳蝙蝠",0,"",0,0,1,0,0
280,"砂石巨像",0,"",0,0,1,0,0
281,"斧喙魔鸟",0,"",0,0,1,0,0
282,"锤喙魔鸟",0,"",0,0,1,0,0
283,"哥布林劫匪",0,"",0,0,1,0,0
284,"嗜食盲头蟹",0,"",0,0,1,0,0
285,"黄盲头蟹",0,"",0,0,1,0,0
286,"仙人刺",0,"",0,0,1,0,0
287,"仙人掌",0,"",0,0,1,0,0
288,"洋红仙人掌",0,"",0,0,1,0,0
289,"水蜥",0,"",0,0,1,0,0
290,"沙地巨虫",0,"",0,0,1,0,0
291,"衔尾巨虫",0,"",0,0,1,0,0
292,"灵蚁兵蚁",0,"",0,0,1,0,0
293,"灵蚁警卫",0,"",0,0,1,0,0
294,"灵蚁工蚁",0,"",0,0,1,0,0
295,"西牟格",0,"",0,0,1,0,0
296,"蜂甲虫",0,"",0,0,1,0,0
297,"魔导巨兵",0,"",0,0,1,0,0
298,"光蚊群",0,"",0,0,1,0,0
299,"筑巢秃鹫",0,"",0,0,1,0,0
300,"海湾秃鹫",0,"",0,0,1,0,0
301,"峡谷秃鹫",0,"",0,0,1,0,0
302,"土狗",0,"",0,0,1,0,0
303,"砂皮毒蜥蜴",0,"",0,0,1,0,0
304,"石蜥蜴",0,"",0,0,1,0,0
305,"沙漠毒蜥蜴",0,"",0,0,1,0,0
306,"土针鼹",0,"",0,0,1,0,0
307,"鮟鱇",0,"",0,0,1,0,0
308,"鬼鮟鱇",0,"",0,0,1,0,0
309,"膨胀妖灵",0,"",0,0,1,0,0
310,"月滴运石巨人",0,"",0,0,1,0,0
311,"艾玛吉娜运石巨人",0,"",0,0,1,0,0
312,"月滴暴冲巨人",0,"",0,0,1,0,0
313,"艾玛吉娜暴冲巨人",0,"",0,0,1,0,0
314,"月滴打桩巨人",0,"",0,0,1,0,0
315,"艾玛吉娜打桩巨人",0,"",0,0,1,0,0
316,"爆弹怪",0,"",0,0,1,0,0
317,"盗墓魔石精",0,"",0,0,1,0,0
318,"猛烈鼩鼱",0,"",0,0,1,0,0
319,"腐尸",0,"",0,0,1,0,0
320,"阵亡士兵",0,"",0,0,1,0,0
321,"阵亡守卫",0,"",0,0,1,0,0
322,"腐尸贵族",0,"",0,0,1,0,0
323,"阵亡法师",0,"",0,0,1,0,0
324,"阵亡巫师",0,"",0,0,1,0,0
325,"夺命刺客",0,"",0,0,1,0,0
326,"屈伊伯龙家侍卫",0,"",0,0,1,0,0
327,"毒舌刺客",0,"",0,0,1,0,0
328,"屈伊伯龙男爵三世",0,"",0,0,1,0,0
329,"直射刺客",0,"",0,0,1,0,0
330,"屈伊伯龙家佣人",0,"",0,0,1,0,0
331,"骸旅团斗舞兵",0,"",0,0,1,0,0
332,"骸旅团魔术兵",0,"",0,0,1,0,0
333,"骸旅团刺舞兵",0,"",0,0,1,0,0
334,"高洁孤儿团走私者",0,"",0,0,1,0,0
335,"高洁孤儿团头领",0,"",0,0,1,0,0
336,"高洁孤儿团掌柜",0,"",0,0,1,0,0
337,"精炼剑手",0,"",0,0,1,0,0
338,"精炼斗王",0,"",0,0,1,0,0
339,"精炼辩士",0,"",0,0,1,0,0
340,"恐龟",0,"",0,0,1,0,0
341,"碧企鹅",0,"",0,0,1,0,0
342,"蛇尾海盗",0,"",0,0,1,0,0
343,"刻印斧 艾尔姆斯维斯",0,"",0,0,1,0,0
344,"蛇爪海盗",0,"",0,0,1,0,0
345,"赤爪海盗",0,"",0,0,1,0,0
346,"蛇鳞海盗",0,"",0,0,1,0,0
347,"赤鳞海盗",0,"",0,0,1,0,0
348,"蛇眼海盗",0,"",0,0,1,0,0
349,"河蟾蜍",0,"",0,0,1,0,0
350,"卢恩人拍岸手",0,"",0,0,1,0,0
351,"卢恩人烘鸥手",0,"",0,0,1,0,0
352,"丛林长须豹",0,"",0,0,1,0,0
353,"古菩猩猩",0,"",0,0,1,0,0
354,"无苔古菩猩猩",0,"",0,0,1,0,0
355,"霉变古菩猩猩",0,"",0,0,1,0,0
356,"厚苔古菩猩猩",0,"",0,0,1,0,0
357,"原牛",0,"",0,0,1,0,0
358,"负伤原牛",0,"",0,0,1,0,0
359,"撼天猛牛",0,"",0,0,1,0,0
360,"海蜂水母",0,"",0,0,1,0,0
361,"鲜血滨铃水母",0,"",0,0,1,0,0
362,"游荡海月水母",0,"",0,0,1,0,0
363,"黄昏蝙蝠",0,"",0,0,1,0,0
364,"洞穴蝙蝠",0,"",0,0,1,0,0
365,"玄岩巨像",0,"",0,0,1,0,0
366,"巨型鹈鹕",0,"",0,0,1,0,0
367,"哥布林鱼师",0,"",0,0,1,0,0
368,"地灵清洁工",0,"",0,0,1,0,0
369,"地灵采矿员",0,"",0,0,1,0,0
370,"地灵采集员",0,"",0,0,1,0,0
371,"地灵祭司",0,"",0,0,1,0,0
372,"地灵信徒",0,"",0,0,1,0,0
373,"地灵传教士",0,"",0,0,1,0,0
374,"地灵执事",0,"",0,0,1,0,0
375,"地灵受施者",0,"",0,0,1,0,0
376,"地灵助祭",0,"",0,0,1,0,0
377,"地灵巡逻员",0,"",0,0,1,0,0
378,"地灵侍者",0,"",0,0,1,0,0
379,"地灵巡视员",0,"",0,0,1,0,0
380,"地灵侍应员",0,"",0,0,1,0,0
381,"丛林盲头蟹",0,"",0,0,1,0,0
382,"渡水盲头蟹",0,"",0,0,1,0,0
383,"吸血盲头蟹",0,"",0,0,1,0,0
384,"礁爪鱼人",0,"",0,0,1,0,0
385,"壕爪鱼人",0,"",0,0,1,0,0
386,"礁鳞鱼人",0,"",0,0,1,0,0
387,"鱼人北部队长",0,"",0,0,1,0,0
388,"壕牙鱼人",0,"",0,0,1,0,0
389,"礁棘鱼人",0,"",0,0,1,0,0
390,"鱼人南部队长",0,"",0,0,1,0,0
391,"蝾螈",0,"",0,0,1,0,0
392,"迷途羊羔",0,"",0,0,1,0,0
393,"渡渡鸟",0,"",0,0,1,0,0
394,"胖渡渡鸟",0,"",0,0,1,0,0
395,"蜜蜂云",0,"",0,0,1,0,0
396,"粪蚊群",0,"",0,0,1,0,0
397,"秃鹰",0,"",0,0,1,0,0
398,"高地秃鹰",0,"",0,0,1,0,0
399,"狂野黑豺",0,"",0,0,1,0,0
400,"妖红花",0,"",0,0,1,0,0
401,"跳蜥幼体",0,"",0,0,1,0,0
402,"跳蜥",0,"",0,0,1,0,0
403,"针鼹",0,"",0,0,1,0,0
404,"妖灵",0,"",0,0,1,0,0
405,"小蔓德拉",0,"",0,0,1,0,0
406,"接雨蔓德拉",0,"",0,0,1,0,0
407,"环尾猴",0,"",0,0,1,0,0
408,"婴猴",0,"",0,0,1,0,0
409,"莫拉比鼹鼠",0,"",0,0,1,0,0
410,"阴沟鼹鼠",0,"",0,0,1,0,0
411,"草速龙",0,"",0,0,1,0,0
412,"迅猛龙",0,"",0,0,1,0,0
413,"辉鳞人行刑者",0,"",0,0,1,0,0
414,"辉鳞人育种者",0,"",0,0,1,0,0
415,"辉鳞人诡辩者",0,"",0,0,1,0,0
416,"辉鳞人渗透者",0,"",0,0,1,0,0
417,"码头沟鼠",0,"",0,0,1,0,0
418,"落地劫匪",0,"",0,0,1,0,0
419,"培提尔队长",0,"",0,0,1,0,0
420,"罗塔诺海盗",0,"",0,0,1,0,0
421,"落地海盗",0,"",0,0,1,0,0
422,"阿芒迪娜女士",0,"",0,0,1,0,0
423,"随从女工",0,"",0,0,1,0,0
424,"随从女仆",0,"",0,0,1,0,0
425,"夫人手提灯",0,"",0,0,1,0,0
426,"庄园的小丑",0,"",0,0,1,0,0
427,"庄园的总管",0,"",0,0,1,0,0
428,"庄园的守卫",0,"",0,0,1,0,0
429,"庄园的大厨",0,"",0,0,1,0,0
430,"阁楼蝙蝠",0,"",0,0,1,0,0
431,"攻击猎犬",0,"",0,0,1,0,0
432,"地毯污蝓",0,"",0,0,1,0,0
433,"沙发霉菌",0,"",0,0,1,0,0
434,"庄园的佣人",0,"",0,0,1,0,0
435,"尸蝇",0,"",0,0,1,0,0
436,"鸟人风爪剑士",0,"",0,0,1,0,0
437,"小口花苞",0,"",0,0,1,0,0
438,"囚人笑菌",0,"",0,0,1,0,0
439,"粘丝壁",0,"",0,0,1,0,0
440,"霸道蛛蝎的毒尾",0,"",0,0,1,0,0
441,"守卫鞭",0,"",0,0,1,0,0
442,"豹尾花",0,"",0,0,1,0,0
443,"伴星蛛蝎",0,"",0,0,1,0,0
444,"霸星蛛蝎",0,"",0,0,1,0,0
445,"停滞水元精",0,"",0,0,1,0,0
446,"阿希帕特拉",0,"",0,0,1,0,0
447,"玛塔丐丐",0,"",0,0,1,0,0
448,"卢卡寇",0,"",0,0,1,0,0
449,"顽猴杰克",0,"",0,0,1,0,0
450,"醉客斯宾塞",0,"",0,0,1,0,0
451,"双尾豹 雅毕·卡塔波",0,"",0,0,1,0,0
452,"库鲁皮拉",0,"",0,0,1,0,0
453,"鬼哭队卫士",0,"",0,0,1,0,0
454,"粗野的冒险者",0,"",0,0,1,0,0
455,"虚无魂魔",0,"",0,0,1,0,0
456,"主宰者的侍从",0,"",0,0,1,0,0
457,"情绪不稳的盗贼",0,"",0,0,1,0,0
458,"雌觅食羚羊",0,"",0,0,1,0,0
459,"卑劣巨蝇",0,"",0,0,1,0,0
460,"雄觅食羚羊",0,"",0,0,1,0,0
461,"祸蛛蝎",0,"",0,0,1,0,0
462,"断鳞龙",0,"",0,0,1,0,0
463,"滑藤大口花",0,"",0,0,1,0,0
464,"法外哥布林",0,"",0,0,1,0,0
465,"铁面 斯提克弗里克斯",0,"",0,0,1,0,0
466,"驯化祸蛛蝎",0,"",0,0,1,0,0
467,"幽鬼之眼",0,"",0,0,1,0,0
468,"群落席兹",0,"",0,0,1,0,0
469,"乳根蔓德拉",0,"",0,0,1,0,0
470,"梦幻 布拉奇希奥",0,"",0,0,1,0,0
471,"悬赏魔物：愤怒母猪",0,"",0,0,1,0,0
472,"悬赏魔物：腐尸哨兵树",0,"",0,0,1,0,0
473,"悬赏魔物：顽皮小鬼",0,"",0,0,1,0,0
474,"悬赏魔物：七龄巨蝇",0,"",0,0,1,0,0
475,"悬赏魔物：首领雄羚羊",0,"",0,0,1,0,0
476,"悬赏魔物：通缉哥布林",0,"",0,0,1,0,0
477,"悬赏魔物：葱翠魔界花",0,"",0,0,1,0,0
478,"库帕恩·咔噗",0,"",0,0,1,0,0
479,"品行端正的伽特里克斯",0,"",0,0,1,0,0
480,"映日软糊怪",0,"",0,0,1,0,0
481,"巨翼巨虻",0,"",0,0,1,0,0
482,"碎果松鼠",0,"",0,0,1,0,0
483,"无主扒手",0,"",0,0,1,0,0
484,"红帽魔菇",0,"",0,0,1,0,0
485,"吠甲虫",0,"",0,0,1,0,0
486,"刺蝇群",0,"",0,0,1,0,0
487,"乳猪",0,"",0,0,1,0,0
488,"无主恶盗",0,"",0,0,1,0,0
489,"侵略盲头蟹",0,"",0,0,1,0,0
490,"飞蚊云",0,"",0,0,1,0,0
491,"徘徊妖火",0,"",0,0,1,0,0
492,"捣蛋小鬼",0,"",0,0,1,0,0
493,"鬼哭队僵尸",0,"",0,0,1,0,0
494,"鬼哭队尸妖",0,"",0,0,1,0,0
495,"叶脉凶蛛蝎",0,"",0,0,1,0,0
496,"叶脉祸蛛蝎",0,"",0,0,1,0,0
497,"叶脉大口花",0,"",0,0,1,0,0
498,"食道乐 泽泽卢恩",0,"",0,0,1,0,0
499,"猛冲狐猴",0,"",0,0,1,0,0
500,"迷蟾蜍",0,"",0,0,1,0,0
501,"卑鄙小恶魔",0,"",0,0,1,0,0
502,"饥饿野猪",0,"",0,0,1,0,0
503,"肥硕鬼鮟鱇",0,"",0,0,1,0,0
504,"沃土妖灵",0,"",0,0,1,0,0
505,"叶脉魔界花",0,"",0,0,1,0,0
506,"产卵精金龟",0,"",0,0,1,0,0
507,"妖精孤儿",0,"",0,0,1,0,0
508,"狂怒榆树精",0,"",0,0,1,0,0
509,"厚毛雌羚羊",0,"",0,0,1,0,0
510,"高速魔导驱逐艇",0,"",0,0,1,0,0
511,"路障",0,"",0,0,1,0,0
512,"阿路修",0,"",0,0,1,0,0
513,"瘟疫王子",0,"",0,0,1,0,0
514,"西洛可",0,"",0,0,1,0,0
515,"豹爪偷猎王",0,"",0,0,1,0,0
516,"额星蛛蝎",0,"",0,0,1,0,0
517,"狂人 米罗东",0,"",0,0,1,0,0
518,"双蛇党新兵",0,"",0,0,1,0,0
519,"格雷洛姆园艺工",0,"",0,0,1,0,0
520,"无计可施的商人",0,"",0,0,1,0,0
521,"鬼哭队的补给物资",0,"",0,0,1,0,0
522,"装有姆恩·图伊豆的麻袋",0,"",0,0,1,0,0
523,"红腹蜂巢大门",0,"",0,0,1,0,0
524,"愤怒的养蜂人",0,"",0,0,1,0,0
525,"烦恼的养蜂人",0,"",0,0,1,0,0
526,"鬼哭队队员",0,"",0,0,1,0,0
527,"黑衣森林狩猎人",0,"",0,0,1,0,0
528,"北森奥猴",0,"",0,0,1,0,0
529,"束手无策的常客",0,"",0,0,1,0,0
530,"消息通冒险者",0,"",0,0,1,0,0
531,"暂留地的妖精",0,"",0,0,1,0,0
532,"豹爪王的情妇",0,"",0,0,1,0,0
