Index,0 [UINT] [0x0],1 [UINT] [0x4],2 [UINT] [0x8],3 [UINT] [0xC],4 [UINT] [0x10],5 [UINT] [0x14],6 [UINT] [0x18],7 [UINT] [0x1C],8 [UINT] [0x20],9 [UINT] [0x24],10 [UINT] [0x28],11 [UINT] [0x2C],12 [UINT] [0x30],13 [UINT] [0x34],14 [UINT] [0x38],15 [UINT] [0x3C]
852015,65946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852016,65768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852017,65770,65843,66039,65763,0,0,0,0,0,0,0,0,0,0,0,0
852018,65909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852019,66069,65840,65857,65699,65789,65881,65882,65822,66018,66089,0,0,0,0,0,0
852020,65859,65863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852021,65899,65974,66247,66681,0,0,0,0,0,0,0,0,0,0,0,0
852022,65900,65893,66257,0,0,0,0,0,0,0,0,0,0,0,0,0
852023,65903,66264,65904,0,0,0,0,0,0,0,0,0,0,0,0,0
852024,65903,66097,66264,66813,0,0,0,0,0,0,0,0,0,0,0,0
852025,65583,66162,66173,0,0,0,0,0,0,0,0,0,0,0,0,0
852026,65908,66099,66246,66813,66791,0,0,0,0,0,0,0,0,0,0,0
852027,65947,65877,66161,65992,66421,65993,66970,0,0,0,0,0,0,0,0,0
852028,65584,65629,65977,0,0,0,0,0,0,0,0,0,0,0,0,0
852029,66004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852030,65923,65583,66094,66066,0,66385,0,0,0,0,0,0,0,0,0,0
852031,0,65951,66100,0,0,0,0,0,0,0,0,0,0,0,0,0
852032,65583,66006,66361,0,0,0,0,0,0,0,0,0,0,0,0,0
852033,0,65919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852034,65858,65905,66041,66265,66354,0,0,0,0,0,0,0,0,0,0,0
852035,65841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852036,65875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852037,65895,66254,66321,0,0,0,0,0,0,0,0,0,0,0,0,0
852038,65896,66601,66302,66764,0,0,0,0,0,0,0,0,0,0,0,0
852039,65862,65760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852040,65571,65679,66169,66610,0,0,0,0,0,0,0,0,0,0,0,0
852041,65627,65683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852042,65629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852043,720906,721044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852044,65591,66794,66815,0,0,0,0,0,0,0,0,0,0,0,0,0
852045,65628,65629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852046,65936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852047,65935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852048,65941,65991,66683,0,0,0,0,0,0,0,0,0,0,0,0,0
852049,66069,65789,66108,65881,65882,65822,66089,66940,0,0,0,0,0,0,0,0
852050,66009,66678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852051,66679,0,66167,66165,0,0,0,0,0,0,0,0,0,0,0,0
852052,66098,66941,66402,66534,0,0,0,0,0,0,0,0,0,0,0,0
852053,66101,66310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852054,65871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852055,65871,66373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852056,66160,66623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852057,66091,66234,65912,66697,0,0,0,0,0,0,0,0,0,0,0,0
852058,66069,66089,65881,65882,65789,65822,0,0,0,0,0,0,0,0,0,0
852059,0,65867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852060,65766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852061,0,65867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852062,66011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852063,66197,65847,65848,65989,65990,0,0,0,0,0,0,0,0,0,0,0
852064,65847,65848,65652,0,0,0,0,0,0,0,0,0,0,0,0,0
852065,65710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852066,66014,66015,66369,66400,66858,66859,0,0,0,0,0,0,0,0,0,0
852067,66014,66015,66400,66369,66879,66859,0,0,0,0,0,0,0,0,0,0
852068,65884,65885,66154,66365,66775,0,0,0,0,0,0,0,0,0,0,0
852069,65792,66825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852070,66103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852071,65766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852072,65766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852073,1245186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852074,65852,66270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852075,66157,66591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852076,1245185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852077,1245187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852078,66104,66105,66106,0,0,0,0,0,0,0,0,0,0,0,0,0
852079,65644,65645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852080,65765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852081,65797,65824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852082,65792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852083,65635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852084,65800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852085,131102,131104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852086,131103,131105,66057,66196,66055,0,0,0,0,0,0,0,0,0,0,0
852087,131101,131106,66488,0,0,0,0,0,0,0,0,0,0,0,0,0
852088,131107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852089,131108,66572,65872,0,0,0,0,0,0,0,0,0,0,0,0,0
852090,65801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852091,65801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852092,65801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852093,1703937,66053,66282,66060,0,0,0,0,0,0,0,0,0,0,0,0
852094,262406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852095,262405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852096,262404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852097,65798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852098,720916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852099,65884,65885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852100,65759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852101,65710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852102,65710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852103,66956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852104,66582,66274,66539,66538,0,0,0,0,0,0,0,0,0,0,0,0
852105,0,66276,66521,66539,66582,0,0,0,0,0,0,0,0,0,0,0
852106,0,66274,66521,66582,66539,66278,0,0,0,0,0,0,0,0,0,0
852107,66274,66521,66539,66582,0,0,0,0,0,0,0,0,0,0,0,0
852108,66326,66339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852109,66287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852110,1703938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852111,66087,66488,66086,65856,0,0,0,0,0,0,0,0,0,0,0,0
852112,66290,66684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852114,65994,66934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852115,65994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852117,1703937,131088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852119,1703937,131090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852120,66358,0,66359,0,0,0,0,0,0,0,0,0,0,0,0,0
852123,66422,66425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852124,66422,66425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852129,66295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852133,66370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852135,66306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852137,66353,66396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852138,66369,66866,66400,0,66858,66859,66877,66906,0,0,0,0,0,0,0,0
852140,66340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852142,66372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852143,66417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852144,66365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852146,66378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852147,66397,66876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852149,66356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852150,0,66439,66440,0,0,0,0,0,0,0,0,0,0,0,0,0
852152,66501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852153,66383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852154,66365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852155,0,66537,66637,66523,66475,0,0,0,0,0,0,0,0,0,0,0
852156,66521,66582,66539,66278,0,0,0,0,0,0,0,0,0,0,0,0
852157,66524,66804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852158,66429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852160,66435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852161,66389,66593,66714,66920,0,0,0,0,0,0,0,0,0,0,0,0
852162,66507,66506,66662,66814,66816,0,0,0,0,0,0,0,0,0,0,0
852165,66430,66461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852167,66493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852168,66494,66574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852170,66575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852171,0,0,66483,0,0,0,0,0,0,0,0,0,0,0,0,0
852172,66582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852173,66794,0,66533,0,0,0,0,0,0,0,0,0,0,0,0,0
852174,66547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852177,66473,66485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852178,66466,66803,66462,0,0,0,0,0,0,0,0,0,0,0,0,0
852179,66529,66531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852180,0,66437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852181,66581,66335,66611,0,0,0,0,0,0,0,0,0,0,0,0,0
852182,65627,65683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852183,65992,65993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852184,65797,65824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852185,0,66622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852186,0,66622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852187,0,66622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852188,66523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852190,66528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852191,66569,66570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852193,66506,66662,66804,0,0,66814,66815,0,0,0,0,0,0,0,0,0
852194,66506,66662,66803,66810,66814,0,0,0,0,0,0,0,0,0,0,0
852195,66604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852196,66563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852197,66563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852199,66605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852200,66605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852201,66564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852203,66565,66940,66942,0,0,0,0,0,0,0,0,0,0,0,0,0
852204,66565,66940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852205,66565,66940,66922,0,0,0,0,0,0,0,0,0,0,0,0,0
852210,66510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852211,66510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852212,66607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852214,66588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852215,66588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852216,66588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852217,1703937,65575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852218,1703937,65575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852219,1703937,65643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852220,1703937,65643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852221,1703937,66130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852222,1703937,66130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852223,1703937,66130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852224,66616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852225,66617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852226,66617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852227,66566,66663,66915,66936,66893,66933,0,0,0,0,0,0,0,0,0,0
852231,66568,66663,66926,66927,66936,0,0,0,0,0,0,0,0,0,0,0
852233,66588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852234,66589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852235,66606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852236,66606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852237,66606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852238,66606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852239,66603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852240,66619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852241,66619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852242,66619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852243,66317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852244,66050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852246,66337,65981,65983,65665,0,0,0,0,0,0,0,0,0,0,0,0
852247,66488,66731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852249,66343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852252,66311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852253,0,66292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852255,66427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852256,66432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852257,66446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852259,66594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852260,66594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852264,66598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852266,66599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852267,66586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852268,66600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852270,66601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852271,66609,66518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852272,66451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852273,66456,66902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852274,66613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852275,66613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852276,66655,66659,66661,66658,66657,66656,66663,66662,66660,0,0,0,0,0,0,0
852277,66655,66659,66661,66658,66657,66656,66663,66662,66660,0,0,0,0,0,0,0
852278,66581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852279,66581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852280,66054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852281,66472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852282,66472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852283,66630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852284,66629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852285,66629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852286,66452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852287,66444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852289,66571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852292,66571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852293,66623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852295,66655,66659,66660,66907,66901,66871,0,0,0,0,0,0,0,0,0,0
852296,66655,66864,66901,66904,66877,66906,0,0,0,0,0,0,0,0,0,0
852297,66655,66659,66660,66900,66901,66879,0,0,0,0,0,0,0,0,0,0
852299,66322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852300,66636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852302,66315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852303,66315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852304,66315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852305,66687,66969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852306,66666,66665,66664,0,0,0,0,0,0,0,0,0,0,0,0,0
852307,66655,66656,66657,66658,66659,66660,66661,66663,66662,0,0,0,0,0,0,0
852308,66655,66656,66657,66658,66659,66660,66661,66663,66662,0,0,0,0,0,0,0
852309,66655,66656,66657,66658,66659,66660,66661,66663,66662,0,0,0,0,0,0,0
852310,66655,66656,66657,66658,66659,66660,66661,66663,66662,0,0,0,0,0,0,0
852315,262407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852316,66079,66005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852317,66080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852318,66348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852319,66386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852320,66531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852321,66545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852322,66577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852323,66656,66657,66778,66756,0,66759,66765,66785,66769,0,0,0,0,0,0,0
852324,66656,66657,66768,0,66779,66766,66786,0,0,0,0,0,0,0,0,0
852325,66656,66759,66768,66779,0,0,0,0,0,0,0,0,0,0,0,0
852326,66370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852327,66357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852328,66397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852329,66657,66766,66769,66778,0,0,0,0,0,0,0,0,0,0,0,0
852330,66658,66661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852331,66658,66661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852332,66658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852333,66659,66660,66900,66901,66904,66879,0,0,0,0,0,0,0,0,0,0
852334,66661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852335,66663,66566,66917,66929,66937,66912,66935,66919,0,0,0,0,0,0,0,0
852336,66425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852337,66302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852338,66302,66764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852339,66258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852340,66355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852341,66358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852342,66387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852343,66401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852344,66255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852345,66255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852346,66255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852347,66255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852348,66346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852349,66315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852350,66415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852351,66533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852353,66351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852354,66306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852355,66306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852356,66263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852357,66566,66915,66936,66922,66914,0,0,0,0,0,0,0,0,0,0,0
852358,66698,66794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852359,66296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852361,1703937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852362,1703937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852363,66314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852364,66314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852365,66316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852366,66463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852367,66296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852368,66530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852369,66266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852370,66266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852371,66266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852372,66345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852373,66345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852374,0,66452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852375,66469,66479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852376,66281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852377,66366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852378,66327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852379,66341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852380,66399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852381,66333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852382,66468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852383,66531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852384,66531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852385,66636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852386,66667,66669,66668,0,0,0,0,0,0,0,0,0,0,0,0,0
852387,66732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852388,66733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852389,66723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852392,1703938,131144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852394,0,66801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852403,66737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852404,66737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852405,66737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
