Index,0 [INT] [0xC],1 [UBYTE] [0x24],2 [USHORT] [0x20],3 [USHORT] [0x22],4 [INT] [0x10],5 [INT] [0x14],6 [INT] [0x18],7 [STRING] [0x0],8 [STRING] [0x4],9 [STRING] [0x8],10 [INT] [0x1C],11 [BBOOL] [0x25]
2162699,4877071,58,800,1159,55,81560,81060,"十二神大圣堂","某位园艺工所见的风景。阳光下的泉水闪闪发光，庭院中充满了庄严的感觉。在如此环境下，相信即使是毫无信仰的人，也会诚心献上一份祈祷吧。","在大冰雪时代之后，人们饱受饥饿和病痛的折磨，这座大圣堂就是当时的人们希冀得到所有十二神的加护而建造的。在第七灵灾后的困难时代，为了再次得到神的加护，格里达尼亚的人民们对这里进行了修缮。",81452,true
2162700,4877072,22,1800,459,55,81561,81061,"妖精暂留地","某位博物学家所见的风景。为了更多了解妖精族在空中飞行时是什么样的感受而爬到了树屋的屋顶上。映入眼中的，则是黑暗中的灯火通明。","在妖精族内部也并没有对召唤雷神拉姆达成一致，暂留地的妖精们就是反对召唤的一派，他们离开了妖精领，来到这附近搭建起了一个暂时居住的村落。这里的住房是植物的枝叶和果实被施加了魔法后变化而成的，悬挂于树木之上，造型非常奇妙。因为妖精族可以飞行，所以房屋上完全没有设立梯子。",81452,true
2162701,4877073,31,500,759,39,81601,81101,"御道","某位近卫骑士所见的景色。漫长的夜巡结束了，回到三块银板上与同僚敬礼交接。天色渐明，该回宿舍去好好睡一觉了。","乌尔达哈政府层的步行道。通向皇宫正门的这条道路上，有近卫兵团“银胄团”的骑士看守在两侧。在王权强大的时期，路上聚满了为拜见王族而来的民众。可现今，这条路也不过就是富裕阶层的人拿来散步用的道路罢了。",81453,true
2162702,4877074,22,1200,1659,39,81602,81102,"黄金广场","某位杂技演员所见的景色。小气的市民不见到腾云驾雾的真功夫是不会投钱的，华丽地跳上通风庭院东侧的路灯上，俯视这些来往的家伙们吧。","黄金广场在乌尔达哈的中心部，广场中间配有喷水池，广大市民都可以在这里乘凉歇息。虽然黄金广场曾是王族舞会专用的场所，可是近年来国家经济困难难以维护，所以广场的管理权也就移交给了普通市民。",81453,true
2162703,4877077,22,1800,459,42,81603,81103,"贸易城邦乌尔达哈","某位冒险者所见的风景。站在丰饶神井的篷子上遥望沙之都，天上的星光与城中的灯光遥相呼应，真不愧于“荒野的宝石”这一美名。","屹立在荒凉沙漠萨纳兰的贸易城邦。高大的城墙内，无数圆形屋顶的建筑物坐落其中。这个光景曾治愈过无数旅途劳累的旅行者。城市因贸易的缘故非常富裕，因此享有“荒野的宝石”这一美名。",81453,true
2162704,4877078,22,800,1159,43,81606,81106,"希拉狄哈遗迹","某位冒险者所见的风景。满天浓雾干扰了前行的路线，一不小心从悬崖上跌落，出现在眼前的竟然是昔日王国的废墟，真是令人胆战心惊。","古都希拉狄哈的遗迹。约400年前，这座城市因败北于乌尔达哈而灭亡，时过百年，已被埋入沙中。乌尔达哈迁都之后，与埋在沙中的希拉狄哈有一部分重叠。",81453,true
2162705,4877079,9,1700,1759,44,81609,81109,"古菩猩猩的遗骸","某位园艺工所见的风景。慈悲的雨水降临到干涸的大地之上，令美丽的鲜花重新盛开。这一定是在慰藉这头生物的遗骸吧。","被有很多罕见花草所簇拥的古菩猩猩遗骸。在灵灾之时，陷入恐慌的古菩猩猩从库尔札斯山上跑了下来，在穿过黑衣森林的时候，粘上了很多奇花异草的种子，然后在这里筋疲力竭。",81453,true
2162706,4877081,22,800,1159,44,81610,81110,"消逝王都","某位冒险者所见的风景。讨伐任务结束后，站在已经倒塌的建筑物上向上望去，低垂的云层下，古老的废墟依旧挺立在岩石后面。","火墙周边的地面因为卫月碎片的坠落而产生了巨大的裂痕。在裂痕之下显露出的是壮丽的遗迹。经研究表明，这里很可能是贝拉哈迪亚后期塔塔梅夫一世的墓地。",81453,true
2162707,4877082,58,500,759,44,81611,81111,"跨天桥","某位商人所见的景色，从沙之都走向森之都的路，途中在石桥停泊一晚，第二天清晨所见的古老王像庄重而威严。","跨天桥是萨纳兰与黑衣森林相互往来用的石桥。作为格里达尼亚重要的贸易道路，由铜刃团兰花联队旗下的防御部队驻守。另外，这里对调查消逝王都的学者们来说也是重要的地点。",81453,true
2162708,4877083,22,1200,1659,30,81506,81006,"轻声谷","听某位农夫所说的传闻。举办酒宴的好地方，飞溅的水花闪着晶莹的光芒，即使在阳光下也令人感到清凉舒爽。","在源自奥·哥摩罗的尼姆河常年的侵蚀下形成的溪谷。无数细小的瀑布与潺潺流水共同演奏出清澈的交响乐。由于溪谷遮蔽了阳光，所以这里成为了酒宴避暑的好地方，也因此受当地人喜爱。",81451,false
2162709,4877084,22,500,759,30,81507,81007,"盛夏农庄","从酒馆听到的传闻。海贼们虽然放弃了原本的行当，可是一沾酒就又会回到从前那种动手打架的样子，这时候还是登上坡道看戏比较好。","依照梅尔维布提督推行的迁入政策而开发的村落。目前由一些金盆洗手的海盗和资深农夫协力开拓。依靠无赖川丰富的水资源恩惠，使得拉诺西亚香橙的栽培取得了很大成功。",81451,false
2162710,4877085,22,1200,1659,31,81510,81010,"灰舰风车群","听某位商人所说的传闻。原本是为了避雨而躲在了小屋里，可是蛮族却突然出现了，没办法只好慌慌张张地跑到房顶上伺机逃跑。","这里的风车主要用来研磨赤血雄鸡农场的小麦和对羊毛进行缩绒。风车的扇叶都是利用的帆布，远远看去给人一种舰队的感觉。",81451,false
2162711,4877087,50,800,1159,32,81511,81011,"隐秘瀑布","听某位女性所说的传闻。坐在椅子上的客人的视线甚至比天上的太阳更加火热。","由永恒川的流水形成的瀑布。富豪格格鲁玖在瀑布潭所在的海岸准备了住宿设施，用来接待贵宾。或许还有专属的舞女进行的特别招待。",81451,false
2162712,4877088,22,1800,459,32,81512,81012,"白鸥塔","听某位佣兵所说的传闻。雨天的时候视野很不好，所以为了警惕来自大海的威胁，一定要站到高处进行监视。","由拉诺西亚特有的白色火山岩建成的小塔。既能够作为灯塔，提示靠近的船只已航行到深度较浅的海域；同时也能够作为监视塔，监视着鱼人族以及海盗的动向。塔的周围栖息着大量白色海鸥，白鸥塔因此得名。",81451,false
2162713,4877089,58,1700,1759,33,81514,81014,"小麦酒港的利姆莱茵像","听某位酿造师所说的传闻。载满酒桶的船只总是会慢悠悠地驶出港口。而送行的人们则会对美丽的女神献上祈祷。","对于长期航海的船只来说，小麦酒港是补充必要物资的重要海港。在其中心部，竖立着航海女神利姆莱茵的雕像。这座由鲁加族著名雕刻家雕刻而成的美丽女神像，至今仍在守护着出行的航船。",81451,false
2162714,4877090,22,1800,459,33,81515,81015,"船舶墓场","听某位灯塔看守所说的传闻。散乱的漂浮物总是散发着令人毛骨悚然的气息。太阳落山之后千万不要到那里去。","在海上遇难的船只随着洋流漂到了这里，久而久之便成为了遇难船沉眠的墓场。根据当地人的传言，很多船都是受到传说中的魔物“塞壬”的魅惑而遇难的。",81451,false
2162715,4877091,22,800,1159,33,81516,81016,"骷髅谷营地","从酒馆听到的传闻。为了保持警戒，防卫据点总是会选在视野良好的地方，不过一般人很少有勇气走进去。","黑涡团的军事据点。起初为了警告南下的地灵族，曾将地灵族头骨排列在山谷间，因而命名骷髅谷。如今，骷髅谷营地则是作为防御二分石地一带的鱼人族的重要据点，发挥着无可替代的作用。",81451,false
2162716,4877092,22,1200,1659,33,81517,81017,"南北防波堤","从酒馆听到的传闻。为了寻找重要的设备而爬到了篷子顶上，没想到意外地还挺结实。","黑涡团的防御壁。建造在被鱼人族占领的二分石地与骷髅谷的边界间。因为鱼人族的攻势经常被比做“海浪”，所以这座高大的墙壁也就得到了防波堤的名字。现在的防波堤仍然在坚守其职责，抵挡着鱼人族一波又一波的猛攻。",81451,false
2162717,4877099,22,1700,1759,34,81518,81018,"石绿湖营地","从酒馆听到的传闻。泡澡泡晕了的时候，出来到高处吹吹凉风会有些缓解的效果。而且吹风的时候能够看到的景色也是人间绝品。","受到灵灾的影响，石绿湖水位大幅下降，原本潜藏在湖底的古代尼姆遗迹也得以重见天日。人们见有温水涌出，于是将这里建设成了面向伤兵的温泉疗养地。同时也建起了面向一般人的温酒疗养院。",81451,false
2162718,4877101,22,1200,1659,34,81519,81019,"撒拉奥斯的遗骸","听某位博物学家所说的传闻。要感受其辉煌的过去，一定要在晴朗的日子攀到其身躯的最高处。","露出地表的巨大古代生物化石。与曾经女神利姆莱茵解放的海蛇撒拉奥斯有渊源，所以被称作撒拉奥斯的遗骸。另外，在这附近发现的海洋生物化石，也揭示了这座岛屿曾经处于海底深处。",81451,false
2162719,4877103,22,1800,459,34,81520,81020,"吉吉卢恩交易站","从酒馆听到的传闻。为了躲避魔贝的追赶，爬到了彻夜发光的灯上。可是等到准备下来的时候却需要相当的勇气。","卢恩族的商人吉吉卢恩经营的交易站。与他的兄弟梅梅卢恩经营的交易站是竞争关系。至于为什么要在人烟稀少的地方开店，那就不得而知了。",81451,false
2162720,4877105,22,1800,459,350,81521,81021,"尼姆浮游遗迹","听某位冒险者所说的传闻。漂浮在空中的神秘遗迹令人难以忘怀，水晶所发出光辉犹如地上的繁星。","古代尼姆城邦的遗迹。在第五星历时代，尼姆文明曾在威尔布兰德岛繁荣一时。由于地脉的以太偏属性水晶化，导致风属性的力量强化，使得一部分遗迹漂浮起来。这个景观可以说是如梦似幻。",81451,false
2162721,4877106,22,500,759,350,81522,81022,"瞭望阵营地","从酒馆听到的传闻。为了防备运输路线上的意外，可以躲在墙上那些植物中进行监视。","在拉诺西亚外地设立的黑涡团营地。由海盗兵组成的“红燕陆战队”镇守于此，在高台上时刻监视着地灵族的动向。同时，从这里向南望去，尼姆时代的“放浪神古神殿”遗迹风光也尽收眼底。",81451,false
2162722,4877107,22,1200,1659,350,81523,81023,"武伽玛罗武装矿山","听某位士兵所说的传闻。白天对敌人据点发动强袭作战时，他登上了最高的熔炉，给了敌人一个下马威。","地灵族开拓的武装矿山。周边有丰富的硫磺资源，渗出的地下水和工业废水相互交融，形成了独特的光景。凭借人口剧增带来的劳动力增加，使得扩张作业稳步进行。",81451,false
2162723,4877108,52,1800,459,350,81524,81024,"隐者庵","听某位冒险者所说的传闻。一个不喜欢他人的怪人总是不在自己的房子里。即使随便进去坐坐也没问题。","遥望着北方奥·哥摩罗山的山间小屋。由于火山地带温泉丰富，主人在房屋边上还做出了一个天然的温泉浴池。不过小屋的主人几乎很少在家，可能是个喜欢在外面漂泊的人吧。",81451,false
2162724,4877111,22,800,1159,51,81551,81051,"魔女咖啡馆和大水车","从酒馆听到的传闻。在为离开的人送行之时，让人印象最深的便是壮大的水车在不断地回转。","魔女咖啡馆的名字据说是得自一种叫做魔女草的植物。在这家咖啡馆的旁边就是全艾欧泽亚最大的木造水车——“斐加加大水车”。这座水车向刻木匠行会的工房输送动力，回转起来会发出很有韵律的声音。",81452,false
2162725,4868037,22,500,759,51,81554,81054,"枪术师行会","听某位卫兵所说的传闻。因为有人告诉他可以去偷学一些技巧，于是他便找了一个自认为的最佳位置，可是却被训斥了。","枪术师行会是由著名枪术师米斯塔尔所创设。维持格里达尼亚治安的鬼哭队现在也驻扎在这里，在道场里可以看到鬼哭队士兵和枪术师行会的成员们一起努力练习的场景。",81452,false
2162726,4877112,22,500,759,54,81556,81056,"烤饼练兵所","听某位卫兵所说的传闻。要找到不见了的部下其实很简单，跑到残桩的最高处往下看就可以了。","双蛇党为训练新兵而设立的练兵所。这里的训练场设立在黑衣森林独有的巨大树木“天柱树”的树桩上。树桩的切面很像是扁平的圆形烤饼，练兵所也因此得到了这个奇妙的名字。",81452,false
2162727,4877113,22,1800,459,54,81557,81057,"静语庄园","听某位冒险者所说的传闻。被妖异所追赶拼命逃跑，等回过神来时已经身处一棵大树的树根上了。回头看去，从窗户中映出的灯光令人毛骨悚然。","原本是幻术皇的御用宅邸。二代以前的幻术皇认为这里过于奢华而决定搬出，之后这里就被交给了名门达尔坦库尔家。静语庄园中“静语”一词指的是人类和元灵之间那种不用语言的交流方式。",81452,false
2162728,4877163,22,1200,1659,54,81558,81058,"长老树","听某位幻术师所说的传闻。天气晴朗的日子里，为了倾听元灵的声音，他会走入森林深处一棵巨大的古树下面。","黑衣森林中最为年长的古树。据格里达尼亚的法师们介绍，森林大元灵就是栖息在这棵大树之中。由于树龄已经超过了一千年，所以人们对这棵树的果实也十分重视，将其命名为“千年果实”。",81452,false
2162729,4877165,22,1100,1359,54,81559,81059,"虹桥瀑布","听某位幻术师所说的传闻。流水与阳光所交织成的幻想之桥，那是人类与元灵紧密融合的证据。","流淌在黑衣森林中的东叶脉水流形成的瀑布。在阳光的照射下会映现出美丽的彩虹，于是当地人便亲切地给了这个瀑布一个“虹桥”的爱称。穿过瀑布的洞窟可以到达“再生的残桩”。",81452,false
2162730,4878703,22,1800,459,55,81562,81062,"摇篮树","某位博物学家所见的风景。即使种族不同，保护后代延续生命的意志是共通的，在那些光芒里蕴含着这个种族的未来。","妖精的种子需要在被称作“摇篮”的茧里进行成长，而能够孕育出“摇篮”的则只有这棵大树。没有这棵树，妖精族就无法繁衍，这棵树的重要性由此可见一斑。周围生长的月芽可以发出淡淡的如同月光一般的光，仿佛是在守护着这棵大树。",81452,false
2162731,4878736,22,800,1159,56,81563,81063,"巴斯卡隆酒家","听某个醉汉所说的传闻。醉酒后的第二天，醒来时发现自己被丢在了暴雨之中。可是无论如何都想不起来到底是怎么到这里来的了。","曾经当过哨兵的巴斯卡隆经营的酒馆。因为巴斯卡隆胸怀宽大，不论是冒险者还是驻扎在附近的不法之徒，都能在这里相安无事地对饮。这家酒馆已经成为了某种意义上的避风塘，在这里没有纷争。",81452,false
2162732,4878759,22,800,1159,56,81564,81064,"森南飞艇坪","从酒馆听到的传闻。那些抛弃了这个设施的家伙一定想不到这里居然会变成现在的样子。","高风飞行社建设的货运飞艇坪。不过在帝国军入侵后，由于空中的安全问题无法得到保障，这里便被关闭了。现在已经成为了当地的偷猎者们交易货品的黑市所在地。",81452,false
2162733,4878763,22,1200,1659,56,81565,81065,"兀尔德恩惠地","听某位幻术师所说的传闻。神圣的森林中，有一个角落会发出淡淡的光芒，时隐时现的雾气使那里的气氛变得更加神秘。","蕴含着丰富以太的清澈泉眼。据圣典中记载，圣女兀尔德被恶神奥丁斩杀于此，此处因此被称为“兀尔德恩惠地”，但这个传说的真实性无从考证。",81452,false
2162734,4878764,22,500,759,56,81566,81066,"石场水车","听某位猎人所说的传闻。山好水好不如自己的家好。除掉烟囱口的灰尘时向下一望，这才是令人感到温馨的家园。","南部林区中的辅城，在当初建设森之都格里达尼亚时，这里曾经是加工石材的水车场。现如今已经不再经营这项行业，变为了森林猎人们所聚集的场所。",81452,false
2162735,4878773,22,1200,1659,57,81567,81067,"鸟人军采伐所","听某位哨兵所说的传闻。他总能听到森林里传来这样的怒号：“砍下来的木材是用来生活的，不是用来跳到尖上去玩的。”","侵入黑衣森林的鸟人族采伐部队砍伐树木的场所。鸟人族从他们在塞尔法特尔溪谷的根据地派出装甲气球，经由库尔札斯的风扬殖民地前来此地搬运木材。",81452,false
2162736,4878784,22,1800,459,57,81568,81068,"陨石背阴地","听某位卫兵所说的传闻。月牙形的异物刺向天空。压倒一切的存在感令所有人都为之震撼。","在第七灵灾之时，卫月中封印古代蛮神的拘束具掉落在了这里。这些巨大的圆环能够抑制蛮神的力量，将那黑色的蛮神封印了诸多个世纪。可是现在，我们只能看到破损后的遗骸了。",81452,false
2162737,4878790,22,800,1159,57,81569,81069,"桤木泉","听某位开山工所说的传闻。每前进一步都需要莫大的勇气，沿着树根走到极限的尽头，会有一番新的感悟。","这里过去是一片与“桤木泉”这个名字相符的、生长有无数桤木的繁茂森林，但第七灵灾让这里发生了巨大的变化。卫月的碎片坠落在这里，巨大的冲击给大地造成的创伤至今仍未恢复。",81452,false
2162738,4879319,22,1700,1759,42,81604,81104,"帝国海上基地","听某位士兵所说的传闻。在侦查的途中，偶然从高处看到了夕阳中的补给基地，那种感受令人浑身发冷。","建造在罗塔诺海上的帝国海上基地，是加雷马帝国的物资中转基地，用于进行海上补给。由帝国第十四军团的第十步兵大队驻守。",81453,false
2162739,4879321,27,1200,1659,42,81605,81105,"黄昏湾的罗罗力特像","从酒馆听到的传闻。只有比富豪更有钱的大富豪才能做出这种事。虽说可能会对财运有所帮助吧。","黄昏湾是乌尔达哈的海上关口。中央广场的铜像，是按照阿尔迪纳德商会的罗罗力特会长的形象建造的。虽然罗罗力特对港口投入了大量资金进行建设这点很让人称道，不过还是有些人认为这座雕像的容貌有些过度美化了。",81453,false
2162740,4879611,22,1800,459,43,81607,81107,"黑尘驿站","听某位铁道员所说的传闻。检修设备很是辛苦，经常要半夜三更爬到高处去检查小小的地方。","原本是铜刃团的驻地，因艾玛吉娜矿山公司建设铁道的关系，在这里增设了驿站的功能。为了炼制采掘出来的矿石，这里设置了最新的高热炉，为乌尔达哈经济建设作出了巨大的贡献。",81453,false
2162741,4879612,50,1200,1659,43,81608,81108,"纳尔之门","从酒馆听到的传闻。既没有工作也没有钱，甚至连酒都喝不起，只能无所事事地度日，在布蓬上面看看荒野的风景。","乌尔达哈的主门之一。得名自掌管生者世界的纳尔神。由于乌尔达哈是一座贸易城邦，所以主门建设得特别宽大，能够允许两辆载满商品的陆行鸟篷车并行通过。",81453,false
2162742,4879625,22,1200,1659,44,81612,81112,"火墙","从酒馆听到的传闻。想要看到举世无双的美景，就一定要到水晶上面眺望。","卫月坠落时的碎片贯穿了大地，使得地脉中的以太大量流出。这些以太结晶化，形成火炎形状的偏属性水晶。这可以说是第七灵灾带来的壮烈景观之一。",81453,false
2162743,4879626,22,800,1159,44,81613,81113,"黄金集市","听某位采矿工所说的传闻。越是偏僻的角落，就越有一劳永逸的可能。在日晒三竿的时候，爬到高高的栏杆上，寻找新的矿脉。","乌尔达哈的辅城。曾经作为贸易中转地非常热闹，后因与东方贸易的中断，导致这里变得非常冷清。传闻周边一带有着品质优良的秘银矿床，人们也很期待通过矿业能够振兴这里。",81453,false
2162744,4879627,58,1800,459,44,81614,81114,"札尔神祠","听某位圣职者所说的传闻。只需静静地祈祷，便可获得来生的利益。如暴雨般的忏悔之泪定能挽救人的灵魂。","供奉双子神中的札尔神的神祠。札尔掌管着死后的世界，向其上供可以保佑来生的财富。为了进行节食祈祷，这里还设有纳尔札尔教团祈祷时用的设施。过去曾有很多前来巡礼参拜的人，可是近些年来人数下降了不少。",81453,false
2162745,4879628,58,500,759,45,81615,81115,"纳尔神祠","听某位圣职者所说的传闻。只有隆重地祈祷，才能获得现世的利益。向在雾中彷徨的灵魂进行布施，便能够拯救他们吧。","供奉双子神中的纳尔神的神祠。由于纳尔所掌管的是现世的利益，所以人们都认为诚心参拜后会有好事发生在自己身上。可是富裕阶层的人仅仅靠购买密尔瓦内斯礼拜堂贩卖的护身符即可满足，所以几乎没有人来参拜神祠。",81453,false
2162746,4879629,22,500,759,45,81616,81116,"不悔战阵","听某位士兵所说的传闻。荒野的风甚至能够切割岩石。风化的岩柱之上是专注监视敌军战阵的好位置。","蜥蜴人军的战阵。名字中的“不悔”表明了蜥蜴人战士永不退却的精神。他们把蛮神伊弗利特焚烧过的南萨纳兰赞拉克地区当做圣地。在历史上，蜥蜴人族和乌尔达哈也有过很多冲突。",81453,false
2162747,4879630,22,1200,1659,45,81617,81117,"工艺神击","听某位采矿工所说的传闻。虽然强烈的日照与高热的地面会让人很快便精疲力竭，但是古代亚拉戈遗迹的吸引力，就犹如宝山一样会令人无法自拔。","艾玛吉娜矿山公司为了从沙漠之中挖掘出古亚拉戈时代遗迹而设置的大型挖掘机。原本是希望这台机器能够像工艺神的大锤一样打出无比强悍的一击，可惜由于耐热性不是很好，总是会出现这样那样的问题。",81453,false
2162748,4879631,22,1200,1659,45,81618,81118,"喀恩埋没圣堂","从酒馆听到的传闻。想要研究当年的构造时，通过倾斜的墙面登上高处会比较快。","古代贝拉哈迪亚城邦时代的遗迹。这里曾是贝拉哈迪亚祭拜太阳女神阿泽玛的神殿，历代国王为了展示自己的权利，曾多次改造神殿。",81453,false
2162749,4879632,30,500,759,45,81619,81119,"牛魔里程","听某位士兵所说的传闻。在因为一点点热浪就停止训练的都是蠢货。真正的男子汉，要将坚韧的毅力和刚强的肉体结合到一起。","为了对抗东阿尔迪纳德商会的庞大资本，中小规模的旅行商人们组成了一个名为“商队互助会”的组织，这里便是组织交易所之一。此处交易所建立在第七灵灾之后，是为了与危险的撒沟厉沙漠方面进行贸易而专门建立的。",81453,false
2162750,4879633,31,500,759,46,81620,81120,"东侧监视塔","听某位士兵所说的传闻。站岗时最大的敌人便是自己的睡意。当头脑有些不清醒时，走到旗帜的尖端敬一次礼，睡意应该就会消散了。","用于监视帝国南方堡的监视塔。帝国南方堡由加雷马帝国第十四军团建造，是确保魔导兵器燃料资源供应的采掘据点。恒辉队驻守此监视塔，不分日夜地监视着采掘据点的状况。",81453,false
2162751,4879634,22,1800,459,46,81621,81121,"青磷水输送管","听某位士兵所说的传闻。整备格子铁门非常花时间，晴天的时候视野还好说，可是一旦不小心将铁门放了下去就会出大事了。","向精炼所输送青磷水的管道。现在在艾欧泽亚需要利用青磷水的装置越来越多，从飞空艇到各种机械，燃料的需求量明显增大。为此艾玛吉娜矿山公司也花费了巨资来增加设备。",81453,false
2162752,4879635,22,1200,1659,46,81622,81122,"蓝雾","听某位工作员所说的传闻。即使到现在也没有适应那种蓝色的雾气，不过雾散天晴的时候，翘掉工作到高处遥望溪谷真的是一种不错的享受。","北萨纳兰的溪谷地带是在艾欧泽亚数一数二的青磷水储存地。在获取青磷水的时候产生的气体，使得周边被蓝雾笼罩，也因此成为了此地的景点。",81453,false
2162753,4879636,22,800,1159,46,81623,81123,"劳班缓冲地","听某位士兵所说的传闻。即使云层密布之时，卫月的爪痕也依旧摄人心魄。站岗放哨时一定要针对那里仔细检查。","趁着第七灵灾混乱之际，帝国军向北萨纳兰发起了进攻，然而恒辉队的劳班局长却在战力处于劣势的状况下依旧奋战到底，终于成功守住了青磷精炼所。战后，两阵营之间的中间地带便被称作劳班缓冲地。",81453,false
2162754,4879637,22,1800,459,46,81624,81124,"艾玛吉娜秘银废矿","听某位冒险者所说的传闻。之前曾被一群可疑的家伙抓到过，后来在大雾的掩护下，通过围栏柱子坏掉的地方逃了出来。","在20年前左右被放弃的废矿。这里的秘银矿脉曾经非常丰富，是为艾玛吉娜矿山公司带来“秘银热”的重要舞台，可惜后来矿脉逐渐枯竭，最终被放弃了。现在，这里则变成了邪教集团“最后之民”的秘密基地。",81453,false
