Index,0 [UBYTE] [0x3C],1 [INT] [0x20],2 [UBYTE] [0x3D],3 [UBYTE] [0x3E],4 [UINT] [0x18],5 [USHORT] [0x34],6 [USHORT] [0x36],7 [USHORT] [0x38],8 [USHORT] [0x3A],9 [INT] [0x24],10 [INT] [0x28],11 [INT] [0x2C],12 [INT] [0x30],13 [UINT] [0x1C],14 [UBYTE] [0x3F],15 [UBYTE] [0x40],16 [UBYTE] [0x41],17 [BOOL] [0x42],18 [STRING] [0x0],19 [STRING] [0x4],20 [STRING] [0x8],21 [STRING] [0xC],22 [STRING] [0x10],23 [STRING] [0x14]
120,1,3824577,5,10,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"驰骋在森林之中","生活在裸岩丘的变色龙群为了寻找食物跑到了人来人往的街道上，为了保证过往行人的安全，一定要尽快将变色龙群打倒！","","","",""
121,1,3841494,4,9,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"遏制魔菇的生长","最近突然出现了一种增殖异常迅速的魔菇变种，而且对周围的生态造成了不小的影响，请将这些着魔的魔菇处理掉！","","","",""
122,1,3841592,30,35,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"不友好的新邻居","魔石精为了扩大生息区域而正在进行大规模的迁徙，请尽快协助鬼哭队清除这一威胁！","","","",""
123,1,3852456,8,13,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"奔流停息——停滞水元精","沉浊的以太中孕育出了强大的特种水元精，不尽快处理掉的话后果不堪设想。请立刻讨伐这股特异的水流！","","","",""
124,1,3841343,11,16,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"留心尾后针","睡莲岩附近的魔物对当地的捕鱼人和船夫影响很大，请尽快驱除最为凶猛的黄蜂群！","","","",""
125,1,3854646,34,39,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"食人怪鸟——阿希帕特拉","死亡凝视属的阿希帕特拉天性异常凶猛，很多牺牲者都倒在了它的利爪之下，请尽快消除这一威胁！","","","",""
126,1,3872317,9,14,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"健步如飞的暴君——首领变色龙","变色龙群中出现了特别强力的雄性领袖，在其带领下整个群体的攻击性正变得越来越高，请迅速前去解决掉这只首领变色龙！","","","",""
127,1,3872319,8,13,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"温和与凶残","狩猎人行会正在狩猎野猪幼崽，不曾想却因此引来了愤怒的成年野猪，快将被激怒的野猪打倒救回猎人们！","","","",""
128,1,3872330,9,14,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"强大的小魔鬼——阿路修","有情报说令鬼哭队头疼不已的小魔鬼阿路修出现在了沃连牢狱内部，一定要抓住这次机会！不能让它继续逍遥法外了！","","","",""
129,0,0,10,15,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"※β1不要：船着場までチョコボの護衛（仮）","※β1不要：船着場までチョコボを護衛せよ（仮）","","","",""
130,2,3689344,14,19,2000193,0,1,0,0,60723,60503,0,3868020,0,33,34,35,true,"常影区收获节","长老树又到了结果实的季节，然而每到这时就会有婴猴们前来造成骚乱。请去协助收获“千年果实”，一定要小心婴猴的袭击！","尽快将从婴猴群的进攻下守护住的千年果实交给前来收获的园艺工。","交纳的千年果实","",""
131,1,3872331,10,15,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"谨记地母神之所忘","地母神忘迹是连接上下层的重要交通路线，保证其安全的工作一刻也不容疏忽。请尽快消灭对路人造成威胁的秃鹫群！","","","",""
132,0,0,35,40,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"※β1不要：採掘場奪取","※β1不要：","","","",""
133,0,0,35,40,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"※β1不要：採掘場奪取","※β1不要：","","","",""
134,0,0,35,40,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"※β1不要：採掘場防衛","※β1不要：","","","",""
135,0,0,35,40,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"※β1不要：採掘場防衛","※β1不要：","","","",""
136,4,3867428,5,10,0,0,12,0,0,60724,60504,0,3895606,0,33,34,35,true,"愤怒的教官——狂人米罗东","卷入到双蛇党的模拟战训练中了，协助新兵去打败激昂的教官米罗东吧。不过要小心别让同伴有任何闪失！","","双蛇党新兵","",""
137,1,3852490,13,18,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"病毒妖花——玛塔丐丐","玛塔丐丐的出现为森林带来了大量病毒，现在整个森林都处于叶血病的阴影之下。请火速前去消灭掉这一巨大的病毒源！","","","",""
138,1,3852555,10,15,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"小巧小巧陆行鸟","正在饲养的陆行鸟雏鸟从牧场走逃走了，一旦它们被树生蛞蝓袭击会有很严重的后果，快去打倒蛞蝓，保证小鸟们的安全！","","","",""
139,1,3852559,12,17,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"愿你的灵魂得到安息","不知什么人唤醒了沉眠在塔姆·塔拉墓园中的死者，请令那些亡灵再次安息吧！","","","",""
140,1,3852575,10,15,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"大逃亡","占领了沃连牢狱的小魔精在谋划集体出逃，一旦让它们逃走会对我们造成极坏的影响，请立刻前去加强出口的守卫！","","","",""
141,1,3852600,11,16,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"援助加尔梵斯哨塔","进入了繁殖期的凶蛛蝎变得异常兴奋，它们正在沿着街道逼近这里，必须协助鬼哭队阻止它们继续前行！","","","",""
142,1,3852613,14,19,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"软体大肚汉——卢卡寇","巨大蛞蝓卢卡寇出现在了长老树附近，长老树地区是我们的圣地，一定要严加守护不被魔物破坏！","","","",""
143,4,3867430,11,16,0,0,12,0,0,60724,60504,0,3895962,0,33,34,35,true,"蜂蜜战争","小魔精为了蜂蜜而对蜜蜂展开了攻击，蜂蜜对我们来说非常重要，一定要守护住身边的蜜蜂群！","","蜜蜂群的数量","",""
144,1,3877977,16,21,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"病灾散布器——瘟疫王子","有人目击到了巨蝇瘟疫王子在附近出现，为了避免森林内的传染病扩大，一定要尽快将这一传染病的源头掐断！","","","",""
145,1,3877979,19,24,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"战场的距离","有一队帝国兵跨越了默认边境线入侵到我们的领土上来了，立刻拿起武器将他们赶出我们的国家！","","","",""
146,1,0,45,50,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"※β1不要：シルフの隊長撃破","※β1不要：","","","",""
147,0,0,25,30,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"※β1不要：蜂蜜酒輸送護衛","※β1不要：","","","",""
148,1,3862480,10,15,0,0,0,0,0,60721,60501,0,3895967,0,33,34,35,true,"秘密花园","蛞蝓群又盯上了对养蜂不可或缺的鲜花，如果鲜花被它们吃光了，我们会受到很大损失。一定要守住这片花园！","","","",""
149,1,3852846,17,22,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"结束繁殖期","来自异界的虫型妖异在森林进入了繁殖期，如果任由其繁殖对我们会造成很大威胁，为了守卫森林的秩序，请尽快处理掉！","","","",""
150,1,3853616,19,24,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"魔猿少主——顽猴杰克","率领猴群的顽猴杰克好像正在为了扩大自己的地盘而到处活动，在它对森林造成更大损失前制止它们！","","","",""
151,1,3853682,24,29,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"小桥上的战斗","一批妖精族的拉姆狂信者涌入到了百灵啼，一定要阻止他们继续深入，请立刻在吊桥上做好迎击准备！","","","",""
152,1,3853721,20,25,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"发狂的守护者","在荆棘森地区有人目击到了由于病害导致丧失了自我的树精，请尽快前去将其稳定下来！","","","",""
153,1,3877983,23,28,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"神速的羚羊——西洛可","西洛可是速度犹如热风一般的大型羚羊，也是黑衣森林每个狩猎人都渴求的目标，据说它现在正在附近活动，这可是个好机会！","","","",""
154,1,3877986,34,39,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"穿过长根蔓延的沼泽地","生活在别处的水蜥群正在向蔓根沼迁移，这样会影响到这片地区的生态平衡，一定要尽量阻止它们的迁移！","","","",""
155,0,0,25,30,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"※β1不要：キャラバン護衛","※β1不要：","","","",""
156,1,0,35,40,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"※β1不要：野盗退治","※β1不要：","","","",""
157,1,0,37,42,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"※β1不要：インプ退治","※β1不要：","","","",""
158,1,3877994,28,33,0,0,0,0,0,60721,60501,0,3920873,0,33,34,35,true,"取缔偷猎交易","在一场偷猎货品交易中，偷猎者和哥布林族发生了摩擦打了起来，这是将双方一网打尽的好机会！","","","",""
159,1,3689061,32,37,0,0,2,0,0,60721,60501,68,0,0,33,34,35,true,"红腹蜂巢攻略战","我们对寄生蜂团的据点发动了进攻，请火速前去协助攻破大门突入到据点内部！","","破坏的大门数量","",""
160,1,3884803,32,37,0,228,0,0,0,60722,60502,36,0,0,37,38,35,true,"红腹蜂巢占领战","经过一番苦战，红腹蜂巢的大门已经突破了，接下来只要打倒他们的首领——毒针塞韦兰！","","","",""
161,4,3688712,32,37,0,228,12,0,0,60724,60504,69,0,0,33,34,35,true,"红腹蜂巢防卫战","寄生蜂团的残兵们为了夺回蜂巢攻过来了！守住大门抵御敌人的进攻！","","蜂巢大门数量","",""
162,4,3688712,32,37,0,228,12,2,0,60724,60504,69,0,0,33,34,35,true,"红腹蜂巢迎击战","坚守蜂巢，抵住寄生蜂团的进攻！打倒那些经验丰富的红腹盗窃蜂兵并让他们失去战斗意识！","","蜂巢大门数量","打倒的蜂兵数量",""
163,1,3878580,22,27,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"最后的一片叶子","高径地区附近的妖花有蔓延的趋势，为了维持森林的平衡，请清除那些飞虻陷阱草！","","","",""
164,1,3878966,29,34,0,0,0,0,0,60722,60502,36,0,0,37,38,35,true,"秀丽的不法之徒——豹爪偷猎王","豹爪偷猎王是护月之民偷猎团的领袖，只要能将他打倒，这个偷猎团体就会安分多了！","","","",""
165,0,0,50,55,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"※β1不要：騎POP候補","※β1不要：","","","",""
166,4,3862614,22,27,0,0,12,0,0,60724,60504,115,3895687,0,33,34,35,true,"令人头痛的常客","巴斯卡隆酒家又有喝醉的客人在闹事了，尽快制服醉客斯宾塞将场面平定下来吧。要注意委托人的安全！","","束手无策的常客","",""
167,1,3863377,21,26,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"爱也需要时间","尽管现在还没到羚羊的繁殖季节，但是有些雄羚羊就已经开始骚动起来了，请尽快驯服那些异常活跃的雄羚羊！","","","",""
168,2,3867062,29,34,2000251,0,1,0,0,60723,60503,0,3891751,0,33,34,35,true,"铁证如山","偷猎者的存在就是对森林和谐的干扰，我们一定不要放过任何一个线索，打倒敌人并缴获偷猎的赃物兽皮吧！","尽快将作为偷猎证据的兽皮交给鬼哭队的队员","交纳的偷猎皮革数量","",""
169,1,3867133,32,37,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"黑市的总管——双尾豹雅毕·卡塔波","我们对偷猎物品的交易点发动了突袭，目标就是拿获黑市的总管——雅毕·卡塔波！绝对不要有任何疏忽！","","","",""
170,1,3867168,22,27,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"刀刃上的过路费","有一批不法之徒在街道上强收过路费，这种情况绝对不能放任不管，请尽快进行处理！","","","",""
171,1,3867238,24,29,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"撤退要求","寄生蜂团好像在无人庵建立了新的据点，将立起路障的盗贼打倒，开辟出继续前进的路吧！","","","",""
172,2,3867290,29,34,2000252,0,1,0,0,60723,60503,0,3891765,0,33,34,35,true,"追求失去的货品","某位旅行商人受到了哥布林族的追击，结果导致商品都被夺走了，请将被抢走的货物夺取回来吧！","尽快将夺回的商品交给无计可施的商人","交纳的商品数量","",""
173,1,3867306,34,39,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"※β1不要：ウォータースプライトの大量発生","※β1不要：","","","",""
174,1,3879457,5,10,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"乌合之众","已确认有一批鸟人族的巡哨部队，出现在了私语巨木附近，请迅速前往现场将其消灭！","","","",""
175,0,0,7,12,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"※β1不要：ハーストミル防衛","※β1不要：","","","",""
176,1,0,50,55,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"※β1不要：イクサルNM退治","※β1不要：","","","",""
177,1,0,45,50,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"※β1不要：イクサル流入阻止","※β1不要：","","","",""
178,1,3879483,3,8,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"赤王尚幼——额星蛛蝎","森林里出现了一种新的幼体蛛蝎，能够震慑住周围的所有魔物，一定要尽早铲除这株危险的嫩芽！","","","",""
179,1,0,25,30,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"秋瓜浮村的守卫","秋瓜浮村的居民现在正在受到魔物的威胁，请尽快前往打倒迫近的祸蛛蝎！","","","",""
180,2,3879486,28,33,2000253,0,1,0,0,60723,60503,0,0,0,33,34,35,true,"山人的心愿","正在寻找新矿脉的开山工们好像对巨像兵的石材也产生了些兴趣，请帮忙收集些岩石巨像身上的碎片吧！","将采集到的巨像兵的碎片交给形迹可疑的开山工","交纳的巨像兵的碎片数量","",""
181,0,0,28,33,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"※β1不要：キャラバン護衛","※β1不要：","","","",""
182,1,0,29,34,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"真理已死","在上次灵灾前后出现了很多巨像兵，为了保护人们的安全，请去将它们排除吧！","","","",""
183,1,3867831,3,8,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"猴群混乱","天性喜欢捣乱的奥猴群出现在了元灵幼树圣地的附近，为了维护圣地的安定，请立刻将它们驱散！","","","",""
184,4,3867845,7,12,0,0,12,0,0,60724,60504,0,0,0,33,34,35,true,"大家都爱姆恩·图伊豆","姆恩·图伊豆不光是在我们这边受欢迎，甚至奥猴也非常喜欢，请一定要坚守住林场水车中储存的豆子！","","麻袋的数量","",""
185,1,3867939,8,13,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"芳香迷人——库鲁皮拉","库鲁皮拉是一种小口花的变异种，其放出的香气会令人失去方向感，绝对不能放过这个令人失踪的元凶！","","","",""
186,0,0,5,10,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"※没","※没","","","",""
187,4,3867947,25,30,0,0,12,0,0,60724,60504,0,0,0,33,34,35,true,"迎击采伐部队","为了夺取黑衣森林的树木资源，鸟人族的采伐部队向我们发动了进攻，请尽快协助鬼哭队抵御进攻的鸟人！","","鬼哭队的补给物资","",""
188,1,3867975,27,32,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"虎视眈眈的席兹","饥饿的席兹正在瞄准秋瓜浮村的居民！为了保护居民的安全，请尽快打倒迫近的席兹！","","","",""
189,1,3868016,27,32,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"打扫桤木泉","桤木泉的树木正在被兔蝓侵蚀，损害程度非常大，请尽快前去将这些兔蝓清扫干净！","","","",""
190,1,3922888,33,38,0,0,0,0,0,60722,60502,36,0,0,37,38,35,true,"孤独的巨像兵——努纽努维","在矿脉调查地区发现了无主的巨像兵，它好像一直在附近彷徨，将这只孤独的巨像兵打倒吧！","","","",""
191,4,3996746,26,31,0,0,12,0,0,60721,60501,68,0,0,33,34,35,true,"跨天桥上的死斗 前哨战","卢恩族盗贼团正在迫近跨天桥，请尽快与铜刃团联手迎击！记得要注意铜刃团的兵员数量！","","铜刃团剩余兵员","",""
192,4,3996834,26,31,0,0,43,44,0,60721,60501,68,0,0,33,34,35,true,"跨天桥上的死斗 守卫战","卢恩族盗贼团已经到达了跨天桥，一定要守护住跨天桥的居民和物资，击退卢恩族的盗贼！","","市民幸存者","物资剩余量",""
193,4,3997258,26,31,0,0,43,44,0,60722,60502,171,0,0,37,38,35,true,"跨天桥上的死斗 迎击兹兹卢恩","卢恩族盗贼团的首领出现了，一定要守护住跨天桥的居民和物资，打倒守财奴兹兹卢恩！","","市民幸存者","物资剩余量",""
194,1,3997260,26,31,0,229,0,0,0,60722,60502,69,0,0,33,34,35,true,"跨天桥上的死斗 迎击纳约克·秋","唆使卢恩族盗贼团诱拐市民的蜥蜴人族幕后黑手出现了，一定要给他点教训！打倒人贩子纳约克·秋！","","","",""
195,1,3997286,26,31,0,0,0,0,0,60722,60502,68,0,0,33,34,35,true,"跨天桥上的死斗 市民营救战","我们发现了被诱拐的市民的所在地，请尽快与铜刃团一起进行营救行动，并打倒人贩子纳约克·秋！","","","",""
196,1,4304993,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
197,1,4305058,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
198,1,4305274,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
199,1,4305302,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
200,1,4305341,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
201,1,4305542,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
202,1,4305574,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
203,1,4305635,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
204,1,4305642,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
205,1,4305831,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
206,1,4305940,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
207,1,4305987,50,55,0,221,0,0,0,60722,60502,153,0,0,37,38,35,false,"上古斗神奥丁","身披漆黑铠甲的亡灵骑士重新返回到艾欧泽亚这片大地之上。古老的斗神要再次对这片大地施以残忍的审判吗？","","","",""
208,1,4011055,7,12,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"鲜花杀手","由于花甲虫繁殖速度过快，不仅是害虫，就连益虫也被它们疯狂地吃掉了，请在受灾范围扩大前尽量消灭它们！","","","",""
209,1,4038936,31,36,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"水源破坏者——迟钝魔花乔迪","萌芽池是森林里的主要水源地，可是现在却出现了巨大魔界花在吸干水源，请迅速打倒迟钝魔花乔迪！","","","",""
210,2,4054295,10,15,2000443,0,1,0,0,60723,60503,0,4054992,0,33,34,35,true,"偽造品の回収（仮）","闇商人に偽造品を<br>つかまされた人が続出している<br>被害者を増やさないために、偽造品を回収しろ（仮）","偽造品を回収した<br>「偽造品（仮）」を、「NPC」に<br>速やかに納品せよ（仮）","納品した偽造品の数（仮）","",""
211,4,4057303,20,25,0,0,12,0,0,60724,60504,0,0,0,33,34,35,true,"酒瓶の防衛（仮）","エールの匂いに引き寄せられて<br>スラッグが酒場に押し寄せてきた<br>酒瓶を守るためスラッグを倒せ。（仮）","","酒瓶の数（仮）","",""
212,1,4057804,19,24,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"九九藤蔓","鬼哭队与神勇队正在联手驱除过量繁殖的草木纲魔物，请迅速协助他们打倒群蔓大口花！","","","",""
213,1,4105414,23,28,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"不可狂信","一部分拉姆的妖精狂信者正在绑架暂留地的普通妖精，请尽快打倒他们！","","","",""
214,1,4105481,11,16,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"兀鹫的飨宴","由于哥布林族随地丢弃残羹剩饭，导致道路上出现了很多猛禽，这对我们影响很大，请一定要尽快处理！","","","",""
215,1,4077036,24,29,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"飞蜂扑火","盗贼团体寄生蜂团的成员正在废弃小屋秘密聚会，快去将红腹阴谋蜂兵捉拿归案！","","","",""
216,1,4105523,28,33,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"红月的叛逆者","灵灾时从天而降的陨石中出现了强大的巨像兵。请迅速将红月巨像打倒，保障人民安全！","","","",""
217,3,4082321,21,26,0,0,0,0,0,60725,60505,0,4082423,4082423,33,34,35,true,"祝福的佳酿","十二神大圣堂正在筹办一场喜事，请接下搬运者保镖的重任，将宴席用的蜂蜜酒平安送达！","","","",""
218,1,4178135,20,25,0,225,0,0,0,60722,60502,36,0,0,37,38,35,true,"无情的收割者——懒惰口花劳伦斯","懒散的农夫劳伦斯突然失踪了，之后这里又突然出现了一只肥大的大口花，这其中难道有什么奇妙的联系？不过不管情况如何，目前先解决掉这只危险的魔物才是最为紧要的事！","","","",""
219,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
220,1,4130445,8,13,0,0,0,0,0,60722,60502,115,0,0,33,34,35,true,"巨大猛牛——梅努伊斯","梅努伊斯是岩锅附近原牛的首领，它通过强大的力量令原牛都屈服于它，只要能将它打倒，其他的原牛也会明白该向谁屈服了！","","","",""
221,1,4093825,5,10,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"吵闹的盛夏滩","在第七灵灾之后这里出现了大量奇怪的植物形魔物，如果不加以控制的话以后整片地区都要被它们占领了。请尽快消灭这些小曼德拉吧！","","","",""
222,1,4084958,13,18,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"大胡蜂和黄衫队","黄衫队现在被巨大的胡蜂闹得手忙脚乱，这只大家伙需要更多的人手去处理，请协助黄衫队的警备兵将胡蜂王打倒吧！","","","",""
223,4,4086925,14,19,0,0,12,0,0,60724,60504,0,4086961,0,33,34,35,true,"德内维尔关防卫训练","黄衫队正在德内维尔关进行防卫训练，黑涡团的新兵将会受到扮演敌军的教官们的攻击，与新兵们一起接受训练吧！","","黑涡团新兵数量","",""
224,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
225,1,4096818,6,11,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"无穷无尽的打地鼠","果树园里被那些可恶的鼹鼠挖得到处都是洞，农夫们对此一筹莫展，请帮助他们消灭那些鼹鼠吧！","","","",""
226,1,4089077,5,10,0,0,0,0,0,60721,60501,0,4089252,0,33,34,35,true,"实战巡礼","对于刚刚参军的新兵来说，实际来一场模拟战是最有效的锻炼方式。我们不需要仁慈，只要放手去战斗！","","","",""
227,1,4101397,3,8,0,0,0,0,0,60721,60501,0,0,0,33,34,35,true,"羊群骚乱","一群受到惊吓的羊羔正在冲向和风陆门，如果被它们冲进城内会造成无法估量的损失，一定要阻止它们！","","","",""
228,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,true,"","","","","",""
229,4,4083044,9,14,0,0,12,0,0,60724,60504,0,0,0,33,34,35,true,"鼠害的小聪明","沟鼠不知在哪掌握了打开木箱偷取食物的小聪明技巧，为了保护刚收获下来的香橙，一定要将这些沟鼠都赶跑！","","木箱的数量","",""
