Index,0 [INT] [0x8],1 [INT] [0xC],2 [UINT] [0x0],3 [UINT] [0x4],4 [INT] [0x10]
194,1858,7,1,3530,2
195,1928,7,1,3530,2
196,1980,7,1,3530,2
197,2033,7,1,3530,2
198,2129,7,1,3530,2
199,2178,7,1,3530,2
200,1725,8,1,4200,2
201,1793,8,1,4200,2
202,1864,8,1,4200,2
203,1934,8,1,4200,2
204,2036,8,1,4200,2
205,2090,8,1,4200,2
206,2181,8,1,4200,2
207,1667,9,1,7040,2
208,1737,9,1,7040,2
209,1807,9,1,7040,2
210,1876,9,1,7040,2
211,1946,9,1,7040,2
212,1989,9,1,7040,2
213,2099,9,1,7040,2
214,2195,9,1,7040,2
215,2196,9,1,7040,2
216,2715,1,1,680,3
217,3047,1,1,1040,3
218,3565,1,1,660,3
219,3796,1,1,730,3
220,3071,2,1,1390,3
221,3070,2,1,1390,3
222,3812,2,1,970,3
223,3811,2,1,970,3
224,3813,2,1,970,3
225,3993,2,1,560,3
226,4436,2,1,540,3
227,2252,3,1,1520,3
228,3080,3,1,1470,3
229,3081,3,1,1470,3
230,3078,3,1,1470,3
231,3079,3,1,1470,3
232,3589,3,1,1050,3
233,3588,3,1,1050,3
234,3590,3,1,1050,3
235,3357,3,1,1080,3
236,3358,3,1,1080,3
237,4319,3,1,720,3
238,2760,4,1,1280,3
239,3110,4,1,1960,3
240,3109,4,1,1960,3
241,3111,4,1,1960,3
242,3374,4,1,1360,3
243,4123,4,1,1210,3
244,3390,5,1,1620,3
245,3388,5,1,1620,3
246,3389,5,1,1620,3
247,4026,5,1,1110,3
248,4228,5,1,1190,3
249,2265,6,1,2540,3
250,3630,6,1,1960,3
251,3632,6,1,1960,3
252,3631,6,1,1960,3
253,4127,6,1,1710,3
254,2273,7,1,3380,3
255,2274,7,1,3380,3
256,3153,7,1,3280,3
257,3151,7,1,3280,3
258,3152,7,1,3280,3
259,3873,7,1,2710,3
260,3874,7,1,2710,3
261,3872,7,1,2710,3
262,4354,7,1,1710,3
263,2281,8,1,4020,3
264,2282,8,1,4020,3
265,2839,8,1,2860,3
266,2838,8,1,2860,3
267,2841,8,1,2860,3
268,2840,8,1,2860,3
269,3434,8,1,3040,3
270,3433,8,1,3040,3
271,3435,8,1,3040,3
272,4251,8,1,2500,3
273,4488,8,1,1900,3
274,4489,8,1,1900,3
275,4494,8,1,2010,3
276,2916,9,1,4800,3
277,3245,9,1,7340,3
278,3702,9,1,4650,3
279,3923,9,1,5100,3
280,5594,1,5,60,1
281,5595,1,5,170,1
282,5596,1,5,350,1
283,4564,1,1,120,1
284,4566,1,1,290,1
285,7796,1,5,1000,1
286,6018,1,1,2000,1
287,5881,1,1,10000,1
288,4568,2,1,1010,1
289,4567,2,1,1710,1
290,4632,3,1,1440,1
291,4633,3,1,1440,1
292,5597,4,5,690,1
293,5598,4,5,1150,1
294,6023,5,1,4000,1
295,4562,5,1,2850,1
296,6024,6,1,6000,1
297,4634,7,1,2300,1
298,4635,7,1,2300,1
299,4636,8,1,2730,1
300,6025,8,1,8000,1
301,6141,8,1,500,1
302,7060,8,1,1000,1
303,7059,8,1,1500,1
304,6528,8,1,5050,1
305,6554,8,1,6900,1
306,6539,8,1,8300,1
307,6557,8,1,6700,1
308,6546,8,1,9070,1
309,6662,8,1,1100,1
310,6657,8,1,4900,1
311,6472,8,1,6800,1
312,6151,9,10,2500,1
313,6153,9,10,2500,1
314,6154,9,10,2500,1
315,5530,9,1,2500,1
316,5531,9,1,2500,1
317,5502,9,1,2500,1
318,5501,9,1,2500,1
319,5261,9,1,2500,1
320,5119,9,1,2500,1
321,5274,9,1,2500,1
322,5532,9,1,2500,1
323,6171,9,1,20000,1
324,7097,9,1,19150,1
325,7134,9,1,10950,1
326,7144,9,1,10950,1
327,6600,9,1,14470,1
328,0,0,1,0,0
329,0,0,1,0,0
330,1620,1,1,1120,2
331,1692,1,1,1060,2
332,1762,1,1,1060,2
333,1831,1,1,1060,2
334,1904,1,1,1120,2
335,2009,1,1,1120,2
336,2115,1,1,1120,2
337,2155,1,1,1120,2
338,1631,4,1,1770,2
339,1704,4,1,1770,2
340,1774,4,1,1770,2
341,1843,4,1,1770,2
342,1913,4,1,1770,2
343,2019,4,1,1770,2
344,2075,4,1,1770,2
345,2164,4,1,1770,2
346,1647,6,1,2970,2
347,1715,6,1,2970,2
348,1785,6,1,2970,2
349,1854,6,1,2970,2
350,1924,6,1,2970,2
351,1973,6,1,2970,2
352,2082,6,1,2970,2
353,2173,6,1,2970,2
354,1655,7,1,3530,2
355,1656,7,1,3530,2
356,1722,7,1,3530,2
357,1792,7,1,3530,2
358,1861,7,1,3530,2
359,1931,7,1,3530,2
360,1930,7,1,3530,2
361,2035,7,1,3530,2
362,2087,7,1,3530,2
363,2180,7,1,3530,2
364,1727,8,1,4200,2
365,1795,8,1,4200,2
366,1866,8,1,4200,2
367,1936,8,1,4200,2
368,2038,8,1,4200,2
369,2092,8,1,4200,2
370,2183,8,1,4200,2
371,1669,9,1,7040,2
372,1739,9,1,7040,2
373,1809,9,1,7040,2
374,1878,9,1,7040,2
375,1948,9,1,7040,2
376,1991,9,1,7040,2
377,2101,9,1,7040,2
378,2199,9,1,7040,2
379,2200,9,1,7040,2
380,2717,1,1,680,3
381,3049,1,1,1040,3
382,3567,1,1,660,3
383,3798,1,1,730,3
384,3074,2,1,1390,3
385,3075,2,1,1390,3
386,3818,2,1,970,3
387,3819,2,1,970,3
388,3820,2,1,970,3
389,3817,2,1,970,3
390,3995,2,1,560,3
391,4438,2,1,540,3
392,2254,3,1,1520,3
393,3088,3,1,1470,3
394,3089,3,1,1470,3
395,3087,3,1,1470,3
396,3086,3,1,1470,3
397,3595,3,1,1050,3
398,3594,3,1,1050,3
399,3596,3,1,1050,3
400,3362,3,1,1080,3
401,3361,3,1,1080,3
402,4319,3,1,720,3
403,2762,4,1,1280,3
404,3116,4,1,1960,3
405,3115,4,1,1960,3
406,3117,4,1,1960,3
407,3376,4,1,1360,3
408,4123,4,1,1210,3
409,3396,5,1,1620,3
410,3394,5,1,1620,3
411,3395,5,1,1620,3
412,4028,5,1,1110,3
413,4230,5,1,1190,3
414,2267,6,1,2540,3
415,3636,6,1,1960,3
416,3638,6,1,1960,3
417,3637,6,1,1960,3
418,4129,6,1,1710,3
419,2276,7,1,3380,3
420,2277,7,1,3380,3
421,3159,7,1,3280,3
422,3157,7,1,3280,3
423,3158,7,1,3280,3
424,3878,7,1,2710,3
425,3880,7,1,2710,3
426,3879,7,1,2710,3
427,4356,7,1,1710,3
428,2285,8,1,4020,3
429,2286,8,1,4020,3
430,2847,8,1,2860,3
431,2846,8,1,2860,3
432,2849,8,1,2860,3
433,2848,8,1,2860,3
434,3439,8,1,3040,3
435,3440,8,1,3040,3
436,3441,8,1,3040,3
437,4253,8,1,2500,3
438,4492,8,1,1900,3
439,4493,8,1,1900,3
440,4496,8,1,2010,3
441,2918,9,1,4800,3
442,3247,9,1,7340,3
443,3704,9,1,4650,3
444,3925,9,1,5100,3
445,5594,1,5,60,1
446,5595,1,5,170,1
447,5596,1,5,350,1
448,4564,1,1,120,1
449,4566,1,1,290,1
450,7796,1,5,1000,1
451,6019,1,1,2000,1
452,5881,1,1,10000,1
453,4568,2,1,1010,1
454,4567,2,1,1710,1
455,4632,3,1,1440,1
456,4633,3,1,1440,1
457,5597,4,5,690,1
458,5598,4,5,1150,1
459,6026,5,1,4000,1
460,4563,5,1,2850,1
461,6027,6,1,6000,1
462,4634,7,1,2300,1
463,4635,7,1,2300,1
464,4636,8,1,2730,1
465,6028,8,1,8000,1
466,6141,8,1,500,1
467,7060,8,1,1000,1
468,7059,8,1,1500,1
469,6527,8,1,5050,1
470,6555,8,1,6900,1
471,6540,8,1,8300,1
472,6558,8,1,6700,1
473,6547,8,1,9070,1
474,6662,8,1,1100,1
475,6658,8,1,4900,1
476,6471,8,1,6800,1
477,6151,9,10,2500,1
478,6153,9,10,2500,1
479,6154,9,10,2500,1
480,5530,9,1,2500,1
481,5531,9,1,2500,1
482,5502,9,1,2500,1
483,5501,9,1,2500,1
484,5261,9,1,2500,1
485,5119,9,1,2500,1
486,5274,9,1,2500,1
487,5532,9,1,2500,1
488,6172,9,1,20000,1
489,7152,9,1,19150,1
490,7096,9,1,19150,1
491,7135,9,1,10950,1
492,7145,9,1,10950,1
493,6600,9,1,14470,1
494,0,0,1,0,0
