Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [USHORT] [0x8],3 [UBYTE] [0xC],4 [UBYTE] [0xD],5 [UBYTE] [0xE],6 [UBYTE] [0xF],7 [BBOOL] [0x14],8 [BBOOL] [0x14],9 [BBOOL] [0x14],10 [BBOOL] [0x14],11 [BBOOL] [0x14],12 [BBOOL] [0x14],13 [BBOOL] [0x14],14 [BBOOL] [0x14],15 [UBYTE] [0x10],16 [UBYTE] [0x11],17 [BBOOL] [0x15],18 [USHORT] [0xA],19 [BBOOL] [0x15],20 [BBOOL] [0x15],21 [UBYTE] [0x12],22 [UBYTE] [0x13]
20,"技力流失","技力不断减少",15025,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
21,"体力增加","体力最大值提高",15075,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
22,"体力衰减","体力最大值降低",15076,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
23,"魔力增加","魔力最大值提高",15077,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
24,"魔力衰减","魔力最大值降低",15078,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
25,"物理攻击力提升","物理攻击力增强",15050,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
26,"物理攻击力降低","物理攻击力减弱",15051,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
27,"命中率提升","命中率增强",15060,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
28,"命中率降低","命中率减弱",15061,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
29,"物理防御力提升","物理防御力增强",15052,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
30,"物理防御力降低","物理防御力减弱",15053,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
31,"回避力提升","回避力增强",15062,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
32,"回避力降低","回避力减弱",15063,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
33,"魔法攻击力提升","魔法攻击力增强",15054,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
34,"魔法攻击力降低","魔法攻击力减弱",15055,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
35,"魔法治疗力提升","魔法治疗力增强",15058,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
36,"魔法治疗力降低","魔法治疗力减弱",15059,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
37,"魔法防御力提升","魔法防御力增强",15056,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
38,"魔法防御力降低","魔法防御力减弱",15057,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
39,"眩晕无效","附带眩晕效果的技能无法生效",15566,0,1,16,0,false,false,false,false,false,false,true,true,100,0,false,0,false,false,0,0
40,"沉默无效","附带沉默效果的技能无法生效",15567,0,1,16,0,false,false,false,false,false,false,true,true,100,0,false,0,false,false,0,0
41,"制作设备","借助制作设备进行作业，50级及以下的能工巧匠会提升最大制作力",16107,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
42,"超越之力","超过自己的极限，能够提升最大体力，同时攻击造成的伤害及治疗魔法的治疗量也会增加",16207,0,1,16,0,false,false,false,false,false,false,true,true,0,0,false,0,false,false,0,0
43,"衰弱","身体很虚弱，各项状态参数均降低15%",15010,0,2,0,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
44,"濒死","身体非常虚弱，各项状态参数均降低30%",15011,0,2,0,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
45,"巧手之工","能工巧匠获得的经验值增加",16106,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
46,"大地之恩","大地使者获得的经验值增加",16006,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
47,"潜行","自身移动速度降低，不过不会受到怪物袭击",16001,0,1,16,0,false,false,false,false,false,false,true,true,2,0,false,0,false,true,0,0
48,"进食","吃下特定食物有相应的提升效果",16202,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
49,"强化药","",16203,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
50,"冲刺","移动速度提高",10101,0,1,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
51,"力量降低","力量值降低",15080,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
52,"耐力降低","耐力值降低",15082,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
53,"物理伤害提高","物理攻击所造成的伤害提高",15050,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
54,"物理伤害降低","物理攻击所造成的伤害降低",15051,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
55,"物理受伤减轻","受到物理攻击的伤害减少",15052,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
56,"物理受伤加重","受到物理攻击的伤害增加",15053,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
57,"魔法伤害提高","魔法攻击所造成的伤害提高",15054,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
58,"魔法伤害降低","魔法攻击所造成的伤害降低",15055,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
59,"魔法受伤减轻","受到魔法攻击的伤害减少",15056,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
60,"魔法受伤加重","受到魔法攻击的伤害增加",15057,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
61,"伤害提高","攻击所造成的伤害提高",15519,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
62,"伤害降低","攻击所造成的伤害降低",15520,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
63,"受伤减轻","受到攻击的伤害减少",15021,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
64,"受伤加重","受到攻击的伤害增加",15020,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
65,"战技暴击化","发动战技时必定打出暴击",15016,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
66,"恐怖","过于恐惧而无法做出任何行动",15516,0,2,18,0,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
67,"沉重","移动速度降低",15518,0,2,4,126,false,false,false,false,false,false,true,true,100,1,false,0,false,false,0,0
68,"吸血攻击","自动攻击附加吸收体力的效果",15504,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
69,"取技攻击","自动攻击附加吸收技力的效果",15505,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
70,"眩晕攻击","自动攻击有一定几率附加眩晕效果",15506,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
71,"铁壁","减轻所受到的伤害",10152,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
72,"渐愈","自身所受的治疗魔法效果提高",10157,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
73,"警觉","不会受到暴击",10154,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
74,"预警","减轻所受到的伤害",10151,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
75,"钢铁意志","击退与吸引无效",10153,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
76,"战逃反应","物理攻击所造成的伤害提高",10155,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
77,"壁垒","格挡发动率提高",10156,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
78,"忠义之剑","对自动攻击附加追加伤害",12505,0,1,16,0,false,false,false,false,false,false,true,true,0,0,true,0,false,false,0,0
79,"忠义之盾","令自身所受到的伤害减少，命中率提升，同时会以攻击力降低为代价提高自身仇恨",12506,0,1,16,0,false,false,false,false,false,false,true,true,0,0,true,0,false,false,0,0
80,"保护","正在保护特定的队员",12501,0,1,16,0,false,false,false,false,false,false,false,false,100,0,true,0,false,false,0,0
81,"被保护","正处于特定队员的保护下",12502,0,1,16,0,false,false,false,false,false,false,false,false,100,0,true,0,false,false,0,0
82,"神圣领域","除特定攻击之外其他所有攻击均无效化",12504,0,1,16,0,false,false,false,false,false,false,false,false,70,0,false,0,false,false,0,1
83,"预见","物理防御力增强",10252,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
84,"浴血","物理攻击附带吸收体力的效果",10251,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
85,"凶残裂","攻击所造成的伤害提高",10262,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
86,"狂暴","物理攻击力增强效果消失后会暂时陷入战技封印状态",10253,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
87,"战栗","体力最大值提高",10254,0,1,16,0,false,false,false,false,false,false,false,false,5,0,false,0,false,false,0,0
88,"死斗","无法自由移动，受到伤害也不会解除",10255,0,2,17,0,true,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
89,"复仇","受到物理攻击时会发动反击",10256,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
90,"暴风碎","斩击耐性降低，自身所受的治疗魔法效果也降低",10263,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
91,"守护","体力最大值及命中率提高，自身所受的治疗魔法效果提高，同时会以攻击力降低为代价提高自身仇恨。效果中发动特定技能会附加愤怒状态",12551,0,1,16,0,false,false,false,false,false,false,true,true,0,0,true,0,false,false,0,0
92,"解脱","抵消守护状态中降低攻击力的负面效果",12552,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
93,"愤怒","招架发动率提高",10257,0,1,16,139,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
94,"愤怒II","招架发动率提高",10258,0,1,16,139,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
95,"愤怒III","招架发动率提高",10259,0,1,16,139,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
96,"愤怒IV","招架发动率提高",10260,0,1,16,139,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
97,"愤怒V","招架发动率提高",10261,0,1,16,139,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
98,"双龙脚","打击耐性与智力有所降低",10215,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
99,"飘羽步","回避率提高",10201,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
100,"发劲","暴击发动率提高",10204,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
101,"双掌打","攻击所造成的伤害提高",10216,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
102,"真言","自身所受的治疗魔法效果提高",10206,0,1,16,0,false,false,false,false,false,false,false,false,5,0,false,0,false,false,0,0
103,"红莲体势","攻击所造成的伤害提高",10202,0,1,16,0,false,false,false,false,false,false,true,true,0,0,true,528,false,false,0,0
104,"金刚体势","减轻所受到的伤害",10203,0,1,16,0,false,false,false,false,false,false,true,true,0,0,true,528,false,false,0,0
105,"疾风体势","移动速度提高",12526,0,1,16,0,false,false,false,false,false,false,true,true,0,0,true,528,false,false,0,0
106,"秘孔拳","体力逐渐减少",10211,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
107,"魔猿形","摆出魔猿身形",10212,0,1,16,0,false,false,false,false,false,false,false,false,0,0,true,528,false,false,0,0
108,"盗龙形","摆出盗龙身形",10213,0,1,16,0,false,false,false,false,false,false,false,false,0,0,true,528,false,false,0,0
109,"猛豹形","摆出猛豹身形",10214,0,1,16,0,false,false,false,false,false,false,false,false,0,0,true,528,false,false,0,0
110,"震脚","能够打出三种身形的所有招式",10217,0,1,16,0,false,false,false,false,false,false,false,false,0,0,true,528,false,false,0,0
111,"疾风迅雷","攻击所造成的伤害及攻击速度提高",10207,0,1,16,146,false,false,false,false,false,false,false,false,0,0,true,0,false,false,0,0
112,"疾风迅雷II","攻击所造成的伤害及攻击速度提高",10208,0,1,16,147,false,false,false,false,false,false,false,false,0,0,true,0,false,false,0,0
113,"疾风迅雷III","攻击所造成的伤害及攻击速度提高",10209,0,1,16,148,false,false,false,false,false,false,false,false,0,0,true,0,false,false,0,0
114,"敏锐","招架发动率提高",10301,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
115,"重刺","攻击所造成的伤害提高",10306,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
116,"龙剑","下次发动的战技必定打出暴击，并且附带吸收与伤害数值相同体力的效果",10302,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
117,"舍身","攻击所造成的伤害提高，受到攻击的伤害也会增加",10304,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
118,"樱花怒放","体力逐渐减少",10307,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
119,"二重刺","体力逐渐减少",10305,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
120,"龙枪","下次发动跳跃或破碎冲的伤害提高",10303,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
121,"开膛枪","突刺耐性降低",12576,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
122,"直线射击效果提高","下次直线射击必定会发动暴击",10365,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
123,"鹰眼","灵巧有所提高，并且攻击必定会命中",10351,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
124,"毒咬箭","身中剧毒，体力会逐渐减少",10352,0,2,1,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
125,"猛者强击","攻击造成的伤害提高",10354,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
126,"物理受伤加重","受到物理攻击的伤害增加",18001,8,2,17,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
127,"静者强击","抑制仇恨上升",10355,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
128,"纷乱箭","自身发动的下一次战技会变为多次攻击",10356,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
129,"风蚀箭","风属性持续伤害，体力逐渐流失",10360,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
130,"直线射击","暴击发动率提高",10361,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
131,"死亡箭雨效果提高","下次发动死亡箭雨不会消耗技力",12607,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
132,"连珠箭效果提高","下次发动连珠箭不会消耗技力",10362,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
133,"敏捷之歌","移动速度提高，对一定范围内的队友也会附加同样效果进入战斗状态后效果消失",10358,0,1,16,0,false,false,false,false,false,false,true,true,1,0,true,0,false,false,0,0
134,"敏捷之歌","移动速度提高进入战斗状态后效果消失",10357,0,1,16,0,false,false,false,false,false,false,false,true,0,0,true,0,false,false,0,0
135,"贤者的叙事谣","对一定范围内的队友附加魔力持续恢复效果，自身攻击所造成的伤害降低，并且会持续消耗魔力",12603,0,1,16,0,false,false,false,false,false,false,true,true,1,0,true,0,false,false,0,0
136,"贤者的叙事谣","魔力持续恢复",12602,0,1,16,0,false,false,false,false,false,false,false,true,0,0,true,0,false,false,0,0
137,"军神的赞美歌","对一定范围内的队友附加技力持续恢复效果，自身攻击所造成的伤害降低，并且会持续消耗魔力",12605,0,1,16,0,false,false,false,false,false,false,true,true,1,0,true,0,false,false,0,0
138,"军神的赞美歌","技力持续恢复",12604,0,1,16,0,false,false,false,false,false,false,false,true,0,0,true,0,false,false,0,0
139,"魔人的安魂曲","降低周围敌人的全部魔法属性自身会持续消耗魔力",12606,0,1,16,0,false,false,false,false,false,false,true,true,0,0,true,0,false,false,0,0
140,"魔人的安魂曲","全魔法属性降低",12608,0,2,17,0,false,false,false,false,false,false,false,true,50,0,true,0,false,false,0,0
141,"战斗之声","周围队友受到吟游诗人的歌的效果提高",12601,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
142,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
143,"疾风","风属性持续伤害，体力逐渐流失",10403,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
144,"烈风","风属性持续伤害，体力逐渐流失",10409,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
145,"战姿","令自身的智力和精神数值互换，攻击魔法伤害提升，同时治疗魔法恢复量降低",10402,0,1,16,0,false,false,false,false,false,false,true,true,0,0,true,0,false,false,0,0
146,"护盾","物理防御力及魔法防御力增强",10405,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
147,"护盾","物理防御力及魔法防御力增强",10405,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
148,"复活","接受别人发动的复活",10406,0,1,16,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
149,"眩晕","无法做出任何行动",15004,0,2,3,0,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
150,"医济","体力会随时间逐渐恢复",10413,0,1,16,0,false,false,false,false,false,false,false,false,5,0,false,0,false,false,0,0
151,"石肤","将皮肤硬质化，可以抵消一定伤害",10401,0,1,16,0,false,false,false,false,false,false,false,false,30,0,false,0,false,false,0,12
152,"石肤（物理攻击）","将皮肤硬质化，可以抵消一定物理伤害",15041,0,1,16,0,false,false,false,false,false,false,true,true,30,0,false,0,false,false,0,12
153,"石肤（魔法攻击）","将皮肤硬质化，可以抵消一定魔法伤害",15042,0,1,16,0,false,false,false,false,false,false,true,true,30,0,false,0,false,false,0,12
154,"女神的加护","魔力持续恢复",10408,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
155,"救疗效果提高","下次咏唱救疗时不会消耗魔力",10410,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
156,"愈疗效果提高","下次咏唱愈疗时消耗魔力减半",10411,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
157,"神速咏唱","自动攻击间隔时间缩短，魔法的咏唱时间和复唱时间缩短",12627,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
158,"再生","体力会随时间逐渐恢复",12626,0,1,16,0,false,false,false,false,false,false,false,false,5,0,false,0,false,false,0,0
159,"神封印","发动治疗魔法的治疗量提高",10407,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
160,"沉稳咏唱","下次咏唱不会被攻击打断",10452,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
161,"闪雷","雷属性持续伤害，体力逐渐流失",10457,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
162,"震雷","雷属性持续伤害，体力逐渐流失",10458,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
163,"暴雷","雷属性持续伤害，体力逐渐流失",10459,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
164,"雷云","下次咏唱的闪雷、震雷、暴雷在命中时将持续伤害的伤害量一并爆发出来，并且咏唱时间与消耗魔力均为0",10461,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
165,"火苗","下次咏唱爆炎时不需要咏唱时间也不会消耗魔力",10460,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
166,"士气高扬之策效果提高","下次咏唱士气高扬之策时不会消耗魔力",12804,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
167,"即刻咏唱","下次咏唱魔法不需要咏唱时间",10454,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
168,"反魔罩","一定量的魔法伤害无效",10456,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,12
169,"坚壁","一定量的物理伤害无效",12651,0,1,16,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,12
170,"万有复兴","减轻所受到的魔法伤害",10451,0,1,16,0,false,false,false,false,false,false,false,false,5,0,false,0,false,false,0,0
171,"灾厄","无法附加万有复兴状态",12652,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
172,"虚弱","自身所受的治疗魔法效果降低",15531,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
173,"星极火","灵魂中寄托了星极性<br>火属性魔法威力提高，同时消耗的魔力也提高<br>冰属性魔法威力降低，同时消耗的魔力也降低<br>魔力不会自然恢复",10463,0,1,16,140,false,false,false,false,false,false,false,false,0,0,true,0,false,false,0,0
174,"星极火II","灵魂中寄托了星极性<br>火属性魔法威力提高，同时消耗的魔力也提高<br>冰属性魔法威力降低，同时消耗的魔力也降低<br>魔力不会自然恢复",10464,0,1,16,141,false,false,false,false,false,false,false,false,0,0,true,0,false,false,0,0
175,"星极火III","灵魂中寄托了星极性<br>火属性魔法威力提高，同时消耗的魔力也提高<br>冰属性魔法威力降低，同时消耗的魔力也降低<br>冰属性魔法咏唱时间减半<br>魔力不会自然恢复",10465,0,1,16,142,false,false,false,false,false,false,false,false,0,0,true,0,false,false,0,0
176,"灵极冰","灵魂中寄托了灵极性<br>火属性魔法威力降低，同时消耗的魔力也降低<br>魔力自然恢复速度增加",10466,0,1,16,143,false,false,false,false,false,false,false,false,0,0,true,0,false,false,0,0
177,"灵极冰II","灵魂中寄托了灵极性<br>火属性魔法威力降低，同时消耗的魔力也降低<br>魔力自然恢复速度增加",10467,0,1,16,144,false,false,false,false,false,false,false,false,0,0,true,0,false,false,0,0
178,"灵极冰III","灵魂中寄托了灵极性<br>火属性魔法威力降低，同时消耗的魔力也降低<br>火属性魔法咏唱时间减半<br>魔力自然恢复速度增加",10468,0,1,16,145,false,false,false,false,false,false,false,false,0,0,true,0,false,false,0,0
179,"毒菌","体力逐渐减少",10504,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
180,"瘴气","体力逐渐减少",10506,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
181,"病弱","移动速度降低，自身所受的治疗魔法效果也会降低<br>※对战区域内移动速度降低效果无效",15014,0,2,17,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,4
182,"病毒","力量与灵巧有所降低",10510,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
183,"心病","智力与精神有所降低",10511,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
184,"维持","体力会随时间逐渐恢复",10508,0,1,16,0,false,false,false,false,false,false,false,false,5,0,false,0,false,false,0,0
185,"以眼还眼","受到物理攻击时有一定几率令攻击方所造成的伤害降低",10512,0,1,16,0,false,false,false,false,false,false,false,false,30,0,false,0,false,false,0,0
186,"以眼还眼","攻击所造成的伤害降低",10513,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
187,"振奋","攻击所造成的伤害与治疗魔法威力有所提高",10509,0,1,16,0,false,false,false,false,false,false,false,false,30,0,false,0,false,false,0,0
188,"瘴疠","体力逐渐减少",10507,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
189,"猛毒菌","体力逐渐减少",10505,0,2,17,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
190,"暗影核爆","在地上产生造成无属性伤害的危险区",10514,0,1,16,0,false,false,false,false,false,false,false,false,0,0,true,0,false,false,0,0
191,"疾病","自身所受的治疗魔法效果降低",15531,0,2,17,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
