Index,0 [BBOOL] [0x4],1 [STRING] [0x0]
57,false,"欢迎惠顾！"
58,false,"看来我们有必要重新开始……"
59,false,"是啊……"
60,false,"欢迎来到这里，旅行者。"
61,false,"咕……"
62,false,"对不起！<br>我再也不敢了……"
63,false,"最好没有下次了。"
64,false,"你们这些黑影之民真是……"
65,false,"安静！"
66,false,"站直了！"
67,false,"但是我的腿有点……"
68,false,"哈！"
69,false,"收腹！低头！"
70,false,"腰挺得太高了！"
71,false,"是！"
72,false,"呵！"
73,false,"啊啊！"
74,false,"没事了。"
75,false,"……"
76,false,"好吧，<br>它看上去没什么大问题。"
77,false,"嗯……"
78,false,"我觉得我们需要再弄一些盐。"
79,false,"挑个轻点的比较好吧？"
80,false,"我说……你们听明白了吗……"
81,false,"……"
82,false,"？"
83,false,"啦啦，啦"
84,false,"这是在鼓励我吗？"
85,false,"啦啦啦"
86,false,"接下来种什么呢……"
87,false,"这次我试着换了种肥料。"
88,false,"看上去成长很不错！"
89,false,"难怪啊！"
90,false,"工头还在盯着？<br>可恶……"
91,false,"喂，该换班了。"
92,false,"让我休息10分钟……"
93,false,"那可不行！"
94,false,"一不小心……"
95,false,"91"
96,false,"这就是森林的意志。"
97,false,"可是……那是不对的！"
98,false,"这个女孩才经历过12次夏天。"
99,false,"求您了……请帮帮她……"
100,false,"森林一直在守望着我们。"
101,false,"元灵会保佑我的生意吗？"
102,false,"我们快走吧。"
103,false,"不要急，<br>我先喝点东西。"
104,false,"但是我们才刚到这里！"
105,false,"……"
106,false,"伟大的元灵……法师大人……"
107,false,"元灵说了些什么？"
108,false,"请保佑我们……"
109,false,"愿你的伤痛早日康复。"
110,false,"谢谢！"
111,false,"太糟糕了！"
112,false,"长须豹吃掉了<br>我们所有的鸡雏！"
113,false,"还有小麦和其他作物……"
114,false,"欲罢不能啊！"
115,false,"这里的酒简直棒极了。"
116,false,"时间过得真快啊。"
117,false,"灵灾已经过去5年了……"
118,false,"唉……"
119,false,"应该把那些外来者<br>全部驱除出境！"
120,false,"幻术皇说我们必须接受他们。"
121,false,"……"
122,false,"难道就不能让一位淑女<br>休息一下吗？"
123,false,"这事得按规定办。"
124,false,"请通融一下嘛……"
125,false,"我马上就想要货喵！"
126,false,"我觉得这个不错呢"
127,false,"嗯……这个怎么样？"
128,false,"呜哇……好酒！"
129,false,"这手工……做得真棒！"
130,false,"喂，你在听我说话吗？"
131,false,"啦啦啦啦"
132,false,"宝宝乖，乖宝宝。"
133,false,"要细心做……"
134,false,"这些可恶的豆子！<br>我怎么也除不掉身上的臭味！"
135,false,"嗯，看来都合格。"
136,false,"真是精美的手工技术。"
137,false,"还有这种样式的啊。"
138,false,"吵死了！<br>我连一分钟都睡不着！"
139,false,"呼……"
140,false,"嗯……"
141,false,"……哎！"
142,false,"放松……<br>保持呼吸……"
143,false,"只要抓住时机<br>给他们个出其不意……"
144,false,"不要小看鸟人族。"
145,false,"今天的训练还没结束吗？"
146,false,"呵……呵……"
147,false,"你以为敌人会给你<br>休息的时间吗？"
148,false,"是！长官！"
149,false,"是！长官！"
150,false,"是！脏……啊不！长官！"
151,false,"你们甚至都射不中<br>那边的木桩！"
152,false,"请给予我们指引……"
153,false,"咕哎！"
154,false,"再来100次！"
155,false,"那种刺法连鸟人的<br>羽毛都刺不穿！"
156,false,"哦亲爱的……呼……"
157,false,"是魔物干的吗？"
158,false,"幼苗都被糟蹋了！"
159,false,"咕哎！"
160,false,"下次修树枝的地点是……"
161,false,"好吧好吧。"
162,false,"就差一步了。"
163,false,"可以大赚一笔咯！"
164,false,"在事成之前都不能松懈啊……"
165,false,"你那句话已经嘟囔一晚上了。"
166,false,"嗝……<br>再给我来最后一杯酒。"
167,false,"元灵是不会允许<br>他们入住森林的！"
168,false,"又有人从阿拉米格来了……"
169,false,"哼……你是冒险者吧。"
170,false,"天啊，<br>那边过来的是什么？"
171,false,"马上要执行讨伐任务了！<br>有冒险者想加入我们吗？"
172,false,"就没有什么好工作吗？"
173,false,"别再让我去打什么松鼠了……"
174,false,"怎么回事？<br>我只是想要个房间！"
175,false,"好的，马上就来。"
176,false,"给我你们这最好的花茶！"
177,false,"休息够了就继续锻炼！"
178,false,"可我才刚坐下……"
179,false,"问那边的乌龟吧，<br>我是没有了。"
180,false,"我只想要一个蛋！"
181,false,"呃……荷依娜娜小姐<br>我们不是很急吗？"
182,false,"如果能有办法上到<br>它们背壳上的话……"
183,false,"我准备去问问行会里<br>有没有人知道浮空的魔法。"
184,false,"在精金龟附近<br>永远不要放松警惕。"
185,false,"我已经不行了……"
186,false,"好吧，先生。<br>不过货物情况怎么样了？"
187,false,"有消息说在欧金尼娅哨塔<br>附近发现了鸟人族。"
188,false,"我们最好提高警惕。"
189,false,"……"
190,false,"北边的那个要塞？<br>你疯了吗？"
191,false,"我们没有进到里面，<br>只是靠近看了下。"
192,false,"就不能让我安稳地<br>睡上一会吗？"
193,false,"哦，抱歉，<br>你刚才说什么？"
194,false,"呃……我还是来点水吧……"
195,false,"我们今天的特色菜是<br>鳗鱼、水蜥、蜗牛和蟾蜍。"
196,false,"我看见这个外来者<br>带着钱包逃走了。"
197,false,"我没有！<br>请你相信我！"
198,false,"我们出城还不到两个小时，<br>看你们都什么样了！"
199,false,"长官……<br>我之前已经跑过20星里了……"
200,false,"然后呢，又有……"
201,false,"知道了知道了。"
202,false,"我今天有个绝妙的计划！"
203,false,"哦不……"
204,false,"又来？"
205,false,"又随便乱贴……<br>这种胶真难处理啊！"
206,false,"什么都比不上累了一天<br>之后的一杯热酒！"
207,false,"你要看啥？<br>我们不是来喝酒的吗？"
208,false,"有什么本事尽管放马过来。"
209,false,"看看有什么新消息……"
210,false,"哼，你要是个男人<br>就和我到下面去打。"
211,false,"绝对亏不了你的。"
212,false,"听上去不错，报酬怎么算？"
213,false,"嘿嘿，有急用要借钱？"
214,false,"我也想看斗技场里的比赛……"
215,false,"今天的对战好像也能挺激烈。"
216,false,"拿好了我们就走。"
217,false,"等下，我得换下位置。"
218,false,"哎呀……"
219,false,"脚下动作太慢了！"
220,false,"473号。"
221,false,"这么做不公平！"
222,false,"下次的作品我准备这么做……"
223,false,"总有一天，<br>我的照片也一定会挂在这里。"
224,false,"这想法真不错！"
225,false,"上一批银矿的纯度太差了！"
226,false,"我今天干掉了3个对手。"
227,false,"就用了一招？太厉害了！"
228,false,"真了不起……"
229,false,"破坏，破坏，破坏……"
230,false,"向札尔神祈祷吧，<br>他会保佑你的来生。"
231,false,"希望我的来生能够<br>获得幸福和财富……"
232,false,"钱不是问题。"
233,false,"我们只要求葬礼越豪华越好。"
234,false,"你应该去找行会<br>反映一下情况才对。"
235,false,"咕哎……"
236,false,"乖，理理毛更漂亮。"
237,false,"今天的对战表出来了！"
238,false,"这可是今天的重头戏！"
239,false,"是人间战车格奥尔格吗？！"
240,false,"上去之后要注意言谈举止。"
241,false,"那些货品真漂亮……"
242,false,"用这个送礼一定很合适。"
243,false,"给我来一袋小麦。"
244,false,"好的，又要酿新酒了吗？"
245,false,"是啊，看上去真漂亮。"
246,false,"这是我们新设计的样式！<br>欢迎大家来体验！"
247,false,"瞧一瞧看一看啊！"
248,false,"我这可是真功夫！"
249,false,"好厉害！"
250,false,"这点把戏我也能行……"
251,false,"诶嘿嘿！"
252,false,"哦她们的尾巴真奇妙……"
253,false,"我一狠心就买下来了！"
254,false,"衣服挺漂亮的，<br>你不再给自己买条项链？"
255,false,"我看看……"
256,false,"我没法决定要红的还是蓝的，<br>所以就把两个都买了……"
257,false,"一看你就是行家，<br>那可是正经的好东西！"
258,false,"哎哎……"
259,false,"你又买了这么多！"
260,false,"这些好像是刚出土的？"
261,false,"我把午饭放哪去了……"
262,false,"御道上要保持肃静。"
263,false,"罗罗力特大人真是的……"
264,false,"这是……第五星历的手抄本？"
265,false,"嘘……隔墙有耳……"
266,false,"那可是绝版的古本啊！"
267,false,"专心实验也要注意程度！"
268,false,"据说全都多亏了劳班大人。"
269,false,"他果然是我们的英雄。"
270,false,"您真有眼光！"
271,false,"这个、这个、还有这个。"
272,false,"还、还要买吗……"
273,false,"我家的武器！<br>只有想不到，没有买不到！"
274,false,"进来看看吧！<br>都是上好的装备！"
275,false,"我们提供免费试穿！"
276,false,"要是加入一些狼蛛会怎么样？"
277,false,"那会变成剧毒的。"
278,false,"原来还有这种情况……"
279,false,"换班的怎么还不来……"
280,false,"出城后一定要小心那些魔物。"
281,false,"首先将浑水给滤清。"
282,false,"还没好？"
283,false,"这条街又热闹起来了！"
284,false,"是啊，真棒！"
285,false,"我说过了，不行。"
286,false,"我还想吃点零食！"
287,false,"奇怪，怎么找不到了？"
288,false,"……"
289,false,"一切正常！"
290,false,"反正没人管。"
291,false,"不要捣乱，<br>不然我就把你丢到城外去。"
292,false,"跳得太好了！"
293,false,"耶！美女们！再多跳一段！"
294,false,"差不多该走了。"
295,false,"嗯。"
296,false,"抱、抱歉……"
297,false,"怎么又是你！"
298,false,"欢 迎 光 临 请 玩 得 开 心 "
299,false,"垃圾又变多了……"
300,false,"明年的今天就是你的忌日！"
301,false,"可笑，就凭你？"
302,false,"禁止将贫民带到这里来。"
303,false,"在这条街上一定要小心。"
304,false,"快开打啊！别磨磨蹭蹭的！"
305,false,"未使用：荒：会話00104"
306,false,"啊哈哈哈哈！"
307,false,"肩膀好疼……<br>你下手真够重的……"
308,false,"嘿嘿嘿……"
309,false,"嘻嘻……"
310,false,"仔细看对方的眼神！"
311,false,"所谓咒术呢……"
312,false,"哦……原来如此……"
313,false,"挑哪柄好呢……"
314,false,"听说有人密谋对女王下手……"
315,false,"咒术产生破坏……"
316,false,"破坏带来净化……"
317,false,"他们永远不会知道是谁干的，<br>嘿嘿。"
318,false,"我可以用咒术<br>点燃他们的住处……"
319,false,"喝啊！"
320,false,"乌尔达哈可真是野蛮。"
321,false,"到底是哪里不对劲……"
322,false,"少来烦我。"
323,false,"不行，这些人都太老了。"
324,false,"快走吧……"
325,false,"请给点饭钱吧……"
326,false,"好心人，我的腿坏了……<br>请给口饭吃吧……"
327,false,"啦啦啦，骨碌碌！"
328,false,"左、右、左、右……"
329,false,"有一点。"
330,false,"是不是有点紧？"
331,false,"这是用外国丝做的特别款式。"
332,false,"看上去真漂亮！"
333,false,"这里是裁衣匠行会。"
334,false,"你真没用，<br>才喝这么点就不行了？"
335,false,"呕……"
336,false,"这个也不对……"
337,false,"嘿嘿嘿。"
338,false,"对，据说现场情况很混乱。"
339,false,"嗝，头、头晕……"
340,false,"金链子在几号格子里来着？"
341,false,"什么时候才能做完啊……"
342,false,"请不要打扰我，会分心的。"
343,false,"雕金 雕 雕 …… ★ ※"
344,false,"保持住举盾的姿势！"
345,false,"这里是斗技场准备室。"
346,false,"我真该转去缝衣服……"
347,false,"你难道连打都不敢打？"
348,false,"位置剩得不多了！<br>要买票请抓紧时间！"
349,false,"这就是著名的斗技场么……"
350,false,"这次一定能炼出好药！"
351,false,"这个公式需要这么去理解……"
352,false,"呼……"
353,false,"唉……又熬夜做实验……"
354,false,"嗯……有发烧现象吗？"
355,false,"我儿子好像感冒了……<br>有什么好药吗？"
356,false,"不是吧……你说真的？"
357,false,"我要去研究让他喜欢我的药！"
358,false,"哎？那是什么？"
359,false,"前方是王室大殿，<br>闲杂人等不得入内。"
360,false,"要我说的话，就应该……"
361,false,"行行好赏我点钱好吗……"
362,false,"尽量多放点水做得稀点。"
363,false,"ざまぁみろ！"
364,false,"あ？　お前はすっこんでろ！"
365,false,"テメーは関係ねぇんだよ"
366,false,"未使用"
367,false,"ハッ、隊長殿！"
368,false,"我也觉得有些不太对劲。"
369,false,"矿石的产量增加得<br>有些过头了。"
370,false,"你跟我说也没什么用啊……"
371,false,"未使用"
372,false,"就不能更快点吗？"
373,false,"未使用"
374,false,"我想想……<br>是行会还是黄昏湾来着……"
375,false,"数量不太对……<br>难道又被那些家伙偷了？"
376,false,"未使用"
377,false,"又是个冒险者？<br>算了，过去吧。"
378,false,"未使用"
379,false,"快快长大快快长大。"
380,false,"西侧有情况！"
381,false,"多浇水长得快！"
382,false,"要能有报应早就该应验了。"
383,false,"西侧一切正常。"
384,false,"等、再等我一下……嗝！"
385,false,"赶紧走了，<br>不要耽误时间！"
386,false,"一杯只要10个金币！"
387,false,"我好饿……"
388,false,"我！一定要！出名！"
389,false,"你要雇人吗？<br>我很有两下子的！"
390,false,"什么梦想……什么希望……<br>、都见鬼去吧……"
391,false,"嘿嘿，他肯定用不上，<br>我就收下了。"
392,false,"未使用"
393,false,"呼噜……"
394,false,"我……好饿……"
395,false,"我没在问你！"
396,false,"没有个好点的位置吗？<br>我什么都看不见！"
397,false,"纳纳瓦银山又出事了？"
398,false,"叽 雕 金 行 会 咔"
399,false,"这人偶做得真不错。"
400,false,"从这里上去是政府层。"
401,false,"可我们已经没有别的方法了。"
402,false,"东阿尔迪纳德商会？<br>绝对没门！"
403,false,"现在不是赌气的时候。"
404,false,"然后呢，那个新来的侍女……"
405,false,"真的假的？我才不信。"
406,false,"就差最后一点了……<br>我现在还不能回去……"
407,false,"调配的时候一定要慎重！"
408,false,"好的。"
409,false,"不过那就得看你出多少了。"
410,false,"我们倒是可以帮你想点办法。"
411,false,"我想买一块红宝石，<br>非常大的那种。"
412,false,"该你去巡逻了。"
413,false,"十二神在上！<br>那家伙绝对会遭到报应！"
414,false,"这酒怎么一股兽腥味……"
415,false,"就、就不能再等一下吗……"
416,false,"仁慈的人啊……<br>我只需要一点乳根……"
417,false,"咳咳……"
418,false,"请来买点东西吧！"
419,false,"给点小钱就行！<br>我什么都能干！"
420,false,"未使用"
421,false,"肯定没戏，不用指望了。"
422,false,"去乌尔达哈找找活呢？"
423,false,"未使用"
424,false,"这里是黑尘驿站，<br>记得不要在铁轨上走。"
425,false,"你要把货物运到哪？"
426,false,"求求你……<br>我的孩子已经两天没吃饭了。"
427,false,"未使用"
428,false,"有钱么？有钱啥都好说。"
429,false,"哦，我的旧伤又发作了。"
430,false,"在我这什么好东西都能买到！"
431,false,"呃……你能不能……算了……"
432,false,"未使用"
433,false,"每次你都这么说。"
434,false,"欢迎来到乌尔达哈城。"
435,false,"在城里可就不像<br>城外那么自在了。"
436,false,"嗯……"
437,false,"你又把实验搞砸了？"
438,false,"我这有上等的皮毛和丝绸！"
439,false,"大甩卖了！"
440,false,"休息一下就回家吧。"
441,false,"妈妈，我累了。"
442,false,"真要命……我得喘口气……"
443,false,"后来呢……"
444,false,"干完活来口酒真是太过瘾了！"
445,false,"那些废石头怎么办？"
446,false,"谁知道，真麻烦。"
447,false,"未使用"
448,false,"该死！这箱子装得也太满了！"
449,false,"也得能用得上才行。"
450,false,"那是块超大的银矿！"
451,false,"哟呵……"
452,false,"未使用：荒：会話00251"
453,false,"未使用"
454,false,"我就用斧子咔嚓一下！"
455,false,"哈哈哈，就你？"
456,false,"未使用"
457,false,"到我了？好的。"
458,false,"未使用"
459,false,"再来个几百下<br>你就能超过我了！"
460,false,"感觉就好像好几天<br>没吃这么过瘾了！"
461,false,"未使用"
462,false,"喝啊！"
463,false,"不错，<br>记得实战中也要保持这样。"
464,false,"抱、抱歉……<br>我保证下次不会再这样了。"
465,false,"你们这些冒险者真是……<br>后面的酬劳别想要了！"
466,false,"我听说有个赚钱的好点子……"
467,false,"真的？<br>可我听说那地方被诅咒了。"
468,false,"前面就是乌尔达哈市内了。"
469,false,"请别惹出什么乱子。"
470,false,"从东边绕道吧。"
471,false,"我觉得西边好。"
472,false,"未使用"
473,false,"不要妨碍我们工作。"
474,false,"好想到街上去喝一杯啊。"
475,false,"沿路一直走的话，<br>就能到白银集市。"
476,false,"我们是盗龙快运！"
477,false,"嗯……很好，应该没错。"
478,false,"肚子开始饿起来了。"
479,false,"大路上情况一切正常！"
480,false,"未使用480"
481,false,"未使用481"
482,false,"未使用482"
483,false,"哎？我不记得有要这么多啊！"
484,false,"欢迎各位新老客户！"
485,false,"ホントかよ？"
486,false,"未使用486"
487,false,"未使用487"
488,false,"今です！　今出ました！　"
489,false,"未使用489"
490,false,"好、好晕……"
491,false,"这下就没问题了。"
492,false,"未使用492"
493,false,"未使用493"
494,false,"又有人搬走了。"
495,false,"人越来越少了……"
496,false,"没人在这里开店呐……"
497,false,"未使用：荒：会話00296"
498,false,"…店はやってないぜ"
499,false,"未使用：荒：会話00298"
500,false,"未使用：荒：会話00299"
501,false,"未使用：荒：会話00300"
502,false,"哇，出什么事了？！"
503,false,"咳咳……"
504,false,"哎哎……"
505,false,"码头就拜托你了……"
506,false,"喵不好了喵。"
507,false,"胜利号它……"
508,false,"海盗们……"
509,false,"救命啊。"
510,false,"这下糟了！"
511,false,"求……补给……"
512,false,"未使用：海：会話00011"
513,false,"未使用：海：会話00012"
514,false,"未使用：海：会話00013"
515,false,"那就看你表现了。"
516,false,"未使用：海：会話00015"
517,false,"未使用：海：会話00016"
518,false,"未使用：海：会話00017"
519,false,"又说梦话，<br>你去头儿面前说试试。"
520,false,"未使用：海：会話00019"
521,false,"总有一天我也会当上头儿。"
522,false,"放心吧，包在我身上！"
523,false,"未使用：海：会話00022"
524,false,"未使用：海：会話00023"
525,false,"未使用：海：会話00024"
526,false,"未使用：海：会話00025"
527,false,"造船最重要的是木材啊……"
528,false,"未使用：海：会話00027"
529,false,"未使用：海：会話00028"
530,false,"一切正常。"
531,false,"未使用：海：会話00030"
532,false,"未使用：海：会話00031"
533,false,"未使用：海：会話00032"
534,false,"未使用：海：会話00033"
535,false,"大海真广阔！"
536,false,"你能不能稍微安静会……<br>我正在找那个人啊。"
537,false,"又来了个新人……"
538,false,"未使用：海：会話00037"
539,false,"那船体的曲线令人心醉。"
540,false,"那艘船简直太美了。"
541,false,"未使用：海：会話00040"
542,false,"未使用：海：会話00041"
543,false,"未使用：海：会話00042"
544,false,"未使用：海：会話00043"
545,false,"再晒几天应该就可以了。"
546,false,"该死的耗子！"
547,false,"木材又被咬了？"
548,false,"未使用：海：会話00047"
549,false,"木钉拿来了，放哪里？"
550,false,"那你就好好教训教训他。"
551,false,"最近那个新来的简直<br>啥也不行。"
552,false,"明白了。"
553,false,"这些东西都要搬到小屋去。"
554,false,"来点水果吧，都是新鲜的！"
555,false,"刚从小麦酒港运过来的！<br>甘醇爽口的小麦酒！"
556,false,"没大碍，很快就会好了。"
557,false,"听说你被火烧伤了？<br>情况怎么样了？"
558,false,"煤渣足够了吧。"
559,false,"我的船到底什么时候到？"
560,false,"别废话了，赶紧干活。"
561,false,"未使用：海：会話00060"
562,false,"未使用：海：会話00061"
563,false,"我觉得最好谁去提醒<br>一下那边的人……"
564,false,"抱歉，今天停运维护。"
565,false,"又维护，成天维护，<br>真是太无聊了。"
566,false,"是啊，我们什么时候<br>能去胜利号上干活？"
567,false,"嘘，小心被听见。"
568,false,"未使用：海：会話00067"
569,false,"未使用：海：会話00068"
570,false,"未使用：海：会話00069"
571,false,"未使用：海：会話00070"
572,false,"从来没见过那艘船啊……"
573,false,"我发誓他要是再敢碰我一下<br>我就把他的手剁下来！"
574,false,"再怎么说那也有点过火了……"
575,false,"那个混蛋又迟到了。"
576,false,"这态度实在很有问题。"
577,false,"先祈祷你别被船厂开了吧。"
578,false,"我要是能有一艘船<br>就能去周游世界了。"
579,false,"未使用：海：会話00078"
580,false,"未使用：海：会話00079"
581,false,"未使用：海：会話00080"
582,false,"那是你在海里的倒影吧。"
583,false,"哈哈哈哈！"
584,false,"我看见一只鱼人在那边！"
585,false,"未使用：海：会話00084"
586,false,"我看看，得挑棵好的才行。"
587,false,"未使用：海：会話00086"
588,false,"未使用：海：会話00087"
589,false,"未使用：海：会話00088"
590,false,"未使用：海：会話00089"
591,false,"未使用：海：会話00090"
592,false,"未使用：海：会話00091"
593,false,"让开！让开！"
594,false,"未使用：海：会話00093"
595,false,"未使用：海：会話00094"
596,false,"未使用：海：会話00095"
597,false,"未使用：海：会話00096"
598,false,"未使用：海：会話00097"
599,false,"未使用：海：会話00098"
600,false,"未使用：海：会話00099"
601,false,"未使用：海：会話00100"
602,false,"未使用：海：会話00101"
603,false,"未使用：海：会話00102"
604,false,"未使用：海：会話00103"
605,false,"未使用：海：会話00104"
606,false,"这些货臭死了……"
607,false,"抓紧时间，<br>我们还有很多货没搬呢。"
608,false,"该死的！"
609,false,"别抱怨了！好像数量不对！"
610,false,"未使用：海：会話00109"
611,false,"未使用：海：会話00110"
612,false,"未使用：海：会話00111"
613,false,"啊啊……好累啊。"
614,false,"とれねえなあ"
615,false,"这酒太难喝了。"
616,false,"唉，有工作的话就好了……"
617,false,"这有什么不好的？"
618,false,"不要在工作中喝酒！"
619,false,"唔，那就照你说的做。"
620,false,"只要有钱，其它都不是问题。"
621,false,"这能行吗？"
622,false,"未使用622"
623,false,"啊……真热啊……"
624,false,"未使用624"
625,false,"未使用625"
626,false,"怎么会这样……"
627,false,"我们再来比一次！"
628,false,"做好准备了吗？"
629,false,"现在这里不开放。"
630,false,"这衣服是什么牌子？"
631,false,"很不错吧？"
632,false,"人靠衣装罢了，我也行！"
633,false,"他的私房钱应该就在这里……"
634,false,"未使用634"
635,false,"……你也这么想啊。"
636,false,"我们做别的生意吧。"
637,false,"剩下的已经不多了……"
638,false,"未使用638"
639,false,"不要用你的脏手碰这些家具。"
640,false,"未使用640"
641,false,"好，再过来一点……"
642,false,"用这方法可以提高三倍效率！"
643,false,"我正在巡逻中。"
644,false,"不要妨碍我们工作。"
645,false,"这些有钱人真是……"
646,false,"嘘！别那么大声。"
647,false,"轰鸣声还在我脑袋里回响……"
648,false,"你很快就会习惯了。"
649,false,"未使用649"
650,false,"奇怪，我今早刚校准过！"
651,false,"未使用651"
652,false,"这运转是不是有点慢啊？"
653,false,"回去干活，又想被扣工钱吗？"
654,false,"这、这就去！"
655,false,"这管就要抽完了。"
656,false,"清洁齿轮这活也挺有乐趣的。"
657,false,"这和我们谈好的价钱不一样！"
658,false,"嗯？是不是太轻了点？"
659,false,"那些该死的小老鼠<br>都是从哪里跑出来的？"
660,false,"这个要放在哪里啊？"
661,false,"啊！我的腰……"
662,false,"我们的交易已经结束了。"
663,false,"这是你要的三十箱，<br>不多也不少。"
664,false,"未使用664"
665,false,"不！车轮必须立即换掉！"
666,false,"未使用666"
667,false,"未使用667"
668,false,"那矿工说：“可我没女儿！”"
669,false,"不，我还是没听懂……"
670,false,"我刚才看到的到底是不是真的？"
671,false,"这跟我们说好的不一样。"
672,false,"我可不这么认为。"
673,false,"未使用673"
674,false,"未使用674"
675,false,"未使用：荒：会話00363"
676,false,"我要再看看……"
677,false,"跑到哪里去了啊……"
678,false,"船怎么还没到啊。"
679,false,"呼……"
680,false,"未使用"
681,false,"别再说了。"
682,false,"害怕矿爬虫的话怎么干采矿工啊！"
683,false,"发生什么情况了？"
684,false,"这里面很危险的。"
685,false,"生意很不错啊。"
686,false,"一ケタ間違えちゃったかも…"
687,false,"呼……呼……呼……"
688,false,"異常なし…たぶん"
689,false,"希望魔物别来这边啊。"
690,false,"安いよ、安いよ！"
691,false,"買い逃すと損するよ！"
692,false,"你得到许可没有啊？"
693,false,"焦るなって"
694,false,"机油味好重！"
695,false,"哎，货物好像少了？"
696,false,"唔唔唔……好重！"
697,false,"いいじゃん、ケチ～！"
698,false,"お前の心がけ次第だ"
699,false,"で、ブツはいつ届くんだ？"
700,false,"愚痴は掘った穴に叫べよ"
701,false,"铜山被封锁了……"
702,false,"考古学的浪漫你不懂！"
703,false,"未使用"
704,false,"好想回去调查遗迹……"
705,false,"啊啊，又开始了……"
706,false,"偷税漏税，法理不容！"
707,false,"未使用"
708,false,"请在这里……这里……<br>还有这里签名。"
709,false,"物品的检验在里面的房间进行。"
710,false,"未使用710"
711,false,"这样子根本没利润了啊。"
712,false,"未使用"
713,false,"都在这里站成一排！"
714,false,"未使用"
715,false,"长途跋涉辛苦了。"
716,false,"未使用"
717,false,"未使用"
718,false,"未使用"
719,false,"給料分は守ってやるか"
720,false,"呼……终于能休息了。"
721,false,"真热闹啊！"
722,false,"代表者が中に入れ"
723,false,"一个芝麻官却这么嚣张……"
724,false,"クェッ？"
725,false,"さて、そろそろ出発か"
726,false,"いいチョコボだなあ"
727,false,"未使用"
728,false,"好，这样就没问题了……"
729,false,"关税也太高了！"
730,false,"这天气……<br>从灵灾之后就越来越坏！"
731,false,"未使用710"
732,false,"谁在睡觉啊！<br>我只是在闭目养神！"
733,false,"从样式上看，<br>我记得这应该是……"
734,false,"请务必轻拿轻放。"
735,false,"贝拉哈迪亚时代的遗迹啊。"
736,false,"之前真没想到考古学这么土气。"
737,false,"哦哦，这个莫非是？"
738,false,"哇，满是苔藓。"
739,false,"这种调查真的有价值吗……"
740,false,"人、人家想钓的是你……"
741,false,"你想要钓什么鱼？"
742,false,"至少要解决今天的晚饭……"
743,false,"都是这不值钱的鱼……"
744,false,"还有半天的时间啊。"
745,false,"看我把那些家伙全都赶走！"
746,false,"明明没那胆子，只会说大话。"
747,false,"能不能撑到下次出海啊……"
748,false,"我肚子饿了。"
749,false,"我原来也有好多艘船的。"
750,false,"该死，鱼饵用光了。"
751,false,"真是个贫穷的小渔村啊。"
752,false,"我们是不是也该离开了。"
753,false,"我在想要不要出去打工。"
754,false,"未使用"
755,false,"未使用"
756,false,"这肉怎么回事，太难吃了。"
757,false,"啊哈哈！"
758,false,"酒！再拿酒来！"
759,false,"未使用：荒：会話00447"
760,false,"未使用：荒：会話00448"
761,false,"未使用：荒：会話00449"
762,false,"未使用：荒：会話00450"
763,false,"未使用：荒：会話00451"
764,false,"未使用：荒：会話00452"
765,false,"未使用：荒：会話00453"
766,false,"未使用：荒：会話00454"
767,false,"未使用：荒：会話00455"
768,false,"未使用：荒：会話00456"
769,false,"未使用：荒：会話00457"
770,false,"未使用：荒：会話00458"
