Index,0 [INT] [0x0],1 [UBYTE] [0xC],2 [INT] [0x4],3 [UBYTE] [0xD],4 [INT] [0x8],5 [UBYTE] [0xE],6 [INT] [0x10],7 [UBYTE] [0x1C],8 [INT] [0x14],9 [UBYTE] [0x1D],10 [INT] [0x18],11 [UBYTE] [0x1E],12 [INT] [0x20],13 [UBYTE] [0x2C],14 [INT] [0x24],15 [UBYTE] [0x2D],16 [INT] [0x28],17 [UBYTE] [0x2E],18 [INT] [0x30],19 [UBYTE] [0x3C],20 [INT] [0x34],21 [UBYTE] [0x3D],22 [INT] [0x38],23 [UBYTE] [0x3E],24 [INT] [0x40],25 [UBYTE] [0x4C],26 [INT] [0x44],27 [UBYTE] [0x4D],28 [INT] [0x48],29 [UBYTE] [0x4E],30 [INT] [0x50],31 [UBYTE] [0x5C],32 [INT] [0x54],33 [UBYTE] [0x5D],34 [INT] [0x58],35 [UBYTE] [0x5E],36 [INT] [0x60],37 [UBYTE] [0x6C],38 [INT] [0x64],39 [UBYTE] [0x6D],40 [INT] [0x68],41 [UBYTE] [0x6E],42 [INT] [0x70],43 [UBYTE] [0x7C],44 [INT] [0x74],45 [UBYTE] [0x7D],46 [INT] [0x78],47 [UBYTE] [0x7E],48 [INT] [0x80],49 [UBYTE] [0x8C],50 [INT] [0x84],51 [UBYTE] [0x8D],52 [INT] [0x88],53 [UBYTE] [0x8E],54 [INT] [0x90],55 [UBYTE] [0x9C],56 [INT] [0x94],57 [UBYTE] [0x9D],58 [INT] [0x98],59 [UBYTE] [0x9E],60 [INT] [0xA0],61 [UBYTE] [0xAC],62 [INT] [0xA4],63 [UBYTE] [0xAD],64 [INT] [0xA8],65 [UBYTE] [0xAE]
15,3779,1,1895,1,2233,1,4661,1,4666,1,0,1,4555,3,0,1,0,1,2231,1,2470,1,2496,1,3546,1,4308,1,3777,1,4204,1,4094,1,4309,1,3543,1,2670,1,3322,1,2343,1,2369,1,0,1,5519,10,0,1,0,1,4781,10,4784,10,4780,10,4940,3,4941,3,0,1
16,2574,1,0,1,0,1,4642,1,4651,1,0,1,2147,1,1961,1,4597,3,3550,1,2680,1,0,1,3547,1,3979,1,3980,1,4095,1,2444,1,0,1,3325,1,3023,1,3974,1,2522,1,1607,1,1686,1,5130,10,0,1,0,1,4810,10,4834,10,4785,10,4942,3,0,1,0,1
17,1825,1,0,1,0,1,4674,1,4683,1,4717,1,4595,3,0,1,0,1,2236,1,0,1,0,1,2672,1,3774,1,4099,1,2109,1,4311,1,4205,1,3332,1,3036,1,3038,1,1754,1,2548,1,1756,1,5132,10,0,1,0,1,4811,10,4820,10,0,1,4944,3,0,1,0,1
18,2000,1,0,1,0,1,4697,1,4709,1,0,1,4596,3,0,1,0,1,2497,1,2471,1,0,1,3549,1,3552,1,1688,1,2685,1,2687,1,2693,1,3041,1,3064,1,0,1,2370,1,2395,1,2344,1,5129,10,0,1,0,1,4786,10,5541,10,4787,10,4946,3,4882,3,0,1
19,1897,1,2459,1,2002,1,4667,1,0,1,0,1,4594,3,0,1,0,1,3985,1,2708,1,3793,1,3784,1,3982,1,2697,1,2691,1,2689,1,2695,1,3039,1,2699,1,2700,1,2549,1,2433,1,2536,1,5524,10,5465,10,0,1,5386,10,4796,10,0,1,4947,3,4883,3,0,1
20,2703,1,1827,1,2575,1,4690,1,4675,1,0,1,2149,1,4598,3,0,1,3563,1,2712,1,3045,1,4435,1,3562,1,0,1,2061,1,4430,1,4431,1,3341,1,3339,1,3561,1,1609,1,2318,1,2523,1,5229,10,0,1,0,1,5405,10,5563,10,0,1,4949,3,0,1,0,1
21,1899,1,2004,1,0,1,4722,1,4746,1,4643,1,1963,1,4574,3,4575,3,3557,1,2241,1,0,1,3788,1,3790,1,3795,1,4433,1,4313,1,4209,1,3568,1,3987,1,0,1,1758,1,2484,1,2562,1,5155,10,0,1,0,1,4806,10,4812,10,0,1,4950,3,4951,3,0,1
22,2408,1,1833,1,0,1,4730,1,4684,1,4652,1,2151,1,4566,3,4576,3,3802,1,2723,1,0,1,3559,1,2714,1,3337,1,2446,1,2111,1,0,1,3050,1,3343,1,3800,1,2358,1,2383,1,1614,1,5270,10,0,1,0,1,4797,10,6145,10,0,1,4952,1,4953,2,0,1
23,2460,1,0,1,0,1,4710,1,4699,1,4662,1,0,1,0,1,0,1,2498,1,3057,1,2472,1,2710,1,3791,1,3983,1,2063,1,0,1,0,1,3053,1,3052,1,2719,1,2537,1,2434,1,1694,1,5153,10,5152,10,0,1,4835,10,5535,10,0,1,4954,3,4955,3,0,1
24,1905,1,3805,1,2011,1,4749,1,0,1,0,1,2156,1,0,1,0,1,2725,1,2242,1,3998,1,3991,1,3989,1,3347,1,2447,1,4211,1,2728,1,3345,1,3348,1,3575,1,2550,1,1764,1,2319,1,5156,10,5154,10,0,1,5388,10,4836,10,0,1,4956,3,4957,3,4887,3
25,2576,1,2409,1,0,1,4711,1,0,1,0,1,4552,3,0,1,0,1,3352,1,3579,1,3068,1,3799,1,3576,1,3578,1,2731,1,2118,1,2066,1,2727,1,3349,1,3351,1,2563,1,2511,1,1622,1,5157,10,0,1,0,1,4819,10,4821,10,0,1,4888,1,4885,1,0,1
26,2246,1,1908,1,0,1,4731,1,4718,1,4644,1,0,1,0,1,0,1,2473,1,0,1,0,1,4314,1,3808,1,0,1,4317,1,4439,1,4440,1,2729,1,3066,1,3996,1,2397,1,2372,1,2346,1,5528,10,0,1,0,1,4822,10,0,1,0,1,4960,3,4889,3,4890,3
27,1836,1,0,1,0,1,4723,1,4668,1,4653,1,1965,1,0,1,0,1,2248,1,2499,1,0,1,3810,1,3581,1,3821,1,4320,1,4322,1,4109,1,4001,1,3355,1,3090,1,2359,1,2525,1,2384,1,5523,10,0,1,0,1,4788,10,0,1,0,1,4962,3,4963,1,4891,3
28,1627,1,0,1,0,1,4732,1,4676,1,0,1,1967,1,0,1,0,1,4007,1,3096,1,0,1,1697,1,4003,1,0,1,4328,1,4330,1,4117,1,3092,1,2734,1,4006,1,1625,1,2320,1,1769,1,5125,10,0,1,0,1,4789,10,0,1,0,1,0,1,0,1,0,1
29,2577,1,1838,1,2015,1,4827,1,0,1,0,1,2160,1,0,1,0,1,2753,1,2474,1,2500,1,4106,1,2250,1,3367,1,4326,1,4115,1,4448,1,3077,1,3583,1,2750,1,2422,1,1699,1,2551,1,5527,10,0,1,0,1,5359,10,0,1,0,1,4965,1,4966,3,0,1
30,1845,1,2021,1,0,1,4669,1,0,1,0,1,4568,3,0,1,0,1,3599,1,3825,1,2755,1,3099,1,3597,1,3100,1,4324,1,4113,1,4446,1,3363,1,3601,1,3104,1,2398,1,2526,1,2539,1,5231,10,0,1,0,1,5559,10,0,1,0,1,4968,3,0,1,0,1
31,1915,1,0,1,0,1,4700,1,4685,1,0,1,4603,3,4600,3,0,1,3586,1,2257,1,2765,1,4011,1,3827,1,3369,1,4332,1,4121,1,4454,1,3603,1,4013,1,3372,1,1633,1,2436,1,2334,1,5134,10,0,1,0,1,5409,10,5346,10,0,1,0,1,0,1,0,1
32,2578,1,0,1,0,1,4691,1,4645,1,0,1,4601,3,4602,3,0,1,3605,1,3835,1,3118,1,4456,1,3377,1,4016,1,2449,1,0,1,0,1,2763,1,3120,1,0,1,2487,1,2513,1,1776,1,5137,10,0,1,0,1,4790,10,4837,10,0,1,4969,3,4970,3,0,1
33,2462,1,3837,1,0,1,4712,1,4670,1,0,1,4599,3,0,1,0,1,2260,1,2501,1,0,1,2767,1,4022,1,3611,1,2745,1,2743,1,2735,1,3121,1,3379,1,3607,1,2565,1,2540,1,2527,1,5135,10,5136,10,5271,10,4798,10,5543,10,0,1,4971,3,4972,3,4975,1
34,2411,1,1637,1,0,1,4701,1,4654,1,0,1,1969,1,2166,1,0,1,2475,1,3614,1,4024,1,4333,1,3613,1,0,1,2071,1,2758,1,1706,1,2776,1,3125,1,3383,1,2361,1,2374,1,2349,1,5114,10,0,1,0,1,5360,10,4791,10,0,1,4973,3,4974,3,4899,3
35,2023,1,1847,1,0,1,4719,1,0,1,0,1,4556,3,4579,3,4583,3,3386,1,3619,1,2786,1,3844,1,3841,1,3843,1,2123,1,4231,1,2078,1,3397,1,3131,1,2779,1,2552,1,2386,1,1778,1,5139,10,0,1,0,1,5562,10,4838,10,4843,10,4977,3,0,1,0,1
36,1920,1,1850,1,0,1,4686,1,4724,1,0,1,4580,3,4582,3,4581,3,2502,1,0,1,0,1,3616,1,4130,1,4132,1,4337,1,4465,1,4349,1,2778,1,3140,1,4030,1,2335,1,2437,1,0,1,5142,10,0,1,0,1,4807,10,4814,10,0,1,4978,3,4979,3,5032,3
37,2026,1,2579,1,0,1,4677,1,0,1,0,1,2169,1,0,1,0,1,2268,1,0,1,0,1,3402,1,2788,1,4032,1,4349,1,4339,1,4343,1,2804,1,3849,1,3404,1,1639,1,0,1,0,1,5144,10,0,1,0,1,4840,10,0,1,0,1,4980,3,5033,3,4902,3
38,1855,1,0,1,0,1,4663,1,4702,1,0,1,1971,1,0,1,0,1,3622,1,2812,1,4034,1,3851,1,3625,1,3405,1,4143,1,4135,1,4145,1,2805,1,3144,1,3621,1,2528,1,1643,1,2554,1,5141,10,0,1,0,1,4793,10,0,1,0,1,4982,3,4983,3,5034,3
39,3870,1,0,1,0,1,4687,1,4692,1,0,1,1976,1,1974,1,1978,1,3628,1,3149,1,3854,1,3860,1,3165,1,4482,1,4243,1,4241,1,4468,1,2806,1,2810,1,3411,1,1781,1,1711,1,2425,1,5168,10,0,1,0,1,4844,10,4841,10,0,1,5035,2,4985,2,0,1
40,1925,1,2464,1,2580,1,4747,1,4733,1,6143,1,4567,3,0,1,0,1,3142,1,2802,1,2476,1,3639,1,4039,1,4044,1,4239,1,4472,1,4147,1,2808,1,3408,1,2814,1,2400,1,1786,1,2439,1,5525,10,5526,10,0,1,4842,10,0,1,0,1,4987,3,5036,3,0,1
41,1650,1,0,1,0,1,4646,1,0,1,0,1,0,1,0,1,0,1,3858,1,2817,1,3623,1,3416,1,3426,1,3423,1,2125,1,4480,1,4247,1,3413,1,3162,1,3640,1,2516,1,2490,1,0,1,5145,10,0,1,0,1,4845,10,0,1,0,1,5037,1,4903,1,0,1
42,2030,1,0,1,0,1,4671,1,0,1,0,1,2174,1,0,1,0,1,3861,1,2819,1,2827,1,3871,1,2270,1,0,1,2798,1,2790,1,1716,1,3415,1,3425,1,3176,1,2388,1,1723,1,2426,1,5272,10,0,1,0,1,6146,10,5564,10,0,1,4990,3,4991,2,0,1
43,2413,1,2581,1,0,1,4720,1,0,1,0,1,4553,3,0,1,0,1,3642,1,4047,1,3431,1,3177,1,4360,1,3660,1,2452,1,2094,1,4255,1,3647,1,3427,1,2835,1,1659,1,2555,1,2529,1,5115,10,0,1,0,1,4815,10,0,1,0,1,4992,1,4993,3,4904,1
44,1862,1,2039,1,0,1,4693,1,4679,1,0,1,4608,3,0,1,0,1,2830,1,2279,1,3180,1,3653,1,4051,1,3668,1,4497,1,2834,1,2130,1,3187,1,2852,1,3442,1,2440,1,2543,1,2338,1,5143,10,0,1,0,1,5536,10,0,1,0,1,4994,2,4995,3,0,1
45,2287,1,1932,1,2465,1,4664,1,4703,1,0,1,1983,1,4604,3,4607,3,3883,1,3183,1,3669,1,2862,1,3457,1,3909,1,4363,1,2878,1,4501,1,3456,1,2882,1,3454,1,1801,1,2364,1,2491,1,5140,10,0,1,0,1,5054,10,0,1,0,1,4996,3,4999,2,5038,3
46,1937,1,0,1,0,1,4655,1,0,1,0,1,4606,3,4605,3,4569,3,2859,1,3887,1,0,1,3885,1,3471,1,0,1,2870,1,4367,1,0,1,2886,1,3681,1,3914,1,2325,1,2427,1,2402,1,5263,10,0,1,0,1,5393,10,0,1,0,1,5000,1,5001,3,4907,3
47,1867,1,2414,1,0,1,4750,1,0,1,0,1,4584,3,4588,3,0,1,2504,1,0,1,0,1,3904,1,3206,1,0,1,4162,1,4164,1,4508,1,3467,1,2891,1,3469,1,2377,1,0,1,0,1,5116,10,0,1,0,1,5414,10,0,1,0,1,5002,1,5039,3,4908,3
48,3908,1,2582,1,0,1,4713,1,0,1,0,1,4587,3,2189,1,1987,1,3670,1,0,1,0,1,4516,1,2298,1,0,1,4369,1,4168,1,4156,1,3211,1,3473,1,3696,1,2530,1,2556,1,0,1,0,1,0,1,0,1,4846,10,0,1,0,1,5005,1,5041,1,4909,3
49,1942,1,0,1,0,1,4694,1,0,1,0,1,4585,3,0,1,0,1,2861,1,2893,1,2296,1,3213,1,4061,1,0,1,4510,1,4272,1,2097,1,2895,1,3698,1,0,1,1663,1,1733,1,0,1,5458,10,0,1,0,1,5055,10,0,1,0,1,5007,2,5008,3,5042,3
50,1872,1,0,1,0,1,4647,1,4678,1,4721,1,2047,1,0,1,0,1,3203,1,0,1,0,1,3916,1,0,1,0,1,2133,1,4266,1,4262,1,3918,1,3215,1,3475,1,1803,1,0,1,0,1,5439,10,0,1,0,1,0,1,0,1,0,1,5009,1,5043,1,5044,1
