Index,0 [INT] [0x0],1 [UBYTE] [0x24],2 [UBYTE] [0x25],3 [INT] [0x4],4 [INT] [0x8],5 [INT] [0xC],6 [INT] [0x10],7 [INT] [0x14],8 [INT] [0x18],9 [INT] [0x1C],10 [INT] [0x20]
144,2,50,0,0,0,0,0,26,0,0,1
145,2,40,0,0,0,0,0,0,0,0,0
146,2,50,0,0,0,0,0,26,0,0,6
147,2,50,0,140,139,0,0,0,0,0,3
148,2,10,0,116,115,0,0,0,0,0,5
149,3,50,0,156,199,222,0,0,0,0,5
150,1,50,0,0,0,0,0,26,0,10,4
151,1,50,0,0,0,0,0,26,0,0,6
152,0,10,0,61,217,0,0,0,0,0,4
153,0,5,0,75,73,0,0,0,0,3,5
154,0,5,0,75,73,0,0,0,0,1,6
155,0,10,0,71,67,63,0,0,0,0,5
156,0,10,0,71,67,63,68,0,0,0,6
157,0,5,0,69,0,0,0,0,0,3,5
158,0,15,0,0,0,74,0,0,0,0,6
159,1,15,0,92,95,82,0,0,0,0,6
160,0,20,0,58,55,38,0,0,0,0,1
161,0,20,0,51,70,0,0,0,0,0,2
162,1,30,0,0,0,0,0,29,25,0,6
163,1,30,0,0,0,0,0,34,25,0,3
164,1,20,0,0,0,0,0,24,0,0,1
165,2,30,0,0,0,0,0,32,25,8,2
166,1,20,0,93,218,0,0,0,0,0,2
167,1,25,0,86,98,90,0,0,0,0,4
168,0,30,0,76,0,0,0,0,0,0,1
169,1,30,0,84,88,0,0,0,0,0,5
170,2,5,0,0,0,0,0,0,0,536,2
171,2,30,0,0,0,0,33,31,25,10,4
172,1,30,0,0,0,0,0,30,25,0,1
173,2,30,0,0,0,0,0,34,25,9,3
174,1,30,0,0,0,0,0,35,25,0,5
175,2,30,0,0,0,0,0,35,25,11,5
176,1,30,0,99,83,0,0,0,0,0,4
177,0,35,0,56,77,0,0,0,0,0,5
178,0,35,0,57,37,219,0,0,0,0,3
179,0,35,0,36,41,43,0,0,0,0,6
180,0,40,0,46,45,0,0,0,0,0,2
181,0,5,0,0,0,0,0,0,0,526,4
182,1,40,0,0,0,0,0,0,0,0,0
183,1,30,0,0,0,0,33,31,25,0,4
184,2,30,0,0,0,0,0,29,25,12,6
185,0,45,0,39,62,0,0,0,0,0,1
186,0,45,0,50,72,0,0,0,0,0,4
187,0,10,0,44,0,0,0,0,0,0,4
188,2,40,0,0,0,0,0,0,0,9,3
189,0,50,0,65,40,64,53,0,0,0,3
190,0,20,0,48,0,0,0,0,0,0,4
191,1,50,0,0,0,0,0,26,0,0,3
192,1,50,0,0,0,0,0,26,0,0,2
193,1,50,0,0,0,0,0,26,0,0,4
194,1,15,0,87,89,216,0,0,0,0,5
195,2,40,0,0,0,0,0,0,0,8,2
196,2,40,0,0,0,0,0,0,0,0,0
197,2,50,0,0,0,0,0,26,0,7,1
198,2,50,0,0,0,0,0,26,0,12,6
199,2,50,0,0,0,0,0,26,0,11,5
200,1,30,0,0,0,0,0,34,25,9,3
201,1,30,0,0,0,0,0,30,25,7,1
202,1,30,0,0,0,0,0,35,25,11,5
203,1,30,0,0,0,0,33,31,25,10,4
204,1,30,0,0,0,0,0,29,25,12,6
205,1,30,0,0,0,0,0,32,25,8,2
206,0,5,0,0,0,0,0,0,0,528,5
207,1,40,0,0,0,0,0,0,0,0,0
208,0,5,0,0,0,0,0,0,0,530,2
209,1,50,0,0,0,0,0,26,0,9,3
210,1,50,0,0,0,0,0,26,0,8,2
211,2,50,0,120,0,0,0,0,0,0,0
212,2,50,0,107,0,0,0,0,0,0,0
213,2,50,0,129,0,0,0,0,0,0,0
214,2,50,0,173,245,0,0,0,0,0,0
215,2,50,0,13,14,15,16,27,17,18,0
216,3,50,0,212,0,0,0,0,0,0,0
217,3,50,0,168,0,0,0,0,0,0,0
218,3,50,0,169,195,0,0,0,0,0,0
219,3,50,0,177,244,0,0,0,0,0,0
220,3,50,0,174,235,0,0,0,0,0,0
221,3,50,0,182,0,0,0,0,0,0,0
222,0,50,0,60,0,0,0,0,0,0,0
223,0,50,0,42,59,0,0,0,0,0,0
224,1,50,0,85,0,0,0,0,0,0,0
225,1,50,0,91,0,0,0,0,0,0,0
226,1,50,0,79,0,0,0,0,0,0,0
227,1,50,0,13,14,15,16,27,17,18,0
228,2,50,0,0,0,0,0,0,0,0,0
229,1,50,0,0,0,0,0,0,0,0,0
230,2,50,0,270,0,0,0,0,0,0,0
231,2,50,0,272,0,0,0,0,0,0,0
232,2,50,0,275,283,0,0,0,0,0,0
233,3,50,0,271,0,0,0,0,0,0,0
234,3,50,0,273,0,0,0,0,0,0,0
235,3,50,0,274,0,0,0,0,0,0,0
236,0,50,0,266,280,279,0,0,0,0,0
237,0,50,0,267,277,278,0,0,0,0,0
238,0,50,0,268,281,0,0,0,0,0,0
239,1,50,0,258,13,0,0,0,0,0,0
240,1,50,0,261,265,0,0,0,0,0,0
241,1,50,0,264,18,0,0,0,0,0,0
242,2,50,0,269,0,0,0,0,0,0,0
243,2,5,0,0,0,0,0,0,0,532,4
244,2,5,0,0,0,0,0,0,0,534,5
245,2,50,0,282,0,0,0,0,0,0,0
246,1,50,0,276,0,0,0,0,0,0,0
247,0,50,0,285,0,0,0,0,0,0,0
248,2,50,0,286,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0
