Index,0 [STRING] [0x4],1 [UBYTE] [0xA],2 [UBYTE] [0xB],3 [BBOOL] [0xD],4 [UBYTE] [0xC],5 [USHORT] [0x8],6 [STRING] [0x0]
69,"",255,255,false,0,0,""
70,"",255,255,false,0,0,""
71,"",255,255,false,0,0,""
72,"",255,255,false,0,0,""
73,"",255,255,false,0,0,""
74,"",255,255,false,0,0,""
75,"",255,255,false,0,0,""
76,"",255,255,false,0,0,""
77,"",255,255,false,0,0,""
78,"",255,255,false,0,0,""
79,"",255,255,false,0,0,""
80,"",255,255,false,0,0,""
81,"",255,255,false,0,0,""
82,"",255,255,false,0,0,""
83,"",255,255,false,0,0,""
84,"",255,255,false,0,0,""
85,"",255,255,false,0,0,""
86,"",255,255,false,0,0,""
87,"",255,255,false,0,0,""
88,"",255,255,false,0,0,""
89,"",255,255,false,0,0,""
90,"",255,255,false,0,0,""
91,"",255,255,false,0,0,""
92,"",255,255,false,0,0,""
93,"",255,255,false,0,0,""
94,"",255,255,false,0,0,""
95,"",255,255,false,0,0,""
96,"",255,255,false,0,0,""
97,"",255,255,false,0,0,""
98,"",255,255,false,0,0,""
99,"",255,255,false,0,0,""
103,"TARGET_NEXT",255,255,false,2,1,"从最近的敌人开始从左至右切换所选目标"
104,"TARGET_PREV",255,255,false,2,2,"从最近的敌人开始从右至左切换所选目标"
105,"TARGET_P1",255,255,false,2,3,"选中队员列表第1位队员（自己）"
106,"TARGET_P2",255,255,false,2,4,"选中队员列表第2位队员"
107,"TARGET_P3",255,255,false,2,5,"选中队员列表第3位队员"
108,"TARGET_P4",255,255,false,2,6,"选中队员列表第4位队员"
109,"TARGET_P5",255,255,false,2,7,"选中队员列表第5位队员"
110,"TARGET_P6",255,255,false,2,8,"选中队员列表第6位队员"
111,"TARGET_P7",255,255,false,2,9,"选中队员列表第7位队员"
112,"TARGET_P8",255,255,false,2,10,"选中队员列表第8位队员"
113,"TARGET_PET",255,255,false,2,11,"选中自己的召唤兽"
114,"TARGET_TTOT",255,255,false,2,12,"选中目标的目标（辅助目标）"
115,"TARGET_LASTTARGET",255,255,false,2,13,"选中前一次选中的目标"
116,"TARGET_LASTENEMY",255,255,false,2,14,"选中前一次选中的敌人"
117,"TARGET_LASTATTACKER",255,255,false,2,15,"选中对自己发动攻击的敌人"
118,"TARGET_CLOSEST_ENEMY",255,255,false,2,16,"选中距离最近的敌人"
119,"TARGET_CLOSEST_PC",255,255,false,2,17,"选中距离最近的玩家角色"
120,"TARGET_CLOSEST_NPC",255,255,false,2,18,"选中距离最近的非玩家角色或场景物体"
121,"TARGET_FOCUS",255,255,false,2,19,"焦点目标"
122,"TARGET_SELECT",255,255,false,2,20,"选中焦点目标"
123,"FACE",255,255,false,2,21,"转向面向目标的方向"
124,"CIRCLE_ALL",255,255,false,2,22,"分类选择：全体"
125,"CIRCLE_ENEMY",255,255,false,2,23,"分类选择：玩家"
126,"CIRCLE_PARTY",255,255,false,2,24,"分类选择：小队"
127,"CIRCLE_PC",255,255,false,2,25,"分类选择：敌人"
136,"TARGET_ENEMY_LIST_UP_KEY",255,255,false,2,26,"敌对列表中向上切换"
137,"TARGET_ENEMY_LIST_DOWN_KEY",255,255,false,2,27,"敌对列表中向下切换"
138,"TARGET_ALLIANCE_NEXT_KEY",255,255,false,2,28,"团队列表中顺序切换"
139,"TARGET_ALLIANCE_PREV_KEY",255,255,false,2,29,"团队列表中逆序切换"
140,"TARGET_ALLIANCE1_NEXT",255,255,false,2,30,"团队列表1中顺序切换"
141,"TARGET_ALLIANCE1_PREV",255,255,false,2,31,"团队列表1中逆序切换"
142,"TARGET_ALLIANCE2_NEXT",255,255,false,2,32,"团队列表2中顺序切换"
143,"TARGET_ALLIANCE2_PREV",255,255,false,2,33,"团队列表2中逆序切换"
144,"TARGET_ALLIANCE1_1",255,255,false,2,34,"选中团队1的1号队员"
145,"TARGET_ALLIANCE1_2",255,255,false,2,35,"选中团队1的2号队员"
146,"TARGET_ALLIANCE1_3",255,255,false,2,36,"选中团队1的3号队员"
147,"TARGET_ALLIANCE1_4",255,255,false,2,37,"选中团队1的4号队员"
148,"TARGET_ALLIANCE1_5",255,255,false,2,38,"选中团队1的5号队员"
149,"TARGET_ALLIANCE1_6",255,255,false,2,39,"选中团队1的6号队员"
150,"TARGET_ALLIANCE1_7",255,255,false,2,40,"选中团队1的7号队员"
151,"TARGET_ALLIANCE1_8",255,255,false,2,41,"选中团队1的8号队员"
152,"TARGET_ALLIANCE2_1",255,255,false,2,42,"选中团队2的1号队员"
153,"TARGET_ALLIANCE2_2",255,255,false,2,43,"选中团队2的2号队员"
154,"TARGET_ALLIANCE2_3",255,255,false,2,44,"选中团队2的3号队员"
155,"TARGET_ALLIANCE2_4",255,255,false,2,45,"选中团队2的4号队员"
156,"TARGET_ALLIANCE2_5",255,255,false,2,46,"选中团队2的5号队员"
157,"TARGET_ALLIANCE2_6",255,255,false,2,47,"选中团队2的6号队员"
158,"TARGET_ALLIANCE2_7",255,255,false,2,48,"选中团队2的7号队员"
159,"TARGET_ALLIANCE2_8",255,255,false,2,49,"选中团队2的8号队员"
160,"",255,255,false,0,0,""
161,"",255,255,false,0,0,""
162,"",255,255,false,0,0,""
163,"",255,255,false,0,0,""
164,"",255,255,false,0,0,""
165,"",255,255,false,0,0,""
166,"",255,255,false,0,0,""
167,"",255,255,false,0,0,""
168,"",255,255,false,0,0,""
169,"",255,255,false,0,0,""
171,"CMD_CHAT",255,255,false,4,1,"开始输入聊天内容"
172,"CMD_COMMAND",255,255,false,4,2,"开始输入文本指令"
173,"CMD_REPLY",255,255,false,4,3,"临时回复（顺序）"
174,"CMD_REPLY_REV",255,255,false,4,4,"临时回复（逆序）"
175,"CMD_SAY",255,255,false,4,5,"临时切换到说话频道"
176,"CMD_YELL",255,255,false,4,6,"临时切换到呼喊频道"
177,"CMD_SHOUT",255,255,false,4,7,"临时切换到喊话频道"
178,"CMD_PARTY",255,255,false,4,8,"临时切换到小队频道"
179,"CMD_ALLIANCE",255,255,false,4,9,"临时切换到团队频道"
180,"CMD_FREECOM",255,255,false,4,10,"临时切换到部队频道"
181,"CMD_LINKSHELL",255,255,false,4,11,"临时切换到通讯贝频道（顺序）"
182,"CMD_LINKSHELL_REV",255,255,false,4,12,"临时切换到通讯贝频道（逆序）"
183,"CMD_LINKSHELL_1",255,255,false,4,13,"临时切换到通讯贝1频道"
184,"CMD_LINKSHELL_2",255,255,false,4,14,"临时切换到通讯贝2频道"
185,"CMD_LINKSHELL_3",255,255,false,4,15,"临时切换到通讯贝3频道"
186,"CMD_LINKSHELL_4",255,255,false,4,16,"临时切换到通讯贝4频道"
187,"CMD_LINKSHELL_5",255,255,false,4,17,"临时切换到通讯贝5频道"
188,"CMD_LINKSHELL_6",255,255,false,4,18,"临时切换到通讯贝6频道"
189,"CMD_LINKSHELL_7",255,255,false,4,19,"临时切换到通讯贝7频道"
190,"CMD_LINKSHELL_8",255,255,false,4,20,"临时切换到通讯贝8频道"
191,"CMD_REPLY_ALWAYS",255,255,false,4,21,"回复（顺序）"
192,"CMD_REPLY_REV_ALWAYS",255,255,false,4,22,"回复（逆序）"
193,"CMD_SAY_ALWAYS",255,255,false,4,23,"切换到说话频道"
194,"CMD_YELL_ALWAYS",255,255,false,4,24,"切换到呼喊频道"
196,"CMD_PARTY_ALWAYS",255,255,false,4,25,"切换到小队频道"
197,"CMD_ALLIANCE_ALWAYS",255,255,false,4,26,"切换到团队频道"
198,"CMD_FREECOM_ALWAYS",255,255,false,4,27,"切换到部队频道"
199,"CMD_LINKSHELL_ALWAYS",255,255,false,4,28,"切换到通讯贝频道（顺序）"
200,"CMD_LINKSHELL_REV_ALWAYS",255,255,false,4,29,"切换到通讯贝频道（逆序）"
201,"CMD_LINKSHELL_1_ALWAYS",255,255,false,4,30,"切换到通讯贝1频道"
202,"CMD_LINKSHELL_2_ALWAYS",255,255,false,4,31,"切换到通讯贝2频道"
203,"CMD_LINKSHELL_3_ALWAYS",255,255,false,4,32,"切换到通讯贝3频道"
204,"CMD_LINKSHELL_4_ALWAYS",255,255,false,4,33,"切换到通讯贝4频道"
205,"CMD_LINKSHELL_5_ALWAYS",255,255,false,4,34,"切换到通讯贝5频道"
206,"CMD_LINKSHELL_6_ALWAYS",255,255,false,4,35,"切换到通讯贝6频道"
207,"CMD_LINKSHELL_7_ALWAYS",255,255,false,4,36,"切换到通讯贝7频道"
208,"CMD_LINKSHELL_8_ALWAYS",255,255,false,4,37,"切换到通讯贝8频道"
209,"",255,255,false,0,0,""
211,"OK",255,255,true,5,1,"确定操作"
212,"CANCEL",255,255,true,5,2,"取消操作"
213,"ESC",255,255,true,5,3,"关闭所有窗口"
214,"PAD_MAINMENUFOCUS",255,255,true,5,4,"快捷指令"
215,"MENU",255,255,false,5,5,"次级指令"
216,"UP",255,255,false,5,6,"向上移动光标/小队列表中向上切换"
217,"DOWN",255,255,false,5,7,"向下移动光标/小队列表中向下切换"
218,"LEFT",255,255,false,5,8,"向左移动光标/分类选择向左切换"
219,"RIGHT",255,255,false,5,9,"向右移动光标/分类选择向右切换"
220,"TAB_NEXT",255,255,false,5,10,"顺序选择界面标签"
221,"TAB_PREV",255,255,false,5,11,"逆序选择界面标签"
222,"HOTBAR_UP",255,253,false,5,12,"热键栏向上切换"
223,"HOTBAR_DOWN",255,253,false,5,13,"热键栏向下切换"
224,"KEY_SCREENSHOT",255,251,false,5,14,"屏幕截图"
225,"HIDE",255,255,false,5,15,"隐藏所有窗口"
226,"MENU_LAYOUT",255,255,false,5,16,"界面设置模式"
227,"PAD_HUDFOCUS",255,255,false,5,17,"顺序选择各项界面要素"
228,"PAD_HUDFOCUS_PREV",255,255,false,5,18,"逆序选择各项界面要素"
229,"TARGET_CLICK_FILTER",255,255,false,5,19,"目标过滤"
230,"MENU_SCALE",255,255,false,5,20,"缩放窗口"
231,"HOTBAR_SET_1",255,253,false,5,21,"切换到热键栏1"
232,"HOTBAR_SET_2",255,253,false,5,22,"切换到热键栏2"
233,"HOTBAR_SET_3",255,253,false,5,23,"切换到热键栏3"
234,"HOTBAR_SET_4",255,253,false,5,24,"切换到热键栏4"
235,"HOTBAR_SET_5",255,253,false,5,25,"切换到热键栏5"
236,"HOTBAR_SET_6",255,253,false,5,26,"切换到热键栏6"
237,"HOTBAR_SET_7",255,253,false,5,27,"切换到热键栏7"
238,"HOTBAR_SET_8",255,253,false,5,28,"切换到热键栏8"
239,"HOTBAR_SET_9",255,253,false,5,29,"切换到热键栏9"
240,"HOTBAR_SET_10",255,253,false,5,30,"切换到热键栏10"
241,"",255,255,false,0,0,""
242,"",255,255,false,0,0,""
243,"",255,255,false,0,0,""
244,"",255,255,false,0,0,""
245,"",255,255,false,0,0,""
246,"",255,255,false,0,0,""
247,"",255,255,false,0,0,""
248,"",255,255,false,0,0,""
249,"",255,255,false,0,0,""
251,"MENU_STATUS",255,255,false,3,1,"角色"
252,"MENU_BAG",255,255,false,3,2,"物品"
253,"MENU_ARMORY",255,255,false,3,3,"兵装库"
254,"MENU_EVENT_BAG",255,255,false,3,4,"任务道具"
255,"MENU_MAP",255,255,false,3,5,"地图"
256,"MENU_ACTION",255,255,false,3,6,"技能菜单"
257,"MENU_EMOTE",255,255,false,3,7,"情感动作"
258,"MENU_MOUNT_NOTEBOOK",255,255,false,3,8,"坐骑一览"
259,"MENU_MINION_NOTEBOOK",255,255,false,3,9,"宠物一览"
260,"MENU_PVP_PROFILE",255,255,false,3,10,"对战资料"
261,"MENU_SOCIAL",255,255,false,3,11,"社交"
262,"MENU_PARTY_MEMBER",255,255,false,3,12,"小队"
263,"MENU_FRIEND_LIST",255,255,false,3,13,"好友名单"
264,"MENU_BLACK_LIST",255,255,false,3,14,"黑名单"
265,"MENU_PC_SEARCH",255,255,false,3,15,"玩家搜索"
266,"MENU_LFG",255,255,false,3,16,"队员招募"
267,"MENU_READY_CHECK",255,255,false,3,17,"准备确认"
268,"MENU_FREECOM",255,255,false,3,18,"部队"
269,"MENU_HOUSING",255,255,false,3,19,"房屋"
270,"MENU_LINKSHELL",255,255,false,3,20,"通讯贝"
271,"MENU_CONTENT",255,255,false,3,21,"任务搜索器"
272,"MENU_CONTENT_INFO",255,255,false,3,22,"任务情报"
273,"MENU_JOURNAL",255,255,false,3,23,"日志"
274,"MENU_CRAFT",255,255,false,3,24,"制作笔记"
275,"MENU_GATHER",255,255,false,3,25,"采集笔记"
276,"MENU_MONSTER",255,255,false,3,26,"讨伐笔记"
277,"MENU_FISH",255,255,false,3,27,"钓鱼笔记"
278,"MENU_FISH_GUIDE",255,255,false,3,28,"鱼类图鉴"
279,"MENU_CONTENTS_NOTEBOOK",255,255,false,3,29,"挑战笔记"
280,"MENU_ADVENTURE_NOTEBOOK",255,255,false,3,30,"探索笔记"
281,"MENU_MARK",255,255,false,3,31,"目标标记"
282,"MENU_FIELD_MARK",255,255,false,3,32,"场景标记"
283,"MENU_BUDDY",255,255,false,3,33,"搭档"
284,"MENU_RETURN",255,255,false,3,34,"返回"
285,"MENU_TELEPO",255,255,false,3,35,"传送"
286,"MENU_ACHIVE",255,255,false,3,36,"成就"
287,"MENU_SYSTEM",255,253,false,3,37,"系统"
288,"MENU_HOWTO",255,255,false,3,38,"新手指南"
289,"MENU_RECOMMEND_LIST",255,255,false,3,39,"推荐任务"
290,"MENU_MACRO",255,255,false,3,40,"用户宏"
291,"MENU_SUPPORT",255,255,false,3,41,"服务中心"
292,"MENU_CONFIG",255,255,false,3,42,"角色设置"
293,"MENU_SYSCONFIG",255,255,false,3,43,"系统设置"
294,"MENU_LOGCOLOR",255,255,false,3,44,"信息颜色"
295,"MENU_PADCUSTOMIZE",255,255,false,3,45,"自定义按键"
296,"",255,255,false,0,0,""
297,"",255,255,false,0,0,""
298,"",255,255,false,0,0,""
299,"",255,255,false,0,0,""
301,"HOTBAR_1_1",255,253,false,6,1,"热键栏1 - 第1格"
302,"HOTBAR_1_2",255,253,false,6,2,"热键栏1 - 第2格"
303,"HOTBAR_1_3",255,253,false,6,3,"热键栏1 - 第3格"
304,"HOTBAR_1_4",255,253,false,6,4,"热键栏1 - 第4格"
305,"HOTBAR_1_5",255,253,false,6,5,"热键栏1 - 第5格"
306,"HOTBAR_1_6",255,253,false,6,6,"热键栏1 - 第6格"
307,"HOTBAR_1_7",255,253,false,6,7,"热键栏1 - 第7格"
308,"HOTBAR_1_8",255,253,false,6,8,"热键栏1 - 第8格"
309,"HOTBAR_1_9",255,253,false,6,9,"热键栏1 - 第9格"
310,"HOTBAR_1_0",255,253,false,6,10,"热键栏1 - 第10格"
311,"HOTBAR_1_A",255,253,false,6,11,"热键栏1 - 第11格"
312,"HOTBAR_1_B",255,253,false,6,12,"热键栏1 - 第12格"
313,"HOTBAR_2_1",255,253,false,6,13,"热键栏2 - 第1格"
314,"HOTBAR_2_2",255,253,false,6,14,"热键栏2 - 第2格"
315,"HOTBAR_2_3",255,253,false,6,15,"热键栏2 - 第3格"
316,"HOTBAR_2_4",255,253,false,6,16,"热键栏2 - 第4格"
317,"HOTBAR_2_5",255,253,false,6,17,"热键栏2 - 第5格"
318,"HOTBAR_2_6",255,253,false,6,18,"热键栏2 - 第6格"
319,"HOTBAR_2_7",255,253,false,6,19,"热键栏2 - 第7格"
320,"HOTBAR_2_8",255,253,false,6,20,"热键栏2 - 第8格"
321,"HOTBAR_2_9",255,253,false,6,21,"热键栏2 - 第9格"
322,"HOTBAR_2_0",255,253,false,6,22,"热键栏2 - 第10格"
323,"HOTBAR_2_A",255,253,false,6,23,"热键栏2 - 第11格"
324,"HOTBAR_2_B",255,253,false,6,24,"热键栏2 - 第12格"
325,"HOTBAR_3_1",255,253,false,6,25,"热键栏3 - 第1格"
326,"HOTBAR_3_2",255,253,false,6,26,"热键栏3 - 第2格"
327,"HOTBAR_3_3",255,253,false,6,27,"热键栏3 - 第3格"
328,"HOTBAR_3_4",255,253,false,6,28,"热键栏3 - 第4格"
329,"HOTBAR_3_5",255,253,false,6,29,"热键栏3 - 第5格"
330,"HOTBAR_3_6",255,253,false,6,30,"热键栏3 - 第6格"
331,"HOTBAR_3_7",255,253,false,6,31,"热键栏3 - 第7格"
332,"HOTBAR_3_8",255,253,false,6,32,"热键栏3 - 第8格"
333,"HOTBAR_3_9",255,253,false,6,33,"热键栏3 - 第9格"
334,"HOTBAR_3_0",255,253,false,6,34,"热键栏3 - 第10格"
335,"HOTBAR_3_A",255,253,false,6,35,"热键栏3 - 第11格"
336,"HOTBAR_3_B",255,253,false,6,36,"热键栏3 - 第12格"
337,"HOTBAR_4_1",255,253,false,6,37,"热键栏4 - 第1格"
338,"HOTBAR_4_2",255,253,false,6,38,"热键栏4 - 第2格"
339,"HOTBAR_4_3",255,253,false,6,39,"热键栏4 - 第3格"
340,"HOTBAR_4_4",255,253,false,6,40,"热键栏4 - 第4格"
341,"HOTBAR_4_5",255,253,false,6,41,"热键栏4 - 第5格"
342,"HOTBAR_4_6",255,253,false,6,42,"热键栏4 - 第6格"
343,"HOTBAR_4_7",255,253,false,6,43,"热键栏4 - 第7格"
344,"HOTBAR_4_8",255,253,false,6,44,"热键栏4 - 第8格"
345,"HOTBAR_4_9",255,253,false,6,45,"热键栏4 - 第9格"
346,"HOTBAR_4_0",255,253,false,6,46,"热键栏4 - 第10格"
347,"HOTBAR_4_A",255,253,false,6,47,"热键栏4 - 第11格"
348,"HOTBAR_4_B",255,253,false,6,48,"热键栏4 - 第12格"
349,"HOTBAR_5_1",255,253,false,6,49,"热键栏5 - 第1格"
350,"HOTBAR_5_2",255,253,false,6,50,"热键栏5 - 第2格"
351,"HOTBAR_5_3",255,253,false,6,51,"热键栏5 - 第3格"
352,"HOTBAR_5_4",255,253,false,6,52,"热键栏5 - 第4格"
353,"HOTBAR_5_5",255,253,false,6,53,"热键栏5 - 第5格"
354,"HOTBAR_5_6",255,253,false,6,54,"热键栏5 - 第6格"
355,"HOTBAR_5_7",255,253,false,6,55,"热键栏5 - 第7格"
356,"HOTBAR_5_8",255,253,false,6,56,"热键栏5 - 第8格"
357,"HOTBAR_5_9",255,253,false,6,57,"热键栏5 - 第9格"
358,"HOTBAR_5_0",255,253,false,6,58,"热键栏5 - 第10格"
359,"HOTBAR_5_A",255,253,false,6,59,"热键栏5 - 第11格"
360,"HOTBAR_5_B",255,253,false,6,60,"热键栏5 - 第12格"
361,"HOTBAR_6_1",255,253,false,6,61,"热键栏6 - 第1格"
362,"HOTBAR_6_2",255,253,false,6,62,"热键栏6 - 第2格"
363,"HOTBAR_6_3",255,253,false,6,63,"热键栏6 - 第3格"
364,"HOTBAR_6_4",255,253,false,6,64,"热键栏6 - 第4格"
365,"HOTBAR_6_5",255,253,false,6,65,"热键栏6 - 第5格"
366,"HOTBAR_6_6",255,253,false,6,66,"热键栏6 - 第6格"
367,"HOTBAR_6_7",255,253,false,6,67,"热键栏6 - 第7格"
368,"HOTBAR_6_8",255,253,false,6,68,"热键栏6 - 第8格"
369,"HOTBAR_6_9",255,253,false,6,69,"热键栏6 - 第9格"
370,"HOTBAR_6_0",255,253,false,6,70,"热键栏6 - 第10格"
371,"HOTBAR_6_A",255,253,false,6,71,"热键栏6 - 第11格"
372,"HOTBAR_6_B",255,253,false,6,72,"热键栏6 - 第12格"
373,"HOTBAR_7_1",255,253,false,6,73,"热键栏7 - 第1格"
374,"HOTBAR_7_2",255,253,false,6,74,"热键栏7 - 第2格"
375,"HOTBAR_7_3",255,253,false,6,75,"热键栏7 - 第3格"
376,"HOTBAR_7_4",255,253,false,6,76,"热键栏7 - 第4格"
377,"HOTBAR_7_5",255,253,false,6,77,"热键栏7 - 第5格"
378,"HOTBAR_7_6",255,253,false,6,78,"热键栏7 - 第6格"
379,"HOTBAR_7_7",255,253,false,6,79,"热键栏7 - 第7格"
380,"HOTBAR_7_8",255,253,false,6,80,"热键栏7 - 第8格"
381,"HOTBAR_7_9",255,253,false,6,81,"热键栏7 - 第9格"
382,"HOTBAR_7_0",255,253,false,6,82,"热键栏7 - 第10格"
383,"HOTBAR_7_A",255,253,false,6,83,"热键栏7 - 第11格"
384,"HOTBAR_7_B",255,253,false,6,84,"热键栏7 - 第12格"
385,"HOTBAR_8_1",255,253,false,6,85,"热键栏8 - 第1格"
386,"HOTBAR_8_2",255,253,false,6,86,"热键栏8 - 第2格"
387,"HOTBAR_8_3",255,253,false,6,87,"热键栏8 - 第3格"
388,"HOTBAR_8_4",255,253,false,6,88,"热键栏8 - 第4格"
389,"HOTBAR_8_5",255,253,false,6,89,"热键栏8 - 第5格"
390,"HOTBAR_8_6",255,253,false,6,90,"热键栏8 - 第6格"
391,"HOTBAR_8_7",255,253,false,6,91,"热键栏8 - 第7格"
392,"HOTBAR_8_8",255,253,false,6,92,"热键栏8 - 第8格"
393,"HOTBAR_8_9",255,253,false,6,93,"热键栏8 - 第9格"
394,"HOTBAR_8_0",255,253,false,6,94,"热键栏8 - 第10格"
395,"HOTBAR_8_A",255,253,false,6,95,"热键栏8 - 第11格"
396,"HOTBAR_8_B",255,253,false,6,96,"热键栏8 - 第12格"
397,"HOTBAR_9_1",255,253,false,6,97,"热键栏9 - 第1格"
398,"HOTBAR_9_2",255,253,false,6,98,"热键栏9 - 第2格"
399,"HOTBAR_9_3",255,253,false,6,99,"热键栏9 - 第3格"
400,"HOTBAR_9_4",255,253,false,6,100,"热键栏9 - 第4格"
401,"HOTBAR_9_5",255,253,false,6,101,"热键栏9 - 第5格"
402,"HOTBAR_9_6",255,253,false,6,102,"热键栏9 - 第6格"
403,"HOTBAR_9_7",255,253,false,6,103,"热键栏9 - 第7格"
404,"HOTBAR_9_8",255,253,false,6,104,"热键栏9 - 第8格"
405,"HOTBAR_9_9",255,253,false,6,105,"热键栏9 - 第9格"
406,"HOTBAR_9_0",255,253,false,6,106,"热键栏9 - 第10格"
407,"HOTBAR_9_A",255,253,false,6,107,"热键栏9 - 第11格"
408,"HOTBAR_9_B",255,253,false,6,108,"热键栏9 - 第12格"
409,"HOTBAR_10_1",255,253,false,6,109,"热键栏10 - 第1格"
410,"HOTBAR_10_2",255,253,false,6,110,"热键栏10 - 第2格"
411,"HOTBAR_10_3",255,253,false,6,111,"热键栏10 - 第3格"
412,"HOTBAR_10_4",255,253,false,6,112,"热键栏10 - 第4格"
413,"HOTBAR_10_5",255,253,false,6,113,"热键栏10 - 第5格"
414,"HOTBAR_10_6",255,253,false,6,114,"热键栏10 - 第6格"
415,"HOTBAR_10_7",255,253,false,6,115,"热键栏10 - 第7格"
416,"HOTBAR_10_8",255,253,false,6,116,"热键栏10 - 第8格"
417,"HOTBAR_10_9",255,253,false,6,117,"热键栏10 - 第9格"
418,"HOTBAR_10_0",255,253,false,6,118,"热键栏10 - 第10格"
419,"HOTBAR_10_A",255,253,false,6,119,"热键栏10 - 第11格"
420,"HOTBAR_10_B",255,253,false,6,120,"热键栏10 - 第12格"
421,"HOTBAR_EX_1",255,253,false,6,121,"特殊热键栏 - 第1格"
422,"HOTBAR_EX_2",255,253,false,6,122,"特殊热键栏 - 第2格"
423,"HOTBAR_EX_3",255,253,false,6,123,"特殊热键栏 - 第3格"
424,"HOTBAR_EX_4",255,253,false,6,124,"特殊热键栏 - 第4格"
425,"HOTBAR_EX_5",255,253,false,6,125,"特殊热键栏 - 第5格"
426,"HOTBAR_EX_6",255,253,false,6,126,"特殊热键栏 - 第6格"
427,"HOTBAR_EX_7",255,253,false,6,127,"特殊热键栏 - 第7格"
428,"HOTBAR_EX_8",255,253,false,6,128,"特殊热键栏 - 第8格"
429,"HOTBAR_EX_9",255,253,false,6,129,"特殊热键栏 - 第9格"
430,"HOTBAR_EX_0",255,253,false,6,130,"特殊热键栏 - 第10格"
431,"HOTBAR_EX_A",255,253,false,6,131,"特殊热键栏 - 第11格"
432,"HOTBAR_EX_B",255,253,false,6,132,"特殊热键栏 - 第12格"
433,"",255,255,false,0,0,""
434,"",255,255,false,0,0,""
435,"",255,255,false,0,0,""
436,"",255,255,false,0,0,""
437,"",255,255,false,0,0,""
438,"",255,255,false,0,0,""
439,"",255,255,false,0,0,""
440,"",255,255,false,0,0,""
441,"",255,255,false,0,0,""
442,"",255,255,false,0,0,""
443,"",255,255,false,0,0,""
444,"",255,255,false,0,0,""
445,"",255,255,false,0,0,""
446,"",255,255,false,0,0,""
447,"",255,255,false,0,0,""
448,"",255,255,false,0,0,""
449,"",255,255,false,0,0,""
451,"VIRTUAL_PAD_UP",255,255,false,7,1,"<icon:2> 上方向键"
452,"VIRTUAL_PAD_DOWN",255,255,false,7,2,"<icon:3> 下方向键"
453,"VIRTUAL_PAD_LEFT",255,255,false,7,3,"<icon:4> 左方向键"
454,"VIRTUAL_PAD_RIGHT",255,255,false,7,4,"<icon:5> 右方向键"
