Index,0 [USHORT] [0x20],1 [USHORT] [0x22],2 [USHORT] [0x24],3 [USHORT] [0x26],4 [USHORT] [0x28],5 [USHORT] [0x2A],6 [USHORT] [0x2C],7 [USHORT] [0x2E],8 [USHORT] [0x30],9 [USHORT] [0x32],10 [UBYTE] [0x3A],11 [UBYTE] [0x3B],12 [BBOOL] [0x3D],13 [USHORT] [0x34],14 [UBYTE] [0x3C],15 [UINT] [0x0],16 [UINT] [0x4],17 [UINT] [0x8],18 [USHORT] [0x36],19 [USHORT] [0x38],20 [UINT] [0xC],21 [UINT] [0x10],22 [UINT] [0x14],23 [UINT] [0x18],24 [UINT] [0x1C],25 [BBOOL] [0x3D]
2293788,67,28,22,0,0,59,46,40,33,19,9,0,true,30,2,66219,66220,66221,600,1100,592172,592173,592174,592175,592176,false
2293789,62,45,0,0,0,67,52,46,34,3,13,0,true,30,1,66558,0,0,0,0,592177,592178,592179,592180,592181,true
2293790,64,61,47,0,0,42,31,32,37,27,12,0,true,30,1,0,0,0,0,0,592182,592183,592184,592185,592186,false
2293791,34,61,0,0,0,29,60,47,39,45,1,1,true,30,1,66241,0,0,0,0,592187,592188,592189,592190,592191,false
2293792,63,56,49,0,0,65,66,55,31,30,14,5,true,30,1,66053,0,0,0,0,592192,592193,592194,592195,592196,true
2293793,65,54,41,0,0,58,50,49,38,0,4,6,true,30,2,66219,66220,66221,1400,1900,592197,592198,592199,592200,592201,false
2293794,50,19,80,0,0,49,33,48,46,62,7,1,true,35,1,65964,0,0,1700,530,592268,592269,592270,592271,592272,false
2293795,52,42,0,0,0,81,36,43,30,35,13,7,false,25,1,0,0,0,1000,2000,592383,592384,592385,592386,592387,true
2293796,64,81,0,0,0,84,34,32,77,55,12,7,false,25,1,0,0,0,2200,600,592388,592389,592390,592391,592392,false
2293797,63,49,0,0,0,89,48,42,73,28,14,9,false,25,1,0,0,0,1500,300,592393,592394,592395,592396,592397,false
2293798,61,55,0,0,0,96,22,40,46,81,9,1,false,30,1,0,0,0,900,2000,592398,592399,592400,592401,592402,false
2293799,89,56,0,0,0,88,62,50,58,19,1,0,true,25,1,67118,0,0,200,1000,592403,592404,592405,592406,592407,false
2293800,14,81,0,0,0,90,3,55,43,84,10,7,false,30,1,67148,0,0,1900,500,592408,592409,592410,592411,592412,false
2293801,63,86,65,93,96,0,0,0,0,0,8,0,true,30,1,67132,0,0,200,1000,592413,592414,592415,592416,592417,false
2293802,88,100,0,0,0,92,97,86,99,49,7,1,false,30,1,67501,0,0,0,0,592418,592419,592420,592421,592422,false
2293803,83,97,0,0,0,47,40,91,32,92,12,7,false,30,1,67199,0,0,2100,800,592423,592424,592425,592426,592427,false
2293804,66,98,0,0,0,82,83,97,100,43,1,1,true,30,1,67376,0,0,0,0,592428,592429,592430,592431,592432,true
2293805,96,19,80,0,0,88,93,90,91,69,7,9,true,35,1,67205,0,0,1900,700,592846,592847,592848,592849,592850,false
2293806,102,0,0,0,0,91,65,66,63,67,9,6,true,25,1,67406,0,0,200,600,592936,592937,592938,592939,592940,false
2293807,101,96,0,0,0,89,88,86,38,93,8,0,true,30,1,67434,0,0,1600,2000,592941,592942,592943,592944,592945,false
2293808,103,98,0,0,0,104,93,58,89,96,4,6,true,30,1,67186,67410,0,2300,200,592956,592957,592958,592959,592960,false
2293809,105,97,0,0,0,90,88,59,55,109,12,14,true,30,1,67152,67329,0,600,1200,592946,592947,592948,592949,592950,true
2293810,107,106,0,0,0,117,18,15,14,17,10,9,true,35,1,67630,0,0,1400,2000,592951,592952,592953,592954,592955,false
2293811,73,70,0,0,0,74,52,42,40,41,7,9,true,40,1,0,0,0,2100,700,592961,592962,592963,592964,592965,true
2293812,98,82,0,0,0,123,103,81,86,104,10,9,true,25,1,67761,0,0,1700,2300,593166,593167,593168,593169,593170,true
2293813,97,83,0,0,0,109,105,90,59,88,1,0,true,25,1,67796,0,0,500,1300,593171,593172,593173,593174,593175,true
2293814,140,135,132,0,0,58,33,47,0,0,4,6,true,30,1,66530,66031,0,2300,400,593176,593177,593178,593179,593180,false
2293815,136,117,0,0,0,107,106,49,59,0,14,4,true,30,1,67472,67789,0,1400,1800,593181,593182,593183,593184,593185,true
2293816,121,133,134,95,93,0,0,0,0,0,3,6,true,25,1,67205,0,0,200,900,593186,593187,593188,593189,593190,false
2293817,153,43,0,0,0,90,99,108,124,20,4,6,true,30,1,67863,0,0,2100,300,593335,593336,593337,593338,593339,true
2293818,149,144,0,0,0,29,65,54,49,12,1,6,true,20,1,66198,67784,0,1900,2300,593340,593341,593342,593343,593344,false
2293819,149,145,0,0,0,29,65,54,126,7,14,4,true,20,1,65654,67784,0,1900,2300,593345,593346,593347,593348,593349,false
