Index,0 [BYTE] [0x25],1 [STRING] [0x0],2 [STRING] [0x4],3 [UBYTE] [0x8],4 [UBYTE] [0x9],5 [UBYTE] [0xA],6 [UBYTE] [0xB],7 [UBYTE] [0xC],8 [UBYTE] [0xD],9 [UBYTE] [0xE],10 [UBYTE] [0xF],11 [UBYTE] [0x10],12 [UBYTE] [0x11],13 [UBYTE] [0x12],14 [UBYTE] [0x13],15 [UBYTE] [0x14],16 [UBYTE] [0x15],17 [UBYTE] [0x16],18 [UBYTE] [0x17],19 [UBYTE] [0x18],20 [UBYTE] [0x19],21 [UBYTE] [0x1A],22 [UBYTE] [0x1B],23 [UBYTE] [0x1C],24 [UBYTE] [0x1D],25 [UBYTE] [0x1E],26 [UBYTE] [0x1F],27 [UBYTE] [0x20],28 [UBYTE] [0x21],29 [UBYTE] [0x22],30 [UBYTE] [0x23],31 [UBYTE] [0x24]
27,18,"暴击发动力","影响物理与魔法发生暴击的几率。<br>暴击发动力的数值越大，攻击越容易打出暴击。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
28,-1,"暴击回避力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
29,19,"斩击耐性","减少受到斩击属性攻击时的伤害。",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
30,20,"突刺耐性","减少受到突刺属性攻击时的伤害。",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
31,21,"打击耐性","减少受到打击属性攻击时的伤害。",0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
32,-1,"射击耐性","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
33,22,"攻击魔法威力","影响发动魔法攻击的伤害量。<br>攻击魔法威力的数值越大，对敌人造成的魔法伤害越大。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
34,23,"治疗魔法威力","影响发动治疗魔法的治疗量。<br>治疗魔法威力的数值越大，对我方发动的魔法治疗量越大。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
35,-1,"强化魔法威力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
36,-1,"弱化魔法威力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
37,24,"火","减少受到火属性攻击时的伤害。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
38,25,"冰","减少受到冰属性攻击时的伤害。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
39,26,"风","减少受到风属性攻击时的伤害。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
40,27,"土","减少受到土属性攻击时的伤害。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
41,28,"雷","减少受到雷属性攻击时的伤害。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
42,29,"水","减少受到水属性攻击时的伤害。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
43,-1,"全魔法耐性","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
44,30,"信念","影响物理与魔法攻击造成的伤害量，以及魔法的治疗量。<br>信念的数值越大，伤害量及治疗量越大，同时对自动攻击也有很强的影响。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
45,31,"技能速度","影响战技的复唱时间。<br>技能速度的数值越大，战技的复唱时间越短。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
46,32,"咏唱速度","影响魔法的咏唱时间和复唱时间。<br>咏唱速度的数值越大，魔法的咏唱时间和复唱时间越短。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
47,33,"速度","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
48,34,"斗志","在玩家对战中代替物理防御力与魔法防御力影响玩家所受到的伤害。<br>对玩家造成的伤害也有所影响。",10,4,8,13,8,6,13,8,6,6,6,6,14,7,21,42,0,21,100,100,100,100,100,100,100,100,100,100,100
49,-1,"仇恨","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
50,-1,"降低仇恨","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
51,-1,"恢复体力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
52,-1,"恢复魔力","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
53,-1,"生命再生","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
54,-1,"魔力再生","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
55,-1,"移动速度","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
56,-1,"屏障效果","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
57,39,"减速耐性","缩短减速的效果时间。",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,100,100,100,100,100,100,100,100,100,100,100
58,-1,"石化耐性","",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,100,100,100,100,100,100,100,100,100,100,100
59,-1,"麻痹耐性","",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,100,100,100,100,100,100,100,100,100,100,100
60,40,"静寂耐性","缩短沉默的效果时间。",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,100,100,100,100,100,100,100,100,100,100,100
61,41,"失明耐性","缩短失明的效果时间。",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,100,100,100,100,100,100,100,100,100,100,100
62,42,"中毒耐性","缩短中毒的效果时间。",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,100,100,100,100,100,100,100,100,100,100,100
63,43,"眩晕耐性","缩短眩晕的效果时间。",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,100,100,100,100,100,100,100,100,100,100,100
64,44,"睡眠耐性","缩短睡眠的效果时间。",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,100,100,100,100,100,100,100,100,100,100,100
65,45,"止步耐性","缩短止步的效果时间。",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,100,100,100,100,100,100,100,100,100,100,100
66,46,"加重耐性","缩短加重的效果时间。",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,100,100,100,100,100,100,100,100,100,100,100
67,-1,"死亡宣告耐性","",14,0,14,14,14,14,14,14,0,0,0,0,14,14,28,56,0,28,100,100,100,100,100,100,100,100,100,100,100
68,-1,"装备损耗耐性","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100
69,-1,"精炼度提升量","",10,2,8,8,8,8,8,8,8,8,8,8,12,6,16,32,0,16,100,100,100,100,100,100,100,100,100,100,100
70,35,"作业精度","影响制作作业的进展效果。<br>作业精度的数值越大，作业的进展越快。",35,35,1,30,1,1,1,1,1,1,1,1,35,35,31,33,0,2,100,100,100,100,100,100,100,100,100,100,100
71,36,"加工精度","影响制作作业的品质效果。<br>加工精度的数值越大，产品的品质提高得越多。",20,20,10,10,10,10,10,10,1,1,1,1,20,20,20,40,0,20,100,100,100,100,100,100,100,100,100,100,100
72,37,"获得力","影响采集时获得道具的几率。<br>获得力的数值越大，越容易采集到道具。",35,20,1,20,15,1,10,1,1,1,1,1,35,35,21,46,0,11,100,100,100,100,100,100,100,100,100,100,100
73,38,"鉴别力","影响采集时获得优质道具的几率。<br>鉴别力的数值越大，越容易采集到优质道具。",20,35,20,10,1,5,1,10,1,1,1,1,20,20,30,22,0,11,100,100,100,100,100,100,100,100,100,100,100
