Index,0 [INT] [0x0],1 [UBYTE] [0x20],2 [INT] [0x4],3 [UBYTE] [0x21],4 [INT] [0x8],5 [UBYTE] [0x22],6 [INT] [0xC],7 [UBYTE] [0x23],8 [INT] [0x10],9 [UBYTE] [0x24],10 [INT] [0x14],11 [UBYTE] [0x25],12 [INT] [0x18],13 [UBYTE] [0x26],14 [INT] [0x1C],15 [UBYTE] [0x27]
23,32,90,33,10,0,0,0,0,0,0,0,0,0,0,0,0
24,34,90,36,10,0,0,0,0,0,0,0,0,0,0,0,0
25,35,90,36,10,0,0,0,0,0,0,0,0,0,0,0,0
26,37,90,39,10,0,0,0,0,0,0,0,0,0,0,0,0
27,38,90,39,10,0,0,0,0,0,0,0,0,0,0,0,0
28,40,90,42,10,0,0,0,0,0,0,0,0,0,0,0,0
29,41,90,42,10,0,0,0,0,0,0,0,0,0,0,0,0
30,43,90,45,10,0,0,0,0,0,0,0,0,0,0,0,0
31,44,90,45,10,0,0,0,0,0,0,0,0,0,0,0,0
32,46,90,48,10,0,0,0,0,0,0,0,0,0,0,0,0
33,47,90,48,10,0,0,0,0,0,0,0,0,0,0,0,0
34,49,70,51,20,372,10,0,0,0,0,0,0,0,0,0,0
35,50,70,51,20,372,10,0,0,0,0,0,0,0,0,0,0
36,52,80,54,20,0,0,0,0,0,0,0,0,0,0,0,0
37,53,80,54,20,0,0,0,0,0,0,0,0,0,0,0,0
38,55,80,57,20,0,0,0,0,0,0,0,0,0,0,0,0
39,56,80,57,20,0,0,0,0,0,0,0,0,0,0,0,0
40,58,40,60,20,387,40,0,0,0,0,0,0,0,0,0,0
41,59,40,60,20,387,40,0,0,0,0,0,0,0,0,0,0
42,61,90,63,10,0,0,0,0,0,0,0,0,0,0,0,0
43,62,90,63,10,0,0,0,0,0,0,0,0,0,0,0,0
44,64,90,66,10,0,0,0,0,0,0,0,0,0,0,0,0
45,65,90,66,10,0,0,0,0,0,0,0,0,0,0,0,0
46,67,90,69,10,0,0,0,0,0,0,0,0,0,0,0,0
47,68,90,69,10,0,0,0,0,0,0,0,0,0,0,0,0
48,70,90,72,10,0,0,0,0,0,0,0,0,0,0,0,0
49,71,90,72,10,0,0,0,0,0,0,0,0,0,0,0,0
50,73,90,75,10,0,0,0,0,0,0,0,0,0,0,0,0
51,74,90,75,10,0,0,0,0,0,0,0,0,0,0,0,0
52,76,90,78,10,0,0,0,0,0,0,0,0,0,0,0,0
53,77,90,78,10,0,0,0,0,0,0,0,0,0,0,0,0
54,79,70,81,20,373,10,0,0,0,0,0,0,0,0,0,0
55,80,70,81,20,373,10,0,0,0,0,0,0,0,0,0,0
56,82,80,84,20,0,0,0,0,0,0,0,0,0,0,0,0
57,83,80,84,20,0,0,0,0,0,0,0,0,0,0,0,0
58,85,80,87,20,0,0,0,0,0,0,0,0,0,0,0,0
59,86,80,87,20,0,0,0,0,0,0,0,0,0,0,0,0
60,88,40,90,20,388,40,0,0,0,0,0,0,0,0,0,0
61,89,40,90,20,388,40,0,0,0,0,0,0,0,0,0,0
62,91,90,93,10,0,0,0,0,0,0,0,0,0,0,0,0
63,92,90,93,10,0,0,0,0,0,0,0,0,0,0,0,0
64,94,90,96,10,0,0,0,0,0,0,0,0,0,0,0,0
65,95,90,96,10,0,0,0,0,0,0,0,0,0,0,0,0
66,97,90,99,10,0,0,0,0,0,0,0,0,0,0,0,0
67,98,90,99,10,0,0,0,0,0,0,0,0,0,0,0,0
68,100,90,102,10,0,0,0,0,0,0,0,0,0,0,0,0
69,101,90,102,10,0,0,0,0,0,0,0,0,0,0,0,0
70,103,90,105,10,0,0,0,0,0,0,0,0,0,0,0,0
71,104,90,105,10,0,0,0,0,0,0,0,0,0,0,0,0
72,106,90,108,10,0,0,0,0,0,0,0,0,0,0,0,0
73,107,90,108,10,0,0,0,0,0,0,0,0,0,0,0,0
74,109,70,111,20,374,10,0,0,0,0,0,0,0,0,0,0
75,110,70,111,20,374,10,0,0,0,0,0,0,0,0,0,0
76,112,80,114,20,0,0,0,0,0,0,0,0,0,0,0,0
77,113,80,114,20,0,0,0,0,0,0,0,0,0,0,0,0
78,115,80,117,20,0,0,0,0,0,0,0,0,0,0,0,0
79,116,80,117,20,0,0,0,0,0,0,0,0,0,0,0,0
80,118,40,120,20,389,40,0,0,0,0,0,0,0,0,0,0
81,119,40,120,20,389,40,0,0,0,0,0,0,0,0,0,0
82,121,90,123,10,0,0,0,0,0,0,0,0,0,0,0,0
83,122,90,123,10,0,0,0,0,0,0,0,0,0,0,0,0
84,124,90,126,10,0,0,0,0,0,0,0,0,0,0,0,0
85,125,90,126,10,0,0,0,0,0,0,0,0,0,0,0,0
86,127,90,129,10,0,0,0,0,0,0,0,0,0,0,0,0
87,128,90,129,10,0,0,0,0,0,0,0,0,0,0,0,0
88,130,90,132,10,0,0,0,0,0,0,0,0,0,0,0,0
89,131,90,132,10,0,0,0,0,0,0,0,0,0,0,0,0
90,133,90,135,10,0,0,0,0,0,0,0,0,0,0,0,0
91,134,90,135,10,0,0,0,0,0,0,0,0,0,0,0,0
92,136,90,138,10,0,0,0,0,0,0,0,0,0,0,0,0
93,137,90,138,10,0,0,0,0,0,0,0,0,0,0,0,0
94,139,70,141,20,375,10,0,0,0,0,0,0,0,0,0,0
95,140,70,141,20,375,10,0,0,0,0,0,0,0,0,0,0
96,142,80,144,20,0,0,0,0,0,0,0,0,0,0,0,0
97,143,80,144,20,0,0,0,0,0,0,0,0,0,0,0,0
98,145,80,147,20,0,0,0,0,0,0,0,0,0,0,0,0
99,146,80,147,20,0,0,0,0,0,0,0,0,0,0,0,0
100,148,40,150,20,391,40,0,0,0,0,0,0,0,0,0,0
101,149,40,150,20,391,40,0,0,0,0,0,0,0,0,0,0
102,151,90,153,10,0,0,0,0,0,0,0,0,0,0,0,0
103,152,90,153,10,0,0,0,0,0,0,0,0,0,0,0,0
104,154,90,156,10,0,0,0,0,0,0,0,0,0,0,0,0
105,155,90,156,10,0,0,0,0,0,0,0,0,0,0,0,0
106,157,90,159,10,0,0,0,0,0,0,0,0,0,0,0,0
107,158,90,159,10,0,0,0,0,0,0,0,0,0,0,0,0
108,160,90,162,10,0,0,0,0,0,0,0,0,0,0,0,0
109,161,90,162,10,0,0,0,0,0,0,0,0,0,0,0,0
110,163,90,165,10,0,0,0,0,0,0,0,0,0,0,0,0
111,164,90,165,10,0,0,0,0,0,0,0,0,0,0,0,0
112,166,90,168,10,0,0,0,0,0,0,0,0,0,0,0,0
113,167,90,168,10,0,0,0,0,0,0,0,0,0,0,0,0
114,169,70,171,20,376,10,0,0,0,0,0,0,0,0,0,0
115,170,70,171,20,376,10,0,0,0,0,0,0,0,0,0,0
116,172,80,174,20,0,0,0,0,0,0,0,0,0,0,0,0
117,173,80,174,20,0,0,0,0,0,0,0,0,0,0,0,0
118,175,80,177,20,0,0,0,0,0,0,0,0,0,0,0,0
119,176,80,177,20,0,0,0,0,0,0,0,0,0,0,0,0
120,178,40,180,20,390,40,0,0,0,0,0,0,0,0,0,0
121,179,40,180,20,390,40,0,0,0,0,0,0,0,0,0,0
122,181,90,183,10,0,0,0,0,0,0,0,0,0,0,0,0
123,182,90,183,10,0,0,0,0,0,0,0,0,0,0,0,0
124,184,90,186,10,0,0,0,0,0,0,0,0,0,0,0,0
125,185,90,186,10,0,0,0,0,0,0,0,0,0,0,0,0
126,187,90,189,10,0,0,0,0,0,0,0,0,0,0,0,0
127,188,90,189,10,0,0,0,0,0,0,0,0,0,0,0,0
128,190,90,192,10,0,0,0,0,0,0,0,0,0,0,0,0
129,191,90,192,10,0,0,0,0,0,0,0,0,0,0,0,0
130,193,90,195,10,0,0,0,0,0,0,0,0,0,0,0,0
131,194,90,195,10,0,0,0,0,0,0,0,0,0,0,0,0
132,196,90,198,10,0,0,0,0,0,0,0,0,0,0,0,0
133,197,90,198,10,0,0,0,0,0,0,0,0,0,0,0,0
134,199,70,201,20,377,10,0,0,0,0,0,0,0,0,0,0
135,200,70,201,20,377,10,0,0,0,0,0,0,0,0,0,0
136,202,80,204,20,0,0,0,0,0,0,0,0,0,0,0,0
137,203,80,204,20,0,0,0,0,0,0,0,0,0,0,0,0
138,205,80,207,20,0,0,0,0,0,0,0,0,0,0,0,0
139,206,80,207,20,0,0,0,0,0,0,0,0,0,0,0,0
140,208,40,210,20,392,40,0,0,0,0,0,0,0,0,0,0
141,209,40,210,20,392,40,0,0,0,0,0,0,0,0,0,0
142,211,90,213,10,0,0,0,0,0,0,0,0,0,0,0,0
143,212,90,213,10,0,0,0,0,0,0,0,0,0,0,0,0
144,214,90,216,10,0,0,0,0,0,0,0,0,0,0,0,0
145,215,90,216,10,0,0,0,0,0,0,0,0,0,0,0,0
146,217,90,219,10,0,0,0,0,0,0,0,0,0,0,0,0
147,218,90,219,10,0,0,0,0,0,0,0,0,0,0,0,0
148,220,90,222,10,0,0,0,0,0,0,0,0,0,0,0,0
149,221,90,222,10,0,0,0,0,0,0,0,0,0,0,0,0
150,223,90,225,10,0,0,0,0,0,0,0,0,0,0,0,0
151,224,90,225,10,0,0,0,0,0,0,0,0,0,0,0,0
152,226,90,228,10,0,0,0,0,0,0,0,0,0,0,0,0
153,227,90,228,10,0,0,0,0,0,0,0,0,0,0,0,0
154,229,70,231,20,378,10,0,0,0,0,0,0,0,0,0,0
155,230,70,231,20,378,10,0,0,0,0,0,0,0,0,0,0
156,232,80,234,20,0,0,0,0,0,0,0,0,0,0,0,0
157,233,80,234,20,0,0,0,0,0,0,0,0,0,0,0,0
158,235,80,237,20,0,0,0,0,0,0,0,0,0,0,0,0
159,236,80,237,20,0,0,0,0,0,0,0,0,0,0,0,0
160,238,40,240,20,393,40,0,0,0,0,0,0,0,0,0,0
161,239,40,240,20,393,40,0,0,0,0,0,0,0,0,0,0
162,241,4,242,3,243,3,249,7,250,7,251,6,252,10,253,20
163,246,4,248,3,380,3,249,7,250,7,251,6,252,10,253,20
164,247,4,244,3,245,3,249,7,250,7,251,6,252,10,253,20
165,254,4,255,3,256,3,262,7,263,7,264,6,265,10,266,20
166,259,4,261,3,381,3,262,7,263,7,264,6,265,10,266,20
167,260,4,257,3,258,3,262,7,263,7,264,6,265,10,266,20
168,267,4,268,3,269,3,275,7,276,7,277,6,278,10,379,40
169,272,4,274,3,382,3,275,7,276,7,277,6,278,10,379,40
170,273,4,270,3,271,3,275,7,276,7,277,6,278,10,379,40
171,280,4,281,3,282,3,288,7,289,7,290,6,291,10,379,40
172,285,4,287,3,383,3,288,7,289,7,290,6,291,10,379,40
173,293,4,294,3,295,3,301,7,302,7,303,6,304,10,379,40
174,299,4,296,3,297,3,301,7,302,7,303,6,304,10,379,40
175,306,4,307,3,308,3,314,7,315,7,316,6,317,10,379,40
176,311,4,313,3,385,3,314,7,315,7,316,6,317,10,379,40
177,312,4,309,3,310,3,314,7,315,7,316,6,317,10,379,40
178,319,5,320,5,321,7,322,7,323,6,324,10,325,20,379,40
179,319,5,320,5,321,7,322,7,323,6,324,10,325,20,379,40
180,326,5,327,5,328,7,329,7,330,6,331,10,332,20,379,40
181,326,5,327,5,328,7,329,7,330,6,331,10,332,20,379,40
182,333,5,334,5,335,7,336,7,337,6,338,10,339,20,379,40
183,340,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,341,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,342,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,343,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,344,30,379,40,0,0,0,0,0,0,0,0,0,0,0,0
188,345,30,379,40,0,0,0,0,0,0,0,0,0,0,0,0
189,346,30,379,40,0,0,0,0,0,0,0,0,0,0,0,0
190,347,30,379,40,0,0,0,0,0,0,0,0,0,0,0,0
191,348,30,379,40,0,0,0,0,0,0,0,0,0,0,0,0
192,349,30,379,40,0,0,0,0,0,0,0,0,0,0,0,0
193,350,20,379,40,396,40,0,0,0,0,0,0,0,0,0,0
194,351,75,352,25,0,0,0,0,0,0,0,0,0,0,0,0
195,353,75,354,25,0,0,0,0,0,0,0,0,0,0,0,0
196,355,75,356,25,0,0,0,0,0,0,0,0,0,0,0,0
197,340,20,357,20,358,20,379,40,0,0,0,0,0,0,0,0
198,340,20,359,20,360,20,379,40,0,0,0,0,0,0,0,0
199,340,20,361,20,362,20,379,40,0,0,0,0,0,0,0,0
200,340,20,363,20,364,20,379,40,0,0,0,0,0,0,0,0
201,340,20,365,20,366,20,379,40,0,0,0,0,0,0,0,0
202,340,20,367,20,368,20,379,40,0,0,0,0,0,0,0,0
203,340,20,369,20,370,20,379,40,0,0,0,0,0,0,0,0
204,342,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,343,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,344,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,345,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,346,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,347,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,348,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,349,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,350,30,405,40,0,0,0,0,0,0,0,0,0,0,0,0
213,351,75,352,25,0,0,0,0,0,0,0,0,0,0,0,0
214,353,75,354,25,0,0,0,0,0,0,0,0,0,0,0,0
215,355,75,356,25,0,0,0,0,0,0,0,0,0,0,0,0
216,340,20,357,20,358,20,379,40,0,0,0,0,0,0,0,0
217,340,20,359,20,360,20,379,40,0,0,0,0,0,0,0,0
218,340,20,361,20,362,20,379,40,0,0,0,0,0,0,0,0
219,340,20,363,20,364,20,379,40,0,0,0,0,0,0,0,0
220,340,20,365,20,366,20,379,40,0,0,0,0,0,0,0,0
221,340,20,367,20,368,20,379,40,0,0,0,0,0,0,0,0
222,340,10,369,10,370,20,379,20,0,0,395,40,0,0,0,0
223,351,75,352,25,0,0,0,0,0,0,0,0,0,0,0,0
224,353,75,354,25,0,0,0,0,0,0,0,0,0,0,0,0
225,355,75,356,25,0,0,0,0,0,0,0,0,0,0,0,0
226,340,20,357,20,358,20,379,40,0,0,0,0,0,0,0,0
227,340,20,359,20,360,20,379,40,0,0,0,0,0,0,0,0
228,340,20,361,20,362,20,379,40,0,0,0,0,0,0,0,0
229,340,20,363,20,364,20,379,40,0,0,0,0,0,0,0,0
230,340,20,365,20,366,20,379,40,0,0,0,0,0,0,0,0
231,340,20,367,20,368,20,379,40,0,0,0,0,0,0,0,0
232,340,10,369,10,370,20,379,20,0,0,394,40,0,0,0,0
233,19,80,21,10,371,10,0,0,0,0,0,0,0,0,0,0
234,20,80,21,10,371,10,0,0,0,0,0,0,0,0,0,0
235,22,90,24,10,0,0,0,0,0,0,0,0,0,0,0,0
236,23,90,24,10,0,0,0,0,0,0,0,0,0,0,0,0
237,25,90,27,10,0,0,0,0,0,0,0,0,0,0,0,0
238,26,90,27,10,0,0,0,0,0,0,0,0,0,0,0,0
239,28,50,30,10,397,40,0,0,0,0,0,0,0,0,0,0
240,29,50,30,10,397,40,0,0,0,0,0,0,0,0,0,0
241,49,80,51,10,372,10,0,0,0,0,0,0,0,0,0,0
242,50,80,51,10,372,10,0,0,0,0,0,0,0,0,0,0
243,52,90,54,10,0,0,0,0,0,0,0,0,0,0,0,0
244,53,90,54,10,0,0,0,0,0,0,0,0,0,0,0,0
245,55,90,57,10,0,0,0,0,0,0,0,0,0,0,0,0
246,56,90,57,10,0,0,0,0,0,0,0,0,0,0,0,0
247,58,50,60,10,398,40,0,0,0,0,0,0,0,0,0,0
248,59,50,60,10,398,40,0,0,0,0,0,0,0,0,0,0
249,79,80,81,10,373,10,0,0,0,0,0,0,0,0,0,0
250,80,80,81,10,373,10,0,0,0,0,0,0,0,0,0,0
251,82,90,84,10,0,0,0,0,0,0,0,0,0,0,0,0
252,83,90,84,10,0,0,0,0,0,0,0,0,0,0,0,0
253,85,90,87,10,0,0,0,0,0,0,0,0,0,0,0,0
254,86,90,87,10,0,0,0,0,0,0,0,0,0,0,0,0
255,88,50,90,10,399,40,0,0,0,0,0,0,0,0,0,0
256,89,50,90,10,399,40,0,0,0,0,0,0,0,0,0,0
257,109,80,111,10,374,10,0,0,0,0,0,0,0,0,0,0
258,110,80,111,10,374,10,0,0,0,0,0,0,0,0,0,0
259,112,90,114,10,0,0,0,0,0,0,0,0,0,0,0,0
260,113,90,114,10,0,0,0,0,0,0,0,0,0,0,0,0
261,115,90,117,10,0,0,0,0,0,0,0,0,0,0,0,0
262,116,90,117,10,0,0,0,0,0,0,0,0,0,0,0,0
263,118,50,120,10,400,40,0,0,0,0,0,0,0,0,0,0
264,119,50,120,10,400,40,0,0,0,0,0,0,0,0,0,0
265,139,80,141,10,375,10,0,0,0,0,0,0,0,0,0,0
266,140,80,141,10,375,10,0,0,0,0,0,0,0,0,0,0
267,142,90,144,10,0,0,0,0,0,0,0,0,0,0,0,0
268,143,90,144,10,0,0,0,0,0,0,0,0,0,0,0,0
269,145,90,147,10,0,0,0,0,0,0,0,0,0,0,0,0
270,146,90,147,10,0,0,0,0,0,0,0,0,0,0,0,0
271,148,50,150,10,402,40,0,0,0,0,0,0,0,0,0,0
272,149,50,150,10,402,40,0,0,0,0,0,0,0,0,0,0
273,169,80,171,10,376,10,0,0,0,0,0,0,0,0,0,0
274,170,80,171,10,376,10,0,0,0,0,0,0,0,0,0,0
275,172,90,174,10,0,0,0,0,0,0,0,0,0,0,0,0
276,173,90,174,10,0,0,0,0,0,0,0,0,0,0,0,0
277,175,90,177,10,0,0,0,0,0,0,0,0,0,0,0,0
278,176,90,177,10,0,0,0,0,0,0,0,0,0,0,0,0
279,178,50,180,10,401,40,0,0,0,0,0,0,0,0,0,0
280,179,50,180,10,401,40,0,0,0,0,0,0,0,0,0,0
281,199,80,201,10,377,10,0,0,0,0,0,0,0,0,0,0
282,200,80,201,10,377,10,0,0,0,0,0,0,0,0,0,0
283,202,90,204,10,0,0,0,0,0,0,0,0,0,0,0,0
284,203,90,204,10,0,0,0,0,0,0,0,0,0,0,0,0
285,205,90,207,10,0,0,0,0,0,0,0,0,0,0,0,0
286,206,90,207,10,0,0,0,0,0,0,0,0,0,0,0,0
287,208,50,210,10,403,40,0,0,0,0,0,0,0,0,0,0
288,209,50,210,10,403,40,0,0,0,0,0,0,0,0,0,0
289,229,80,231,10,378,10,0,0,0,0,0,0,0,0,0,0
290,230,80,231,10,378,10,0,0,0,0,0,0,0,0,0,0
291,232,90,234,10,0,0,0,0,0,0,0,0,0,0,0,0
292,233,90,234,10,0,0,0,0,0,0,0,0,0,0,0,0
293,235,90,237,10,0,0,0,0,0,0,0,0,0,0,0,0
294,236,90,237,10,0,0,0,0,0,0,0,0,0,0,0,0
295,238,50,240,10,404,40,0,0,0,0,0,0,0,0,0,0
296,239,50,240,10,404,40,0,0,0,0,0,0,0,0,0,0
