Index,0 [UINT] [0x8],1 [UINT] [0xC],2 [UINT] [0x10],3 [UINT] [0x14],4 [USHORT] [0x18],5 [USHORT] [0x1A],6 [USHORT] [0x1C],7 [USHORT] [0x1E],8 [BBOOL] [0x20],9 [STRING] [0x0],10 [STRING] [0x4]
131093,4158069,0,0,0,1,1,0,0,false,"2层：沉溺海豚亭","要前往2层的沉溺海豚亭吗？"
131094,4161445,0,0,0,1,1,0,0,false,"1层：工事大厅","要前往1层的工事大厅吗？"
131095,4164411,0,0,0,1,1,0,0,false,"4层：乌尔达哈飞艇坪","要前往4层的乌尔达哈飞艇坪吗？"
131096,4164414,0,0,0,1,1,0,0,false,"2层：政府层","要前往2层的政府层吗？"
131097,4164413,0,0,0,1,1,0,0,false,"1层：红玉大路国际市场","要前往1层的红玉大路国际市场吗？"
131098,4087066,590451,590452,0,8,1,0,0,false,"","要进入银胄团总长室吗？"
131099,4165046,590611,0,0,1,1,0,0,false,"","要进入有关区域吗？"
131100,4165037,590610,0,0,1,1,0,0,false,"","要从水边离开吗？"
131101,4103382,0,590530,590453,9,1,227,232,true,"前往格里达尼亚","要前往格里达尼亚吗？<br>交通费为120金币。"
131102,4103399,0,590530,590453,9,1,227,230,true,"前往利姆萨·罗敏萨","要前往利姆萨·罗敏萨吗？<br>交通费为120金币。"
131103,4103339,0,589916,590454,9,1,231,228,true,"前往乌尔达哈","要前往乌尔达哈吗？<br>交通费为120金币。"
131104,4103399,0,589916,590454,9,1,231,230,true,"前往利姆萨·罗敏萨","要前往利姆萨·罗敏萨吗？<br>交通费为120金币。"
131105,4103339,0,590531,590455,9,1,229,228,true,"前往乌尔达哈","要前往乌尔达哈吗？<br>交通费为120金币。"
131106,4103382,0,590531,590455,9,1,229,232,true,"前往格里达尼亚","要前往格里达尼亚吗？<br>交通费为120金币。"
131107,4165398,0,591076,590456,10,1,235,234,true,"","要前往利姆萨·罗敏萨吗？<br>交通费为80金币。"
131108,4165376,0,591077,590457,10,1,233,236,true,"","要前往黄昏湾吗？<br>交通费为80金币。"
131109,4165794,590514,590515,590622,11,1,0,0,false,"前往小麦酒港","要前往小麦酒港吗？<br>交通费为40金币。"
131110,4165749,590516,590517,590623,11,1,0,0,false,"前往利姆萨·罗敏萨","要前往利姆萨·罗敏萨吗？<br>交通费为40金币。"
131111,4165755,590518,590519,590624,12,1,0,0,false,"前往太阳海岸","要前往太阳海岸吗？<br>交通费为40金币。"
131112,4165749,590520,590521,590625,12,1,0,0,false,"前往利姆萨·罗敏萨","要前往利姆萨·罗敏萨吗？<br>交通费为40金币。"
131113,4165801,590510,0,590511,13,1,0,0,false,"前往吉吉卢恩交易站","要前往吉吉卢恩交易站吗？<br>交通费为40金币。"
131114,4165797,590512,0,590513,13,1,0,0,false,"前往梅梅卢恩交易站","要前往梅梅卢恩交易站吗？<br>交通费为40金币。"
131115,4165794,590522,590626,590628,14,1,0,0,false,"前往小麦酒港","要前往小麦酒港吗？<br>交通费为40金币。"
131116,4165877,590523,590627,590629,14,1,0,0,false,"前往守炬埠头","要前往守炬埠头吗？<br>交通费为40金币。"
131117,1317627,590524,590525,0,15,1,0,0,false,"从白狼门离开","要走出白狼门吗？"
131118,1317561,590529,590526,0,15,1,0,0,false,"","要进入格里达尼亚吗？"
131119,4165759,590527,0,590630,16,1,0,0,false,"前往接雨草树林","要前往接雨草树林吗？<br>交通费为40金币。"
131120,4165758,590528,0,590631,16,1,0,0,false,"前往隐秘瀑布","要前往隐秘瀑布吗？<br>交通费为40金币。"
131121,3877982,590535,590536,0,19,1,0,0,false,"前往芙蓉圆桌","要前往芙蓉圆桌吗？"
131122,4146949,590563,0,0,20,1,0,0,false,"前往提督室","要前往提督室吗？"
131123,4169071,0,0,0,1,1,0,0,false,"","要离开提督室吗？"
131124,4190590,0,0,0,2,2,0,0,false,"",""
131125,4189532,0,0,0,2,2,0,0,false,"",""
131126,4165939,590603,0,0,1,1,0,0,false,"","要前往牛魔里程吗？"
131127,4165935,590604,0,0,1,1,0,0,false,"","要前往纳尔神祠吗？"
131128,4103339,590607,0,0,1,1,0,0,false,"","要返回休息厅吗？"
131129,4103382,590608,0,0,1,1,0,0,false,"","要返回休息厅吗？"
131130,4103399,590609,0,0,1,1,0,0,false,"","要返回休息厅吗？"
131131,4264415,590632,0,0,1,1,0,0,false,"前往狼狱水上竞技场","要前往狼狱水上竞技场吗？"
131132,4264426,590633,0,0,1,1,0,0,false,"前往莫拉比造船厂","要前往莫拉比造船厂吗？"
131133,4165794,590634,0,0,1,1,0,0,false,"前往小麦酒港","要前往小麦酒港吗？"
131134,4264587,590635,590636,590637,22,1,0,0,false,"前往幻影群岛","要前往幻影群岛吗？<br>交通费为40金币。"
131135,4165794,0,0,0,1,1,0,0,false,"前往小麦酒港","要前往小麦酒港吗？"
131136,4264605,590638,590639,590640,23,1,0,0,false,"前往海蛇巢穴","要前往海蛇巢穴吗？<br>交通费为40金币。"
131137,4321669,0,0,0,1,1,0,0,false,"","要离开秘密工房吗？"
131138,4102803,590843,0,0,1,1,0,0,false,"","要前往格里达尼亚吗？"
131139,4332112,0,0,0,1,1,0,0,false,"","要退出“巴哈姆特大迷宫邂逅之章”吗？"
131140,4332121,0,0,0,1,1,0,390,false,"","要退出“巴哈姆特大迷宫邂逅之章”吗？"
131141,4331241,0,0,0,1,1,389,0,false,"","要启动吗？"
131142,4498658,0,0,0,1,1,0,0,false,"","要进入拂晓之间吗？"
131143,4498656,0,0,0,1,1,0,0,false,"","要离开拂晓之间吗？"
131144,4498659,0,0,0,1,1,0,0,false,"","要进入石之家吗？"
131145,4498857,0,0,0,1,1,0,0,false,"","要离开石之家吗？"
131146,4506602,0,0,0,1,1,0,0,false,"","要进入八剑士前庭吗？"
131147,4506605,0,0,0,1,1,0,0,false,"","要离开八剑士前庭吗？"
131148,0,0,0,0,1,6,0,0,false,"","要进入这间房屋吗？"
131149,0,0,0,0,1,7,0,0,false,"","要离开这间房屋吗？"
131150,4549235,591149,0,0,1,1,0,0,false,"",""
131151,4549391,591150,0,0,1,1,0,0,false,"",""
131152,4618997,0,0,0,1,1,0,0,false,"","要离开第13洞穴团炼金工房吗？"
131153,4629135,0,0,0,1,1,0,0,false,"","要返回到诺布养育场吗？"
131154,4629135,0,0,0,1,1,0,0,false,"","要返回到诺布养育场吗？"
131155,4629135,0,0,0,1,1,0,0,false,"","要返回到诺布养育场吗？"
131156,4629135,0,0,0,1,1,0,0,false,"","要返回到诺布养育场吗？"
131157,4629135,0,0,0,1,1,0,0,false,"","要返回到诺布养育场吗？"
131158,4549235,591254,591260,0,24,1,0,0,false,"前往薰衣草苗圃",""
131159,1381038,591255,591261,0,24,1,0,0,false,"",""
131160,4664433,591256,591262,0,25,1,0,0,false,"前往海雾村",""
131161,4165749,591257,591263,0,25,1,0,0,false,"",""
131162,4656744,591258,591264,0,26,1,0,0,false,"",""
131163,4660251,591259,591265,0,26,1,0,0,false,"",""
131164,4678209,0,0,0,1,1,0,0,false,"","要离开艾欧泽亚地下空间吗？"
131165,4332121,0,0,0,1,1,0,0,false,"","要退出“巴哈姆特大迷宫入侵之章”吗？"
131166,5036036,591750,0,0,1,1,0,0,false,"","要进入接待室吗？"
131167,5036025,0,0,0,1,1,0,0,false,"","要离开接待室吗？"
131168,5038695,0,0,0,1,1,0,0,false,"","要离开会场吗？"
131169,5049372,590097,0,0,1,1,0,0,false,"前往海上的大型船","要前往海上的大型船吗？"
131170,4165755,590098,0,0,1,1,0,0,false,"前往太阳海岸","要前往太阳海岸吗？"
131171,5341046,0,0,0,1,1,0,0,false,"","要离开双剑师行会吗？"
131172,5341051,591865,0,0,27,1,0,0,false,"进入双剑师行会","要进入双剑师行会吗？"
131173,5341521,0,0,0,1,1,0,0,false,"","要离开码头小屋吗？"
131174,5341524,591889,591888,0,28,1,0,0,false,"进入码头小屋","要进入码头小屋吗？"
131175,5404445,0,0,0,1,1,0,0,false,"","要离开艾欧泽亚地下空间吗？"
131176,5038252,0,0,0,1,8,0,0,false,"","要进入久远圣堂吗？"
131177,5448900,591975,0,0,1,1,0,0,false,"","要前往陆行鸟广场吗？"
131178,5448873,591981,0,0,1,1,0,0,false,"","要前往入口广场吗？"
131179,5649379,0,591990,0,29,1,0,0,false,"前往金碟游乐场","要前往金碟游乐场吗？<br>不收取任何交通费用。"
131180,5649379,0,591990,0,29,1,0,0,false,"前往金碟游乐场","要前往金碟游乐场吗？<br>不收取任何交通费用。"
131181,5649379,0,591990,0,29,1,0,0,false,"前往金碟游乐场","要前往金碟游乐场吗？<br>不收取任何交通费用。"
131182,4103399,0,0,592264,30,1,0,0,false,"前往利姆萨·罗敏萨","要前往利姆萨·罗敏萨吗？<br>交通费为120金币。"
131183,4103339,0,0,0,1,1,0,0,false,"前往乌尔达哈","要前往乌尔达哈吗？<br>不收取任何交通费用。"
131184,4103382,0,0,592264,30,1,0,0,false,"前往格里达尼亚","要前往格里达尼亚吗？<br>交通费为120金币。"
131185,5827477,592249,0,0,1,1,0,0,false,"","要前往伊修加德吗？"
131186,5835896,592250,0,0,1,1,0,0,false,"","要前往大审门吗？"
131187,5822019,592251,0,0,1,1,0,0,false,"「ライトフェザー闘技場」へ行く","要进入轻羽斗场吗？"
131188,5835987,592252,0,0,1,1,0,0,false,"","要前往云顶营地吗？<br>不收取任何交通费用。"
131189,5836049,592253,0,0,1,1,0,0,false,"","要前往蓝天窗吗？"
131190,5836085,592254,0,0,1,1,0,0,false,"前往魔大陆阿济兹拉","要前往魔大陆阿济兹拉吗？"
131191,5821242,592255,0,0,1,1,0,0,false,"","要进入圣恩达利姆神学院吗？"
131192,5822004,592256,0,0,1,1,0,0,false,"","要进入福尔唐家吗？"
131193,5827748,0,0,0,1,1,0,0,false,"","要离开圣恩达利姆神学院吗？"
131194,5827491,0,0,0,1,1,0,0,false,"","要离开神殿骑士团总骑士长室吗？"
131195,5827750,0,0,0,1,1,0,0,false,"","要离开福尔唐家吗？"
131196,5827495,0,0,0,1,1,0,0,false,"","要离开轻羽斗场吗？"
131197,5835975,592257,0,0,1,1,0,0,false,"","要前往伊修加德飞艇坪吗？<br>不收取任何交通费用。"
131198,5835975,0,0,0,1,1,0,0,false,"","要前往伊修加德飞艇坪吗？"
131199,5836077,592259,0,0,1,1,0,0,false,"","要前往翻云雾海吗？"
131200,5836076,0,0,0,1,1,0,0,false,"","要前往龙堡参天高地吗？"
131201,5851087,0,0,0,1,1,0,0,false,"","要进入玛托雅的洞窟吗？"
131202,5822097,0,0,0,1,1,0,0,false,"","要离开玛托雅的洞窟吗？"
131203,5835975,0,0,0,1,1,0,0,false,"","要前往伊修加德飞艇坪吗？"
131204,5878288,0,0,0,5,9,0,0,false,"",""
131205,5878405,0,0,0,1,1,0,0,false,"","要离开吗？"
131206,5857271,0,0,0,1,1,0,0,false,"","要离开供奉洞吗？"
131207,5890154,0,0,0,1,1,0,0,false,"","要前往阿尔法管区吗？"
131208,5890159,0,0,0,1,1,0,0,false,"","要前往贝塔管区吗？"
131209,5890166,0,0,0,1,1,0,0,false,"","要前往贝塔管区吗？"
131210,5890180,0,0,0,1,1,0,0,false,"","要前往伽马管区吗？"
131211,5890183,0,0,0,1,1,0,0,false,"","要前往伽马管区吗？"
131212,5890184,0,0,0,1,1,0,0,false,"","要前往德尔塔管区吗？"
131213,5867863,0,0,0,1,1,0,0,false,"","要离开魔大陆中枢吗？"
131214,0,0,0,0,0,0,0,0,false,"",""
131215,0,0,0,0,0,0,0,0,false,"",""
131216,0,0,0,0,0,0,0,0,false,"",""
131217,0,0,0,0,0,0,0,0,false,"",""
131218,6045307,0,0,0,1,1,0,0,false,"","要通过密道前往龙堡内陆低地吗？"
