Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [INT] [0x8],3 [USHORT] [0xC],4 [UBYTE] [0xE],5 [BBOOL] [0xF],6 [BBOOL] [0xF]
33,"日光的低语","持续恢复自身与周围队员的体力<br><color?>恢复力：</color>120　<color?>持续时间：</color>21秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2827,803,6,false,true
34,"异想的盟光","一定时间内自身与周围队员的魔法防御力提高20%<br><color?>持续时间：</color>20秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2828,804,6,false,true
35,"异想的幻光","一定时间内自身与周围队员发动治疗魔法的治疗量提高10%<br><color?>持续时间：</color>20秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2829,805,6,false,true
36,"月光的拥抱","恢复目标的体力　<color?>恢复力：</color>250",2836,806,7,false,true
37,"月光的沉默","令目标陷入沉默状态　<color?>持续时间：</color>1秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2837,807,7,false,true
38,"异想的柔光","解除周围队员身上部分弱化效果中的一种<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2811,810,7,false,true
39,"异想的流光","一定时间内自身与周围队员的自动攻击间隔、战技与魔法的咏唱及复唱时间缩短3%<br><color?>持续时间：</color>30秒<br><color #FF7B1A>“协助战斗”状态下在接到命令之前不会发动该技能</color>",2812,811,7,false,true
40,"攻击模式","对敌人发动攻击",405,0,8,false,true
41,"支援模式","为己方提供辅助效果",405,0,8,false,true
42,"","",405,7428,10,true,false
43,"","",405,7449,10,true,true
44,"","",405,7450,0,true,false
45,"","",405,7416,8,true,true
46,"","",405,7417,9,true,true
47,"","",405,7438,0,true,false
48,"","",405,7440,0,true,true
49,"","",405,7441,0,true,true
50,"","",405,8879,0,true,false
51,"","",405,8881,0,true,true
52,"","",405,9127,0,true,true
