Index,0 Name [0x0],1 [BYTE] [0x14],2 Name Plural [0x4],3 [BYTE] [0x15],4 [BYTE] [0x16],5 [BYTE] [0x17],6 [BYTE] [0x18],7 [BYTE] [0x19],8 Item Description [0x8],9 Guide Desc. [0xC],10 Guide Quote [0x10],11 [INT] [0xA0],12 [USHORT] [0xB4],13 [FLOAT] [0x28],14 [FLOAT] [0x2C],15 [FLOAT] [0x30],16 [FLOAT] [0x34],17 [FLOAT] [0x38],18 [FLOAT] [0x3C],19 [FLOAT] [0x40],20 [FLOAT] [0x44],21 [FLOAT] [0x48],22 [FLOAT] [0x4C],23 [FLOAT] [0x50],24 [FLOAT] [0x54],25 [FLOAT] [0x58],26 [FLOAT] [0x5C],27 [FLOAT] [0x60],28 [FLOAT] [0x64],29 [FLOAT] [0x68],30 [FLOAT] [0x6C],31 Summon Sound [0x70],32 Summon Sound 2 [0x88],33 Bye Sound [0x74],34 [FLOAT] [0x8C],35 [FLOAT] [0x78],36 [FLOAT] [0x90],37 [FLOAT] [0x7C],38 [FLOAT] [0x94],39 [FLOAT] [0x80],40 [FLOAT] [0x98],41 [FLOAT] [0x84],42 [FLOAT] [0x9C],43 [USHORT] [0xB6],44 [STRING] [0x1C],45 [STRING] [0x20],46 [STRING] [0x24],47 [UBYTE] [0xBE],48 [UBYTE] [0xBF],49 [BBOOL] [0xC6],50 [INT] [0xA4],51 [INT] [0xA8],52 [INT] [0xAC],53 [INT] [0xB0],54 [BYTE] [0xC5],55 [USHORT] [0xB8],56 [UBYTE] [0xC0],57 [UBYTE] [0xC1],58 [UBYTE] [0xC2],59 [UBYTE] [0xC3],60 [UBYTE] [0xC4],61 [USHORT] [0xBA],62 [USHORT] [0xBC],63 [BBOOL] [0xC6],64 [BBOOL] [0xC6]
35,"恐狼",0,"",0,0,1,0,0,"骑上恐狼。<br>继承了古代种之血的军狼。即使是战场之上也保持着一份平常心。","鸟人族驯兽人所培养出的军狼，鸟人族在塞尔法特尔的深处找到了这种被认为已经灭绝了的生物。在经过一番辛苦的训练之后，它现在已经大到足以载人的程度了，而且绝对服从主人的命令。","那家伙伤了我们家不少<br>佣人和佣兵。<br>　　　　　——科朗蒂奥",675,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.45,1.3,1.5,1.45,0.87,0.87,1.3,1.23,1.6,1.6,1.74,1.19,121,"SE_Bt_Etc_WolfWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WolfBye",20,10,true,0,1,0,0,22,4423,13,100,0,0,0,0,0,false,false
36,"黑涡战马",0,"",0,0,1,0,0,"骑上黑涡战马。<br>原产自东方之国的军马。能够以矫健的步伐奔跑于大地之上","黑涡团作为试验采用的军马。在来自东方的马奉行的主张，冒险者的推广下，艾欧泽亚也终于开始引入马这种生物了，当然选种时特别注意选择了适应气候的品种。","艾欧泽亚不知道马这种<br>生物，只是因为这里盛<br>产马鸟。<br>　　　　　　——马奉行",811,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,65537,65537,65537,0,23,4424,201,100,0,0,0,0,0,false,false
37,"双蛇战马",0,"",0,0,1,0,0,"骑上双蛇战马。<br>原产自东方之国的军马。能够以矫健的步伐奔跑于大地之上","双蛇党作为试验采用的军马。在来自东方的马奉行的主张，冒险者的推广下，艾欧泽亚也终于开始引入马这种生物了，当然选种时特别注意选择了适应气候的品种。","艾欧泽亚不知道马这种<br>生物，只是因为这里盛<br>产马鸟。<br>　　　　　　——马奉行",811,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,131073,131073,131073,0,24,4425,201,100,0,0,0,0,0,false,false
38,"恒辉战马",0,"",0,0,1,0,0,"骑上恒辉战马。<br>原产自东方之国的军马。能够以矫健的步伐奔跑于大地之上","恒辉队作为试验采用的军马。在来自东方的马奉行的主张，冒险者的推广下，艾欧泽亚也终于开始引入马这种生物了，当然选种时特别注意选择了适应气候的品种。","艾欧泽亚不知道马这种<br>生物，只是因为这里盛<br>产马鸟。<br>　　　　　　——马奉行",811,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,196609,196609,196609,0,25,4426,201,100,0,0,0,0,0,false,false
39,"",0,"",0,0,1,0,0,"","","",820,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_WaterRizardWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WaterRizardBye",20,10,true,0,1,0,0,-1,4414,0,100,0,0,0,2620,0,false,false
40,"雷妖马玛卡布",0,"",0,0,1,0,0,"骑上雷妖马玛卡布。<br>受到雷神祝福的妖马，嘶鸣中会发出雷电。","受到雷神拉姆祝福的妖马，身缠撕裂天空的闪电。很可能是妖精族将妖马梦魇献祭给蛮神时产生出来的。它的嘶鸣会发出震撼空气的闪电。","仰天长嘶鸣，<br>一骑绝尘无踪影，<br>烈马向前行。<br>　　　　——马奉行",817,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,26,4427,200,65,0,0,0,0,0,false,false
41,"典礼陆行鸟",0,"",0,0,1,0,0,"骑上典礼陆行鸟。<br>华丽典雅的仪式用陆行鸟。可以驮动两个人。","原产于伊修加德的大型陆行鸟。由于要在庄严的仪式上使用，养鸟人特地培养出了这种纯白的羽毛。同时严格的训练也使得这种陆行鸟拥有稳重的个性和健壮的体格，即使坐上两个人都不会有任何问题。","祈祷将化为誓言，誓言<br>则会永远为你们照亮前<br>进的道路。<br>　　　　——誓约的祭司",571,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,true,65537,65537,65537,65537,27,4431,1,100,0,0,1,0,0,false,false
42,"斯莱普尼尔",0,"",0,0,1,0,0,"骑上斯莱普尼尔。<br>受到斗神祝福的妖马，魔眼之中散发着鲜红的光芒。","受到斗神奥丁祝福的妖马，身缠令人绝命的斗气。血红色的鬃毛给人带来无比的威压感。虽说这匹马在战场上无所畏惧，不过一旦它遇到认可的主人，甚至会迎合主人的体型改变自己的大小。","那鼓起雄壮的肌肉，用强有力<br>的四肢踩踏大地的样子……<br>太销魂了……真棒！<br>　　　　　　　　——奥尔什方",866,5,-1.0,24.0,9.6,9.0,1.0,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_SleipnilWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_SleipnilBye",20,10,true,0,1,0,0,28,4428,202,100,0,0,0,0,0,false,false
43,"冰妖马玻瑞阿斯",0,"",0,0,1,0,0,"骑上冰妖马玻瑞阿斯。<br>受到冰神祝福的妖马，能够冻结四周的空气。","受到冰神希瓦祝福的妖马，身披凛凛寒风。很可能是库尔札斯地区的独角兽得到了蛮神的祝福变化而成的。它在奔跑时甚至能够将沿途的空气冻结。","仰天长嘶鸣，<br>一骑绝尘无踪影，<br>烈马向前行。<br>　　　　——马奉行",818,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,true,0,1,0,0,29,4429,200,65,0,0,0,0,0,false,false
44,"游行陆行鸟",0,"",0,0,1,0,0,"骑上游行陆行鸟。<br>给胖陆行鸟加上了凯旋游行中用的装饰品。跑起来威风凛凛。","冒险者行会为了准备凯旋游行进行了很多的准备工作，他们向商人发出了“想要体型宽厚的陆行鸟”的订单，结果得到的却是这种结果……由于饲料费过于昂贵，所以这只鸟也就变成了奖励给优秀冒险者的奖品。","游行好欢乐啊！<br>　　　　——路人",965,2,-1.0,24.0,9.6,9.0,3.2,9.0,3.2,3.2,12.56,1.57,3.0,12.56,30.0,15.0,30.0,8.0,8.0,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193,"SE_Bt_Etc_DebuCyokoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_DebuCyokoboBye",20,10,false,0,1,0,0,30,4430,2,100,0,0,0,0,0,false,false
45,"",0,"",0,0,0,0,0,"","","",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","","",0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false
