Index,0 [UBYTE] [0x6],1 [USHORT] [0x0],2 [USHORT] [0x2],3 [UBYTE] [0x7],4 [USHORT] [0x4]
94,14,54,0,1,10
95,14,69,0,4,10
96,14,69,0,4,10
97,14,69,0,4,10
98,14,69,0,4,10
99,14,69,0,1,10
100,14,112,0,4,10
101,14,112,0,4,10
102,14,112,0,1,10
103,14,112,0,1,10
104,14,138,0,4,10
105,14,138,0,4,10
106,14,138,0,1,10
107,3,32,0,16,1
108,15,62,0,10,5
109,3,57,0,16,1
110,10,119,0,13,1
111,15,98,0,10,5
112,14,112,0,1,10
113,5,94,0,16,1
114,15,126,0,10,5
115,15,153,0,10,5
116,15,62,0,10,5
117,8,119,0,13,1
118,9,119,0,13,1
119,11,119,0,13,1
120,14,165,0,1,10
121,5,116,0,16,1
122,15,153,0,10,5
123,14,165,0,1,10
124,5,116,0,16,1
125,15,153,0,10,5
126,3,121,0,16,1
127,10,135,0,13,1
128,10,119,0,13,1
129,10,271,0,13,1
130,9,135,0,13,1
131,9,119,0,13,1
132,3,121,0,16,1
133,9,271,0,13,1
134,15,182,0,10,5
135,14,187,0,1,10
136,3,141,0,16,1
137,13,119,0,13,1
138,14,187,0,1,10
139,15,182,0,10,5
140,5,141,0,16,1
141,5,141,0,16,1
142,14,187,0,1,10
143,15,182,0,10,5
144,14,204,0,1,10
145,15,198,0,10,5
146,3,168,0,16,1
147,14,204,0,1,10
148,5,168,0,16,1
149,15,198,0,10,5
150,11,119,0,13,1
151,3,121,0,16,1
152,11,135,0,13,1
153,11,271,0,13,1
154,15,214,0,10,5
155,3,199,0,16,1
156,14,221,0,1,10
157,3,32,0,16,1
158,14,54,0,1,10
159,15,52,0,10,5
160,5,202,0,16,1
161,15,214,0,10,5
162,14,221,0,1,10
163,14,204,0,1,10
164,15,198,0,10,5
165,6,168,0,16,1
166,15,52,0,10,5
167,2,32,0,16,1
168,14,54,0,1,10
169,2,23,0,16,1
170,14,42,0,1,10
171,15,42,0,10,5
172,15,42,0,10,5
173,14,42,0,1,10
174,2,23,0,16,1
175,14,54,0,1,10
176,2,32,0,16,1
177,15,52,0,10,5
178,2,32,0,16,1
179,15,52,0,10,5
180,14,54,0,1,10
181,15,42,0,10,5
182,14,42,0,1,10
183,2,23,0,16,1
184,14,69,0,1,10
185,15,62,0,10,5
186,2,43,0,16,1
187,6,43,0,16,1
188,15,62,0,10,5
189,14,69,0,1,10
190,15,81,0,10,5
191,14,90,0,1,10
192,2,57,0,16,1
193,2,57,0,16,1
194,14,90,0,1,10
195,15,81,0,10,5
196,13,119,0,13,1
197,6,57,0,16,1
198,6,57,0,16,1
199,14,90,0,1,10
200,6,57,0,16,1
201,15,81,0,10,5
202,14,90,0,1,10
203,14,112,0,1,10
204,14,112,0,1,10
205,6,75,0,16,1
206,15,98,0,10,5
207,14,112,0,1,10
208,2,94,0,16,1
209,15,126,0,10,5
210,14,138,0,1,10
211,15,126,0,10,5
212,6,94,0,16,1
213,14,138,0,1,10
214,10,119,0,13,1
215,8,119,0,13,1
216,12,119,0,13,1
217,14,138,0,1,10
218,15,126,0,10,5
219,6,94,0,16,1
220,14,165,0,1,10
221,15,153,0,10,5
222,2,116,0,16,1
223,14,165,0,1,10
224,2,116,0,16,1
225,15,153,0,10,5
226,15,153,0,10,5
227,14,165,0,1,10
228,2,116,0,16,1
229,14,187,0,1,10
230,2,141,0,16,1
231,15,182,0,10,5
232,14,187,0,1,10
233,12,271,0,13,1
234,12,135,0,13,1
235,12,119,0,13,1
236,6,121,0,16,1
237,11,119,0,13,1
238,14,204,0,1,10
239,2,168,0,16,1
240,15,198,0,10,5
241,2,168,0,16,1
242,14,204,0,1,10
243,15,198,0,10,5
244,14,54,0,1,10
245,2,32,0,16,1
246,15,52,0,10,5
247,15,182,0,10,5
248,6,141,0,16,1
249,14,187,0,1,10
250,15,214,0,10,5
251,2,202,0,16,1
252,14,221,0,1,10
253,15,81,0,10,5
254,2,57,0,16,1
255,14,90,0,1,10
256,14,69,0,1,10
257,15,62,0,10,5
258,6,43,0,16,1
259,14,165,0,4,10
260,14,165,0,4,10
261,14,165,0,1,10
262,14,187,0,4,10
263,14,187,0,4,10
264,14,187,0,1,10
265,14,204,0,4,10
266,14,204,0,4,10
267,14,204,0,1,10
268,14,221,0,4,10
269,14,221,0,4,10
270,14,221,0,1,10
271,14,42,0,1,10
272,14,42,0,1,10
273,14,54,0,1,10
274,14,69,0,4,10
275,14,69,0,4,10
276,14,69,0,4,10
277,14,69,0,4,10
278,14,69,0,1,10
279,14,90,0,4,10
280,14,90,0,4,10
281,14,90,0,1,10
282,14,90,0,1,10
283,14,112,0,4,10
284,14,112,0,4,10
285,14,112,0,1,10
286,14,112,0,1,10
287,14,138,0,4,10
288,14,138,0,4,10
289,14,138,0,1,10
290,14,165,0,4,10
291,14,165,0,4,10
292,14,165,0,1,10
293,14,187,0,4,10
294,14,187,0,4,10
295,14,187,0,1,10
296,14,204,0,4,10
297,14,204,0,4,10
298,14,204,0,1,10
299,14,221,0,4,10
300,14,221,0,4,10
301,14,221,0,1,10
302,9,119,0,13,1
303,15,153,0,10,5
304,14,165,0,1,10
305,16,408,0,3,0
306,16,408,0,3,0
307,16,408,0,3,0
308,16,408,0,3,0
309,16,408,0,3,0
310,16,408,0,3,0
311,16,408,0,3,0
312,16,408,0,3,0
313,16,408,0,3,0
314,16,353,0,3,0
315,16,353,0,3,0
316,16,353,0,3,0
317,16,353,0,3,0
318,16,408,0,3,0
319,16,408,0,3,0
320,16,420,0,3,0
321,16,420,0,3,0
322,16,420,0,3,0
323,16,420,0,3,0
324,16,450,0,3,0
325,16,450,0,3,0
326,14,221,0,1,10
327,14,444,0,1,10
328,14,451,0,1,10
329,14,455,0,1,10
330,14,457,0,1,10
331,14,498,0,1,10
332,14,510,0,1,10
333,15,214,0,10,5
334,15,444,0,10,5
335,15,451,0,10,5
336,15,455,0,10,5
337,15,457,0,10,5
338,15,498,0,10,5
339,15,510,0,10,5
340,2,202,0,16,1
341,2,207,0,16,1
342,2,207,0,16,1
343,2,207,0,16,1
344,2,215,0,16,1
345,2,215,0,16,1
346,2,215,0,16,1
347,6,202,0,16,1
348,6,207,0,16,1
349,6,207,0,16,1
350,6,207,0,16,1
351,6,215,0,16,1
352,6,215,0,16,1
353,6,215,0,16,1
354,3,202,0,16,1
355,3,207,0,16,1
356,3,207,0,16,1
357,3,207,0,16,1
358,3,215,0,16,1
359,3,215,0,16,1
360,3,215,0,16,1
361,5,202,0,16,1
362,5,207,0,16,1
363,5,207,0,16,1
364,5,207,0,16,1
365,5,215,0,16,1
366,5,215,0,16,1
367,5,215,0,16,1
368,14,221,0,1,25
369,14,444,0,1,25
370,14,451,0,1,25
371,14,455,0,1,25
372,14,457,0,1,25
373,14,498,0,1,25
374,14,510,0,1,25
375,15,214,0,10,30
376,15,444,0,10,30
377,15,451,0,10,30
378,15,455,0,10,30
379,15,457,0,10,30
380,15,498,0,10,30
381,15,510,0,10,30
382,2,202,0,16,2
383,2,207,0,16,2
384,2,207,0,16,2
385,2,207,0,16,2
386,2,215,0,16,2
387,2,215,0,16,2
388,2,215,0,16,2
389,6,202,0,16,2
390,6,207,0,16,2
391,6,207,0,16,2
392,6,207,0,16,2
393,6,215,0,16,2
394,6,215,0,16,2
395,6,215,0,16,2
396,3,202,0,16,2
397,3,207,0,16,2
398,3,207,0,16,2
399,3,207,0,16,2
400,3,215,0,16,2
401,3,215,0,16,2
402,3,215,0,16,2
403,5,202,0,16,2
404,5,207,0,16,2
405,5,207,0,16,2
406,5,207,0,16,2
407,5,215,0,16,2
408,5,215,0,16,2
409,5,215,0,16,2
410,14,221,0,1,25
411,14,444,0,1,25
412,14,451,0,1,25
413,14,455,0,1,25
414,14,457,0,1,25
415,14,498,0,1,25
416,14,510,0,1,25
417,15,214,0,10,30
418,15,444,0,10,30
419,15,451,0,10,30
420,15,455,0,10,30
421,15,457,0,10,30
422,15,498,0,10,30
423,15,510,0,10,30
424,2,202,0,16,2
425,2,207,0,16,2
426,2,207,0,16,2
427,2,207,0,16,2
428,2,215,0,16,2
429,2,215,0,16,2
430,2,215,0,16,2
431,6,202,0,16,2
432,6,207,0,16,2
433,6,207,0,16,2
434,6,207,0,16,2
435,6,215,0,16,2
436,6,215,0,16,2
437,6,215,0,16,2
438,3,202,0,16,2
439,3,207,0,16,2
440,3,207,0,16,2
441,3,207,0,16,2
442,3,215,0,16,2
443,3,215,0,16,2
444,3,215,0,16,2
445,5,202,0,16,2
446,5,207,0,16,2
447,5,207,0,16,2
448,5,207,0,16,2
449,5,215,0,16,2
450,5,215,0,16,2
451,5,215,0,16,2
452,8,271,0,13,1
453,8,273,0,13,1
454,8,273,0,13,1
455,8,273,0,13,1
456,8,280,0,13,1
457,8,280,0,13,1
458,8,280,0,13,1
459,12,271,0,13,1
460,12,273,0,13,1
461,12,273,0,13,1
462,12,273,0,13,1
463,12,280,0,13,1
464,12,280,0,13,1
465,12,280,0,13,1
466,11,271,0,13,1
467,11,273,0,13,1
468,11,273,0,13,1
469,11,273,0,13,1
470,11,280,0,13,1
471,11,280,0,13,1
472,11,280,0,13,1
473,13,271,0,13,1
474,13,273,0,13,1
475,13,273,0,13,1
476,13,273,0,13,1
477,13,280,0,13,1
478,13,280,0,13,1
479,13,280,0,13,1
480,9,271,0,13,1
481,9,273,0,13,1
482,9,273,0,13,1
483,9,273,0,13,1
484,9,280,0,13,1
485,9,280,0,13,1
486,9,280,0,13,1
487,10,271,0,13,1
488,10,273,0,13,1
489,10,273,0,13,1
490,10,273,0,13,1
491,10,280,0,13,1
492,10,280,0,13,1
493,10,280,0,13,1
494,14,221,0,4,10
495,14,448,0,4,10
496,14,453,0,4,10
497,14,457,0,4,10
498,14,498,0,4,10
499,16,600,0,3,0
500,17,645,0,12,0
501,17,304,0,12,0
502,17,348,0,12,0
503,17,377,0,12,0
504,17,445,0,12,0
505,17,457,0,12,0
506,17,486,0,12,0
507,17,489,0,12,0
508,17,493,0,12,0
509,17,513,0,12,0
510,17,532,0,12,0
511,17,565,0,12,0
512,16,720,0,3,0
513,17,740,0,12,0
514,14,600,0,16,1
515,14,690,0,16,2
516,14,700,0,16,1
517,14,790,0,16,2
518,16,860,0,3,0
519,15,870,0,10,15
520,15,890,0,10,35
521,14,910,0,13,1
522,14,930,0,13,2
523,0,0,0,0,0
524,0,0,0,0,0
525,0,0,0,0,0
526,0,0,0,0,0
527,0,0,0,0,0
528,0,0,0,0,0
529,0,0,0,0,0
530,0,0,0,0,0
531,0,0,0,0,0
532,0,0,0,0,0
533,0,0,0,0,0
534,0,0,0,0,0
535,0,0,0,0,0
536,0,0,0,0,0
537,0,0,0,0,0
538,0,0,0,0,0
539,0,0,0,0,0
540,0,0,0,0,0
541,0,0,0,0,0
542,0,0,0,0,0
543,0,0,0,0,0
544,0,0,0,0,0
545,0,0,0,0,0
546,0,0,0,0,0
547,0,0,0,0,0
548,0,0,0,0,0
549,0,0,0,0,0
550,0,0,0,0,0
551,0,0,0,0,0
552,0,0,0,0,0
553,0,0,0,0,0
554,0,0,0,0,0
555,0,0,0,0,0
556,0,0,0,0,0
557,0,0,0,0,0
558,0,0,0,0,0
559,0,0,0,0,0
560,0,0,0,0,0
561,0,0,0,0,0
562,0,0,0,0,0
563,0,0,0,0,0
564,0,0,0,0,0
565,0,0,0,0,0
566,0,0,0,0,0
567,0,0,0,0,0
568,0,0,0,0,0
569,0,0,0,0,0
570,0,0,0,0,0
571,0,0,0,0,0
572,0,0,0,0,0
573,0,0,0,0,0
574,0,0,0,0,0
575,0,0,0,0,0
576,0,0,0,0,0
577,0,0,0,0,0
578,0,0,0,0,0
579,0,0,0,0,0
580,0,0,0,0,0
581,0,0,0,0,0
582,0,0,0,0,0
583,0,0,0,0,0
584,0,0,0,0,0
585,0,0,0,0,0
586,0,0,0,0,0
587,0,0,0,0,0
588,0,0,0,0,0
589,0,0,0,0,0
590,0,0,0,0,0
591,0,0,0,0,0
592,0,0,0,0,0
593,0,0,0,0,0
594,0,0,0,0,0
595,0,0,0,0,0
596,0,0,0,0,0
597,0,0,0,0,0
598,0,0,0,0,0
599,0,0,0,0,0
600,0,0,0,0,0
