Index,0 [BBOOL] [0x3C],1 [FLOAT] [0x0],2 [FLOAT] [0x18],3 [FLOAT] [0x4],4 [FLOAT] [0x1C],5 [FLOAT] [0x8],6 [FLOAT] [0x20],7 [FLOAT] [0xC],8 [FLOAT] [0x24],9 [FLOAT] [0x10],10 [FLOAT] [0x28],11 [FLOAT] [0x14],12 [FLOAT] [0x2C],13 [UBYTE] [0x30],14 [UBYTE] [0x36],15 [UBYTE] [0x31],16 [UBYTE] [0x37],17 [UBYTE] [0x32],18 [UBYTE] [0x38],19 [UBYTE] [0x33],20 [UBYTE] [0x39],21 [UBYTE] [0x34],22 [UBYTE] [0x3A],23 [UBYTE] [0x35],24 [UBYTE] [0x3B]
12,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,100,100,100,100,100,100,100,100,100,100,100,100
13,false,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,100,100,100,100,100,100,100,100,100,100,100,100
14,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
15,false,0.5,0.45,0.52,0.5,0.3,0.3,0.45,0.42,0.55,0.55,0.54,0.41,100,100,100,100,100,100,100,100,100,100,100,100
16,false,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100,100,100,100,100,100,100,100,100,100,100,100
17,false,0.5,0.45,0.52,0.5,0.3,0.3,0.45,0.42,0.55,0.55,0.54,0.41,100,100,100,100,100,100,100,100,100,100,100,100
18,false,1.0,0.9,2.1,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
19,false,0.7,0.63,0.74,0.7,0.38,0.38,0.63,0.6,0.75,0.75,0.75,0.57,100,100,100,100,100,100,100,100,100,100,100,100
20,false,1.0,0.95,1.1,1.05,0.6,0.6,0.95,0.85,1.3,1.1,1.25,0.82,100,100,100,100,100,100,100,100,100,100,100,100
21,false,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,100,100,100,100,100,100,100,100,100,100,100,100
22,false,1.0,0.9,1.25,0.98,0.6,0.6,0.9,0.85,1.3,1.05,1.2,0.82,100,100,100,100,100,100,100,100,100,100,100,100
23,false,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,100,100,100,100,100,100,100,100,100,100,100,100
24,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
25,false,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.8,0.8,100,100,100,100,100,100,100,100,100,100,100,100
26,false,0.6,0.55,0.67,0.65,0.4,0.4,0.57,0.5,0.75,0.68,0.7,0.5,100,100,100,100,100,100,100,100,100,100,100,100
27,false,0.75,0.75,0.75,0.75,0.65,0.65,0.75,0.75,0.83,0.8,0.75,0.75,100,100,100,100,100,100,100,100,100,100,100,100
28,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
29,false,0.8,0.78,0.85,0.8,0.5,0.5,0.75,0.7,1.0,0.9,0.98,0.68,100,100,100,100,100,100,100,100,100,100,100,100
30,false,1.0,0.9,1.0,0.98,0.55,0.55,0.9,0.85,1.1,1.0,1.0,0.82,100,100,100,100,100,100,100,100,100,100,100,100
31,false,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,100,100,100,100,100,100,100,100,100,100,100,100
32,false,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,100,100,100,100,100,100,100,100,100,100,100,100
33,false,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,100,100,100,100,100,100,100,100,100,100,100,100
34,false,1.0,0.9,1.1,1.05,0.6,0.6,0.9,0.85,1.2,1.1,1.15,0.82,80,80,80,80,100,100,80,80,100,80,80,80
35,false,0.25,0.22,0.26,0.25,0.15,0.15,0.22,0.21,0.275,0.275,0.27,0.2,80,80,80,80,100,100,90,90,100,90,80,90
36,false,1.0,0.95,1.13,1.1,0.6,0.6,0.97,0.9,1.2,1.2,1.2,0.87,100,100,100,100,100,100,100,100,100,100,100,100
37,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
38,false,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,100,100,100,100,100,100,100,100,100,100,100,100
39,false,1.1,1.045,1.243,1.21,0.66,0.66,1.067,0.99,1.32,1.32,1.32,0.957,100,100,100,100,100,100,100,100,100,100,100,100
40,false,0.5,0.45,0.52,0.5,0.3,0.3,0.45,0.42,0.55,0.55,0.54,0.41,100,100,100,100,100,100,100,100,100,100,100,100
41,false,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,100,100,100,100,100,100,100,100,100,100,100,100
42,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
43,false,1.05,0.9,1.25,1.05,0.525,0.525,1.0,0.8,1.35,1.1,1.25,0.8,100,100,100,100,150,150,100,100,100,100,100,100
44,false,1.0,0.9,1.04,1.0,0.6,0.6,0.9,0.84,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
45,false,0.7,0.63,0.735,0.7,0.42,0.42,0.63,0.595,0.77,0.77,0.756,0.574,100,100,100,100,100,100,100,100,100,100,100,100
46,false,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,100,100,100,100,100,100,100,100,100,100,100,100
47,false,0.35,0.315,0.3675,0.35,0.21,0.21,0.315,0.2975,0.385,0.385,0.378,0.287,100,100,100,100,100,100,100,100,100,100,100,100
48,false,0.75,0.675,0.7875,0.75,0.45,0.45,0.675,0.6375,0.825,0.825,0.81,0.615,100,100,100,100,100,100,100,100,100,100,100,100
49,false,0.4,0.36,0.42,0.4,0.24,0.24,0.36,0.34,0.44,0.44,0.44,0.328,100,100,100,100,100,100,100,100,100,100,100,100
50,false,1.0,0.9,1.15,1.1,0.6,0.6,0.9,0.85,1.3,1.1,1.17,0.9,100,100,100,100,100,100,100,100,100,100,100,100
51,false,2.5,2.25,2.625,2.5,1.9,1.9,2.25,2.125,3.5,3.0,2.7,2.05,100,100,100,100,100,100,100,100,100,100,100,100
52,false,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,100,100,100,100,100,100,100,100,100,100,100,100
53,false,0.8,0.72,0.84,0.8,0.5,0.5,0.72,0.68,0.88,0.88,0.86,0.66,100,100,100,100,100,100,100,100,100,100,100,100
54,false,1.6,1.44,1.68,1.6,0.96,0.96,1.44,1.36,1.76,1.76,1.728,1.312,100,100,100,100,100,100,100,100,100,100,100,100
55,false,1.1,0.99,1.23,1.1,0.726,0.726,0.99,0.935,1.34,1.21,1.27,0.902,100,100,100,100,100,100,100,100,100,100,100,100
56,false,0.8,0.72,0.84,0.8,0.48,0.48,0.72,0.68,0.88,0.88,0.864,0.656,100,100,100,100,100,100,100,100,100,100,100,100
57,false,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,100,100,100,100,100,100,100,100,100,100,100,100
58,false,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.25,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
59,false,1.05,0.85,1.19,1.0,0.6,0.6,0.95,0.8,1.4,1.05,1.15,0.77,100,100,100,100,125,125,100,100,100,100,100,100
60,false,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.8,0.8,0.8,100,100,100,100,100,100,100,100,100,100,100,100
61,false,1.2,1.08,1.26,1.2,0.72,0.72,1.08,1.02,1.5,1.32,1.296,0.984,100,100,100,100,100,100,100,100,100,100,100,100
62,false,0.5,0.45,0.52,0.5,0.36,0.36,0.45,0.42,0.55,0.55,0.54,0.41,100,100,100,100,100,100,100,100,100,100,100,100
63,false,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100,100,100,100,100,100,100,100,100,100,100,100
64,false,0.95,0.86,1.05,0.95,0.62,0.62,0.85,0.8,1.16,1.04,1.1,0.77,100,100,100,100,100,100,100,100,100,100,100,100
65,true,0.99,0.89,1.12,1.03,0.47,0.47,1.0,0.84,1.3,1.018,1.0,0.84,100,100,100,100,150,150,100,100,100,100,100,100
66,false,1.1,0.95,1.15,1.1,0.65,0.65,1.0,0.92,1.3,1.22,1.15,0.9,100,100,100,100,100,100,100,100,100,100,100,100
67,false,0.3,0.27,0.315,0.3,0.18,0.18,0.27,0.255,0.36,0.33,0.324,0.246,100,100,100,100,100,100,100,100,100,100,100,100
68,false,1.0,0.9,1.13,1.0,0.6,0.6,0.9,0.85,1.2,1.1,1.16,0.82,100,100,100,100,100,100,100,100,100,100,100,100
69,false,1.0,0.85,1.1,0.95,0.62,0.62,0.85,0.82,1.2,1.05,1.15,0.78,100,100,100,100,100,100,100,100,100,100,100,100
70,true,1.0,0.99,0.99,0.97,1.0,1.0,1.052,1.0,1.0,0.925,0.85,1.03,100,100,100,100,100,100,100,100,100,100,100,100
