Index,0 [USHORT] [0x0],1 [USHORT] [0x2],2 [USHORT] [0x4],3 [USHORT] [0x6],4 [USHORT] [0x8],5 [USHORT] [0xA],6 [USHORT] [0xC],7 [USHORT] [0xE],8 [USHORT] [0x10],9 [USHORT] [0x12],10 [USHORT] [0x14],11 [USHORT] [0x16],12 [USHORT] [0x18],13 [USHORT] [0x1A],14 [USHORT] [0x1C],15 [USHORT] [0x1E],16 [USHORT] [0x20],17 [USHORT] [0x22],18 [USHORT] [0x24],19 [USHORT] [0x26],20 [USHORT] [0x28],21 [USHORT] [0x2A],22 [USHORT] [0x2C],23 [USHORT] [0x2E],24 [USHORT] [0x30],25 [USHORT] [0x32],26 [USHORT] [0x34],27 [USHORT] [0x36],28 [USHORT] [0x38],29 [USHORT] [0x3A],30 [USHORT] [0x3C],31 [USHORT] [0x3E],32 [USHORT] [0x40],33 [USHORT] [0x42],34 [USHORT] [0x44],35 [USHORT] [0x46],36 [USHORT] [0x48],37 [USHORT] [0x4A],38 [USHORT] [0x4C],39 [USHORT] [0x4E],40 [USHORT] [0x50],41 [USHORT] [0x52],42 [USHORT] [0x54],43 [USHORT] [0x56],44 [USHORT] [0x58],45 [USHORT] [0x5A],46 [USHORT] [0x5C],47 [USHORT] [0x5E],48 [USHORT] [0x60],49 [USHORT] [0x62],50 [USHORT] [0x64],51 [USHORT] [0x66],52 [USHORT] [0x68],53 [USHORT] [0x6A],54 [USHORT] [0x6C],55 [USHORT] [0x6E],56 [USHORT] [0x70],57 [USHORT] [0x72],58 [USHORT] [0x74],59 [USHORT] [0x76],60 [USHORT] [0x78],61 [USHORT] [0x7A],62 [USHORT] [0x7C],63 [USHORT] [0x7E],64 [USHORT] [0x80],65 [USHORT] [0x82],66 [USHORT] [0x84],67 [USHORT] [0x86],68 [USHORT] [0x88],69 [USHORT] [0x8A],70 [USHORT] [0x8C],71 [USHORT] [0x8E],72 [USHORT] [0x90],73 [USHORT] [0x92]
30,45,45,48,45,45,31,0,0,0,140,112,19,36,0,0,0,56,56,60,0,347,60,0,347,0,0,60,0,5,5,5,0,0,0,0,0,22,22,22,22,22,22,0,38,60,60,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,220,220,230,230,0
31,47,47,50,47,47,33,0,0,0,143,114,20,37,0,0,0,59,59,64,0,362,64,0,362,0,0,64,0,5,5,5,0,0,0,0,0,23,23,23,23,23,23,0,40,64,64,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,224,224,235,235,0
32,50,50,53,50,50,35,0,0,0,146,115,20,37,0,0,0,61,61,68,0,376,68,0,376,0,0,68,0,5,5,5,0,0,0,0,0,24,24,24,24,24,24,0,42,68,68,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,229,229,240,240,0
33,52,52,56,52,52,38,0,0,0,149,117,21,38,0,0,0,64,64,71,0,389,71,0,389,0,0,71,0,5,5,5,0,0,0,0,0,25,25,25,25,25,25,0,45,71,71,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,234,234,245,245,0
34,54,54,59,54,54,40,0,0,0,152,118,21,39,0,0,0,66,66,75,0,404,75,0,404,0,0,75,0,5,5,5,0,0,0,0,0,26,26,26,26,26,26,0,48,75,75,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,239,239,250,250,0
35,57,57,61,57,57,42,0,0,0,155,120,22,40,0,0,0,69,69,79,0,418,79,0,418,0,0,79,0,5,5,5,0,0,0,0,0,27,27,27,27,27,27,0,51,79,79,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,244,244,255,255,0
36,59,59,64,59,59,45,0,0,0,158,121,23,40,0,0,0,72,72,83,0,430,83,0,430,0,0,83,0,5,5,5,0,0,0,0,0,28,28,28,28,28,28,0,54,83,83,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,248,248,260,260,0
37,61,61,67,61,61,47,0,0,0,161,123,24,41,0,0,0,74,74,89,0,444,89,0,444,0,0,89,0,5,5,5,0,0,0,0,0,29,29,29,29,29,29,0,57,89,89,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,253,253,265,265,0
38,63,63,71,63,63,51,0,0,0,164,124,25,42,0,0,0,77,77,94,0,458,94,0,458,0,0,94,0,5,5,5,0,0,0,0,0,30,30,30,30,30,30,0,61,94,94,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,258,258,270,270,0
39,66,66,74,66,66,53,0,0,0,167,125,26,42,0,0,0,79,79,99,0,472,99,0,472,0,0,99,0,5,5,5,0,0,0,0,0,31,31,31,31,31,31,0,65,99,99,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,263,263,275,275,0
40,68,68,77,68,68,56,0,0,0,170,127,27,43,0,0,0,82,82,104,0,488,104,0,488,0,0,104,0,5,5,5,0,0,0,0,0,32,32,32,32,32,32,0,69,104,104,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,268,268,280,280,0
41,71,71,79,71,71,60,0,0,0,173,128,28,44,0,0,0,85,85,110,0,506,110,0,506,0,0,110,0,5,5,5,0,0,0,0,0,33,33,33,33,33,33,0,73,110,110,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,272,272,285,285,0
42,73,73,82,73,73,63,0,0,0,176,130,29,46,0,0,0,88,88,116,0,524,116,0,524,0,0,116,0,5,5,5,0,0,0,0,0,34,34,34,34,34,34,0,77,116,116,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,277,277,290,290,0
43,76,76,84,76,76,66,0,0,0,179,131,30,47,0,0,0,91,91,122,0,544,122,0,544,0,0,122,0,5,5,5,0,0,0,0,0,35,35,35,35,35,35,0,81,122,122,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,282,282,295,295,0
44,79,79,86,79,79,70,0,0,0,182,133,31,49,0,0,0,94,94,128,0,564,128,0,564,0,0,128,0,5,5,5,0,0,0,0,0,37,37,37,37,37,37,0,85,128,128,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,287,287,300,300,0
45,82,82,89,82,82,73,0,0,0,185,134,32,50,0,0,0,97,97,135,0,584,135,0,584,0,0,135,0,5,5,5,0,0,0,0,0,38,38,38,38,38,38,0,89,135,135,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,292,292,305,305,0
46,84,84,91,84,84,77,0,0,0,188,136,33,51,0,0,0,100,100,142,0,604,142,0,604,0,0,142,0,5,5,5,0,0,0,0,0,39,39,39,39,39,39,0,93,142,142,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,296,296,310,310,0
47,87,87,93,87,87,81,0,0,0,191,137,34,53,0,0,0,103,103,149,0,623,149,0,623,0,0,149,0,5,5,5,0,0,0,0,0,41,41,41,41,41,41,0,98,149,149,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,301,301,315,315,0
48,90,90,95,90,90,85,0,0,0,194,138,35,54,0,0,0,106,106,156,0,643,156,0,643,0,0,156,0,5,5,5,0,0,0,0,0,42,42,42,42,42,42,0,103,156,156,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,306,306,320,320,0
49,92,92,98,92,92,89,0,0,0,197,140,36,56,0,0,0,109,109,163,0,663,163,0,663,0,0,163,0,5,5,5,0,0,0,0,0,43,43,43,43,43,43,0,108,163,163,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,311,311,325,325,0
50,95,95,100,95,95,93,0,0,0,200,141,37,57,0,0,0,112,112,170,0,683,170,0,683,0,0,170,0,5,5,5,0,0,0,0,0,45,45,45,45,45,45,0,113,170,170,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,316,316,330,330,0
51,98,98,104,98,98,95,0,0,0,200,142,37,57,0,0,0,114,114,172,0,685,172,0,685,0,0,172,0,5,5,5,0,0,0,0,0,47,47,47,47,47,47,0,114,172,172,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,324,324,339,339,0
52,101,101,107,101,101,97,0,0,0,200,144,37,58,0,0,0,116,116,174,0,688,174,0,688,0,0,174,0,5,5,5,0,0,0,0,0,48,48,48,48,48,48,0,116,174,174,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,333,333,348,348,0
53,104,104,111,104,104,99,0,0,0,200,146,38,58,0,0,0,118,118,175,0,690,175,0,690,0,0,175,0,5,5,5,0,0,0,0,0,50,50,50,50,50,50,0,117,175,175,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,342,342,357,357,0
54,107,107,114,107,107,101,0,0,0,200,148,38,58,0,0,0,120,120,177,0,692,177,0,692,0,0,177,0,5,5,5,0,0,0,0,0,51,51,51,51,51,51,0,118,177,177,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,351,351,366,366,0
55,110,110,118,110,110,103,0,0,0,200,150,38,59,0,0,0,122,122,179,0,694,179,0,694,0,0,179,0,5,5,5,0,0,0,0,0,53,53,53,53,53,53,0,120,179,179,0,136,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,360,360,376,376,0
56,113,113,121,113,113,105,0,0,0,200,150,38,59,0,0,0,124,124,181,0,697,181,0,697,0,0,181,0,5,5,5,0,0,0,0,0,54,54,54,54,54,54,0,121,181,181,0,140,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,367,366,382,382,0
57,116,116,125,116,116,107,0,0,0,200,151,38,59,0,0,0,126,126,182,0,699,182,0,699,0,0,182,0,5,5,5,0,0,0,0,0,56,56,56,56,56,56,0,122,182,182,0,145,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,374,373,389,389,0
58,119,119,128,119,119,109,0,0,0,200,152,39,59,0,0,0,128,128,184,0,701,184,0,701,0,0,184,0,5,5,5,0,0,0,0,0,57,57,57,57,57,57,0,124,184,184,0,149,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,381,379,396,396,0
59,122,122,132,122,122,111,0,0,0,200,152,39,60,0,0,0,130,130,186,0,703,186,0,703,0,0,186,0,5,5,5,0,0,0,0,0,59,59,59,59,59,59,0,125,186,186,0,154,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,388,386,403,403,0
60,126,126,135,126,126,113,0,0,0,200,153,39,60,0,0,0,132,132,188,0,706,188,0,706,0,0,188,0,5,5,5,0,0,0,0,0,60,60,60,60,60,60,0,127,188,188,0,158,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,396,393,410,410,0
61,129,129,139,129,129,114,0,0,0,200,154,39,60,0,0,0,134,134,189,0,708,189,0,708,0,0,189,0,5,5,5,0,0,0,0,0,62,62,62,62,62,62,0,128,189,189,0,163,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,403,399,417,417,0
62,132,132,142,132,132,116,0,0,0,200,154,39,61,0,0,0,136,136,191,0,710,191,0,710,0,0,191,0,5,5,5,0,0,0,0,0,63,63,63,63,63,63,0,129,191,191,0,167,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,410,406,424,424,0
63,135,135,146,135,135,118,0,0,0,200,155,40,61,0,0,0,138,138,193,0,712,193,0,712,0,0,193,0,5,5,5,0,0,0,0,0,65,65,65,65,65,65,0,131,193,193,0,172,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,417,412,431,431,0
64,138,138,149,138,138,120,0,0,0,200,156,40,61,0,0,0,140,140,195,0,715,195,0,715,0,0,195,0,5,5,5,0,0,0,0,0,66,66,66,66,66,66,0,132,195,195,0,176,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,424,419,438,438,0
65,141,141,153,141,141,122,0,0,0,200,156,40,62,0,0,0,142,142,196,0,717,196,0,717,0,0,196,0,5,5,5,0,0,0,0,0,68,68,68,68,68,68,0,133,196,196,0,181,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,432,426,445,445,0
66,144,144,156,144,144,124,0,0,0,200,157,40,62,0,0,0,144,144,198,0,719,198,0,719,0,0,198,0,5,5,5,0,0,0,0,0,69,69,69,69,69,69,0,135,198,198,0,185,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,439,432,452,452,0
67,147,147,160,147,147,126,0,0,0,200,158,40,62,0,0,0,146,146,200,0,721,200,0,721,0,0,200,0,5,5,5,0,0,0,0,0,71,71,71,71,71,71,0,136,200,200,0,190,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,446,439,459,459,0
68,150,150,163,150,150,128,0,0,0,200,158,41,62,0,0,0,148,148,202,0,724,202,0,724,0,0,202,0,5,5,5,0,0,0,0,0,72,72,72,72,72,72,0,137,202,202,0,194,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,453,445,466,466,0
69,153,153,167,153,153,130,0,0,0,200,159,41,63,0,0,0,150,150,203,0,726,203,0,726,0,0,203,0,5,5,5,0,0,0,0,0,74,74,74,74,74,74,0,139,203,203,0,199,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,460,452,473,473,0
70,156,156,170,156,156,132,0,0,0,200,160,41,63,0,0,0,152,152,205,0,728,205,0,728,0,0,205,0,5,5,5,0,0,0,0,0,75,75,75,75,75,75,0,140,205,205,0,204,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,468,459,480,480,0
71,159,159,174,159,159,136,0,0,0,200,161,41,63,0,0,0,153,153,208,0,729,208,0,729,0,0,208,0,5,5,5,0,0,0,0,0,77,77,77,77,77,77,0,142,208,208,0,207,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,474,464,480,480,0
72,163,163,178,163,163,139,0,0,0,200,162,42,64,0,0,0,155,155,211,0,730,211,0,730,0,0,211,0,5,5,5,0,0,0,0,0,78,78,78,78,78,78,0,145,211,211,0,210,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,481,470,481,481,0
73,166,166,182,166,166,143,0,0,0,200,163,42,64,0,0,0,156,156,214,0,731,214,0,731,0,0,214,0,5,5,5,0,0,0,0,0,80,80,80,80,80,80,0,147,214,214,0,214,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,488,475,481,481,0
74,170,170,186,170,170,146,0,0,0,200,164,42,64,0,0,0,158,158,217,0,732,217,0,732,0,0,217,0,5,5,5,0,0,0,0,0,81,81,81,81,81,81,0,150,217,217,0,217,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,495,481,482,482,0
75,173,173,191,173,173,150,0,0,0,200,165,42,65,0,0,0,159,159,220,0,734,220,0,734,0,0,220,0,5,5,5,0,0,0,0,0,83,83,83,83,83,83,0,152,220,220,0,221,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,502,486,483,483,0
76,176,176,195,176,176,153,0,0,0,200,166,43,65,0,0,0,161,161,222,0,735,222,0,735,0,0,222,0,5,5,5,0,0,0,0,0,84,84,84,84,84,84,0,154,222,222,0,224,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,509,492,483,483,0
77,180,180,199,180,180,157,0,0,0,200,167,43,65,0,0,0,162,162,225,0,736,225,0,736,0,0,225,0,5,5,5,0,0,0,0,0,86,86,86,86,86,86,0,157,225,225,0,228,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,516,497,484,484,0
78,183,183,203,183,183,160,0,0,0,200,168,43,65,0,0,0,164,164,228,0,737,228,0,737,0,0,228,0,5,5,5,0,0,0,0,0,87,87,87,87,87,87,0,159,228,228,0,231,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,523,503,484,484,0
79,187,187,207,187,187,164,0,0,0,200,169,43,66,0,0,0,165,165,231,0,738,231,0,738,0,0,231,0,5,5,5,0,0,0,0,0,89,89,89,89,89,89,0,162,231,231,0,235,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,530,508,485,485,0
