Index,0 [UINT] [0xFC],1 [UINT] [0x100],2 [STRING] [0xF8],3 [STRING] [0x0],4 [STRING] [0x8],5 [STRING] [0x10],6 [STRING] [0x18],7 [STRING] [0x20],8 [STRING] [0x28],9 [STRING] [0x30],10 [STRING] [0x38],11 [STRING] [0x40],12 [STRING] [0x48],13 [STRING] [0x50],14 [STRING] [0x58],15 [STRING] [0x60],16 [STRING] [0x68],17 [STRING] [0x70],18 [STRING] [0x78],19 [STRING] [0x80],20 [STRING] [0x88],21 [STRING] [0x90],22 [STRING] [0x98],23 [STRING] [0xA0],24 [STRING] [0xA8],25 [STRING] [0xB0],26 [STRING] [0xB8],27 [STRING] [0xC0],28 [STRING] [0xC8],29 [STRING] [0xD0],30 [STRING] [0xD8],31 [STRING] [0xE0],32 [STRING] [0xE8],33 [UINT] [0x4],34 [UINT] [0xC],35 [UINT] [0x14],36 [UINT] [0x1C],37 [UINT] [0x24],38 [UINT] [0x2C],39 [UINT] [0x34],40 [UINT] [0x3C],41 [UINT] [0x44],42 [UINT] [0x4C],43 [UINT] [0x54],44 [UINT] [0x5C],45 [UINT] [0x64],46 [UINT] [0x6C],47 [UINT] [0x74],48 [UINT] [0x7C],49 [UINT] [0x84],50 [UINT] [0x8C],51 [UINT] [0x94],52 [UINT] [0x9C],53 [UINT] [0xA4],54 [UINT] [0xAC],55 [UINT] [0xB4],56 [UINT] [0xBC],57 [UINT] [0xC4],58 [UINT] [0xCC],59 [UINT] [0xD4],60 [UINT] [0xDC],61 [UINT] [0xE4],62 [UINT] [0xEC],63 [BBOOL] [0x104],64 [STRING] [0xF0],65 [STRING] [0xF4],66 [BBOOL] [0x104],67 [BBOOL] [0x104],68 [BBOOL] [0x104],69 [BBOOL] [0x104],70 [BBOOL] [0x104],71 [BBOOL] [0x104],72 [BBOOL] [0x104],73 [BBOOL] [0x105],74 [BBOOL] [0x105]
720906,0,60425,"CmnDefRetainerCall_00010","REWARD_RETAINER","REWARD_RETAINER_VENTURE","HOWTO_RETAINER","HOWTO_RETAINER_TASK","HOWTO_RETAINER_VENTURE_1","HOWTO_RETAINER_VENTURE_2","HOWTO_RETAINER_CLASS","BASE_IDLE_2","EMOTE_BOW","EMOTE_YES","ITEM_RETAINER_JOB_SCROLL","SCREEN_IMAGE_JOBCHANGE","LOGMSG_CANCELLED_BEFORE_PLAY_EVENT_SCENE","","","","","","","","","","","","","","","","","",3,93,51,53,168,169,173,785,694,739,14044,379,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"传唤雇员","",false,true,false,false,false,false,false,false,false
720907,0,0,"CmnDefRetainerRemove_00011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"解雇雇员","",false,false,false,false,false,false,false,false,false
720908,0,0,"CmnDefRentalChocobo_00012","POP_RANGE","HOWTO_ABOUT_RENTAL_CHOCOBO","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2040811,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"租借陆行鸟","",false,false,false,false,false,false,false,false,false
720909,0,0,"CmnBhtEnterLv020St0003_00013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720910,0,0,"CmnDunEnterTamtara_00014","INSTANCE_CONTENT_ID","TERRITORY_TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720911,0,0,"JobDefNin_00015","QUEST0","QUEST1","QUEST2","","","","","","","","","","","","","","","","","","","","","","","","","","","",65770,65771,67224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"","",false,false,false,false,false,false,false,false,false
720912,0,0,"RegFstEternalCeremonyGuideRoom_00016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"","",false,false,false,false,false,false,false,false,false
720913,0,0,"RegFstEternalCeremonyGuideHall_00017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"","",false,false,false,false,false,false,false,false,false
720914,0,0,"CmnFstAlphaLevelup_00018","LEVEL_UP_TO_15_QUEST","LEVEL_UP_TO_29_DUNGEON","ENPC_WANDERING_MINSTREL","ENPC_LVUP_LANCER","ENPC_LVUP_ARCHER","ENPC_LVUP_CONJURER","ENPC_LVUP_GLADIATOR","ENPC_LVUP_MARAUDER","ENPC_LVUP_PUGILIST","ENPC_LVUP_THAUMATURGE","REWARD_BUDDY","ITEM_GYSAHL_GREENS","HOWTO_BUDDY_SUMMON","REWARD_MY_CHOCOBO","GLADIATOR_LV30_REWARD_ACTION","PUGILIST_LV30_REWARD_ACTION","MARAUDER_LV30_REWARD_ACTION","LANCER_LV30_REWARD_ACTION","ARCHER_LV30_REWARD_ACTION","CONJURER_LV30_REWARD_ACTION","THAUMATURGE_LV30_REWARD_ACTION","GLADIATOR_LV30_REWARD_ACTION_QUEST","PUGILIST_LV30_REWARD_ACTION_QUEST","MARAUDER_LV30_REWARD_ACTION_QUEST","LANCER_LV30_REWARD_ACTION_QUEST","ARCHER_LV30_REWARD_ACTION_QUEST","CONJURER_LV30_REWARD_ACTION_QUEST","THAUMATURGE_LV30_REWARD_ACTION_QUEST","LV30_ACTION_REWARD_VFX","",66047,1,1002370,1000619,1000437,1000644,1002064,1002229,1002049,1004325,18,4868,96,17,25,66,47,91,113,135,157,65798,66094,65852,65591,65604,65628,65886,114,0,false,"开放功能（β版专用）","",true,false,false,false,false,false,false,false,false
720915,0,60434,"CmnDefNpcRepair_00019","QUEST_AMJ_OPEN","QUEST_KOB_OPEN","QUEST_SAH_OPEN","QUEST_IXA_OPEN","ENPC_AMJ_REPAIR","ENPC_KOB_REPAIR","ENPC_SAH_REPAIR","ENPC_IXA_REPAIR","MOT_EVENT_MENACE","","","","","","","","","","","","","","","","","","","","","",66754,66857,66911,67023,1008910,1008908,1008906,1009206,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"修理","",false,false,false,false,false,false,false,false,false
720916,0,0,"CmnDefInnBed_00020","POS_S1TI_BED_FRONT","POS_W1TI_BED_FRONT","POS_F1TI_BED_FRONT","TERRITORY_TYPE_S1TI","TERRITORY_TYPE_W1TI","TERRITORY_TYPE_F1TI","SLEEP_ACTION","WAKEUP_DREAM_ACTION","WAKEUP_ACTION","POS_R2TI_BED_FRONT","TERRITORY_TYPE_R2T1","","","","","","","","","","","","","","","","","","","",3972987,3972985,3972441,177,178,179,986,988,989,5878294,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",true,false,false,false,false,false,true,false,false
720917,0,0,"CmnDefInnDoor_00021","POP_RANGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2232680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720918,0,0,"RegFstInnInfo_00022","REWARD0","POP_RANGE","","","","","","","","","CONDITION_DEFAULT_TALK","HOWTO_MARKET","HOWTO_MARKET_GETITEM","","","","","","","","","","","","","","","","","",2,1359058,0,0,0,0,0,0,0,0,23,47,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720919,0,0,"RegFstCnjGuild_00023","QUEST0","QUEST1","QUEST2","CONTENT0","QUEST3","QUEST4","QUEST5","","","","","","","","","","","","","","","","","","","","","","","",65977,66620,66726,22,65964,66616,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720920,0,0,"RegFstCnjPreach_00024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720921,0,0,"CmnBhtRewardLv020St0003_00025","REWARD_BEHEST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720922,0,0,"CmnDefWarpNpc_00026","ACTOR0","ACTOR1","POPRANGE0","POPRANGE1","QUEST01","QUEST02","QUEST03","","","","","","","","","","","","","","","","","","","","","","","",1001263,1000541,1381039,1381038,65621,65659,65660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720923,0,0,"RegFstHowToAutoAttack_00027","HOWTO_BATTLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,"进行谈话","",true,true,false,false,false,false,true,false,false
720924,0,0,"CmnDefTownWarpNode_00028","EVENT_ACTION_SYMPATHY","VFX_SYMPATHY_SUCCESS","LOGMSG_SYMPATHY_SUCCESS","","","","","","","","","","","","","","","","","","","","","","","","","","","",19,115,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",true,false,false,false,false,false,false,false,false
720925,0,0,"RegFstWdkGuild_00029","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",66075,65964,67533,67537,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720926,0,0,"RegFstTanGuild_00030","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65602,65964,67611,67615,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720927,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720928,0,0,"RegFstAetheryteGuid_00032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720929,0,0,"RegFstHrvGuild_00033","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65549,65964,67584,67588,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720930,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720931,0,0,"TstPlnCmpFCCounter_00035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720932,0,0,"TstPlnTest_00036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720933,0,0,"CmnFatTest_00037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"危命测试","",false,false,false,false,false,false,false,false,false
720934,0,0,"TstPlnNcut_00038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"过场测试","",false,false,false,false,false,false,false,false,false
720935,0,0,"CmnDefMarketBoardGridania_00039","CONDITION_DEFAULT_TALK","HOWTO_MARKET","HOWTO_MARKET_GETITEM","","","","","","","","","","","","","","","","","","","","","","","","","","","",23,47,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,true,false,false,false,false,false,false,false
720936,0,0,"TstPrgGetItemTest_00040","ITEM","QUEST","LOGMSG_EVENT_INVENTORY_FULL_ERROR","","","","","","","","","","","","","","","","","","","","","","","","","","","",3042,65565,1767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"稀有道具测试","",false,false,false,false,false,false,false,false,false
720937,0,0,"CmnRadEnterHaukkeManor_00041","INSTANCE_CONTENT_ID","TERRITORY_TYPE","SCREENIMAGE0","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,166,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720938,0,0,"RegWilBlackBrash_00042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720939,0,0,"RegWilArrzanethOssuary_00043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720940,0,0,"RegSeaMorabyDrydocks_00044","QUEST0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",65950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720941,0,0,"RegFstMagicItemTips_00045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720942,0,0,"ComDefGrandCompany_00046","REWARD_GRAND_COMPANY","GRAND_COMPANY_INVALID","ORDER_OF_TWIN_ADDER","HOW_TO_GRANDCOMPANY","","","","","","","","","","","","","","","","","","","","","","","","","","",10,0,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"参加军队","",false,false,false,false,false,false,false,false,false
720943,0,0,"CmnDefF1e4Entrance_00047","POP_RANGE","QUEST","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3884000,65983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720944,0,0,"CmnDefF1e4Exit_00048","POP_RANGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3884182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720945,0,0,"CmnDefF1e5Exit_00049","POP_RANGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3878860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720946,0,0,"RegSeaAdvGuild_00050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720947,0,0,"RegSeaAetheGuid_00051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720948,0,0,"RegSeaInn_00052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720949,0,0,"RegSeaExcGuild_00053","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65855,66590,65964,66586,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720950,0,0,"RegSeaCulGuild_00054","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65806,65964,67579,67583,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720951,0,0,"RegSeaBsnGuild_00055","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65838,65964,67543,67547,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720952,0,0,"RegSeaArmGuild_00056","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65820,65964,67574,67578,67168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720953,0,0,"RegWilHorizon_00057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720954,0,0,"RegWilDrybone_00058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720955,0,0,"RegWikAdvGuild_00059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720956,0,0,"RegWilAetheGuid_00060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720957,0,0,"RegWilInn_00061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720958,0,0,"RegWilThmGuild_00062","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65889,66614,65963,66610,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720959,0,0,"RegWilGlaGuild_00063","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",65801,66596,65963,66592,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720960,0,0,"RegWilPglGuild_00064","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",66103,66602,65963,66598,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720961,0,0,"RegWilMinGuild_00065","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",66182,65963,67616,67620,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
720962,0,0,"RegWilWvrGuild_00066","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","","","","","","","","","","","","","","","","","","","","","","","","","",66190,65963,67538,67542,67167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,"进行谈话","",false,false,false,false,false,false,false,false,false
